,Rank,Player (age that year),Intentional Bases on Balls,Year,Bats
240,195.,Ichiro Suzuki (30),19,2004,L
241,195.,Jose Uribe (27),19,1986,B
242,195.,Mo Vaughn (28),19,1996,L
243,195.,Joey Votto (29),19,2013,L
244,195.,Dixie Walker (34),19,1945,L
245,195.,Dixie Walker (35),19,1946,L
246,247.,Hank Aaron+ (29),18,1963,R
247,247.,Dick Allen (25),18,1967,R
248,247.,Ernie Banks+ (25),18,1956,R
249,247.,Lance Berkman (32),18,2008,B
250,247.,Wade Boggs+ (30),18,1988,L
251,247.,Barry Bonds (29),18,1994,L
252,247.,George Brett+ (33),18,1986,L
253,247.,Leo Cardenas (27),18,1966,R
254,247.,Leo Cardenas (29),18,1968,R
255,247.,Rod Carew+ (29),18,1975,L
256,247.,Joe Carter (30),18,1990,R
257,247.,Phil Cavarretta (28),18,1945,L
258,247.,Jack Clark (33),18,1989,R
259,247.,Del Crandall (28),18,1958,R
260,247.,Ivan de Jesus (30),18,1983,R
261,247.,Carlos Delgado (28),18,2000,L
262,247.,Carlos Delgado (30),18,2002,L
263,247.,Nick Etten (30),18,1944,L
264,247.,Prince Fielder (28),18,2012,L
265,247.,Freddie Freeman (26),18,2016,L
266,247.,Adrian Gonzalez (26),18,2008,L
267,247.,Mike Greenwell (24),18,1988,L
268,247.,Pedro Guerrero (31),18,1987,R
269,247.,Howard Johnson (26),18,1987,B
270,247.,Chipper Jones+ (27),18,1999,B
271,247.,Chipper Jones+ (37),18,2009,B
272,247.,Don Kessinger (30),18,1973,B
273,247.,Harmon Killebrew+ (30),18,1966,R
274,247.,Ernie Lombardi+ (37),18,1945,R
275,247.,Manny Machado (25),18,2018,R
276,247.,Mickey Mantle+ (32),18,1964,B
277,247.,Don Mattingly (28),18,1989,L
278,247.,Eddie Murray+ (26),18,1982,B
279,247.,Wes Parker (30),18,1970,B
280,247.,Boog Powell (28),18,1970,L
281,247.,Kirby Puckett+ (35),18,1995,R
282,247.,Tim Raines+ (29),18,1989,B
283,247.,Cal Ripken Jr.+ (29),18,1990,R
284,247.,Frank Robinson+ (29),18,1965,R
285,247.,Pete Rose (28),18,1969,B
286,247.,Mike Schmidt+ (31),18,1981,R
287,247.,Duke Snider+ (27),18,1954,L
288,247.,Chris Speier (30),18,1980,R
289,247.,Mickey Tettleton (31),18,1992,B
290,247.,Frank Thomas+ (32),18,2000,R
291,247.,Jim Thome+ (31),18,2002,L
292,247.,Andre Thornton (32),18,1982,R
293,247.,Joey Votto (28),18,2012,L
294,247.,Billy Williams+ (33),18,1971,L
295,296.,Hank Aaron+ (25),17,1959,R
296,296.,Sal Bando (28),17,1972,R
297,296.,Lance Berkman (35),17,2011,B
298,296.,Miguel Cabrera (29),17,2012,R
299,296.,Johnny Callison (28),17,1967,L
300,296.,Roy Campanella+ (27),17,1949,R
301,296.,Matt Carpenter (32),17,2018,L
302,296.,Roberto Clemente+ (32),17,1967,R
303,296.,Glenn Davis (28),17,1989,R
304,296.,Glenn Davis (29),17,1990,R
305,296.,Dan Driessen (28),17,1980,L
306,296.,Prince Fielder (26),17,2010,L
307,296.,Ralph Garr (29),17,1975,L
308,296.,Luis Gonzalez (35),17,2003,L
309,296.,Ken Griffey Jr.+ (29),17,1999,L
310,296.,Ken Griffey Jr.+ (30),17,2000,L
311,296.,Travis Hafner (30),17,2007,L
312,296.,Jim Hegan (27),17,1948,R
313,296.,Ryan Howard (28),17,2008,L
314,296.,Glenn Hubbard (29),17,1987,R
315,296.,Aubrey Huff (26),17,2003,L
316,296.,Paul Konerko (35),17,2011,R
317,296.,Al Lopez+ (34),17,1943,R
318,296.,Greg Luzinski (24),17,1975,R
319,296.,Eddie Mathews+ (24),17,1956,L
320,296.,John Mayberry (24),17,1973,L
321,296.,Willie McCovey+ (29),17,1967,L
322,296.,Eddie Murray+ (35),17,1991,B
323,296.,Stan Musial+ (40),17,1961,L
324,296.,Pete O'Brien (31),17,1989,L
325,296.,Ron Oester (29),17,1985,B
326,296.,Al Oliver (36),17,1983,L
327,296.,Luis Olmo (25),17,1945,R
328,296.,Rey Ordóñez (30),17,2001,R
329,296.,Rafael Palmeiro (35),17,2000,L
330,296.,Mike Schmidt+ (32),17,1982,R
331,296.,Mike Schmidt+ (33),17,1983,R
332,296.,Ted Simmons+ (28),17,1978,B
333,296.,Mo Vaughn (27),17,1995,L
334,296.,Mo Vaughn (29),17,1997,L
335,296.,Bernie Williams (30),17,1999,B
336,296.,Ted Williams+ (35),17,1954,L
337,296.,Ted Williams+ (36),17,1955,L
