,Rank,Player (age that year),Total Zone Runs,Year,Throws
77,75.,Curt Flood (20),25,1958,R
78,75.,Cesar Geronimo (27),25,1975,L
79,75.,Alex Gordon (30),25,2014,R
80,75.,Ron Hansen (25),25,1963,R
81,75.,Adam Jones (22),25,2008,R
82,75.,Andruw Jones (23),25,2000,R
83,75.,Brian Jordan (31),25,1998,R
84,75.,Mark Kotsay (22),25,1998,L
85,75.,Jim Landis (25),25,1959,R
86,75.,Bill North (25),25,1973,R
87,75.,Dave Parker (26),25,1977,R
88,75.,Jim Piersall (25),25,1955,R
89,75.,Scott Podsednik (28),25,2004,L
90,75.,Ivan Rodriguez+ (24),25,1996,R
91,75.,Willie Wilson (23),25,1979,R
92,75.,Carl Yastrzemski+ (28),25,1968,R
93,94.,Mark Belanger (32),24,1976,R
94,94.,Mark Belanger (33),24,1977,R
95,94.,Adrian Beltre (37),24,2016,R
96,94.,Barry Bonds (22),24,1987,L
97,94.,Eric Byrnes (31),24,2007,R
98,94.,Mike Cameron (26),24,1999,R
99,94.,Roberto Clemente+ (22),24,1957,R
100,94.,Roberto Clemente+ (33),24,1968,R
101,94.,Josh Donaldson (28),24,2014,R
102,94.,Dwight Evans (23),24,1975,R
103,94.,Rickey Henderson+ (30),24,1989,L
104,94.,Jason Heyward (26),24,2016,L
105,94.,Ender Inciarte (25),24,2016,L
106,94.,Darren Lewis (31),24,1999,R
107,94.,Francisco Lindor (22),24,2016,R
108,94.,Terry Pendleton (24),24,1985,R
109,94.,Tim Wallach (27),24,1985,R
110,94.,Willie Wilson (24),24,1980,R
111,112.,Hank Aaron+ (27),23,1961,R
112,112.,Gene Alley (24),23,1965,R
113,112.,Ernie Banks+ (28),23,1959,R
114,112.,Jesse Barfield (25),23,1985,R
115,112.,Jackie Bradley Jr. (28),23,2018,R
116,112.,Jay Bruce (26),23,2013,L
117,112.,Ken Caminiti (26),23,1989,R
118,112.,Craig Counsell (32),23,2003,R
119,112.,Julio Cruz (29),23,1984,R
120,112.,Jim Edmonds (35),23,2005,L
121,112.,Jacoby Ellsbury (24),23,2008,L
122,112.,Yunel Escobar (26),23,2009,R
123,112.,Dwight Evans (22),23,1974,R
124,112.,Bernard Gilkey (29),23,1996,R
125,112.,Jim Gilliam (27),23,1956,R
126,112.,Jason Heyward (22),23,2012,L
127,112.,Hal Lanier (24),23,1967,R
128,112.,DJ LeMahieu (29),23,2018,R
129,112.,Bill Mazeroski+ (21),23,1958,R
130,112.,Bill Mazeroski+ (26),23,1963,R
131,112.,Placido Polanco (25),23,2001,R
132,112.,Cal Ripken Jr.+ (23),23,1984,R
133,112.,Cal Ripken Jr.+ (30),23,1991,R
134,112.,Brooks Robinson+ (32),23,1969,R
135,112.,Chris Singleton (26),23,1999,L
136,112.,Lonnie Smith (33),23,1989,R
137,112.,Sammy Sosa (26),23,1995,R
138,112.,Ichiro Suzuki (29),23,2003,R
139,112.,John Valentin (28),23,1995,R
140,112.,Rondell White (25),23,1997,R
141,112.,Willie Wilson (26),23,1982,R
142,112.,Carl Yastrzemski+ (27),23,1967,R
143,144.,Bobby Abreu (29),22,2003,R
144,144.,Nick Ahmed (28),22,2018,R
145,144.,Tony Armas (26),22,1980,R
146,144.,Juan Beniquez (26),22,1976,R
147,144.,Mookie Betts (24),22,2017,R
148,144.,Paul Blair (23),22,1967,R
149,144.,Miguel Cairo (24),22,1998,R
150,144.,Warren Cromartie (24),22,1978,L
151,144.,Nelson Cruz (28),22,2009,R
152,144.,Bucky Dent (27),22,1979,R
153,144.,Gary Gaetti (25),22,1984,R
154,144.,Cesar Geronimo (26),22,1974,L
155,144.,Marcus Giles (25),22,2003,R
156,144.,Luis Gonzalez (25),22,1993,R
157,144.,Ozzie Guillen (24),22,1988,R
158,144.,Rickey Henderson+ (22),22,1981,L
159,144.,Jason Heyward (27),22,2017,L
160,144.,David Justice (26),22,1992,L
161,144.,Roberto Kelly (25),22,1990,R
162,144.,Nick Markakis (32),22,2016,L
163,144.,Dwayne Murphy (25),22,1980,R
164,144.,Graig Nettles (25),22,1970,R
165,144.,Gary Pettis (28),22,1986,R
166,144.,Cal Ripken Jr.+ (29),22,1990,R
167,144.,Cal Ripken Jr.+ (34),22,1995,R
168,144.,Rey Sanchez (31),22,1999,R
169,144.,Rey Sanchez (32),22,2000,R
170,144.,Juan Uribe (34),22,2013,R
171,144.,John Valentin (26),22,1993,R
172,144.,Vernon Wells (27),22,2006,R
173,144.,Devon White (26),22,1989,R
174,144.,Carl Yastrzemski+ (26),22,1966,R
175,176.,Jesse Barfield (26),21,1986,R
176,176.,Mark Belanger (30),21,1974,R
177,176.,Adrian Beltre (24),21,2003,R
178,176.,Michael Bourn (27),21,2010,R
179,176.,Ed Brinkman (24),21,1966,R
180,176.,Ed Brinkman (27),21,1969,R
181,176.,Tom Brunansky (21),21,1982,R
182,176.,Jody Davis (29),21,1986,R
183,176.,Jacoby Ellsbury (29),21,2013,L
184,176.,Scott Fletcher (34),21,1993,R
185,176.,Nellie Fox+ (31),21,1959,R
186,176.,Rafael Furcal (27),21,2005,R
187,176.,Tony Gonzalez (32),21,1969,R
188,176.,Ozzie Guillen (22),21,1986,R
189,176.,Andruw Jones (29),21,2006,R
190,176.,Brian Jordan (34),21,2001,R
191,176.,Ryan Langerhans (26),21,2006,L
192,176.,Chet Lemon (28),21,1983,R
193,176.,Willie Mays+ (23),21,1954,R
194,176.,Melvin Mora (30),21,2002,R
195,176.,Bill North (27),21,1975,R
196,176.,Tony Oliva (31),21,1970,R
197,176.,Scott Podsednik (27),21,2003,L
198,176.,Cal Ripken Jr.+ (28),21,1989,R
199,176.,Brooks Robinson+ (34),21,1971,R
200,176.,Ivan Rodriguez+ (25),21,1997,R
201,176.,Gary Roenicke (27),21,1982,R
202,176.,Ozzie Smith+ (25),21,1980,R
203,176.,Ozzie Smith+ (27),21,1982,R
204,176.,Reggie Smith (25),21,1970,R
205,176.,Rennie Stennett (24),21,1975,R
206,176.,John Valentin (31),21,1998,R
207,208.,Gene Alley (27),20,1968,R
208,208.,Sandy Alomar (27),20,1971,R
209,208.,Richie Ashburn+ (30),20,1957,R
210,208.,Jesse Barfield (28),20,1988,R
211,208.,Carlos Beltran (22),20,1999,R
212,208.,Bob Boone (34),20,1982,R
213,208.,Mike Bordick (33),20,1999,R
214,208.,Darren Bragg (27),20,1997,R
215,208.,Ed Brinkman (28),20,1970,R
216,208.,Don Buford (28),20,1965,R
217,208.,Jay Buhner (23),20,1988,R
218,208.,Lorenzo Cain (28),20,2014,R
219,208.,Bert Campaneris (31),20,1973,R
220,208.,Chico Carrasquel (28),20,1954,R
221,208.,Lonnie Chisenhall (26),20,2015,R
222,208.,Jeff Cirillo (31),20,2001,R
223,208.,Roberto Clemente+ (36),20,1971,R
224,208.,Brandon Crawford (28),20,2015,R
225,208.,Damion Easley (30),20,2000,R
226,208.,Darrell Evans (27),20,1974,R
227,208.,Chone Figgins (31),20,2009,R
228,208.,Gary Gaetti (31),20,1990,R
229,208.,Greg Gagne (28),20,1990,R
230,208.,Doug Glanville (30),20,2001,R
231,208.,Alex Gordon (33),20,2017,R
232,208.,Franklin Gutierrez (25),20,2008,R
233,208.,Richard Hidalgo (28),20,2003,R
234,208.,Aaron Hill (25),20,2007,R
235,208.,Torii Hunter (25),20,2001,R
236,208.,Brian Jordan (28),20,1995,R
237,208.,Aaron Judge (25),20,2017,R
238,208.,Aaron Judge (27),20,2019,R
239,208.,Al Kaline+ (22),20,1957,R
240,208.,Wayne Kirby (29),20,1993,R
241,208.,Chet Lemon (29),20,1984,R
242,208.,Evan Longoria (23),20,2009,R
243,208.,Garry Maddox (26),20,1976,R
244,208.,Willie Mays+ (31),20,1962,R
245,208.,Roy McMillan (26),20,1956,R
246,208.,Jordy Mercer (27),20,2014,R
247,208.,Lloyd Moseby (24),20,1984,R
248,208.,Graig Nettles (28),20,1973,R
249,208.,Paul O'Neill (28),20,1991,L
250,208.,Jose Oquendo (25),20,1989,R
251,208.,Rey Ordóñez (26),20,1997,R
252,208.,Johnny Ray (26),20,1983,R
253,208.,Pokey Reese (31),20,2004,R
254,208.,Harold Reynolds (29),20,1990,R
255,208.,Ivan Rodriguez+ (27),20,1999,R
256,208.,Pete Rose (32),20,1973,R
257,208.,Pete Rose (33),20,1974,R
258,208.,Mike Schmidt+ (27),20,1977,R
259,208.,Ozzie Smith+ (30),20,1985,R
260,208.,Drew Stubbs (25),20,2010,R
261,208.,Willy Taveras (24),20,2006,R
262,208.,Wayne Terwilliger (28),20,1953,R
263,208.,Tom Tresh (27),20,1966,R
264,208.,Troy Tulowitzki (22),20,2007,R
265,208.,Greg Vaughn (27),20,1993,R
266,208.,Omar Vizquel (40),20,2007,R
267,208.,George Vukovich (28),20,1984,R
268,208.,Willie Wilson (25),20,1981,R
269,270.,Willy Adames (23),19,2019,R
270,270.,Nolan Arenado (28),19,2019,R
271,270.,Richie Ashburn+ (26),19,1953,R
272,270.,Richie Ashburn+ (27),19,1954,R
273,270.,Buddy Bell (32),19,1984,R
274,270.,David Bell (28),19,2001,R
275,270.,Craig Biggio+ (31),19,1997,R
276,270.,Paul Blair (29),19,1973,R
277,270.,Don Blasingame (25),19,1957,R
278,270.,Wade Boggs+ (31),19,1989,R
279,270.,Barry Bonds (26),19,1991,L
280,270.,Scott Brosius (29),19,1996,R
281,270.,Jay Bruce (23),19,2010,L
282,270.,Rick Burleson (28),19,1979,R
283,270.,Jeff Cirillo (27),19,1997,R
284,270.,Brady Clark (32),19,2005,R
285,270.,Rocky Colavito (27),19,1961,R
286,270.,Craig Counsell (34),19,2005,R
287,270.,Bucky Dent (28),19,1980,R
288,270.,Danny Espinosa (25),19,2012,R
289,270.,Dwight Evans (27),19,1979,R
290,270.,Jeff Francoeur (22),19,2006,R
291,270.,Greg Gagne (25),19,1987,R
292,270.,Mike Gallego (32),19,1993,R
293,270.,Ron Gant (28),19,1993,R
294,270.,Brett Gardner (26),19,2010,L
295,270.,Luis Gonzalez (31),19,1999,R
296,270.,Marquis Grissom (27),19,1994,R
297,270.,Tony Gwynn+ (32),19,1992,L
298,270.,J.J. Hardy (29),19,2012,R
299,270.,Charles Johnson (25),19,1997,R
300,270.,Andruw Jones (25),19,2002,R
301,270.,Andruw Jones (26),19,2003,R
302,270.,Andruw Jones (28),19,2005,R
303,270.,Al Kaline+ (19),19,1954,R
304,270.,Kevin Kiermaier (25),19,2015,R
305,270.,Jerry Kindall (27),19,1962,R
306,270.,Kenny Lofton (31),19,1998,L
307,270.,Garry Maddox (28),19,1978,R
308,270.,Roger Maris (25),19,1960,R
309,270.,Nick Markakis (22),19,2006,L
310,270.,Mike Matheny (29),19,2000,R
311,270.,Kazuo Matsui (31),19,2007,R
312,270.,Mark McLemore (31),19,1996,R
313,270.,Roy McMillan (25),19,1955,R
314,270.,Kevin McReynolds (24),19,1984,R
315,270.,Jason Michaels (29),19,2005,R
316,270.,Nyjer Morgan (28),19,2009,L
317,270.,Angel Pagan (28),19,2010,R
318,270.,Tom Pagnozzi (28),19,1991,R
319,270.,Terry Pendleton (25),19,1986,R
320,270.,Terry Pendleton (28),19,1989,R
321,270.,Juan Pierre (28),19,2006,L
322,270.,AJ Pollock (27),19,2015,R
323,270.,Willie Randolph (21),19,1976,R
324,270.,Ben Revere (24),19,2012,R
325,270.,Brooks Robinson+ (38),19,1975,R
326,270.,Jackie Robinson+ (37),19,1956,R
327,270.,Ivan Rodriguez+ (26),19,1998,R
328,270.,Brendan Ryan (27),19,2009,R
329,270.,Chris Sabo (26),19,1988,R
330,270.,George Springer (29),19,2019,R
331,270.,Willy Taveras (27),19,2009,R
332,270.,Dickie Thon (25),19,1983,R
333,270.,Justin Turner (31),19,2016,R
334,270.,Mike Tyson (27),19,1977,R
335,270.,Randy Winn (35),19,2009,R
336,270.,Carl Yastrzemski+ (22),19,1962,R
337,270.,Robin Yount+ (25),19,1981,R
338,339.,Tommie Agee (23),18,1966,R
339,339.,Tommie Agee (24),18,1967,R
340,339.,Edgardo Alfonzo (23),18,1997,R
341,339.,Luis Aparicio+ (24),18,1958,R
342,339.,Orlando Arcia (22),18,2017,R
343,339.,Mookie Betts (25),18,2018,R
344,339.,Paul Blair (28),18,1972,R
345,339.,Mike Bordick (36),18,2002,R
346,339.,Johnny Callison (24),18,1963,R
347,339.,Mike Cameron (24),18,1997,R
348,339.,Rod Carew+ (36),18,1982,R
349,339.,Chico Carrasquel (27),18,1953,R
350,339.,Matt Chapman (25),18,2018,R
351,339.,Jeff Cirillo (28),18,1998,R
352,339.,Royce Clayton (24),18,1994,R
353,339.,Roberto Clemente+ (31),18,1966,R
354,339.,Rocky Colavito (28),18,1962,R
355,339.,Carl Crawford (23),18,2005,L
356,339.,Coco Crisp (25),18,2005,R
357,339.,Warren Cromartie (25),18,1979,L
358,339.,Jose Cruz (30),18,2004,R
359,339.,Andre Dawson+ (26),18,1981,R
360,339.,Andre Dawson+ (27),18,1982,R
361,339.,Doug DeCinces (29),18,1980,R
362,339.,David DeJesus (29),18,2009,L
363,339.,Frank Duffy (28),18,1975,R
364,339.,Jim Edmonds (33),18,2003,L
365,339.,Darrell Evans (26),18,1973,R
366,339.,Pedro Feliz (34),18,2009,R
367,339.,Cliff Floyd (32),18,2005,R
368,339.,Brian Giles (27),18,1998,L
369,339.,Ryan Hanigan (31),18,2012,R
370,339.,Ron Hansen (23),18,1961,R
371,339.,Chase Headley (30),18,2014,R
372,339.,Todd Helton (26),18,2000,L
373,339.,Dave Henderson (30),18,1989,R
374,339.,Rickey Henderson+ (21),18,1980,L
375,339.,Odubel Herrera (24),18,2016,R
376,339.,Matt Holliday (27),18,2007,R
377,339.,Billy Hunter (25),18,1953,R
378,339.,Randy Jackson (30),18,1956,R
379,339.,Lance Johnson (27),18,1991,L
380,339.,Lance Johnson (29),18,1993,L
381,339.,Chet Lemon (22),18,1977,R
382,339.,Kenny Lofton (25),18,1992,L
383,339.,Kenny Lofton (26),18,1993,L
384,339.,Kenny Lofton (30),18,1997,L
385,339.,Evan Longoria (29),18,2015,R
386,339.,Carmelo Martinez (23),18,1984,R
387,339.,Dave Martinez (31),18,1996,L
388,339.,Leonys Martín (25),18,2013,R
389,339.,Willie Mays+ (35),18,1966,R
390,339.,Bill Mazeroski+ (28),18,1965,R
391,339.,Bake McBride (30),18,1979,R
392,339.,John McDonald (32),18,2007,R
393,339.,Roy McMillan (31),18,1961,R
394,339.,Kevin Mench (26),18,2004,R
395,339.,Jim Northrup (28),18,1968,R
396,339.,Gerardo Parra (23),18,2010,L
397,339.,Freddie Patek (27),18,1972,R
398,339.,Vada Pinson (22),18,1961,L
399,339.,Vic Power (32),18,1960,R
400,339.,Terry Puhl (23),18,1980,R
401,339.,Willie Randolph (24),18,1979,R
402,339.,Colby Rasmus (22),18,2009,L
403,339.,Brooks Robinson+ (25),18,1962,R
404,339.,Brooks Robinson+ (35),18,1972,R
405,339.,Brooks Robinson+ (36),18,1973,R
406,339.,Frank Robinson+ (21),18,1957,R
407,339.,Cody Ross (32),18,2013,L
408,339.,Freddy Sanchez (27),18,2005,R
409,339.,Ron Santo+ (27),18,1967,R
410,339.,Mike Schmidt+ (24),18,1974,R
411,339.,Mallex Smith (26),18,2019,R
412,339.,Ozzie Smith+ (33),18,1988,R
413,339.,Sammy Sosa (24),18,1993,R
414,339.,Giancarlo Stanton (21),18,2011,R
415,339.,Darryl Strawberry (28),18,1990,L
416,339.,Troy Tulowitzki (28),18,2013,R
417,339.,Melvin Upton Jr. (25),18,2010,R
418,339.,Justin Upton (22),18,2010,R
419,339.,Ellis Valentine (23),18,1978,R
420,339.,Robin Ventura (25),18,1993,R
421,339.,Shane Victorino (32),18,2013,R
422,339.,Pete Ward (26),18,1964,R
423,339.,Mitch Webster (31),18,1990,L
424,339.,Devon White (28),18,1991,R
425,339.,Devon White (30),18,1993,R
426,339.,Frank White (33),18,1984,R
427,339.,Glenn Wilson (30),18,1989,R
428,429.,Bob Allison (28),17,1963,R
429,429.,Garret Anderson (25),17,1997,L
430,429.,Rick Ankiel (31),17,2011,L
431,429.,Mike Benjamin (32),17,1998,R
432,429.,Mookie Betts (23),17,2016,R
433,429.,Casey Blake (35),17,2009,R
434,429.,Bob Boone (38),17,1986,R
435,429.,Ken Boyer (25),17,1956,R
436,429.,Marv Breeding (26),17,1960,R
437,429.,Keon Broxton (29),17,2019,R
438,429.,Mike Cameron (30),17,2003,R
439,429.,Bert Campaneris (35),17,1977,R
440,429.,Leo Cardenas (30),17,1969,R
441,429.,Brett Carroll (26),17,2009,R
442,429.,Luis Castillo (28),17,2004,R
443,429.,Vinny Castilla (36),17,2004,R
