,Rank,Player (age that year),Adjusted ERA+,Year,Throws
62,62.,Lefty Gomez+ (28),193,1937,L
63,62.,Carl Hubbell+ (30),193,1933,L
64,62.,Randy Johnson+ (31),193,1995,L
65,62.,Monty Stratton (25),193,1937,R
66,67.,Mort Cooper (29),192,1942,R
67,67.,Clark Griffith+ (28),192,1898,R
68,69.,Guy Hecker (26),191,1882,R
69,69.,Walter Johnson+ (27),191,1915,R
70,71.,Sandy Koufax+ (30),190,1966,L
71,71.,Hal Newhouser+ (25),190,1946,L
72,71.,Dazzy Vance+ (37),190,1928,R
73,74.,Vean Gregg (26),189,1911,L
74,74.,Lefty Grove+ (36),189,1936,L
75,74.,Greg Maddux+ (31),189,1997,R
76,74.,Billy Rhines (27),189,1896,R
77,74.,Dazzy Vance+ (39),189,1930,R
78,74.,Wilbur Wood (29),189,1971,L
79,80.,Randy Johnson+ (37),188,2001,L
80,80.,Amos Rusie+ (23),188,1894,R
81,80.,Warren Spahn+ (32),188,1953,L
82,80.,Smoky Joe Wood (25),188,1915,R
83,84.,Clay Buchholz (25),187,2010,R
84,84.,Greg Maddux+ (32),187,1998,R
85,84.,Ed Walsh+ (29),187,1910,R
86,87.,Eddie Cicotte (29),186,1913,R
87,87.,Sandy Koufax+ (28),186,1964,L
88,87.,Billy Rhines (21),186,1890,R
89,87.,Jack Stivetts (21),186,1889,R
90,87.,Luis Tiant (27),186,1968,R
91,92.,Hank Aguirre (31),185,1962,L
92,92.,Gerrit Cole (28),185,2019,R
93,92.,Lefty Grove+ (30),185,1930,L
94,92.,Lefty Grove+ (39),185,1939,L
95,92.,John Tudor (31),185,1985,L
96,97.,Joe Horlen (26),184,1964,R
97,97.,Randy Johnson+ (35),184,1999,L
98,99.,Vida Blue (21),183,1971,L
99,99.,Walter Johnson+ (22),183,1910,R
100,99.,Fred Toney (26),183,1915,R
101,102.,Harry Brecheen (33),182,1948,L
102,102.,Steve Carlton+ (27),182,1972,L
103,102.,Chris Carpenter (34),182,2009,R
104,102.,Jack Coombs (27),182,1910,R
105,102.,Johan Santana (25),182,2004,L
106,107.,Chris Bassitt (31),181,2020,R
107,107.,Randy Johnson+ (36),181,2000,L
108,107.,Rube Waddell+ (28),181,1905,L
109,110.,Russ Ford (31),180,1914,R
110,110.,Josh Johnson (26),180,2010,R
111,110.,Bret Saberhagen (25),180,1989,R
112,110.,Jason Schmidt (30),180,2003,R
113,114.,Kevin Appier (25),179,1993,R
114,114.,Marvin Freeman (31),179,1994,R
115,114.,Clayton Kershaw (29),179,2017,L
116,114.,Phil Niekro+ (28),179,1967,R
117,114.,Orval Overall (28),179,1909,R
118,114.,Mark Prior (22),179,2003,R
119,114.,Hyun Jin Ryu (32),179,2019,L
120,114.,Justin Verlander (36),179,2019,R
121,122.,Johnny Antonelli (24),178,1954,L
122,122.,Henry Boyle (25),178,1886,R
123,122.,Mordecai Brown+ (30),178,1907,R
124,122.,Jacob deGrom (32),178,2020,R
125,122.,Max Lanier (27),178,1943,L
126,122.,Max Scherzer (32),178,2017,R
127,122.,Stephen Strasburg (28),178,2017,R
128,122.,Rube Waddell+ (25),178,1902,L
129,130.,Fred Anderson (31),177,1917,R
130,130.,Whitey Ford+ (29),177,1958,L
131,130.,Derek Lowe (29),177,2002,R
132,130.,Andy Pettitte (33),177,2005,L
133,130.,Smoky Joe Wood (22),177,1912,R
134,135.,Johnny Allen (32),176,1937,R
135,135.,Eddie Cicotte (35),176,1919,R
136,135.,Roger Clemens (31),176,1994,R
137,135.,Jose Fernandez (20),176,2013,R
138,135.,Lefty Gomez+ (25),176,1934,L
139,135.,Randy Johnson+ (40),176,2004,L
140,135.,Harry McCormick (26),176,1882,R
141,135.,Cy Young+ (25),176,1892,R
142,143.,Al Benton (34),175,1945,R
143,143.,Lefty Grove+ (35),175,1935,L
144,143.,Tom Seaver+ (28),175,1973,R
145,146.,Henry Boyle (23),174,1884,R
146,146.,Eddie Cicotte (33),174,1917,R
147,146.,Roger Clemens (29),174,1992,R
148,146.,Roger Clemens (35),174,1998,R
149,146.,Felix Hernandez (24),174,2010,R
150,146.,Tim Keefe+ (28),174,1885,R
151,146.,Harry Krause (20),174,1909,L
152,146.,Thornton Lee (34),174,1941,L
153,146.,Kid Nichols+ (28),174,1898,R
154,146.,Jack Pfiester (28),174,1906,L
155,146.,Dave Righetti (22),174,1981,L
156,146.,Dazzy Vance+ (33),174,1924,R
157,158.,Mel Harder (24),173,1934,R
158,158.,Claude Hendrix (25),173,1914,R
159,158.,Walter Johnson+ (23),173,1911,R
160,158.,Clayton Kershaw (27),173,2015,L
161,158.,Ted Lyons+ (38),173,1939,R
162,158.,Aaron Nola (25),173,2018,R
163,158.,Chris Sale (25),173,2014,L
164,158.,Mike Soroka (21),173,2019,R
165,158.,Charlie Sweeney (21),173,1884,R
166,158.,Jeff Tesreau (24),173,1912,R
167,158.,Will White (27),173,1882,R
168,158.,Hoyt Wilhelm+ (36),173,1959,R
169,170.,Pete Alexander+ (29),172,1916,R
170,170.,Al Maul (32),172,1898,R
171,170.,Justin Verlander (28),172,2011,R
172,173.,David Cone (31),171,1994,R
173,173.,Jeff D'Amico (24),171,2000,R
174,173.,Juan Guzman (29),171,1996,R
175,173.,Guy Hecker (28),171,1884,R
176,173.,Felix Hernandez (23),171,2009,R
177,173.,Orel Hershiser (26),171,1985,R
178,173.,Jon Lester (32),171,2016,L
179,173.,Tim Lincecum (25),171,2009,R
180,173.,Ted Lyons+ (41),171,1942,R
181,173.,Rube Marquard+ (29),171,1916,L
182,173.,Wilcy Moore (30),171,1927,R
183,173.,Jake Peavy (23),171,2004,R
184,173.,Dave Stieb (27),171,1985,R
185,186.,George Bradley (23),170,1876,R
186,186.,Red Faber+ (32),170,1921,R
187,186.,Whitey Ford+ (35),170,1964,L
188,186.,Mike Garcia (25),170,1949,R
189,186.,Felix Hernandez (28),170,2014,R
190,186.,Al Leiter (32),170,1998,L
191,186.,Greg Maddux+ (27),170,1993,R
192,186.,Jim McCormick (26),170,1883,R
193,186.,Joe McGinnity+ (33),170,1904,R
194,186.,Kid Nichols+ (20),170,1890,R
195,186.,Ernie Shore (24),170,1915,R
196,186.,Warren Spahn+ (26),170,1947,L
197,186.,Bucky Walters (30),170,1939,R
198,199.,Kevin Brown (38),169,2003,R
199,199.,John Candelaria (23),169,1977,L
200,199.,Roger Clemens (23),169,1986,R
201,199.,Danny Darwin (34),169,1990,R
202,199.,Jacob deGrom (31),169,2019,R
203,199.,Noodles Hahn (23),169,1902,L
204,199.,Carl Hubbell+ (33),169,1936,L
205,199.,Juan Marichal+ (27),169,1965,R
206,199.,Christy Mathewson+ (27),169,1908,R
207,199.,Jim Palmer+ (29),169,1975,R
208,199.,Luis Tiant (31),169,1972,R
209,199.,Ed Walsh+ (28),169,1909,R
210,211.,Gene Bearden (27),168,1948,L
211,211.,Ewell Blackwell (24),168,1947,R
212,211.,Jim Devlin (27),168,1876,R
213,211.,Tom Glavine+ (32),168,1998,L
214,211.,Carl Hubbell+ (31),168,1934,L
215,211.,Ray Kremer (32),168,1927,R
216,211.,Tim Lincecum (24),168,2008,R
217,211.,Juan Marichal+ (31),168,1969,R
218,211.,Bobo Newsom (32),168,1940,R
219,211.,Kid Nichols+ (27),168,1897,R
220,211.,Gaylord Perry+ (33),168,1972,R
221,211.,Max Scherzer (33),168,2018,R
222,223.,Kevin Brown (35),167,2000,R
223,223.,Dick Ellsworth (23),167,1963,L
224,223.,Zac Gallen (24),167,2020,R
225,223.,Roy Halladay+ (33),167,2010,R
226,223.,Cliff Lee (29),167,2008,L
227,223.,Juan Marichal+ (28),167,1966,R
228,223.,Christy Mathewson+ (30),167,1911,R
229,223.,Kevin Millwood (24),167,1999,R
230,223.,Steve Ontiveros (33),167,1994,R
231,223.,Dizzy Trout (29),167,1944,R
232,223.,Rube Waddell+ (27),167,1904,L
233,223.,Doc White (27),167,1906,L
234,235.,Pete Alexander+ (32),166,1919,R
235,235.,Pete Alexander+ (33),166,1920,R
236,235.,Allan Anderson (24),166,1988,L
237,235.,Buzz Capra (26),166,1974,R
238,235.,Kyle Freeland (25),166,2018,L
239,235.,Greg Maddux+ (26),166,1992,R
240,235.,Johan Santana (29),166,2008,L
241,235.,Herb Score (23),166,1956,L
242,235.,Cy Young+ (35),166,1902,R
243,244.,Roger Clemens (28),165,1991,R
244,244.,Lefty Grove+ (26),165,1926,L
245,244.,Tim Hudson (27),165,2003,R
246,244.,Jon Matlack (28),165,1978,L
247,244.,Sam McDowell (25),165,1968,L
248,244.,Earl Moore (25),165,1903,R
249,244.,Howie Pollet (25),165,1946,L
250,244.,Tom Seaver+ (24),165,1969,R
251,244.,Tim Wakefield (28),165,1995,R
252,244.,Lon Warneke (24),165,1933,R
253,244.,Brandon Webb (24),165,2003,R
254,244.,Vic Willis+ (23),165,1899,R
255,256.,Kevin Appier (24),164,1992,R
256,256.,Kevin Brown (33),164,1998,R
257,256.,Steve Carlton+ (24),164,1969,L
258,256.,Spud Chandler (38),164,1946,R
259,256.,Stan Coveleski+ (28),164,1918,R
260,256.,Bob Gibson+ (33),164,1969,R
261,256.,Walter Johnson+ (26),164,1914,R
262,256.,Jimmy Key (26),164,1987,L
263,256.,Mike Mussina+ (25),164,1994,R
264,256.,David Price (29),164,2015,L
265,256.,Hyun Jin Ryu (33),164,2020,L
266,256.,Scott Stratton (20),164,1890,R
267,256.,Justin Verlander (35),164,2018,R
268,256.,Ed Walsh+ (27),164,1908,R
269,256.,Mickey Welch+ (25),164,1885,R
270,271.,John Clarkson+ (23),163,1885,R
271,271.,Johnny Cueto (28),163,2014,R
272,271.,Dick Donovan (33),163,1961,R
273,271.,Bob Feller+ (21),163,1940,R
274,271.,Roy Halladay+ (34),163,2011,R
275,271.,Vern Law (35),163,1965,R
276,271.,Pedro Martinez+ (26),163,1998,R
277,271.,Tony Mullane (31),163,1890,R
278,271.,Robbie Ray (25),163,2017,L
279,271.,Amos Rusie+ (26),163,1897,R
280,271.,Bill Walker (27),163,1931,L
281,282.,Steve Carlton+ (35),162,1980,L
282,282.,Bill Doak (23),162,1914,R
283,282.,Dave Foutz (29),162,1886,R
284,282.,Sonny Gray (29),162,2019,R
285,282.,Bill Hands (29),162,1969,R
286,282.,Teddy Higuera (30),162,1988,L
287,282.,Addie Joss+ (24),162,1904,R
288,282.,Silver King (22),162,1890,R
289,282.,Greg Maddux+ (30),162,1996,R
290,282.,Hal Newhouser+ (21),162,1942,L
291,282.,Gary Nolan (24),162,1972,R
292,282.,Jose Rijo (28),162,1993,R
293,282.,Anibal Sanchez (29),162,2013,R
294,282.,Johan Santana (27),162,2006,L
295,282.,Ben Sheets (25),162,2004,R
296,282.,Don Sutton+ (27),162,1972,R
297,282.,Tim Wakefield (35),162,2002,R
298,282.,Smoky Joe Wood (21),162,1911,R
299,300.,Charlie Ferguson (23),161,1886,R
300,300.,Ubaldo Jimenez (26),161,2010,R
301,300.,Tommy John (25),161,1968,L
302,300.,Clayton Kershaw (23),161,2011,L
303,300.,Kenta Maeda (32),161,2020,R
304,300.,Joe Magrane (23),161,1988,L
305,300.,Christy Mathewson+ (31),161,1912,R
306,300.,Sam McDowell (22),161,1965,L
307,300.,Barney Pelty (25),161,1906,R
308,300.,Allie Reynolds (35),161,1952,R
309,300.,Elmer Riddle (26),161,1941,R
310,300.,Mike Scott (31),161,1986,R
311,300.,Don Sutton+ (35),161,1980,R
312,300.,Bill Swift (30),161,1992,R
313,300.,Justin Verlander (29),161,2012,R
314,300.,Stump Weidman (20),161,1881,R
315,316.,Pete Alexander+ (40),160,1927,R
316,316.,Johnny Beazley (24),160,1942,R
317,316.,Bill Bernhard (31),160,1902,R
318,316.,Mordecai Brown+ (31),160,1908,R
319,316.,Mike Caldwell (29),160,1978,L
320,316.,Bob Caruthers (21),160,1885,R
321,316.,Curt Davis (30),160,1934,R
322,316.,Russ Ford (27),160,1910,R
323,316.,Lefty Grove+ (32),160,1932,L
324,316.,Lefty Grove+ (38),160,1938,L
325,316.,Corey Kluber (28),160,2014,R
326,316.,Jerry Koosman (26),160,1969,L
327,316.,Dave Koslo (29),160,1949,L
328,316.,Sandy Koufax+ (29),160,1965,L
329,316.,Cliff Lee (32),160,2011,L
330,316.,Daisuke Matsuzaka (27),160,2008,R
331,316.,Rudy May (35),160,1980,L
332,316.,Willie Mitchell (23),160,1913,L
333,316.,Tony Mullane (24),160,1883,R
334,316.,Kid Nichols+ (26),160,1896,R
335,316.,Gary Peters (29),160,1966,L
336,316.,Hippo Vaughn (31),160,1919,L
337,316.,Adam Wainwright (28),160,2010,R
338,316.,Lon Warneke (23),160,1932,R
339,316.,Carlos Zambrano (23),160,2004,R
340,341.,Cy Blanton (26),159,1935,R
341,341.,George Bradley (27),159,1880,R
342,341.,Garland Braxton (28),159,1928,L
343,341.,Tom Candiotti (33),159,1991,R
344,341.,Ray Collins (23),159,1910,L
345,341.,David Cone (34),159,1997,R
346,341.,Dizzy Dean+ (24),159,1934,R
347,341.,Mark Fidrych (21),159,1976,R
348,341.,Jocko Flynn (22),159,1886,R
349,341.,Ned Garvin (30),159,1904,R
350,341.,Lefty Grove+ (37),159,1937,L
351,341.,Roy Halladay+ (32),159,2009,R
352,341.,Atlee Hammaker (25),159,1983,L
353,341.,Jair Jurrjens (23),159,2009,R
354,341.,Sandy Koufax+ (27),159,1963,L
355,341.,Esteban Loaiza (31),159,2003,R
356,341.,Greg Maddux+ (36),159,2002,R
357,341.,Hal Newhouser+ (23),159,1944,L
358,341.,Phil Niekro+ (35),159,1974,R
359,341.,Ed Reulbach (23),159,1906,R
360,341.,Rick Reuschel (36),159,1985,R
361,341.,Curt Schilling (36),159,2003,R
362,341.,Bobby Shantz (26),159,1952,L
363,341.,Hippo Vaughn (30),159,1918,L
364,341.,Frank Viola (27),159,1987,L
365,341.,Whit Wyatt (33),159,1941,R
366,367.,Dick Bosman (25),158,1969,R
367,367.,Bob Bowman (28),158,1939,R
368,367.,Howie Camnitz (27),158,1909,R
369,367.,King Cole (24),158,1910,R
370,367.,Cy Falkenberg (34),158,1914,R
371,367.,Chuck Finley (27),158,1990,L
372,367.,Russ Ford (28),158,1911,R
373,367.,Rube Foster (26),158,1914,R
374,367.,Ned Garvin (28),158,1902,R
375,367.,Jon Lester (30),158,2014,L
376,367.,Christy Mathewson+ (29),158,1910,R
377,367.,Mel Parnell (27),158,1949,L
378,367.,Jake Peavy (26),158,2007,R
379,367.,Rick Reuschel (28),158,1977,R
380,367.,Babe Ruth+ (21),158,1916,L
381,367.,Chris Short (26),158,1964,L
382,367.,Bob Tewksbury (31),158,1992,R
383,367.,Brandon Webb (28),158,2007,R
384,367.,Ernie White (24),158,1941,L
385,367.,Barry Zito (24),158,2002,L
386,387.,Sheriff Blake (28),157,1928,R
387,387.,Carlos Carrasco (33),157,2020,R
388,387.,Zach Davies (27),157,2020,R
389,387.,Whitey Ford+ (27),157,1956,L
390,387.,Roy Halladay+ (25),157,2002,R
391,387.,Matt Harvey (24),157,2013,R
392,387.,Dallas Keuchel (27),157,2015,L
393,387.,Sam Leever (31),157,1903,R
394,387.,George McQuillan (23),157,1908,R
395,387.,Mike Mussina+ (23),157,1992,R
396,387.,Dave Roberts (26),157,1971,L
397,387.,Johnny Sain (28),157,1946,R
398,387.,Chris Sale (28),157,2017,L
399,387.,Curt Schilling (34),157,2001,R
400,387.,Sammy Stewart (26),157,1981,R
401,387.,Dizzy Trout (31),157,1946,R
402,403.,Bert Blyleven+ (22),156,1973,R
403,403.,Eddie Cicotte (32),156,1916,R
404,403.,Stan Coveleski+ (27),156,1917,R
405,403.,Pat Hentgen (27),156,1996,R
406,403.,Teddy Higuera (28),156,1986,L
407,403.,Randy Jones (25),156,1975,L
408,403.,Tim Keefe+ (31),156,1888,R
409,403.,Darryl Kile (28),156,1997,R
410,403.,Dutch Leonard (39),156,1948,R
411,403.,Dolf Luque (34),156,1925,R
412,403.,Andy Pettitte (25),156,1997,L
413,403.,CC Sabathia (27),156,2008,L
414,403.,Ben Sanders (23),156,1888,R
415,403.,Bob Shawkey (29),156,1920,R
416,403.,Jered Weaver (28),156,2011,R
417,403.,Zack Wheeler (30),156,2020,R
418,403.,Will White (28),156,1883,R
419,420.,Mike Cuellar (29),155,1966,L
420,420.,Jesse Duryea (29),155,1889,R
421,420.,Doug Fister (30),155,2014,R
422,420.,Pud Galvin+ (27),155,1884,R
423,420.,Dave Goltz (29),155,1978,R
424,420.,Zack Greinke (35),155,2019,R
425,420.,Lefty Grove+ (28),155,1928,L
426,420.,Mike Hampton (26),155,1999,L
427,420.,Kyle Hendricks (30),155,2020,R
428,420.,Stu Miller (30),155,1958,R
429,420.,Jim Palmer+ (27),155,1973,R
430,420.,Johnny Podres (24),155,1957,L
431,420.,Johan Santana (26),155,2005,L
432,420.,Noah Syndergaard (23),155,2016,R
433,420.,Adam Wainwright (27),155,2009,R
434,435.,Pete Alexander+ (30),154,1917,R
435,435.,Lady Baldwin (26),154,1885,L
436,435.,Bill Bevens (29),154,1946,R
437,435.,Ralph Branca (21),154,1947,R
438,435.,Charlie Buffinton (27),154,1888,R
439,435.,Roger Clemens (24),154,1987,R
440,435.,Stan Coveleski+ (30),154,1920,R
441,435.,Ryan Dempster (31),154,2008,R
442,435.,Bob Feller+ (20),154,1939,R
443,435.,Jack Flaherty (23),154,2019,R
444,435.,Burleigh Grimes+ (35),154,1929,R
445,435.,Juan Guzman (25),154,1992,R
446,435.,Denny McLain (24),154,1968,R
447,435.,Dutch Ruether (25),154,1919,L
448,435.,Reb Russell (24),154,1913,L
449,435.,Ray Scarborough (30),154,1948,R
450,435.,Max Scherzer (34),154,2019,R
451,435.,Jim Scott (25),154,1913,R
452,435.,Frank Tanana (23),154,1977,L
453,435.,Fred Toney (30),154,1919,R
454,435.,Frank Viola (28),154,1988,L
455,435.,Bucky Walters (31),154,1940,R
456,435.,Vic Willis+ (25),154,1901,R
457,435.,Early Wynn+ (36),154,1956,R
458,435.,Cy Young+ (32),154,1899,R
459,460.,Babe Adams (37),153,1919,R
460,460.,Al Benton (30),153,1941,R
461,460.,Mordecai Brown+ (33),153,1910,R
462,460.,Steve Carlton+ (32),153,1977,L
463,460.,Phil Douglas (32),153,1922,R
464,460.,Don Drysdale+ (20),153,1957,R
465,460.,Red Ehret (21),153,1890,R
466,460.,Tom Glavine+ (25),153,1991,L
467,460.,Addie Joss+ (26),153,1906,R
468,460.,Charlie Leibrandt (28),153,1985,L
469,460.,Greg Maddux+ (34),153,2000,R
470,460.,Dennis Martinez (37),153,1991,R
471,460.,Christy Mathewson+ (32),153,1913,R
472,460.,Doc McJames (23),153,1898,R
473,460.,Cy Morgan (31),153,1910,R
474,460.,Eddie Plank+ (39),153,1915,L
475,460.,Ray Prim (38),153,1945,L
476,460.,Jose Rijo (26),153,1991,R
477,460.,Robin Roberts+ (26),153,1953,R
478,460.,Bret Saberhagen (30),153,1994,R
479,460.,Antonio Senzatela (25),153,2020,R
480,460.,Rube Waddell+ (23),153,1900,L
481,460.,Adam Wainwright (32),153,2014,R
482,460.,Perry Werden (22),153,1884,R
483,460.,Vic Willis+ (30),153,1906,R
484,485.,Tiny Bonham (28),152,1942,R
485,485.,John Denny (30),152,1983,R
486,485.,Larry Dierker (22),152,1969,R
487,485.,Gio Gonzalez (31),152,2017,L
488,485.,Roy Halladay+ (31),152,2008,R
489,485.,Cole Hamels (30),152,2014,L
490,485.,Mel Harder (23),152,1933,R
491,485.,Tex Hughson (28),152,1944,R
492,485.,Randy Johnson+ (30),152,1994,L
493,485.,Eddie Lopat (35),152,1953,L
494,485.,Ted Lyons+ (34),152,1935,R
495,485.,Sal Maglie (33),152,1950,R
496,485.,Dennis Martinez (41),152,1995,R
497,485.,Jim Palmer+ (23),152,1969,R
498,485.,Preacher Roe (32),152,1948,L
499,485.,Steve Rogers (32),152,1982,R
500,485.,Luis Severino (23),152,2017,R
501,485.,Bill Swift (27),152,1935,R
502,485.,Billy Taylor (29),152,1884,R
503,485.,Justin Thompson (24),152,1997,L
504,485.,Wayne Twitchell (25),152,1973,R
505,485.,Brandon Webb (27),152,2006,R
506,485.,Hoyt Wilhelm+ (29),152,1952,R
507,485.,Dontrelle Willis (23),152,2005,L
508,485.,Smoky Joe Wood (20),152,1910,R
509,485.,Cy Young+ (28),152,1895,R
