,Rank,Player (age that year),Championship WPA (cWPA),Year,Bats
276,277.,Rick Ferrell+ (39),10.54,1945,R
277,277.,Billy Herman+ (26),10.54,1936,R
278,277.,Dixie Walker (36),10.54,1947,L
279,280.,Jeff Heath (23),10.53,1938,L
280,280.,Minnie Minoso (28),10.53,1954,R
281,280.,Johnny Rizzo (25),10.53,1938,R
282,283.,Ted Kluszewski (31),10.48,1956,L
283,284.,Al Kaline+ (26),10.46,1961,R
284,284.,Jerry Lynch (30),10.46,1961,L
285,286.,Bill Terry+ (34),10.45,1933,L
286,287.,Dick Allen (30),10.44,1972,R
287,288.,Charlie Gehringer+ (37),10.42,1940,L
288,289.,Stan Musial+ (36),10.41,1957,L
289,290.,Augie Galan (23),10.38,1935,B
290,290.,Charlie Keller (26),10.38,1943,L
291,292.,Johnny Lindell (32),10.37,1949,R
292,292.,Mickey Mantle+ (19),10.37,1951,B
293,294.,Lonny Frey (28),10.32,1939,L
294,295.,Bobby Bonds (25),10.30,1971,R
295,296.,Duke Snider+ (35),10.28,1962,L
296,297.,Gil Hodges (29),10.26,1953,R
297,298.,Frank Howard (25),10.23,1962,R
298,299.,Larry Doby+ (26),10.22,1950,L
299,300.,Ted Williams+ (23),10.19,1942,L
300,301.,Freddie Lindstrom+ (24),10.11,1930,R
301,302.,Johnny Blanchard (28),10.09,1961,L
302,303.,Carl Furillo (37),10.07,1959,R
303,304.,Hank Aaron+ (31),10.06,1965,R
304,304.,Vada Pinson (22),10.06,1961,L
305,306.,Hank Greenberg+ (34),10.05,1945,R
306,306.,Paul Waner+ (30),10.05,1933,L
307,308.,Hank Greenberg+ (24),10.04,1935,R
308,309.,Irish Meusel (30),10.02,1923,R
309,309.,Pee Wee Reese+ (35),10.02,1954,R
310,311.,Gus Suhr (32),9.99,1938,L
311,312.,Willie McGee (26),9.96,1985,B
312,313.,Dale Murphy (27),9.93,1983,R
313,313.,Pie Traynor+ (24),9.93,1923,R
314,315.,Barry Bonds (25),9.92,1990,L
315,315.,Jimmy Ripple (27),9.92,1937,L
316,317.,Joe Kuhel (39),9.90,1945,L
317,318.,Hi Myers (27),9.88,1916,R
318,319.,Kevin Mitchell (27),9.84,1989,R
319,320.,Goose Goslin+ (24),9.82,1925,L
320,321.,Roger Maris (25),9.80,1960,L
321,322.,Elston Howard (32),9.79,1961,R
322,322.,Willie Stargell+ (33),9.79,1973,L
323,322.,Ross Youngs+ (25),9.79,1922,L
324,325.,Johnny Schulte (30),9.78,1927,L
325,326.,Wally Schang (31),9.75,1921,B
326,327.,Jack Fournier (34),9.70,1924,L
327,328.,Yogi Berra+ (25),9.69,1950,L
328,329.,Al Rosen (30),9.68,1954,R
329,329.,Dixie Walker (35),9.68,1946,L
330,331.,Joe Cronin+ (26),9.67,1933,R
331,331.,Charlie Keller (25),9.67,1942,L
332,331.,Johnny Mize+ (35),9.67,1948,L
333,334.,Lloyd Waner+ (23),9.66,1929,L
334,335.,Benny Kauff (28),9.64,1918,L
335,336.,Gabby Hartnett+ (29),9.63,1930,R
336,336.,Hank Majeski (31),9.63,1948,R
337,336.,Earl Smith (24),9.63,1921,L
338,339.,Ripper Collins (34),9.60,1938,B
339,340.,Jimmie Foxx+ (24),9.59,1932,R
340,341.,Lou Gehrig+ (30),9.58,1933,L
341,341.,Willie McCovey+ (27),9.58,1965,L
342,341.,Willie Stargell+ (34),9.58,1974,L
343,344.,Topper Rigney (27),9.56,1924,R
344,345.,Billy Herman+ (25),9.54,1935,R
345,346.,Babe Ruth+ (38),9.51,1933,L
346,346.,Alan Trammell+ (29),9.51,1987,R
347,348.,Billy Herman+ (27),9.49,1937,R
348,348.,Bill Terry+ (31),9.49,1930,L
349,348.,Gene Woodling (28),9.49,1951,L
350,351.,Duke Snider+ (26),9.48,1953,L
351,351.,Robin Yount+ (26),9.48,1982,R
352,353.,Don Hoak (32),9.45,1960,R
353,354.,Jo-Jo Moore (26),9.43,1935,L
354,355.,Wes Covington (32),9.41,1964,L
355,356.,Joe Cunningham (25),9.40,1957,L
356,356.,Possum Whitted (26),9.40,1916,R
357,358.,Boog Powell (24),9.39,1966,L
358,359.,Eddie Mathews+ (28),9.38,1960,L
359,360.,Heinie Groh (29),9.35,1919,R
360,361.,David Ortiz (29),9.31,2005,L
