,Rank,Player (age that year),Range Factor/Game as SS,Year,Throws
160,161.,Charlie Gelbert (23),5.733,1929,R
161,161.,Heinie Sand (25),5.733,1923,R
162,163.,Lyn Lary (29),5.732,1935,R
163,164.,Bones Ely (37),5.731,1900,R
164,165.,Travis Jackson+ (26),5.730,1930,R
165,165.,Buddy Kerr (22),5.730,1945,R
166,165.,Roger Peckinpaugh (27),5.730,1918,R
167,168.,Joe Tinker+ (30),5.727,1911,R
168,169.,Ike Caveney (28),5.725,1923,R
169,169.,Heinie Sand (28),5.725,1926,R
170,171.,George Davis+ (35),5.721,1906,R
171,172.,Dave Altizer (30),5.713,1907,R
172,172.,Hughie Jennings+ (29),5.713,1898,R
173,172.,Billy Jurges (24),5.713,1932,R
174,172.,Billy Urbanski (29),5.713,1932,R
175,176.,Charlie Gelbert (24),5.712,1930,R
176,176.,Bobby Wallace+ (31),5.712,1905,R
177,178.,Bob Allen (24),5.711,1892,R
178,179.,Rabbit Maranville+ (38),5.710,1930,R
179,179.,Robin Yount+ (25),5.710,1981,R
180,181.,Bones Ely (34),5.707,1897,R
181,182.,Dick Bartell (26),5.706,1934,R
182,183.,Germany Smith (26),5.704,1885,R
183,184.,Eddie Miller (26),5.701,1943,R
184,184.,Charley O'Leary (30),5.701,1906,R
185,186.,Travis Jackson+ (30),5.700,1934,R
186,187.,Billy Jurges (27),5.699,1935,R
187,188.,Jimmy Cooney (29),5.697,1924,R
188,189.,Ray Chapman (26),5.692,1917,R
189,190.,Honus Wagner+ (35),5.691,1909,R
190,191.,Doc Lavan (25),5.689,1916,R
191,192.,Herman Long (34),5.688,1900,R
192,193.,Mickey Doolin (29),5.687,1909,R
193,193.,Hod Ford (24),5.687,1922,R
194,195.,Kid Elberfeld (28),5.686,1903,R
195,196.,Garry Templeton (25),5.684,1981,R
196,197.,Mickey Doolin (26),5.682,1906,R
197,198.,Rudy Hulswitt (26),5.681,1903,R
198,199.,Walter Barbare (29),5.678,1921,R
199,199.,Art Fletcher (30),5.678,1915,R
200,201.,Bones Ely (31),5.675,1894,R
201,202.,Jack Glasscock (36),5.674,1894,R
202,203.,Glenn Wright (24),5.673,1925,R
203,204.,Billy Jurges (31),5.672,1939,R
204,205.,Luke Appling+ (25),5.671,1932,R
205,205.,Ivy Olson (33),5.671,1919,R
206,205.,Dick Padden (28),5.671,1899,R
207,208.,Monte Cross (31),5.669,1901,R
208,208.,Roy Smalley (24),5.669,1950,R
209,210.,Ike Caveney (29),5.667,1924,R
210,210.,Joe Tinker+ (21),5.667,1902,R
211,212.,George Davis+ (33),5.665,1904,R
212,212.,Arky Vaughan+ (27),5.665,1939,R
213,214.,Glenn Wright (29),5.664,1930,R
