,Rank,Player (age that year),Adj. Batting Runs,Year,Bats
135,132.,Lou Gehrig+ (30),66,1933,L
136,132.,Chipper Jones+ (27),66,1999,B
137,132.,Willie McCovey+ (32),66,1970,L
138,132.,Kevin Mitchell (27),66,1989,R
139,132.,Johnny Mize+ (26),66,1939,L
140,132.,Stan Musial+ (32),66,1953,L
141,132.,Albert Pujols (26),66,2006,R
142,132.,Frank Robinson+ (26),66,1962,R
143,132.,Alex Rodriguez (29),66,2005,R
144,132.,Frank Thomas+ (24),66,1992,R
145,132.,Frank Thomas+ (25),66,1993,R
146,132.,Honus Wagner+ (34),66,1908,R
147,148.,Hank Aaron+ (29),65,1963,R
148,148.,Jeff Bagwell+ (31),65,1999,R
149,148.,Wade Boggs+ (30),65,1988,L
150,148.,Brian Giles (31),65,2002,L
151,148.,Todd Helton (29),65,2003,L
152,148.,Tommy Holmes (28),65,1945,L
153,148.,Rogers Hornsby+ (24),65,1920,R
154,148.,Shoeless Joe Jackson (25),65,1913,L
155,148.,Tris Speaker+ (32),65,1920,L
156,148.,Joey Votto (33),65,2017,L
157,158.,Jeff Bagwell+ (29),64,1997,R
158,158.,Barry Bonds (32),64,1997,L
159,158.,Miguel Cabrera (27),64,2010,R
160,158.,Jimmie Foxx+ (31),64,1939,R
161,158.,Jim Gentile (27),64,1961,L
162,158.,Jason Giambi (31),64,2002,L
163,158.,Hank Greenberg+ (29),64,1940,R
164,158.,Harry Heilmann+ (32),64,1927,R
165,158.,Todd Helton (30),64,2004,L
166,158.,Rogers Hornsby+ (31),64,1927,R
167,158.,Harmon Killebrew+ (33),64,1969,R
168,158.,Mark McGwire (35),64,1999,R
169,158.,Lefty O'Doul (32),64,1929,L
170,158.,David Ortiz (31),64,2007,L
171,158.,Mel Ott+ (27),64,1936,L
172,158.,Albert Pujols (30),64,2010,R
173,158.,Manny Ramirez (27),64,1999,R
174,158.,Tris Speaker+ (28),64,1916,L
175,158.,Mike Trout (24),64,2016,R
176,177.,Hank Aaron+ (37),63,1971,R
177,177.,Rickey Henderson+ (31),63,1990,R
178,177.,Chuck Klein+ (28),63,1933,L
179,177.,Nap Lajoie+ (29),63,1904,R
180,177.,Willie Mays+ (34),63,1965,R
181,177.,Stan Musial+ (33),63,1954,L
182,177.,Mel Ott+ (23),63,1932,L
183,177.,Mel Ott+ (29),63,1938,L
184,177.,Albert Pujols (25),63,2005,R
185,177.,Duke Snider+ (27),63,1954,L
186,177.,Mike Trout (23),63,2015,R
187,177.,Mike Trout (27),63,2019,R
188,189.,Albert Belle (28),62,1995,R
189,189.,Jesse Burkett+ (32),62,1901,L
190,189.,Ty Cobb+ (22),62,1909,L
191,189.,Hank Greenberg+ (24),62,1935,R
192,189.,Frank Howard (32),62,1969,R
193,189.,Ryan Howard (26),62,2006,L
194,189.,Chuck Klein+ (25),62,1930,L
195,189.,Eddie Mathews+ (21),62,1953,L
196,189.,Joe Morgan+ (32),62,1976,L
197,189.,Stan Musial+ (22),62,1943,L
198,189.,Manny Ramirez (28),62,2000,R
199,189.,Gary Sheffield (31),62,2000,R
200,189.,George Sisler+ (29),62,1922,L
201,189.,Frank Thomas+ (32),62,2000,R
202,203.,Ken Caminiti (33),61,1996,B
203,203.,Prince Fielder (25),61,2009,L
204,203.,Jimmie Foxx+ (21),61,1929,R
205,203.,Paul Goldschmidt (27),61,2015,R
206,203.,Hank Greenberg+ (27),61,1938,R
207,203.,Ken Griffey Jr.+ (23),61,1993,L
208,203.,Aaron Judge (25),61,2017,R
209,203.,Mickey Mantle+ (23),61,1955,B
210,203.,Edgar Martinez+ (33),61,1996,R
211,203.,Edgar Martinez+ (34),61,1997,R
212,203.,Willie Mays+ (23),61,1954,R
213,203.,Willie Mays+ (24),61,1955,R
214,203.,Johnny Mize+ (27),61,1940,L
215,203.,Stan Musial+ (23),61,1944,L
216,203.,Magglio Ordonez (33),61,2007,R
217,203.,Mel Ott+ (20),61,1929,L
218,203.,Willie Stargell+ (33),61,1973,L
219,203.,George Stone (29),61,1906,L
220,221.,Dan Brouthers+ (34),60,1892,L
221,221.,Pete Browning (26),60,1887,R
222,221.,Harry Heilmann+ (26),60,1921,R
223,221.,Todd Helton (27),60,2001,L
224,221.,King Kelly+ (28),60,1886,R
225,221.,Matt Kemp (26),60,2011,R
226,221.,Jeff Kent (32),60,2000,R
227,221.,Ralph Kiner+ (24),60,1947,R
228,221.,Chuck Klein+ (27),60,1932,L
229,221.,Fred Lynn (27),60,1979,L
230,221.,Mickey Mantle+ (30),60,1962,B
231,221.,Willie Mays+ (26),60,1957,R
232,221.,Al Simmons+ (28),60,1930,R
233,221.,Giancarlo Stanton (27),60,2017,R
234,221.,Bill Terry+ (31),60,1930,L
235,221.,Joe Torre+ (30),60,1971,R
236,221.,Christian Yelich (27),60,2019,L
237,238.,Albert Belle (27),59,1994,R
238,238.,Cody Bellinger (23),59,2019,L
239,238.,Lance Berkman (25),59,2001,B
240,238.,Will Clark (25),59,1989,L
241,238.,Ed Delahanty+ (34),59,1902,R
242,238.,Joe DiMaggio+ (22),59,1937,R
243,238.,Lou Gehrig+ (26),59,1929,L
244,238.,Travis Hafner (29),59,2006,L
245,238.,Frank Howard (33),59,1970,R
246,238.,Shoeless Joe Jackson (32),59,1920,L
247,238.,Joe Kelley+ (22),59,1894,R
248,238.,Harmon Killebrew+ (31),59,1967,R
249,238.,J.D. Martinez (30),59,2018,R
250,238.,Bobby Murcer (25),59,1971,L
251,238.,Cy Seymour (32),59,1905,L
252,238.,Willie Stargell+ (31),59,1971,L
253,254.,Lance Berkman (28),58,2004,B
254,254.,Jose Canseco (23),58,1988,R
255,254.,Carlos Delgado (31),58,2003,L
256,254.,Joe DiMaggio+ (24),58,1939,R
257,254.,Ken Griffey Jr.+ (27),58,1997,L
258,254.,Benny Kauff (24),58,1914,L
259,254.,Don Mattingly (25),58,1986,L
260,254.,Joe Mauer (26),58,2009,L
261,254.,Willie Mays+ (27),58,1958,R
262,254.,Johnny Mize+ (24),58,1937,L
263,254.,Joe Morgan+ (31),58,1975,L
264,254.,Stan Musial+ (31),58,1952,L
265,254.,Mel Ott+ (25),58,1934,L
266,254.,Alex Rodriguez (24),58,2000,R
267,254.,Duke Snider+ (26),58,1953,L
268,254.,Duke Snider+ (28),58,1955,L
269,254.,Sammy Sosa (31),58,2000,R
270,254.,Jim Thome+ (25),58,1996,L
271,254.,Joey Votto (26),58,2010,L
272,254.,Ken Williams (33),58,1923,L
273,254.,Ted Williams+ (32),58,1951,L
274,275.,Hank Aaron+ (28),57,1962,R
275,275.,Hank Aaron+ (35),57,1969,R
276,275.,Dick Allen (24),57,1966,R
277,275.,Barry Bonds (30),57,1995,L
278,275.,Lou Boudreau+ (30),57,1948,R
279,275.,Alex Bregman (25),57,2019,R
280,275.,Dan Brouthers+ (33),57,1891,L
281,275.,Miguel Cabrera (23),57,2006,R
282,275.,Miguel Cabrera (29),57,2012,R
283,275.,Jim Edmonds (34),57,2004,L
284,275.,Pedro Guerrero (29),57,1985,R
285,275.,Willie Mays+ (32),57,1963,R
286,275.,Mark McGwire (33),57,1997,R
287,275.,Johnny Mize+ (25),57,1938,L
288,275.,John Olerud (29),57,1998,L
289,275.,Manny Ramirez (30),57,2002,R
290,275.,Manny Ramirez (36),57,2008,R
291,275.,Alex Rodriguez (20),57,1996,R
292,275.,Alex Rodriguez (25),57,2001,R
293,275.,Tris Speaker+ (26),57,1914,L
294,275.,Jim Thome+ (30),57,2001,L
295,275.,Sam Thompson+ (34),57,1894,L
296,275.,Sam Thompson+ (35),57,1895,L
297,275.,Ted Williams+ (36),57,1955,L
298,275.,Robin Yount+ (26),57,1982,R
299,300.,Albert Belle (29),56,1996,R
300,300.,Ty Cobb+ (29),56,1916,L
301,300.,Ty Cobb+ (35),56,1922,L
302,300.,Prince Fielder (27),56,2011,L
303,300.,Vladimir Guerrero+ (27),56,2002,R
304,300.,Bob Johnson (38),56,1944,R
305,300.,Benny Kauff (25),56,1915,L
306,300.,Ted Kluszewski (29),56,1954,L
307,300.,Victor Martinez (35),56,2014,B
308,300.,Eddie Mathews+ (27),56,1959,L
309,300.,John Mayberry (26),56,1975,L
310,300.,Willie Mays+ (31),56,1962,R
311,300.,John McGraw+ (26),56,1899,L
312,300.,Stan Musial+ (29),56,1950,L
313,300.,Buster Posey (25),56,2012,R
314,300.,Gary Sheffield (34),56,2003,R
315,300.,Al Simmons+ (29),56,1931,R
316,300.,Mike Trout (22),56,2014,R
317,300.,Billy Williams+ (34),56,1972,L
318,300.,Carl Yastrzemski+ (28),56,1968,L
319,320.,Hank Aaron+ (23),55,1957,R
320,320.,Jack Clark (31),55,1987,R
321,320.,Rocky Colavito (24),55,1958,R
322,320.,Eddie Collins+ (27),55,1914,L
323,320.,Chris Davis (27),55,2013,L
324,320.,Steve Evans (29),55,1914,L
325,320.,Elmer Flick+ (24),55,1900,L
326,320.,George Foster (28),55,1977,R
327,320.,Brian Giles (29),55,2000,L
328,320.,Adrian Gonzalez (27),55,2009,L
329,320.,Harry Heilmann+ (30),55,1925,R
330,320.,Rogers Hornsby+ (27),55,1923,R
331,320.,Derek Jeter+ (25),55,1999,R
332,320.,Chipper Jones+ (29),55,2001,B
333,320.,Chipper Jones+ (36),55,2008,B
334,320.,Sherry Magee (25),55,1910,R
335,320.,Eddie Mathews+ (22),55,1954,L
336,320.,Willie Mays+ (33),55,1964,R
337,320.,Stan Musial+ (36),55,1957,L
338,320.,David Ortiz (30),55,2006,L
339,320.,Carlos Pena (29),55,2007,L
340,320.,Babe Ruth+ (38),55,1933,L
341,320.,Tim Salmon (26),55,1995,R
342,320.,Ken Singleton (30),55,1977,B
343,320.,Tris Speaker+ (25),55,1913,L
344,320.,Mike Trout (25),55,2017,R
345,320.,Joey Votto (32),55,2016,L
346,320.,Ted Williams+ (20),55,1939,L
347,320.,Ted Williams+ (21),55,1940,L
348,349.,Hank Aaron+ (27),54,1961,R
349,349.,Earl Averill+ (34),54,1936,L
350,349.,Adrian Beltre (25),54,2004,R
351,349.,Lance Berkman (30),54,2006,B
352,349.,Wade Boggs+ (28),54,1986,L
353,349.,Joe DiMaggio+ (25),54,1940,R
354,349.,Tony Gwynn+ (27),54,1987,L
355,349.,Joe Kelley+ (24),54,1896,R
356,349.,Roger Maris (26),54,1961,L
357,349.,Edgar Martinez+ (35),54,1998,R
358,349.,Edgar Martinez+ (37),54,2000,R
359,349.,Eddie Mathews+ (23),54,1955,L
360,349.,Eddie Mathews+ (28),54,1960,L
361,349.,David Ortiz (29),54,2005,L
362,349.,Rafael Palmeiro (34),54,1999,L
363,349.,Manny Ramirez (31),54,2003,R
364,349.,Frank Robinson+ (31),54,1967,R
365,349.,Mike Schmidt+ (30),54,1980,R
366,349.,Orator Shafer (32),54,1884,L
367,349.,Tris Speaker+ (34),54,1922,L
368,349.,Rusty Staub (25),54,1969,L
369,349.,Mike Trout (20),54,2012,R
370,349.,Joey Votto (29),54,2013,L
371,349.,Honus Wagner+ (26),54,1900,R
372,349.,Honus Wagner+ (30),54,1904,R
373,349.,Dixie Walker (33),54,1944,L
374,349.,Ken Williams (32),54,1922,L
375,349.,Dave Winfield+ (27),54,1979,R
376,349.,Jim Wynn (27),54,1969,R
377,378.,José Abreu (27),53,2014,R
378,378.,Jose Altuve (27),53,2017,R
379,378.,Cap Anson+ (34),53,1886,R
380,378.,Home Run Baker+ (26),53,1912,L
381,378.,Lance Berkman (32),53,2008,B
382,378.,Wade Boggs+ (27),53,1985,L
383,378.,Barry Bonds (25),53,1990,L
384,378.,Pete Browning (29),53,1890,R
385,378.,Fred Clarke+ (24),53,1897,L
386,378.,Roger Connor+ (34),53,1892,B
387,378.,Ed Delahanty+ (33),53,1901,R
388,378.,Jack Fournier (35),53,1925,L
389,378.,Jimmie Foxx+ (22),53,1930,R
390,378.,Vladimir Guerrero+ (25),53,2000,R
391,378.,Chipper Jones+ (35),53,2007,B
392,378.,Mickey Mantle+ (32),53,1964,B
393,378.,Andrew McCutchen (27),53,2014,R
394,378.,Lefty O'Doul (35),53,1932,L
395,378.,David Ortiz (40),53,2016,L
396,378.,Rico Petrocelli (26),53,1969,R
397,378.,Mike Piazza+ (27),53,1996,R
398,378.,Albert Pujols (27),53,2007,R
399,378.,Cal Ripken Jr.+ (30),53,1991,R
400,378.,Frank Robinson+ (25),53,1961,R
401,378.,Alex Rodriguez (26),53,2002,R
402,378.,Pete Rose (28),53,1969,B
403,378.,Ron Santo+ (24),53,1964,R
404,378.,Gary Sheffield (32),53,2001,R
405,378.,Reggie Smith (32),53,1977,B
406,378.,Sammy Sosa (29),53,1998,R
407,408.,Hank Aaron+ (33),52,1967,R
408,408.,Dick Allen (22),52,1964,R
409,408.,Jeff Bagwell+ (30),52,1998,R
410,408.,Jose Bautista (29),52,2010,R
411,408.,Dolph Camilli (29),52,1936,L
412,408.,Rico Carty (30),52,1970,R
413,408.,Roberto Clemente+ (32),52,1967,R
414,408.,Ty Cobb+ (26),52,1913,L
415,408.,Ty Cobb+ (34),52,1921,L
416,408.,Eddie Collins+ (28),52,1915,L
417,408.,Roger Connor+ (27),52,1885,B
418,408.,Ed Delahanty+ (26),52,1894,R
419,408.,Jack Fournier (34),52,1924,L
420,408.,Jimmie Foxx+ (28),52,1936,R
421,408.,Jason Giambi (28),52,1999,L
422,408.,Paul Goldschmidt (25),52,2013,R
423,408.,Mike Greenwell (24),52,1988,L
424,408.,Josh Hamilton (29),52,2010,L
425,408.,Babe Herman (26),52,1929,L
426,408.,Al Kaline+ (20),52,1955,R
427,408.,Willie Keeler+ (25),52,1897,L
428,408.,Andrew McCutchen (25),52,2012,R
429,408.,Fred McGriff (25),52,1989,L
430,408.,Mark McGwire (31),52,1995,R
431,408.,Albert Pujols (21),52,2001,R
432,408.,Mo Vaughn (28),52,1996,L
433,408.,Honus Wagner+ (31),52,1905,R
434,408.,Larry Walker+ (34),52,2001,L
435,408.,Paul Waner+ (33),52,1936,L
436,408.,Zack Wheat+ (36),52,1924,L
437,408.,Ted Williams+ (39),52,1958,L
438,408.,Christian Yelich (26),52,2018,L
439,440.,Jose Altuve (26),51,2016,R
440,440.,Jeff Bagwell+ (32),51,2000,R
441,440.,Ryan Braun (27),51,2011,R
442,440.,Jesse Burkett+ (30),51,1899,L
443,440.,Dolph Camilli (30),51,1937,L
444,440.,Cupid Childs (22),51,1890,L
445,440.,Rocky Colavito (27),51,1961,R
446,440.,Ed Delahanty+ (25),51,1893,R
447,440.,Cecil Fielder (26),51,1990,R
448,440.,Freddie Freeman (26),51,2016,L
449,440.,Adrian Gonzalez (29),51,2011,L
450,440.,Goose Goslin+ (27),51,1928,L
451,440.,Vladimir Guerrero+ (29),51,2004,R
452,440.,Tony Gwynn+ (37),51,1997,L
453,440.,Travis Hafner (28),51,2005,L
454,440.,Reggie Jackson+ (34),51,1980,L
455,440.,Howard Johnson (28),51,1989,B
456,440.,Bill Joyce (26),51,1894,L
457,440.,Bill Joyce (28),51,1896,L
458,440.,Don Mattingly (24),51,1985,L
459,440.,Mark McGwire (23),51,1987,R
460,440.,Dale Murphy (31),51,1987,R
461,440.,Eddie Murray+ (28),51,1984,B
462,440.,Ron Santo+ (26),51,1966,R
463,440.,Tommy Tucker (25),51,1889,B
464,440.,Joey Votto (27),51,2011,L
465,440.,Honus Wagner+ (33),51,1907,R
466,440.,Paul Waner+ (25),51,1928,L
467,440.,Heinie Zimmerman (25),51,1912,R
468,469.,Moises Alou (31),50,1998,R
469,469.,Brady Anderson (32),50,1996,L
470,469.,Jose Bautista (33),50,2014,R
471,469.,Johnny Bench+ (24),50,1972,R
472,469.,Barry Bonds (29),50,1994,L
473,469.,Jim Bottomley+ (28),50,1928,L
474,469.,Ryan Braun (28),50,2012,R
475,469.,Dan Brouthers+ (29),50,1887,L
476,469.,Jesse Burkett+ (27),50,1896,L
477,469.,Orlando Cepeda+ (29),50,1967,R
478,469.,Sam Crawford+ (31),50,1911,L
479,469.,Mike Donlin (27),50,1905,L
480,469.,J.D. Drew (28),50,2004,L
481,469.,Darrell Evans (26),50,1973,L
482,469.,Dwight Evans (35),50,1987,R
483,469.,Prince Fielder (23),50,2007,L
484,469.,Augie Galan (32),50,1944,B
485,469.,Charlie Gehringer+ (31),50,1934,L
486,469.,Billy Hamilton+ (29),50,1895,L
487,469.,Harmon Killebrew+ (25),50,1961,R
488,469.,Tony Lazzeri+ (25),50,1929,R
489,469.,Willie Mays+ (30),50,1961,R
490,469.,Mark McGwire (28),50,1992,R
491,469.,Bill Nicholson (28),50,1943,L
492,469.,Bill Nicholson (29),50,1944,L
493,469.,Mel Ott+ (26),50,1935,L
494,469.,Mel Ott+ (33),50,1942,L
495,469.,Dave Parker (27),50,1978,L
496,469.,Tony Perez+ (28),50,1970,R
497,469.,Boog Powell (28),50,1970,L
498,469.,Anthony Rendon (29),50,2019,R
499,469.,Frank Robinson+ (33),50,1969,R
500,469.,Babe Ruth+ (27),50,1922,L
501,469.,Gary Sheffield (23),50,1992,R
502,469.,Sammy Sosa (33),50,2002,R
503,469.,Darryl Strawberry (25),50,1987,L
504,469.,Joey Votto (28),50,2012,L
505,469.,Paul Waner+ (24),50,1927,L
506,469.,Ted Williams+ (37),50,1956,L
507,469.,Hack Wilson+ (29),50,1929,R
