,Rank,Player (age that year),Adj. Pitching Runs,Year,Throws
66,67.,Christy Mathewson+ (24),58,1905,R
67,67.,Hal Newhouser+ (24),58,1945,L
68,67.,Robin Roberts+ (26),58,1953,R
69,67.,Dazzy Vance+ (37),58,1928,R
70,67.,Cy Young+ (35),58,1902,R
71,72.,Pete Alexander+ (28),57,1915,R
72,72.,Lady Baldwin (27),57,1886,L
73,72.,Dean Chance (23),57,1964,R
74,72.,Lefty Grove+ (32),57,1932,L
75,72.,Bill Hutchison (30),57,1890,R
76,72.,Randy Johnson+ (37),57,2001,L
77,72.,Greg Maddux+ (28),57,1994,R
78,72.,Pedro Martinez+ (25),57,1997,R
79,72.,Tony Mullane (24),57,1883,R
80,72.,Warren Spahn+ (32),57,1953,L
81,72.,Cy Young+ (29),57,1896,R
82,83.,Kevin Brown (31),56,1996,R
83,83.,Nig Cuppy (26),56,1896,R
84,83.,Zack Greinke (25),56,2009,R
85,83.,Randy Johnson+ (38),56,2002,L
86,83.,Thornton Lee (34),56,1941,L
87,83.,Dazzy Vance+ (33),56,1924,R
88,89.,Ice Box Chamberlain (21),55,1889,R
89,89.,Bob Feller+ (20),55,1939,R
90,89.,Charlie Ferguson (23),55,1886,R
91,89.,Carl Hubbell+ (30),55,1933,L
92,89.,Jim Palmer+ (29),55,1975,R
93,89.,Amos Rusie+ (26),55,1897,R
94,89.,Ed Seward (21),55,1888,R
95,89.,Bucky Walters (30),55,1939,R
96,97.,Vida Blue (21),54,1971,L
97,97.,Dan Casey (24),54,1887,L
98,97.,Roger Clemens (42),54,2005,R
99,97.,Jim Devlin (28),54,1877,R
100,97.,Jesse Duryea (29),54,1889,R
101,97.,Zack Greinke (31),54,2015,R
102,97.,Lefty Grove+ (35),54,1935,L
103,97.,Carl Hubbell+ (31),54,1934,L
104,97.,Randy Johnson+ (31),54,1995,L
105,97.,Greg Maddux+ (31),54,1997,R
106,97.,Kid Nichols+ (26),54,1896,R
107,97.,Johan Santana (25),54,2004,L
108,97.,Tom Seaver+ (26),54,1971,R
109,97.,Smoky Joe Wood (22),54,1912,R
110,97.,Wilbur Wood (29),54,1971,L
111,112.,George Bradley (23),53,1876,R
112,112.,Claude Hendrix (25),53,1914,R
113,112.,Randy Johnson+ (33),53,1997,L
114,112.,Randy Johnson+ (36),53,2000,L
115,112.,Jim McCormick (27),53,1884,R
116,112.,Hal Newhouser+ (25),53,1946,L
117,112.,Toad Ramsey (22),53,1887,L
118,112.,Warren Spahn+ (26),53,1947,L
119,120.,Jake Arrieta (29),52,2015,R
120,120.,Kid Gleason (23),52,1890,R
121,120.,Pat Hentgen (27),52,1996,R
122,120.,Greg Maddux+ (32),52,1998,R
123,120.,Joe McGinnity+ (33),52,1904,R
124,120.,Tony Mullane (28),52,1887,R
125,120.,Tom Seaver+ (28),52,1973,R
126,120.,Dizzy Trout (29),52,1944,R
127,120.,Justin Verlander (36),52,2019,R
128,129.,Pete Alexander+ (33),51,1920,R
