,Rank,Player (age that year),Putouts as P,Year,Throws
89,82.,Jim McCormick (24),34,1881,R
90,82.,Kid Nichols+ (24),34,1894,R
91,82.,Dave Stieb (27),34,1985,R
92,82.,Earl Wilson (31),34,1966,R
93,94.,Jake Arrieta (29),33,2015,R
94,94.,Mark Baldwin (25),33,1889,R
95,94.,Tommy Bond (23),33,1879,R
96,94.,George Bradley (31),33,1884,R
97,94.,Frank Dwyer (25),33,1893,R
98,94.,Charlie Ferguson (23),33,1886,R
99,94.,Zack Greinke (35),33,2019,R
100,94.,Roy Halladay+ (31),33,2008,R
101,94.,Sam Kimber (31),33,1884,R
102,94.,Lon Knight (23),33,1876,R
103,94.,Juan Marichal+ (30),33,1968,R
104,94.,Brett Myers (30),33,2011,R
105,94.,Eddie Plank+ (31),33,1907,L
106,94.,Old Hoss Radbourn+ (28),33,1883,R
107,94.,Urban Shocker (31),33,1922,R
108,94.,Jake Westbrook (28),33,2006,R
109,94.,Doc White (28),33,1907,L
110,94.,Irv Young (27),33,1905,L
111,112.,Tommy Bond (24),32,1880,R
112,112.,Pud Galvin+ (27),32,1884,R
113,112.,Mark Gubicza (24),32,1987,R
114,112.,Guy Hecker (30),32,1886,R
115,112.,Orel Hershiser (29),32,1988,R
116,112.,Tim Keefe+ (25),32,1882,R
117,112.,Matt Kilroy (20),32,1886,L
118,112.,Silver King (20),32,1888,R
119,112.,Frank Lary (31),32,1961,R
120,112.,Bob Lemon+ (31),32,1952,R
121,112.,Christy Mathewson+ (23),32,1904,R
122,112.,Casey Patten (30),32,1904,L
123,112.,Rick Rhoden (33),32,1986,R
124,112.,Rube Waddell+ (24),32,1901,L
125,126.,Jim Bouton (25),31,1964,R
126,126.,Kevin Brown (33),31,1998,R
127,126.,Charlie Buffinton (27),31,1888,R
128,126.,Lew Burdette (33),31,1960,R
129,126.,Roger Clemens (28),31,1991,R
130,126.,Frank Dwyer (26),31,1894,R
131,126.,Harry Howell (29),31,1906,R
132,126.,Fergie Jenkins+ (28),31,1971,R
133,126.,Randy Jones (26),31,1976,L
134,126.,Tim Keefe+ (26),31,1883,R
135,126.,Bob Lemon+ (32),31,1953,R
136,126.,Greg Maddux+ (32),31,1998,R
137,126.,Christy Mathewson+ (30),31,1911,R
138,126.,Jim McCormick (27),31,1884,R
139,126.,Joe McGinnity+ (32),31,1903,R
140,126.,Sadie McMahon (22),31,1890,R
141,126.,Bill Monbouquette (26),31,1963,R
142,126.,Jack Morris+ (25),31,1980,R
143,126.,Jack Morris+ (32),31,1987,R
144,126.,Jack Morris+ (33),31,1988,R
145,126.,Frank Mountain (23),31,1883,R
146,126.,Kid Nichols+ (25),31,1895,R
147,126.,Phil Niekro+ (40),31,1979,R
148,126.,Gaylord Perry+ (29),31,1968,R
149,126.,Adonis Terry (19),31,1884,R
150,126.,Ralph Terry (27),31,1963,R
151,126.,John Ward+ (19),31,1879,R
152,126.,Sam Weaver (22),31,1878,R
153,126.,Jake Westbrook (27),31,2005,R
154,126.,Gus Weyhing (26),31,1893,R
155,156.,Nick Altrock (28),30,1905,L
156,156.,Ed Beatin (23),30,1890,L
157,156.,Ernie Broglio (27),30,1963,R
158,156.,Joe Coleman (21),30,1968,R
159,156.,Nig Cuppy (25),30,1895,R
160,156.,Jim Devlin (28),30,1877,R
161,156.,Scott Erickson (28),30,1996,R
162,156.,Kyle Gibson (26),30,2014,R
163,156.,Kid Gleason (26),30,1893,R
