,Rank,Player (age that year),Stolen Bases Allowed as C,Year,Throws
299,295.,Benito Santiago (22),104,1987,R
300,295.,Pop Schriver (27),104,1893,R
301,295.,Mike Simon (30),104,1913,R
302,295.,Oscar Stanage (33),104,1916,R
303,295.,Jason Varitek (28),104,2000,R
304,295.,Jack Warner (24),104,1897,R
305,306.,Bob Brenly (30),103,1984,R
306,306.,Buster Burrell (29),103,1896,R
307,306.,Gary Carter+ (28),103,1982,R
308,306.,Boileryard Clarke (33),103,1902,R
309,306.,Bo Diaz (34),103,1987,R
310,306.,Carlton Fisk+ (30),103,1978,R
311,306.,Mike Fitzgerald (29),103,1990,R
312,306.,George Gibson (30),103,1911,R
313,306.,Peaches Graham (33),103,1910,R
314,306.,John Henry (24),103,1914,R
315,306.,Terry Kennedy (29),103,1985,R
316,306.,Grover Land (30),103,1915,R
317,306.,Chief Meyers (32),103,1913,R
318,306.,Heinie Peitz (29),103,1900,R
319,306.,Ed Phelps (25),103,1904,R
320,306.,Biff Pocoroba (23),103,1977,R
321,306.,Wally Schang (24),103,1914,R
322,306.,Frank Snyder (20),103,1914,R
323,306.,Billy Sullivan (34),103,1909,R
324,306.,Ivey Wingo (24),103,1915,R
325,326.,Charlie Bennett (36),102,1891,R
326,326.,Boileryard Clarke (27),102,1896,R
327,326.,Tommy Clarke (26),102,1914,R
328,326.,Jack Clements (29),102,1894,L
329,326.,Ted Easterly (25),102,1910,R
330,326.,Mike Fitzgerald (24),102,1985,R
331,326.,Mike González (25),102,1916,R
332,326.,Tom Kinslow (25),102,1891,R
333,326.,Bill Merritt (26),102,1897,R
334,326.,Jorge Posada (36),102,2007,R
335,326.,Admiral Schlei (26),102,1904,R
336,326.,Ossee Schrecongost (30),102,1905,R
337,326.,Frank Snyder (21),102,1915,R
338,326.,Jim Sundberg (29),102,1980,R
339,340.,Marty Bergen (24),101,1896,R
340,340.,Frank Bowerman (30),101,1899,R
341,340.,Francisco Cervelli (29),101,2015,R
342,340.,Boileryard Clarke (31),101,1900,R
343,340.,Bo Diaz (33),101,1986,R
344,340.,Red Dooin (29),101,1908,R
345,340.,Brian Downing (28),101,1979,R
346,340.,Duke Farrell (29),101,1896,R
347,340.,Darrin Fletcher (31),101,1998,R
348,340.,Todd Hundley (24),101,1993,R
349,340.,Jason Kendall (31),101,2005,R
350,340.,Jason Kendall (36),101,2010,R
351,340.,Boss Schmidt (26),101,1907,R
352,340.,Oscar Stanage (34),101,1917,R
353,340.,Chris Widger (28),101,1999,R
354,355.,Sam Agnew (28),100,1915,R
355,355.,Terry Kennedy (26),100,1982,R
356,355.,Terry Kennedy (28),100,1984,R
357,355.,Johnny Kling (32),100,1908,R
358,355.,Victor Martinez (27),100,2006,R
359,355.,Joe Oliver (27),100,1993,R
360,355.,Jack Ryan (29),100,1898,R
361,355.,John Stearns (27),100,1979,R
362,355.,Bob Stinson (32),100,1978,R
363,355.,Joe Sugden (34),100,1905,R
364,355.,Ozzie Virgil (27),100,1984,R
365,366.,Bob Boone (26),99,1974,R
366,366.,Roger Bresnahan+ (29),99,1908,R
367,366.,Gary Carter+ (31),99,1985,R
368,366.,Tim Donahue (27),99,1897,R
369,366.,Darrin Fletcher (26),99,1993,R
370,366.,Ramon Hernandez (32),99,2008,R
371,366.,Fred Jacklitsch (27),99,1903,R
372,366.,Paul Krichell (29),99,1912,R
373,366.,Victor Martinez (31),99,2010,R
374,366.,Matt Nokes (27),99,1991,R
375,366.,Pete Noonan (25),99,1907,R
376,366.,Heinie Peitz (28),99,1899,R
377,366.,Tony Pena (33),99,1990,R
378,366.,A.J. Pierzynski (32),99,2009,R
379,366.,Mike Scioscia (31),99,1990,R
380,366.,Scott Servais (29),99,1996,R
381,366.,Ted Simmons+ (24),99,1974,R
382,383.,Bill Bergen (23),98,1901,R
383,383.,Gary Carter+ (38),98,1992,R
384,383.,Jody Davis (29),98,1986,R
385,383.,Tim Donahue (30),98,1900,R
386,383.,Duke Farrell (31),98,1898,R
387,383.,George Gibson (33),98,1914,R
388,383.,Brian Harper (31),98,1991,R
389,383.,Ramon Hernandez (25),98,2001,R
390,383.,Chris Hoiles (33),98,1998,R
391,383.,Todd Hundley (27),98,1996,R
392,383.,Malachi Kittridge (34),98,1904,R
393,383.,Deacon McGuire (36),98,1900,R
394,383.,Deacon McGuire (38),98,1902,R
395,383.,Yip Owens (29),98,1915,R
396,383.,Pop Schriver (32),98,1898,R
397,383.,Ted Simmons+ (29),98,1979,R
398,383.,Mike Simon (31),98,1914,R
399,383.,Kurt Suzuki (27),98,2011,R
400,401.,Jimmy Archer (30),97,1913,R
401,401.,Brook Fordyce (31),97,2001,R
402,401.,Hughie Hearne (29),97,1902,R
403,401.,Red Kleinow (29),97,1907,R
404,401.,Javy Lopez (25),97,1996,R
405,401.,Wickey McAvoy (20),97,1915,R
406,401.,Mike Piazza+ (37),97,2006,R
407,401.,Frank Roth (24),97,1903,R
408,401.,Ted Simmons+ (27),97,1977,R
409,401.,Joe Sugden (24),97,1895,R
410,401.,Ed Taubensee (30),97,1999,R
411,401.,Ivey Wingo (26),97,1917,R
412,413.,Sam Agnew (26),96,1913,R
413,413.,William Fischer (24),96,1915,R
414,413.,Chris Hoiles (31),96,1996,R
415,413.,Fred Kendall (25),96,1974,R
416,413.,Victor Martinez (26),96,2005,R
417,413.,Deacon McGuire (29),96,1893,R
418,413.,Deacon McGuire (40),96,1904,R
419,413.,Larry McLean (25),96,1907,R
420,413.,Larry McLean (30),96,1912,R
421,413.,Doggie Miller (30),96,1895,R
422,413.,A.J. Pierzynski (31),96,2008,R
423,413.,Bill Rariden (25),96,1913,R
424,413.,Ted Simmons+ (25),96,1975,R
425,413.,Ted Simmons+ (32),96,1982,R
426,413.,Ed Sweeney (22),96,1911,R
427,413.,Matt Walbeck (28),96,1998,R
428,429.,Michael Barrett (24),95,2001,R
429,429.,Frank Bowerman (31),95,1900,R
430,429.,Roger Bresnahan+ (32),95,1911,R
431,429.,Tommy Clarke (25),95,1913,R
432,429.,Jody Davis (25),95,1982,R
433,429.,Scott Hatteberg (27),95,1997,R
434,429.,Jason Kendall (23),95,1997,R
