,Rank,Player (age that year),Putouts as RF (s.1901),Year,Throws
215,209.,Tony Oliva (27),299,1966,R
216,217.,Jose Guillen (29),298,2005,R
217,217.,Nick Markakis (25),298,2009,L
218,217.,Curt Walker (32),298,1929,R
219,217.,Paul Waner+ (25),298,1928,L
220,221.,Jesse Barfield (30),297,1990,R
221,221.,Jay Bruce (25),297,2012,L
222,221.,Ken Griffey (27),297,1977,L
223,221.,Sam Rice+ (33),297,1923,R
224,221.,Paul Waner+ (23),297,1926,L
225,226.,Hank Aaron+ (33),296,1967,R
226,226.,Harold Baines+ (27),296,1986,L
227,226.,Adam Eaton (27),296,2016,L
228,226.,Dave Parker (33),296,1984,R
229,226.,Frank Robinson+ (26),296,1962,R
230,226.,Darryl Strawberry (26),296,1988,L
231,226.,George Vukovich (28),296,1984,R
232,233.,Jeromy Burnitz (32),295,2001,R
233,233.,Roberto Clemente+ (33),295,1968,R
234,233.,Brian Giles (34),295,2005,L
235,233.,George Harper (35),295,1927,R
236,233.,Brian Jordan (32),295,1999,R
237,233.,Chet Lemon (33),295,1988,R
238,233.,Nick Markakis (30),295,2014,L
239,233.,Nick Markakis (31),295,2015,L
240,233.,Gary Matthews (28),295,1979,R
241,233.,Paul O'Neill (33),295,1996,L
242,233.,Paul O'Neill (35),295,1998,L
243,233.,Wally Post (25),295,1955,R
244,245.,Jesse Barfield (28),294,1988,R
245,245.,Tom Brunansky (24),294,1985,R
246,245.,Jay Buhner (32),294,1997,R
247,245.,Nelson Cruz (28),294,2009,R
248,245.,Dwight Evans (33),294,1985,R
249,245.,Jeff Francoeur (25),294,2009,R
250,245.,Chuck Klein+ (27),294,1932,R
251,245.,Rusty Staub (29),294,1973,R
252,245.,Justin Upton (21),294,2009,R
253,254.,Hank Aaron+ (31),293,1965,R
254,254.,Shin-Soo Choo (29),293,2012,L
255,254.,Reggie Jackson+ (28),293,1974,L
256,254.,Gene Moore (26),293,1936,L
257,254.,Paul O'Neill (37),293,2000,L
258,254.,Dave Parker (25),293,1976,R
259,254.,Cory Snyder (26),293,1989,R
260,254.,Chief Wilson (29),293,1913,R
261,254.,Dave Winfield+ (34),293,1986,R
262,254.,Richie Zisk (25),293,1974,R
263,264.,Bobby Bonilla (27),292,1990,R
264,264.,Andre Dawson+ (29),292,1984,R
265,264.,Manny Ramirez (26),292,1998,R
266,264.,Lance Richbourg (32),292,1930,R
267,264.,Chief Wilson (25),292,1909,R
268,269.,Bobby Abreu (32),291,2006,R
269,269.,Ken Griffey Jr.+ (37),291,2007,L
270,269.,Paul O'Neill (29),291,1992,L
271,269.,Paul O'Neill (34),291,1997,L
