,Rank,Player (age that year),Win Probability Added (WPA),Year,Throws
140,141.,Kenley Jansen (29),5.65,2017,R
141,141.,Tom Seaver+ (30),5.65,1975,R
142,143.,Tug McGraw (24),5.63,1969,L
143,144.,Greg Maddux+ (27),5.62,1993,R
144,145.,Justin Verlander (36),5.61,2019,R
145,146.,Steve Carlton+ (35),5.60,1980,L
146,146.,Chris Carpenter (34),5.60,2009,R
147,146.,Lefty Grove+ (28),5.60,1928,L
148,149.,Lefty Grove+ (27),5.59,1927,L
149,150.,Will Smith (29),5.58,2019,L
150,151.,Ellis Kinder (34),5.57,1949,R
151,152.,Spud Chandler (35),5.55,1943,R
152,152.,Danny MacFayden (31),5.55,1936,R
153,152.,Jeff Montgomery (31),5.55,1993,R
154,155.,Jim Bunning+ (34),5.54,1966,R
155,156.,Lefty Grove+ (33),5.53,1933,L
156,156.,Mark Melancon (30),5.53,2015,R
157,158.,Juan Marichal+ (25),5.52,1963,R
158,158.,Rick Reuschel (28),5.52,1977,R
159,160.,Rod Beck (24),5.51,1993,R
160,161.,Ray Kremer (31),5.50,1926,R
161,162.,Billy Pierce (26),5.49,1953,L
162,163.,Trevor Hoffman+ (28),5.48,1996,R
163,163.,Frank Tanana (22),5.48,1976,L
164,163.,Lon Warneke (23),5.48,1932,R
165,163.,Roger Wolff (34),5.48,1945,R
166,167.,Fergie Jenkins+ (31),5.47,1974,R
167,168.,Pete Alexander+ (35),5.45,1922,R
168,168.,Jim O'Toole (27),5.45,1964,L
169,168.,Dazzy Vance+ (37),5.45,1928,R
170,171.,Stan Coveleski+ (30),5.44,1920,R
171,171.,Lefty Grove+ (29),5.44,1929,L
172,173.,Paul Dean (22),5.43,1935,R
173,173.,Eric Gagne (28),5.43,2004,R
174,173.,Sal Maglie (34),5.43,1951,R
175,173.,Mariano Rivera+ (26),5.43,1996,R
176,173.,Robin Roberts+ (23),5.43,1950,R
177,178.,Billy Pierce (28),5.40,1955,L
178,179.,Randy Myers (34),5.39,1997,L
179,180.,Rafael Betancourt (32),5.38,2007,R
180,180.,Tom Burgmeier (36),5.38,1980,L
181,180.,Dutch Ruether (25),5.38,1919,L
182,183.,Mudcat Grant (34),5.37,1970,R
183,183.,Jim Konstanty (33),5.37,1950,R
184,183.,Francisco Rodriguez (24),5.37,2006,R
185,186.,Sheriff Blake (28),5.36,1928,R
186,187.,Mike Garcia (30),5.35,1954,R
187,188.,Herb Score (23),5.32,1956,L
188,189.,Red Faber+ (33),5.29,1922,R
189,189.,Lefty Gomez+ (28),5.29,1937,L
190,189.,Brad Lidge (31),5.29,2008,R
191,189.,Cliff Melton (25),5.29,1937,L
192,193.,Thornton Lee (34),5.28,1941,L
193,194.,Clayton Kershaw (26),5.27,2014,L
194,194.,Esteban Loaiza (31),5.27,2003,R
195,194.,Jonathan Papelbon (25),5.27,2006,R
196,197.,Jim Johnson (29),5.26,2012,R
197,198.,Harry Brecheen (33),5.25,1948,L
198,198.,Teddy Higuera (30),5.25,1988,L
199,198.,Joe Niekro (37),5.25,1982,R
200,198.,Dontrelle Willis (23),5.25,2005,L
201,202.,Tyler Clippard (26),5.24,2011,R
202,202.,Denny McLain (24),5.24,1968,R
203,202.,Jim Palmer+ (31),5.24,1977,R
204,205.,Kevin Brown (35),5.23,2000,R
205,205.,Greg Minton (30),5.23,1982,R
206,207.,Lou Fette (30),5.22,1937,R
207,207.,Chris Short (27),5.22,1965,L
208,207.,Dazzy Vance+ (34),5.22,1925,R
209,207.,Frank Viola (28),5.22,1988,L
210,211.,Bob Gibson+ (36),5.20,1972,R
211,212.,Andrew Miller (31),5.19,2016,L
212,213.,Ron Guidry (27),5.18,1978,L
213,214.,Johnny Allen (31),5.17,1936,R
214,214.,Roger Clemens (24),5.17,1987,R
215,216.,Wes Ferrell (27),5.16,1935,R
216,216.,Greg Maddux+ (26),5.16,1992,R
217,216.,Allie Reynolds (35),5.16,1952,R
218,216.,Jim Turner (33),5.16,1937,R
219,220.,Greg Maddux+ (32),5.15,1998,R
220,220.,Fernando Rodney (35),5.15,2012,R
221,220.,Justin Verlander (35),5.15,2018,R
222,223.,Whitey Glazner (27),5.14,1921,R
223,223.,Charlie Root (30),5.14,1929,R
224,223.,Jered Weaver (28),5.14,2011,R
225,226.,Lefty Grove+ (39),5.13,1939,L
226,226.,Bruce Sutter+ (24),5.13,1977,R
227,226.,Early Wynn+ (36),5.13,1956,R
228,229.,Dennis Eckersley+ (35),5.12,1990,R
229,229.,Roy Halladay+ (33),5.12,2010,R
230,229.,Pedro Martinez+ (31),5.12,2003,R
231,232.,Joe Nathan (31),5.11,2006,R
232,232.,Andy Pettitte (33),5.11,2005,L
233,232.,Robin Roberts+ (26),5.11,1953,R
234,232.,Urban Shocker (29),5.11,1920,R
235,236.,Paul Derringer (32),5.10,1939,R
236,236.,Clayton Kershaw (27),5.10,2015,L
237,236.,Schoolboy Rowe (24),5.10,1934,R
238,239.,Aaron Nola (25),5.09,2018,R
239,240.,Bob Bowman (28),5.08,1939,R
240,240.,Johnny Cueto (28),5.08,2014,R
241,240.,Jesse Haines+ (34),5.08,1928,R
