,Rank,Player (age that year),Double Plays Turned as 3B,Year,Throws
149,145.,Matt Chapman (24),34,2017,R
150,145.,Mark Christman (30),34,1944,R
151,145.,Harlond Clift (26),34,1939,R
152,145.,Joe Crede (28),34,2006,R
153,145.,Doug DeCinces (26),34,1977,R
154,145.,Bob Elliott (26),34,1943,R
155,145.,Jim Finigan (25),34,1954,R
156,145.,Pete Gilbert (23),34,1891,R
157,145.,Heinie Groh (25),34,1915,R
158,145.,Richie Hebner (26),34,1974,R
159,145.,Pinky Higgins (25),34,1934,R
160,145.,Don Hoak (32),34,1960,R
161,145.,Brandon Inge (29),34,2006,R
162,145.,Jimmy Johnston (31),34,1921,R
163,145.,George Kell+ (28),34,1951,R
164,145.,Kevin Kouzmanoff (26),34,2008,R
165,145.,Andy LaRoche (25),34,2009,R
166,145.,Freddie Lindstrom+ (22),34,1928,R
167,145.,Mike Lowell (31),34,2005,R
168,145.,Mike Lowell (33),34,2007,R
169,145.,Casey McGehee (31),34,2014,R
170,145.,Tony Perez+ (28),34,1970,R
171,145.,Doug Rader (24),34,1969,R
172,145.,Brooks Robinson+ (23),34,1960,R
173,145.,Brooks Robinson+ (24),34,1961,R
174,145.,Mike Schmidt+ (28),34,1978,R
175,145.,Mark Teahen (24),34,2006,R
176,145.,Robin Ventura (28),34,1996,R
177,145.,Tim Wallach (27),34,1985,R
178,145.,Jack Warner (23),34,1927,R
179,145.,Matt Williams (27),34,1993,R
180,145.,David Wright (27),34,2010,R
181,182.,Home Run Baker+ (32),33,1918,R
182,182.,Tony Batista (29),33,2003,R
183,182.,Adrian Beltre (24),33,2003,R
184,182.,Hank Blalock (23),33,2004,R
185,182.,Ray Boone (31),33,1955,R
186,182.,Ken Boyer (35),33,1966,R
187,182.,George Brett+ (24),33,1977,R
188,182.,George Brett+ (32),33,1985,R
189,182.,Miguel Cabrera (23),33,2006,R
190,182.,Miguel Cabrera (24),33,2007,R
191,182.,Eric Chavez (25),33,2003,R
192,182.,Darrell Evans (26),33,1973,R
193,182.,Todd Frazier (30),33,2016,R
194,182.,Bernie Friberg (23),33,1923,R
195,182.,Larry Gardner (32),33,1918,R
196,182.,Troy Glaus (23),33,2000,R
197,182.,Bert Haas (28),33,1942,R
198,182.,Willie Jones (25),33,1951,R
199,182.,Willie Kamm (28),33,1928,R
200,182.,Willie Kamm (31),33,1931,R
201,182.,Evan Longoria (31),33,2017,R
202,182.,Eddie Mathews+ (21),33,1953,R
203,182.,Marv Owen (28),33,1934,R
204,182.,Larry Parrish (21),33,1975,R
205,182.,Tony Perez+ (26),33,1968,R
206,182.,Placido Polanco (26),33,2002,R
207,182.,Aramis Ramirez (23),33,2001,R
208,182.,Aurelio Rodriguez (23),33,1971,R
209,182.,Aurelio Rodriguez (24),33,1972,R
210,182.,Aurelio Rodriguez (27),33,1975,R
211,182.,Rich Rollins (24),33,1962,R
212,182.,Ron Santo+ (22),33,1962,R
213,182.,Ron Santo+ (27),33,1967,R
214,182.,Ron Santo+ (28),33,1968,R
215,182.,Mike Schmidt+ (27),33,1977,R
216,182.,Kevin Seitzer (26),33,1988,R
217,182.,Robin Ventura (31),33,1999,R
218,182.,Don Wert (26),33,1965,R
219,182.,Matt Williams (24),33,1990,R
220,182.,Matt Williams (26),33,1992,R
221,222.,Max Alvis (25),32,1963,R
222,222.,Jimmy Austin (35),32,1915,R
223,222.,Adrian Beltre (25),32,2004,R
224,222.,Adrian Beltre (27),32,2006,R
225,222.,Casey Blake (35),32,2009,R
226,222.,Hank Blalock (22),32,2003,R
227,222.,Ray Boone (29),32,1953,R
228,222.,Clete Boyer (26),32,1963,R
229,222.,Ken Boyer (28),32,1959,R
230,222.,Andy Carey (22),32,1954,R
231,222.,Vinny Castilla (31),32,1999,R
232,222.,Harlond Clift (27),32,1940,R
233,222.,Lave Cross (33),32,1899,R
234,222.,Josh Donaldson (29),32,2015,R
235,222.,Eddie Foster (31),32,1918,R
236,222.,Heinie Groh (26),32,1916,R
237,222.,Toby Harrah (34),32,1983,R
238,222.,Fred Hatfield (27),32,1952,R
239,222.,Roy Howell (21),32,1975,R
240,222.,Randy Jackson (25),32,1951,R
241,222.,Billy Johnson (24),32,1943,R
242,222.,Billy Johnson (32),32,1951,R
243,222.,Willie Kamm (25),32,1925,R
244,222.,George Kell+ (22),32,1945,R
245,222.,Buddy Lewis (20),32,1937,R
246,222.,Buddy Lewis (21),32,1938,R
247,222.,Frank Malzone (32),32,1962,R
248,222.,Mike Moustakas (29),32,2018,R
249,222.,Bill Mueller (27),32,1998,R
250,222.,Terry Pendleton (32),32,1993,R
251,222.,Trevor Plouffe (29),32,2015,R
252,222.,Placido Polanco (34),32,2010,R
253,222.,Aramis Ramirez (24),32,2002,R
254,222.,Ken Reitz (25),32,1976,R
255,222.,Brooks Robinson+ (25),32,1962,R
256,222.,Scott Rolen (31),32,2006,R
257,222.,Kevin Seitzer (25),32,1987,R
258,222.,Travis Shaw (27),32,2017,R
259,222.,Jim Tabor (22),32,1939,R
260,222.,Jim Tabor (26),32,1943,R
261,222.,Pie Traynor+ (27),32,1926,R
262,222.,Robin Ventura (22),32,1990,R
263,222.,Ossie Vitt (26),32,1916,R
264,222.,Billy Werber (31),32,1939,R
265,266.,Nolan Arenado (23),31,2014,R
266,266.,Floyd Baker (32),31,1949,R
267,266.,Sal Bando (33),31,1977,R
268,266.,Buddy Bell (22),31,1974,R
269,266.,Adrian Beltre (31),31,2010,R
270,266.,Bobby Bonilla (26),31,1989,R
271,266.,Miguel Cabrera (29),31,2012,R
272,266.,John Castino (24),31,1979,R
273,266.,Eric Chavez (26),31,2004,R
274,266.,Harlond Clift (25),31,1938,R
275,266.,Doug DeCinces (30),31,1981,R
276,266.,Bob Dillinger (31),31,1950,R
277,266.,Bob Elliott (34),31,1951,R
278,266.,Morgan Ensberg (29),31,2005,R
279,266.,Pedro Feliz (31),31,2006,R
280,266.,Gary Gaetti (26),31,1985,R
281,266.,Wayne Garrett (26),31,1974,R
282,266.,Kelly Gruber (26),31,1988,R
283,266.,Richie Hebner (21),31,1969,R
284,266.,Don Hoak (31),31,1959,R
285,266.,Willie Jones (26),31,1952,R
286,266.,Willie Kamm (24),31,1924,R
287,266.,Buddy Lewis (22),31,1939,R
288,266.,Hank Majeski (33),31,1950,R
289,266.,Frank Malzone (27),31,1957,R
290,266.,Fred Marsh (27),31,1951,R
291,266.,Eddie Mathews+ (34),31,1966,R
292,266.,Pinky May (30),31,1941,R
293,266.,Barry McCormick (23),31,1898,R
294,266.,Casey McGehee (27),31,2010,R
295,266.,Bill Melton (27),31,1973,R
296,266.,Don Money (25),31,1972,R
297,266.,Eddie Mulligan (26),31,1921,R
298,266.,Graig Nettles (30),31,1975,R
299,266.,Graig Nettles (32),31,1977,R
300,266.,Terry Pendleton (30),31,1991,R
301,266.,Jim Presley (24),31,1986,R
302,266.,Doug Rader (27),31,1972,R
303,266.,Joe Randa (31),31,2001,R
304,266.,Anthony Rendon (29),31,2019,R
305,266.,Brooks Robinson+ (31),31,1968,R
306,266.,Chris Sabo (26),31,1988,R
307,266.,Ron Santo+ (24),31,1964,R
308,266.,Paul Schaal (28),31,1971,R
309,266.,Art Scharein (28),31,1933,R
310,266.,Mike Schmidt+ (30),31,1980,R
311,266.,Kevin Seitzer (28),31,1990,R
312,266.,Pie Traynor+ (25),31,1924,R
313,266.,Tim Wallach (30),31,1988,R
314,266.,Pinky Whitney (27),31,1932,R
315,266.,Maury Wills (34),31,1967,R
316,266.,David Wright (23),31,2006,R
317,266.,Eddie Yost (26),31,1953,R
318,266.,Eddie Yost (29),31,1956,R
319,320.,Dick Allen (22),30,1964,R
320,320.,Buddy Bell (26),30,1978,R
321,320.,Adrian Beltre (21),30,2000,R
322,320.,Tony Boeckel (27),30,1920,R
323,320.,Wade Boggs+ (26),30,1984,R
324,320.,Wade Boggs+ (27),30,1985,R
325,320.,Wade Boggs+ (28),30,1986,R
326,320.,Clete Boyer (30),30,1967,R
327,320.,Ken Boyer (33),30,1964,R
328,320.,Tom Burns (32),30,1889,R
329,320.,Vinny Castilla (36),30,2004,R
330,320.,Dave Chalk (24),30,1975,R
331,320.,Bob Dillinger (29),30,1948,R
332,320.,Troy Glaus (25),30,2002,R
333,320.,Heinie Groh (30),30,1920,R
334,320.,Charlie Hayes (25),30,1990,R
335,320.,Chipper Jones+ (37),30,2009,R
336,320.,Willie Jones (24),30,1950,R
337,320.,George Kell+ (27),30,1950,R
338,320.,Evan Longoria (30),30,2016,R
339,320.,Mike Lowell (30),30,2004,R
340,320.,Eddie Mathews+ (29),30,1961,R
341,320.,Paul Molitor+ (28),30,1985,R
342,320.,Mike Mowrey (26),30,1910,R
343,320.,Graig Nettles (31),30,1976,R
344,320.,Graig Nettles (33),30,1978,R
345,320.,Graig Nettles (34),30,1979,R
346,320.,Frank O'Rourke (37),30,1929,R
347,320.,Mike Pagliarulo (31),30,1991,R
348,320.,Martin Prado (32),30,2016,R
349,320.,Joe Randa (30),30,2000,R
350,320.,Anthony Rendon (24),30,2014,R
351,320.,Mark Reynolds (25),30,2009,R
352,320.,Brooks Robinson+ (21),30,1958,R
353,320.,Brooks Robinson+ (33),30,1970,R
354,320.,Brooks Robinson+ (38),30,1975,R
355,320.,Alex Rodriguez (31),30,2007,R
356,320.,Aurelio Rodriguez (25),30,1973,R
357,320.,Scott Rolen (22),30,1997,R
358,320.,Mike Schmidt+ (23),30,1973,R
359,320.,Mike Schmidt+ (25),30,1975,R
360,320.,Eugenio Suarez (25),30,2017,R
361,320.,Fernando Tatis (24),30,1999,R
362,320.,Cecil Travis (26),30,1940,R
363,320.,Pie Traynor+ (24),30,1923,R
364,320.,Billy Werber (33),30,1941,R
365,320.,Don Wert (25),30,1964,R
366,320.,Matt Williams (25),30,1991,R
367,320.,Matt Williams (33),30,1999,R
368,320.,Ryan Zimmerman (21),30,2006,R
369,370.,Sparky Adams (36),29,1931,R
370,370.,Edgardo Alfonzo (23),29,1997,R
371,370.,Dick Allen (23),29,1965,R
372,370.,Sal Bando (28),29,1972,R
373,370.,Buddy Bell (23),29,1975,R
374,370.,Buddy Bell (31),29,1983,R
375,370.,Casey Blake (29),29,2003,R
376,370.,Ossie Bluege (22),29,1923,R
377,370.,Ossie Bluege (24),29,1925,R
378,370.,Wade Boggs+ (31),29,1989,R
379,370.,Wade Boggs+ (35),29,1993,R
380,370.,Bobby Bonilla (34),29,1997,R
381,370.,Scott Brosius (31),29,1998,R
382,370.,Ken Caminiti (28),29,1991,R
383,370.,Ron Cey (29),29,1977,R
384,370.,Jeff Cirillo (27),29,1997,R
385,370.,Joe Crede (25),29,2003,R
386,370.,Mike Cubbage (26),29,1977,R
387,370.,David Freese (29),29,2012,R
388,370.,David Freese (34),29,2017,R
389,370.,Gene Freese (26),29,1960,R
390,370.,Jeff Hamilton (25),29,1989,R
391,370.,Grady Hatton (26),29,1949,R
392,370.,Charlie Hayes (27),29,1992,R
393,370.,Pinky Higgins (28),29,1937,R
394,370.,Don Hoak (29),29,1957,R
395,370.,Don Hoak (30),29,1958,R
396,370.,Don Hoak (33),29,1961,R
397,370.,Willie Kamm (23),29,1923,R
398,370.,Ken Keltner (30),29,1947,R
399,370.,Kevin Kouzmanoff (28),29,2010,R
400,370.,Whitey Kurowski (25),29,1943,R
401,370.,Carney Lansford (22),29,1979,R
402,370.,Carney Lansford (23),29,1980,R
403,370.,Evan Longoria (29),29,2015,R
404,370.,Jose Lopez (26),29,2010,R
405,370.,Denny Lyons (21),29,1887,R
406,370.,Denny Lyons (23),29,1889,R
407,370.,Marty McManus (29),29,1929,R
408,370.,Ken McMullen (23),29,1965,R
409,370.,Bill Melton (28),29,1974,R
410,370.,Steve Mesner (25),29,1943,R
411,370.,Graig Nettles (29),29,1974,R
412,370.,Marv Owen (32),29,1938,R
413,370.,Andy Pafko (27),29,1948,R
414,370.,Johnny Pesky (31),29,1950,R
415,370.,Ken Reitz (23),29,1974,R
416,370.,Yolmer Sanchez (26),29,2018,R
417,370.,Ron Santo+ (31),29,1971,R
418,370.,Mike Schmidt+ (26),29,1976,R
419,370.,Mike Schmidt+ (33),29,1983,R
420,370.,George Scott (25),29,1969,R
421,370.,Ed Sprague (28),29,1996,R
422,370.,Harry Steinfeldt (26),29,1902,R
423,370.,Felix Torres (31),29,1963,R
424,370.,Cecil Travis (21),29,1935,R
425,370.,Robin Ventura (23),29,1991,R
426,370.,Robin Ventura (24),29,1992,R
427,370.,Tim Wallach (26),29,1984,R
428,370.,Pinky Whitney (24),29,1929,R
429,370.,Pinky Whitney (25),29,1930,R
430,370.,Eddie Yost (27),29,1954,R
431,370.,Michael Young (32),29,2009,R
432,433.,Bobby Adams (30),28,1952,R
433,433.,Shane Andrews (26),28,1998,R
434,433.,Floyd Baker (30),28,1947,R
435,433.,Sal Bando (30),28,1974,R
436,433.,Buddy Bell (32),28,1984,R
437,433.,Buddy Bell (34),28,1986,R
438,433.,Adrian Beltre (36),28,2015,R
439,433.,Ossie Bluege (31),28,1932,R
440,433.,Clete Boyer (27),28,1964,R
441,433.,Alex Bregman (23),28,2017,R
442,433.,George Brett+ (26),28,1979,R
443,433.,George Brett+ (27),28,1980,R
444,433.,Ken Caminiti (32),28,1995,R
445,433.,Ken Caminiti (33),28,1996,R
446,433.,Vinny Castilla (35),28,2003,R
447,433.,Ed Charles (32),28,1965,R
448,433.,Eric Chavez (27),28,2005,R
449,433.,Harlond Clift (21),28,1934,R
450,433.,Harlond Clift (29),28,1942,R
451,433.,Billy Cox (29),28,1949,R
452,433.,Joe Crede (27),28,2005,R
453,433.,Jim Davenport (28),28,1962,R
454,433.,Matt Dominguez (23),28,2013,R
455,433.,Joe Dugan (26),28,1923,R
456,433.,Eduardo Escobar (30),28,2019,R
457,433.,Darrell Evans (32),28,1979,R
458,433.,Pedro Feliz (32),28,2007,R
459,433.,Joe Foy (23),28,1966,R
460,433.,Todd Frazier (32),28,2018,R
461,433.,Gary Gaetti (28),28,1987,R
462,433.,Phil Garner (28),28,1977,R
463,433.,Heinie Groh (27),28,1917,R
464,433.,Charlie Hayes (31),28,1996,R
465,433.,Pinky Higgins (29),28,1938,R
466,433.,Roy Howell (25),28,1979,R
467,433.,Charlie Irwin (27),28,1896,R
468,433.,Chipper Jones+ (26),28,1998,R
469,433.,Jeff King (28),28,1993,R
470,433.,Ray Knight (34),28,1987,R
471,433.,Whitey Kurowski (27),28,1945,R
472,433.,Coco Laboy (28),28,1969,R
473,433.,Cookie Lavagetto (26),28,1939,R
474,433.,Vance Law (26),28,1983,R
475,433.,Hank Majeski (30),28,1947,R
476,433.,Eddie Mathews+ (22),28,1954,R
477,433.,Pinky May (28),28,1939,R
478,433.,Bill McKechnie+ (27),28,1914,R
479,433.,Melvin Mora (36),28,2008,R
480,433.,Marv Owen (30),28,1936,R
481,433.,Martin Prado (31),28,2015,R
482,433.,Jim Presley (25),28,1987,R
483,433.,Doug Rader (26),28,1971,R
484,433.,Doug Rader (29),28,1974,R
485,433.,Joe Randa (29),28,1999,R
486,433.,Anthony Rendon (27),28,2017,R
487,433.,Scott Rolen (23),28,1998,R
488,433.,Scott Rolen (35),28,2010,R
489,433.,Red Rolfe (32),28,1941,R
490,433.,Luis Salazar (26),28,1982,R
491,433.,Mike Schmidt+ (32),28,1982,R
492,433.,Mike Schmidt+ (37),28,1987,R
493,433.,Kevin Seitzer (27),28,1989,R
494,433.,Joe Sewell+ (30),28,1929,R
495,433.,Sibby Sisti (20),28,1941,R
496,433.,Red Smith (24),28,1914,R
497,433.,Chad Tracy (24),28,2004,R
498,433.,John Valentin (31),28,1998,R
499,433.,Craig Worthington (25),28,1990,R
