,Rank,Player (age that year),Hits,Year,Bats
212,202.,Benny Kauff (24),211,1914,L
213,202.,Don Mattingly (24),211,1985,L
214,202.,Paul Molitor+ (36),211,1993,R
215,202.,Sam Rice+ (30),211,1920,L
216,202.,Cal Ripken Jr.+ (22),211,1983,R
217,202.,Al Simmons+ (28),211,1930,R
218,202.,Tris Speaker+ (28),211,1916,L
219,202.,Garry Templeton (23),211,1979,B
220,202.,Sam Thompson+ (35),211,1895,L
221,222.,Felipe Alou (33),210,1968,R
222,222.,Craig Biggio+ (32),210,1998,R
223,222.,Wade Boggs+ (25),210,1983,L
224,222.,Steve Brodie (25),210,1894,L
225,222.,Lave Cross (28),210,1894,R
226,222.,Steve Garvey (26),210,1975,R
227,222.,Lou Gehrig+ (25),210,1928,L
228,222.,Lou Gehrig+ (31),210,1934,L
229,222.,Keith Hernandez (25),210,1979,L
230,222.,Willie Keeler+ (24),210,1896,L
231,222.,Buddy Lewis (20),210,1937,L
232,222.,Kenny Lofton (29),210,1996,L
233,222.,Kirby Puckett+ (32),210,1992,R
234,222.,Cal Ripken Jr.+ (30),210,1991,R
235,222.,Mickey Rivers (31),210,1980,L
236,222.,Pete Rose (27),210,1968,B
237,222.,Pete Rose (34),210,1975,B
238,222.,Steve Sax (26),210,1986,R
239,222.,Robin Yount+ (26),210,1982,R
240,241.,Earl Averill+ (29),209,1931,L
241,241.,Dave Bancroft+ (31),209,1922,B
242,241.,Ginger Beaumont (26),209,1903,L
243,241.,Roberto Clemente+ (32),209,1967,R
244,241.,Lew Fonseca (30),209,1929,R
245,241.,Nomar Garciaparra (23),209,1997,R
246,241.,Charlie Gehringer+ (34),209,1937,L
247,241.,Todd Helton (29),209,2003,L
248,241.,Hughie Jennings+ (27),209,1896,R
249,241.,Harvey Kuenn (22),209,1953,R
250,241.,Denny Lyons (21),209,1887,R
251,241.,Frank McCormick (27),209,1938,R
252,241.,Frank McCormick (28),209,1939,R
253,241.,Al Oliver (33),209,1980,L
254,241.,Bobby Richardson (26),209,1962,R
255,241.,Pete Rose (24),209,1965,B
256,241.,Alfonso Soriano (26),209,2002,R
257,241.,Jigger Statz (25),209,1923,R
258,241.,Fred Tenney (27),209,1899,L
259,260.,Ty Cobb+ (28),208,1915,L
260,260.,Pete Fox (28),208,1937,R
261,260.,Frankie Frisch+ (29),208,1927,B
262,260.,Lou Gehrig+ (29),208,1932,L
263,260.,Nap Lajoie+ (29),208,1904,R
264,260.,Mark Loretta (32),208,2004,R
265,260.,Willie Mays+ (27),208,1958,R
266,260.,Wally Moses (26),208,1937,L
267,260.,Johnny Pesky (27),208,1946,L
268,260.,Vada Pinson (22),208,1961,L
269,260.,Frank Robinson+ (26),208,1962,R
270,260.,Pete Rose (38),208,1979,B
271,260.,George Stone (29),208,1906,L
272,260.,Ichiro Suzuki (28),208,2002,L
273,260.,Pie Traynor+ (24),208,1923,R
274,260.,Larry Walker+ (30),208,1997,L
275,260.,Buck Weaver (29),208,1920,B
276,260.,Maury Wills (29),208,1962,B
277,260.,Hack Wilson+ (30),208,1930,R
278,279.,Wade Boggs+ (28),207,1986,L
279,279.,Max Carey+ (32),207,1922,B
280,279.,Starlin Castro (21),207,2011,R
281,279.,Bob Dillinger (29),207,1948,R
282,279.,Marquis Grissom (29),207,1996,R
283,279.,Don Mattingly (23),207,1984,L
284,279.,Stan Musial+ (28),207,1949,L
285,279.,Johnny Pesky (28),207,1947,L
286,279.,Kirby Puckett+ (27),207,1987,R
287,279.,Rip Radcliff (30),207,1936,L
288,279.,Sam Rice+ (40),207,1930,L
289,279.,Kevin Seitzer (25),207,1987,R
290,279.,B.J. Surhoff (34),207,1999,L
291,279.,Jack Tobin (30),207,1922,L
292,279.,Mo Vaughn (28),207,1996,L
293,279.,Bobby Veach (33),207,1921,L
294,279.,Mickey Vernon (28),207,1946,L
295,279.,Pinky Whitney (25),207,1930,R
296,279.,Heinie Zimmerman (25),207,1912,R
297,298.,Rich Aurilia (29),206,2001,R
298,298.,Bret Boone (32),206,2001,R
299,298.,Lou Brock+ (28),206,1967,L
300,298.,Dave Cash (26),206,1974,R
301,298.,Vinny Castilla (30),206,1998,R
302,298.,Fred Clarke+ (26),206,1899,L
303,298.,Joe DiMaggio+ (21),206,1936,R
304,298.,Taylor Douthit (28),206,1929,R
305,298.,Johnny Frederick (27),206,1929,L
306,298.,Johnny Frederick (28),206,1930,L
307,298.,Luis Gonzalez (31),206,1999,L
308,298.,Vladimir Guerrero+ (27),206,2002,R
309,298.,Vladimir Guerrero+ (29),206,2004,R
310,298.,Billy Herman+ (22),206,1932,R
311,298.,Derek Jeter+ (33),206,2007,R
312,298.,Whit Merrifield (30),206,2019,R
313,298.,Willie Montanez (28),206,1976,L
314,298.,Jim Rice+ (24),206,1977,R
315,298.,Lance Richbourg (30),206,1928,L
316,298.,Ichiro Suzuki (31),206,2005,L
317,298.,Mike Sweeney (26),206,2000,R
318,298.,Hal Trosky (21),206,1934,L
319,298.,Lou Whitaker (26),206,1983,L
320,321.,Richie Ashburn+ (26),205,1953,L
321,321.,Carlos Baerga (23),205,1992,B
322,321.,Wade Boggs+ (31),205,1989,L
323,321.,Al Bumbry (33),205,1980,L
324,321.,Miguel Cabrera (29),205,2012,R
325,321.,Fred Clarke+ (24),205,1897,L
326,321.,Cecil Cooper (32),205,1982,L
327,321.,Jake Daubert (38),205,1922,L
328,321.,Lou Gehrig+ (33),205,1936,L
329,321.,Jack Glasscock (31),205,1889,R
330,321.,Dee Strange-Gordon (27),205,2015,L
331,321.,Rogers Hornsby+ (31),205,1927,R
332,321.,Jo-Jo Moore (27),205,1936,L
333,321.,Stan Musial+ (30),205,1951,L
334,321.,Johnny Pesky (23),205,1942,L
335,321.,Vada Pinson (20),205,1959,L
336,321.,Pete Rose (25),205,1966,B
337,321.,Pete Rose (29),205,1970,B
338,321.,Babe Ruth+ (28),205,1923,L
339,321.,Steve Sax (29),205,1989,R
340,321.,George Sisler+ (36),205,1929,L
341,321.,Snuffy Stirnweiss (25),205,1944,R
342,321.,Alan Trammell+ (29),205,1987,R
343,321.,Mo Vaughn (30),205,1998,L
344,321.,Mickey Vernon (35),205,1953,L
345,321.,Billy Williams+ (32),205,1970,L
346,347.,Jose Altuve (27),204,2017,R
347,347.,Luke Appling+ (29),204,1936,R
348,347.,Carson Bigbee (26),204,1921,L
349,347.,Robinson Cano (26),204,2009,L
350,347.,Jimmie Foxx+ (25),204,1933,R
351,347.,Steve Garvey (30),204,1979,R
352,347.,Charlie Gehringer+ (30),204,1933,L
353,347.,Doug Glanville (28),204,1999,R
354,347.,Hughie Jennings+ (26),204,1895,R
355,347.,Willie Keeler+ (28),204,1900,L
356,347.,Heinie Manush+ (27),204,1929,L
357,347.,Irish Meusel (29),204,1922,R
358,347.,Dale Mitchell (26),204,1948,L
359,347.,Johnny Mize+ (24),204,1937,L
360,347.,Ed Morgan (26),204,1930,R
361,347.,Tony Oliva (31),204,1970,L
362,347.,Al Oliver (35),204,1982,L
363,347.,Juan Pierre (25),204,2003,L
364,347.,Juan Pierre (28),204,2006,L
365,347.,Vada Pinson (24),204,1963,L
366,347.,Vada Pinson (26),204,1965,L
367,347.,Jose Reyes (25),204,2008,B
368,347.,Pete Rose (36),204,1977,B
369,347.,Babe Ruth+ (26),204,1921,L
370,347.,Joe Sewell+ (26),204,1925,L
371,347.,Milt Stock (26),204,1920,R
372,347.,Bill Sweeney (26),204,1912,R
373,347.,Miguel Tejada (28),204,2002,R
374,347.,Cesar Tovar (30),204,1971,R
375,347.,George Van Haltren (32),204,1898,L
376,347.,Bernie Williams (33),204,2002,B
377,347.,Michael Young (26),204,2003,R
378,347.,Ross Youngs+ (23),204,1920,L
379,380.,Wade Boggs+ (26),203,1984,L
380,380.,Ryan Braun (25),203,2009,R
381,380.,Jesse Burkett+ (31),203,1900,L
382,380.,Rod Carew+ (27),203,1973,L
383,380.,Earle Combs+ (26),203,1925,L
384,380.,Cecil Cooper (33),203,1983,L
385,380.,Joe Cronin+ (23),203,1930,R
386,380.,Hugh Duffy+ (26),203,1893,R
387,380.,Augie Galan (23),203,1935,B
388,380.,Hank Greenberg+ (24),203,1935,R
389,380.,Tony Gwynn+ (29),203,1989,L
390,380.,Rogers Hornsby+ (29),203,1925,R
391,380.,Woody Jensen (27),203,1935,L
392,380.,Derek Jeter+ (24),203,1998,R
393,380.,Jimmy Johnston (31),203,1921,R
394,380.,Jimmy Johnston (33),203,1923,R
395,380.,Hank Leiber (24),203,1935,R
396,380.,Dale Mitchell (27),203,1949,L
397,380.,Rafael Palmeiro (26),203,1991,L
398,380.,Jackie Robinson+ (30),203,1949,R
399,380.,Jean Segura (26),203,2016,R
400,380.,Ruben Sierra (25),203,1991,B
401,380.,Stan Spence (27),203,1942,L
402,380.,Miguel Tejada (30),203,2004,R
403,380.,Bill Terry+ (36),203,1935,L
404,380.,Sam Thompson+ (27),203,1887,L
405,380.,Joe Torre+ (29),203,1970,R
406,380.,Chase Utley (27),203,2006,L
407,380.,Billy Williams+ (27),203,1965,L
408,409.,Lou Brock+ (31),202,1970,L
409,409.,Roberto Clemente+ (31),202,1966,R
410,409.,Earle Combs+ (30),202,1929,L
411,409.,Doc Cramer (28),202,1934,L
412,409.,Kiki Cuyler+ (32),202,1931,R
413,409.,Woody English (25),202,1931,R
414,409.,Steve Garvey (29),202,1978,R
415,409.,Vladimir Guerrero+ (23),202,1998,R
416,409.,Shoeless Joe Jackson (28),202,1916,L
417,409.,Derek Jeter+ (31),202,2005,R
418,409.,Alex Johnson (27),202,1970,R
419,409.,Willie Keeler+ (29),202,1901,L
420,409.,Bill Lamar (28),202,1925,L
421,409.,Wally Moses (25),202,1936,L
422,409.,Lefty O'Doul (33),202,1930,L
423,409.,Juan Pierre (23),202,2001,L
424,409.,Carl Reynolds (27),202,1930,R
425,409.,Sam Rice+ (38),202,1928,L
426,409.,Chick Stahl (26),202,1899,L
427,409.,Shannon Stewart (27),202,2001,R
428,409.,Milt Stock (31),202,1925,R
429,409.,Fresco Thompson (27),202,1929,R
430,409.,Jack Tobin (28),202,1920,L
431,409.,Jack Tobin (31),202,1923,L
432,409.,Bobby Veach (34),202,1922,L
433,409.,Bernie Williams (30),202,1999,B
434,435.,Hank Aaron+ (29),201,1963,R
435,435.,Dick Allen (22),201,1964,R
436,435.,Matty Alou (31),201,1970,L
437,435.,Garret Anderson (31),201,2003,L
438,435.,Eddie Brown (34),201,1926,R
439,435.,Bill Buckner (32),201,1982,L
440,435.,Bill Buckner (35),201,1985,L
441,435.,Melky Cabrera (26),201,2011,B
442,435.,Roberto Clemente+ (26),201,1961,R
443,435.,Ty Cobb+ (29),201,1916,L
444,435.,Rafael Devers (22),201,2019,L
445,435.,Taylor Douthit (29),201,1930,R
446,435.,Nellie Fox+ (26),201,1954,L
447,435.,Julio Franco (32),201,1991,R
448,435.,Charlie Gehringer+ (27),201,1930,L
449,435.,Charlie Gehringer+ (32),201,1935,L
450,435.,Dee Strange-Gordon (29),201,2017,L
451,435.,Goose Goslin+ (24),201,1925,L
452,435.,Goose Goslin+ (25),201,1926,L
453,435.,Hank Greenberg+ (23),201,1934,R
454,435.,Dick Groat (32),201,1963,R
455,435.,Mark Grudzielanek (26),201,1996,R
456,435.,Billy Hamilton+ (29),201,1895,L
457,435.,Harry Heilmann+ (32),201,1927,R
458,435.,Charlie Hollocher (26),201,1922,L
459,435.,Ender Inciarte (26),201,2017,L
460,435.,Derek Jeter+ (26),201,2000,R
461,435.,Roy Johnson (26),201,1929,L
462,435.,Harvey Kuenn (23),201,1954,R
463,435.,Austin McHenry (25),201,1921,R
464,435.,Joe Medwick+ (27),201,1939,R
465,435.,Irish Meusel (28),201,1921,R
466,435.,Paul Molitor+ (25),201,1982,R
467,435.,Jo-Jo Moore (26),201,1935,L
468,435.,Dustin Pedroia (32),201,2016,R
469,435.,Mike Piazza+ (28),201,1997,R
470,435.,Jim Rice+ (26),201,1979,R
471,435.,Alex Rodriguez (25),201,2001,R
472,435.,Al Rosen (29),201,1953,R
473,435.,George Sisler+ (34),201,1927,L
474,435.,Moose Solters (29),201,1935,R
475,435.,Joe Vosmik (28),201,1938,R
476,435.,Honus Wagner+ (26),201,1900,R
477,435.,Honus Wagner+ (34),201,1908,R
478,435.,Zack Wheat+ (34),201,1922,L
479,435.,Billy Williams+ (26),201,1964,L
480,435.,Jack Wilson (26),201,2004,R
481,435.,Michael Young (30),201,2007,R
482,483.,Hank Aaron+ (22),200,1956,R
483,483.,Jose Altuve (25),200,2015,R
484,483.,Carlos Baerga (24),200,1993,B
485,483.,Home Run Baker+ (26),200,1912,L
486,483.,Buddy Bell (27),200,1979,R
487,483.,Albert Belle (31),200,1998,R
488,483.,Adrian Beltre (25),200,2004,R
489,483.,Wade Boggs+ (29),200,1987,L
490,483.,Bobby Bonds (24),200,1970,R
491,483.,Michael Brantley (27),200,2014,L
492,483.,Lou Brock+ (25),200,1964,L
493,483.,Lou Brock+ (32),200,1971,L
494,483.,Dick Burrus (27),200,1925,L
495,483.,Robinson Cano (27),200,2010,L
496,483.,Rod Carew+ (30),200,1976,L
497,483.,Joe Carter (26),200,1986,R
498,483.,Ripper Collins (30),200,1934,B
499,483.,Doc Cramer (34),200,1940,L
500,483.,Ed Delahanty+ (26),200,1894,R
501,483.,Ed Delahanty+ (29),200,1897,R
502,483.,Elmer Flick+ (24),200,1900,L
503,483.,Curt Flood (25),200,1963,R
504,483.,Chick Fullis (32),200,1933,R
505,483.,Ralph Garr (27),200,1973,L
506,483.,Steve Garvey (25),200,1974,R
507,483.,Steve Garvey (27),200,1976,R
508,483.,Steve Garvey (31),200,1980,R
509,483.,Lou Gehrig+ (34),200,1937,L
510,483.,Hank Greenberg+ (26),200,1937,R
511,483.,Vladimir Guerrero+ (31),200,2006,R
512,483.,Al Kaline+ (20),200,1955,R
513,483.,Chuck Klein+ (26),200,1931,L
514,483.,Barney McCosky (23),200,1940,L
515,483.,Stan Musial+ (32),200,1953,L
516,483.,John Olerud (24),200,1993,L
517,483.,Placido Polanco (31),200,2007,R
518,483.,Rip Radcliff (34),200,1940,L
519,483.,Jim Rice+ (33),200,1986,R
520,483.,Phil Rizzuto+ (32),200,1950,R
521,483.,Babe Ruth+ (29),200,1924,L
522,483.,Freddy Sanchez (28),200,2006,R
523,483.,Ryne Sandberg+ (24),200,1984,R
524,483.,Red Schoendienst+ (34),200,1957,B
525,483.,Al Simmons+ (29),200,1931,R
526,483.,Al Simmons+ (31),200,1933,R
527,483.,Garry Templeton (21),200,1977,B
528,483.,Randy Velarde (36),200,1999,R
529,483.,Jose Vidro (25),200,2000,B
530,483.,Dick Wakefield (22),200,1943,L
531,483.,Paul Waner+ (26),200,1929,L
532,483.,Billy Werber (26),200,1934,R
533,483.,Bill White (29),200,1963,L
534,483.,Pinky Whitney (24),200,1929,R
535,483.,Ross Youngs+ (26),200,1923,L
