,Rank,Player (age that year),Innings Pitched,Year,Throws
52,53.,Tommy Bond (21),521.0,1877,R
53,54.,Ed Seward (21),518.2,1888,R
54,55.,Will White (25),517.1,1880,R
55,56.,Larry Corcoran (24),516.2,1884,R
56,57.,Bobby Mathews (24),516.0,1876,R
57,58.,Jim Whitney (25),514.0,1883,R
58,59.,Mark Baldwin (25),513.2,1889,R
59,60.,Terry Larkin (23),513.1,1879,R
60,61.,Larry McKeon (18),512.0,1884,
61,62.,Old Hoss Radbourn+ (31),509.1,1886,R
62,63.,Sadie McMahon (22),509.0,1890,R
63,64.,Kid Gleason (23),506.0,1890,R
64,64.,Terry Larkin (22),506.0,1878,R
65,66.,Dave Foutz (29),504.0,1886,R
66,67.,Sadie McMahon (23),503.0,1891,R
67,67.,Frank Mountain (23),503.0,1883,R
68,69.,Terry Larkin (21),501.0,1877,R
69,70.,Hugh Daily (36),500.2,1884,R
70,71.,Amos Rusie+ (20),500.1,1891,R
71,72.,Mickey Welch+ (26),500.0,1886,R
72,73.,Jack Lynch (27),496.0,1884,R
73,74.,George Derby (23),494.2,1881,R
74,75.,Bob Barr (33),493.1,1890,R
75,76.,Tommy Bond (24),493.0,1880,R
76,77.,Mark Baldwin (26),492.0,1890,R
77,77.,Charlie Sweeney (21),492.0,1884,R
78,77.,Mickey Welch+ (25),492.0,1885,R
79,80.,Phenomenal Smith (22),491.1,1887,L
80,81.,Lady Baldwin (27),487.0,1886,L
81,81.,George Bradley (26),487.0,1879,R
82,83.,John Clarkson+ (26),483.1,1888,R
83,84.,Tim Keefe+ (27),483.0,1884,R
84,85.,Bob Caruthers (21),482.1,1885,R
85,86.,Amos Rusie+ (22),482.0,1893,R
86,87.,Henry Porter (27),481.2,1885,R
87,88.,Matt Kilroy (23),480.2,1889,L
88,89.,Guy Hecker (29),480.0,1885,R
89,89.,Ed Morris (25),480.0,1888,L
90,89.,Will White (27),480.0,1882,R
91,92.,Tim Keefe+ (30),476.2,1887,R
92,93.,Adonis Terry (19),476.0,1884,R
93,94.,Ed Beatin (23),474.1,1890,L
94,95.,Pud Galvin+ (24),474.0,1881,R
95,95.,Henry Porter (30),474.0,1888,R
96,97.,Larry Corcoran (23),473.2,1883,R
97,98.,Ed Seward (20),470.2,1887,R
98,99.,Gus Weyhing (25),469.2,1892,R
99,100.,Guy Hecker (27),469.0,1883,R
100,101.,Will White (23),468.0,1878,R
101,102.,John Clarkson+ (24),466.2,1886,R
102,103.,Gus Weyhing (20),466.1,1887,R
103,104.,Old Hoss Radbourn+ (27),466.0,1882,R
104,105.,Ed Walsh+ (27),464.0,1908,R
105,106.,Lee Richmond (24),462.1,1881,L
106,107.,Phil Knell (26),462.0,1891,L
107,108.,Silver King (22),461.0,1890,R
108,109.,John Clarkson+ (29),460.2,1891,R
109,109.,Tony Mullane (24),460.2,1883,R
110,111.,Tony Mullane (23),460.1,1882,R
111,112.,Frank Killen (21),459.2,1892,L
112,113.,Pud Galvin+ (23),458.2,1880,R
113,114.,Silver King (21),458.0,1889,R
114,115.,Harry McCormick (23),457.1,1879,R
115,116.,Will White (29),456.0,1884,R
116,117.,Bob Emslie (25),455.1,1884,R
117,118.,Jack Chesbro+ (30),454.2,1904,R
118,119.,Bert Cunningham (22),453.1,1888,R
119,120.,Kid Nichols+ (22),453.0,1892,R
120,120.,Cy Young+ (25),453.0,1892,R
121,122.,Gus Weyhing (24),450.0,1891,R
122,123.,Gus Weyhing (22),449.0,1889,R
123,124.,Theodore Breitenstein (25),447.1,1894,L
124,124.,Mike Smith (19),447.1,1887,L
125,126.,Old Hoss Radbourn+ (30),445.2,1885,R
126,127.,Pud Galvin+ (25),445.1,1882,R
127,128.,Bob Caruthers (25),445.0,1889,R
128,129.,Pink Hawley (22),444.1,1895,R
129,130.,Amos Rusie+ (23),444.0,1894,R
130,131.,Al Mays (22),441.1,1887,R
131,131.,Jim Whitney (27),441.1,1885,R
132,133.,Fleury Sullivan (22),441.0,1884,
133,134.,Pud Galvin+ (30),440.2,1887,R
134,135.,Mark Baldwin (28),440.1,1892,R
135,136.,Ed Daily (22),440.0,1885,R
136,136.,Jack Stivetts (23),440.0,1891,R
137,138.,Hardie Henderson (21),439.1,1884,R
138,139.,Theodore Breitenstein (26),438.2,1895,L
139,140.,Mark Baldwin (27),437.2,1891,R
140,141.,Pud Galvin+ (31),437.1,1888,R
141,142.,Pud Galvin+ (29),434.2,1886,R
142,143.,Charlie Buffinton (24),434.1,1885,R
143,143.,Tim Keefe+ (31),434.1,1888,R
144,145.,Joe McGinnity+ (32),434.0,1903,R
145,146.,Jack Lynch (29),432.2,1886,R
146,147.,Frank Killen (25),432.1,1896,L
147,148.,Scott Stratton (20),431.0,1890,R
148,149.,Bobby Mathews (32),430.2,1884,R
149,150.,Ed Morris (21),429.2,1884,L
150,151.,Stump Weidman (25),427.2,1886,R
151,152.,Tony Mullane (32),426.1,1891,R
152,153.,Mickey Welch+ (23),426.0,1883,R
153,154.,Kid Nichols+ (21),425.1,1891,R
154,154.,Mickey Welch+ (28),425.1,1888,R
155,156.,Kid Nichols+ (23),425.0,1893,R
156,156.,Old Hoss Radbourn+ (32),425.0,1887,R
157,158.,Kid Nichols+ (20),424.0,1890,R
158,158.,Henry Porter (28),424.0,1886,R
159,160.,Cy Young+ (24),423.2,1891,R
160,161.,Cy Young+ (26),422.2,1893,R
161,162.,Bobby Mathews (33),422.1,1885,R
162,162.,Ed Walsh+ (26),422.1,1907,R
163,164.,Ice Box Chamberlain (21),421.2,1889,R
164,165.,Guy Hecker (30),420.2,1886,R
165,166.,Harry Staley (22),420.0,1889,R
166,166.,Jim Whitney (24),420.0,1882,R
167,168.,Jack Stivetts (22),419.1,1890,R
168,169.,Kid Gleason (24),418.0,1891,R
169,169.,Jouett Meekin (27),418.0,1894,R
170,171.,Charlie Ferguson (21),416.2,1884,R
171,172.,Tony Mullane (28),416.1,1887,R
172,173.,Jack Stivetts (24),415.2,1892,R
173,174.,Kid Carsey (18),415.0,1891,R
174,174.,Frank Killen (22),415.0,1893,L
175,176.,Cy Young+ (29),414.1,1896,R
176,177.,Frank Foreman (26),414.0,1889,R
177,178.,Bob Barr (27),413.0,1884,R
178,179.,Lee Richmond (25),411.0,1882,L
179,179.,Stump Weidman (21),411.0,1882,R
180,181.,Silver King (24),410.1,1892,R
181,181.,Park Swartzel (23),410.1,1889,R
182,183.,Vic Willis+ (26),410.0,1902,R
183,184.,Cy Young+ (27),408.2,1894,R
184,185.,Tommy Bond (20),408.0,1876,R
185,185.,Joe McGinnity+ (33),408.0,1904,R
186,187.,Dave Foutz (28),407.2,1885,R
187,188.,Kid Nichols+ (24),407.0,1894,R
188,189.,Ice Box Chamberlain (24),406.1,1892,R
189,190.,Ice Box Chamberlain (23),405.2,1891,R
190,191.,Charlie Ferguson (22),405.0,1885,R
191,191.,Fred Goldsmith (26),405.0,1882,R
192,193.,Jim Whitney (29),404.2,1887,R
193,194.,Pretzels Getzien (24),404.0,1888,R
194,194.,Gus Weyhing (21),404.0,1888,R
195,196.,Tim Keefe+ (24),403.0,1881,R
196,196.,Hank O'Day+ (28),403.0,1888,R
197,198.,Stump Weidman (22),402.1,1883,R
198,199.,Hank Gastright (25),401.1,1890,R
199,199.,Billy Rhines (21),401.1,1890,R
200,201.,Jesse Duryea (29),401.0,1889,R
201,202.,Sam Weaver (27),400.2,1883,R
202,203.,Charlie Buffinton (27),400.1,1888,R
203,204.,Kid Gleason (25),400.0,1892,R
204,204.,Tim Keefe+ (28),400.0,1885,R
205,206.,Dupee Shaw (26),399.2,1885,L
206,207.,Jack Taylor (25),397.1,1898,R
207,208.,Sadie McMahon (24),397.0,1892,R
208,209.,Al Atkinson (25),396.2,1886,R
209,209.,Larry Corcoran (21),396.2,1881,R
210,209.,Harry Staley (23),396.2,1890,R
211,212.,Charlie Ferguson (23),395.2,1886,R
212,213.,Jersey Bakley (20),394.2,1884,R
213,214.,George Cobb (26),394.1,1892,L
214,215.,George Bradley (24),394.0,1877,R
215,216.,Al Atkinson (23),393.2,1884,R
216,217.,Amos Rusie+ (24),393.1,1895,R
217,218.,Ed Walsh+ (31),393.0,1912,R
218,218.,Jim Whitney (28),393.0,1886,R
219,220.,Dave Davenport (25),392.2,1915,R
220,220.,Pink Hawley (21),392.2,1894,R
221,222.,Bob Caruthers (24),391.2,1888,R
222,223.,Pete Conway (21),391.0,1888,R
223,223.,John Harkins (25),391.0,1884,R
224,225.,Christy Mathewson+ (27),390.2,1908,R
225,225.,Kid Nichols+ (25),390.2,1895,R
226,227.,Dan Casey (24),390.1,1887,L
227,227.,Jack Powell (29),390.1,1904,R
228,229.,Silver King (19),390.0,1887,R
229,229.,Gus Weyhing (23),390.0,1890,R
230,231.,Billy Crowell (21),389.1,1887,R
231,231.,Togie Pittinger (30),389.1,1902,R
232,233.,Pete Alexander+ (29),389.0,1916,R
233,233.,John Clarkson+ (30),389.0,1892,R
234,233.,Egyptian Healy (23),389.0,1890,R
235,236.,Jumbo McGinnis (28),388.1,1882,
236,237.,Pete Alexander+ (30),388.0,1917,R
237,237.,Kid Nichols+ (28),388.0,1898,R
238,239.,Lee Viau (21),387.2,1888,R
239,240.,Bob Caruthers (22),387.1,1886,R
240,241.,Pretzels Getzien (22),386.2,1886,R
241,242.,Dupee Shaw (27),385.2,1886,L
242,243.,Cy Young+ (35),384.2,1902,R
243,244.,Silver King (23),384.1,1891,R
244,245.,Fred Goldsmith (27),383.1,1883,R
245,245.,Henry Gruber (26),383.1,1890,R
246,247.,John Clarkson+ (28),383.0,1890,R
247,247.,Rube Waddell+ (27),383.0,1904,L
248,247.,Sam Weaver (22),383.0,1878,R
249,250.,Theodore Breitenstein (24),382.2,1893,L
250,250.,Ad Gumbert (24),382.2,1892,R
251,250.,Brickyard Kennedy (25),382.2,1893,R
252,250.,Jumbo McGinnis (29),382.2,1883,
253,254.,George Mullin (23),382.1,1904,R
254,255.,Joe McGinnity+ (30),382.0,1901,R
255,255.,Tom Vickery (23),382.0,1890,R
256,257.,George Haddock (25),381.1,1892,R
257,258.,Bobby Mathews (31),381.0,1883,R
258,259.,Kid Gleason (26),380.1,1893,R
259,259.,Tony Mullane (29),380.1,1888,R
260,261.,Charlie Buffinton (28),380.0,1889,R
261,261.,Cy Young+ (37),380.0,1904,R
262,263.,George Haddock (24),379.2,1891,R
263,264.,Sam Leever (27),379.0,1899,R
264,264.,Jack Lynch (28),379.0,1885,R
265,266.,Henry Boyle (28),378.2,1889,R
266,266.,Hugh Daily (35),378.2,1883,R
267,268.,Pink Hawley (23),378.0,1896,R
268,268.,Irv Young (27),378.0,1905,L
269,270.,Cy Young+ (31),377.2,1898,R
270,271.,Cy Falkenberg (34),377.1,1914,R
271,271.,Ed Stein (22),377.1,1892,R
272,273.,Oscar Jones (24),377.0,1904,R
273,274.,Wilbur Wood (30),376.2,1972,L
274,275.,Pete Alexander+ (28),376.1,1915,R
275,276.,Nig Cuppy (22),376.0,1892,R
276,276.,Tim Keefe+ (25),376.0,1882,R
277,276.,Mickey Lolich (30),376.0,1971,L
278,279.,Noodles Hahn (22),375.1,1901,L
279,280.,Frank Dwyer (23),375.0,1891,R
280,280.,Mickey Welch+ (29),375.0,1889,R
281,282.,Doc McJames (23),374.0,1898,R
282,283.,Jack Powell (24),373.0,1899,R
283,283.,Lee Viau (22),373.0,1889,R
284,285.,Billy Rhines (22),372.2,1891,R
285,286.,Pud Galvin+ (28),372.1,1885,R
286,286.,Kid Nichols+ (26),372.1,1896,R
287,288.,Tom Lovett (26),372.0,1890,R
288,289.,Walter Johnson+ (26),371.2,1914,R
289,290.,Bill Dinneen (26),371.1,1902,R
290,290.,Bob Feller+ (27),371.1,1946,R
291,290.,Cy Young+ (34),371.1,1901,R
292,293.,Sam Weaver (26),371.0,1882,R
293,294.,Walter Johnson+ (22),370.0,1910,R
294,294.,Adonis Terry (25),370.0,1890,R
295,296.,Walter Johnson+ (28),369.2,1916,R
296,296.,Ed Walsh+ (29),369.2,1910,R
297,296.,Cy Young+ (28),369.2,1895,R
298,299.,Cy Young+ (32),369.1,1899,R
299,300.,Dan Casey (23),369.0,1886,L
300,300.,Walter Johnson+ (24),369.0,1912,R
301,302.,Ed Walsh+ (30),368.2,1911,R
302,303.,Kid Nichols+ (27),368.0,1897,R
303,303.,Mickey Welch+ (21),368.0,1881,R
304,305.,Christy Mathewson+ (23),367.2,1904,R
305,306.,Hardie Henderson (20),367.1,1883,R
306,307.,Pete Alexander+ (24),367.0,1911,R
307,307.,Tony Mullane (34),367.0,1893,R
308,309.,Henry Boyle (24),366.2,1885,R
309,309.,Ed Crane (29),366.2,1891,R
310,309.,Pretzels Getzien (23),366.2,1887,R
311,312.,Christy Mathewson+ (22),366.1,1903,R
312,312.,Joe McGinnity+ (28),366.1,1899,R
313,312.,Win Mercer (22),366.1,1896,R
314,315.,Tom Lovett (27),365.2,1891,R
315,316.,Frank Smith (29),365.0,1909,R
316,317.,Ed Crane (30),364.1,1892,R
317,317.,Bill Wise (23),364.1,1884,
318,319.,Red Ehret (20),364.0,1889,R
319,319.,Tim Keefe+ (32),364.0,1889,R
320,321.,Charlie Buffinton (30),363.2,1891,R
321,322.,Pete Alexander+ (33),363.1,1920,R
322,323.,Mickey Hughes (21),363.0,1888,R
323,324.,Bert Cunningham (32),362.0,1898,R
324,324.,George Derby (24),362.0,1882,R
325,324.,Claude Hendrix (25),362.0,1914,R
326,327.,Bill Carrick (25),361.2,1899,R
327,328.,Sam Kimber (31),361.1,1884,R
328,329.,Gus Weyhing (31),361.0,1898,R
329,330.,Dan Casey (27),360.2,1890,L
330,330.,Brickyard Kennedy (26),360.2,1894,R
331,330.,Frank Mountain (24),360.2,1884,R
332,333.,George McQuillan (23),359.2,1908,R
333,334.,Wilbur Wood (31),359.1,1973,L
334,335.,Red Ehret (21),359.0,1890,R
335,335.,Doc Landis (27),359.0,1882,
336,335.,Jack Taylor (23),359.0,1896,R
337,338.,Irv Young (28),358.1,1906,L
338,339.,Nig Cuppy (26),358.0,1896,R
339,340.,Casey Patten (30),357.2,1904,L
340,340.,George Uhle (24),357.2,1923,R
341,342.,George Mullin (26),357.1,1907,R
342,342.,Eddie Plank+ (28),357.1,1904,L
343,344.,Cy Seymour (25),356.2,1898,L
344,345.,Larry Corcoran (22),355.2,1882,R
345,346.,Pete Alexander+ (27),355.0,1914,R
346,347.,Jack Taylor (25),354.2,1899,R
347,348.,Jumbo McGinnis (30),354.1,1884,
348,349.,Egyptian Healy (19),353.2,1886,R
349,350.,Dummy Taylor (26),353.1,1901,R
350,351.,Jack Coombs (27),353.0,1910,R
351,351.,Nig Cuppy (25),353.0,1895,R
352,351.,Clark Griffith+ (25),353.0,1895,R
353,354.,John Keefe (22),352.1,1890,L
354,354.,Stoney McGlynn (35),352.1,1907,R
355,354.,Dizzy Trout (29),352.1,1944,R
356,357.,Red Faber+ (33),352.0,1922,R
357,357.,Jack Taylor (30),352.0,1904,R
358,359.,Joe McGinnity+ (31),351.2,1902,R
359,359.,Togie Pittinger (31),351.2,1903,R
360,359.,Scott Stratton (22),351.2,1892,R
361,362.,Dad Clarke (31),351.0,1896,R
362,362.,Bill Donovan (24),351.0,1901,R
363,364.,Pretzels Getzien (26),350.0,1890,R
364,364.,Al Mays (21),350.0,1886,R
365,364.,Tricky Nichols (26),350.0,1877,R
366,364.,Ed Stein (24),350.0,1894,R
367,364.,Vic Willis+ (28),350.0,1904,R
368,369.,Ben Sanders (24),349.2,1889,R
369,370.,Chick Fraser (22),349.1,1896,R
370,371.,Pretzels Getzien (25),349.0,1889,R
371,372.,Henry Gruber (27),348.2,1891,R
372,372.,Toad Ramsey (25),348.2,1890,L
373,372.,Bill Stemmyer (21),348.2,1886,R
374,375.,Bill Hutchison (33),348.1,1893,R
375,375.,Mike Smith (20),348.1,1888,L
376,377.,Red Donahue (24),348.0,1897,R
377,377.,Frank Dwyer (26),348.0,1894,R
378,377.,Bob Harmon (23),348.0,1911,R
379,377.,Urban Shocker (31),348.0,1922,R
380,381.,Jim McCormick (29),347.2,1886,R
381,381.,George Mullin (24),347.2,1905,R
382,383.,The Only Nolan (22),347.0,1878,R
383,384.,Eddie Cicotte (33),346.2,1917,R
384,384.,Red Ehret (25),346.2,1894,R
385,384.,Cinders O'Brien (22),346.2,1889,R
386,384.,Eddie Plank+ (29),346.2,1905,L
387,384.,Robin Roberts+ (26),346.2,1953,R
388,384.,Ben Sanders (25),346.2,1890,R
389,390.,Steve Carlton+ (27),346.1,1972,L
390,390.,Sadie McMahon (25),346.1,1893,R
391,392.,Walter Johnson+ (25),346.0,1913,R
392,392.,Mickey Welch+ (27),346.0,1887,R
393,394.,Frank Foreman (28),345.1,1891,R
394,394.,Gus Weyhing (26),345.1,1893,R
395,396.,Ed Daily (27),344.2,1890,R
396,397.,Gaylord Perry+ (34),344.0,1973,R
397,397.,Smoky Joe Wood (22),344.0,1912,R
398,399.,Clark Griffith+ (27),343.2,1897,R
399,399.,Eddie Plank+ (31),343.2,1907,L
400,399.,Lee Viau (24),343.2,1891,R
401,402.,Brickyard Kennedy (29),343.1,1897,R
402,402.,Kid Nichols+ (29),343.1,1899,R
403,402.,Cy Young+ (40),343.1,1907,R
404,405.,Bob Feller+ (22),343.0,1941,R
405,405.,Joe McGinnity+ (29),343.0,1900,R
406,405.,Old Hoss Radbourn+ (35),343.0,1890,R
407,408.,Mordecai Brown+ (32),342.2,1909,R
408,408.,Gaylord Perry+ (33),342.2,1972,R
409,408.,Jack Quinn (30),342.2,1914,R
410,408.,Vic Willis+ (23),342.2,1899,R
411,412.,Kid Carsey (22),342.1,1895,R
412,412.,Toad Ramsey (23),342.1,1888,L
413,414.,George Bradley (31),342.0,1884,R
414,414.,Jim McCormick (26),342.0,1883,R
415,414.,Win Mercer (23),342.0,1897,R
416,414.,Phil Niekro+ (40),342.0,1979,R
417,414.,Jack Powell (23),342.0,1898,R
418,414.,Vic Willis+ (29),342.0,1905,R
419,420.,Bill Carrick (26),341.2,1900,R
420,420.,Cy Young+ (36),341.2,1903,R
421,422.,Dick Rudolph (27),341.1,1915,R
422,423.,Bob Caruthers (23),341.0,1887,R
423,423.,Pud Galvin+ (32),341.0,1889,R
424,423.,Egyptian Healy (20),341.0,1887,R
425,426.,Jim Bagby (30),339.2,1920,R
426,426.,Theodore Breitenstein (27),339.2,1896,L
427,426.,George Hemming (25),339.2,1894,R
428,426.,Gus Krock (22),339.2,1888,R
429,426.,Joe McGinnity+ (35),339.2,1906,R
430,426.,Henry Porter (29),339.2,1887,R
431,426.,Fred Toney (28),339.2,1917,R
432,433.,Dave Foutz (30),339.1,1887,R
433,433.,Brickyard Kennedy (30),339.1,1898,R
434,433.,Win Mercer (20),339.1,1894,R
435,436.,Addie Joss+ (27),338.2,1907,R
436,436.,Christy Mathewson+ (24),338.2,1905,R
437,436.,Al Orth (33),338.2,1906,R
438,439.,Jack Powell (26),338.1,1901,R
439,440.,Jack Stivetts (26),338.0,1894,R
440,441.,Frank Killen (26),337.1,1897,L
441,441.,Togie Pittinger (33),337.1,1905,R
442,443.,Jack Coombs (28),336.2,1911,R
443,443.,Walter Johnson+ (27),336.2,1915,R
444,443.,Carl Mays (29),336.2,1921,R
445,443.,Robin Roberts+ (27),336.2,1954,R
446,447.,Denny Driscoll (27),336.1,1883,L
447,447.,Dick Rudolph (26),336.1,1914,R
448,449.,Bill Hart (30),336.0,1896,R
449,449.,Christy Mathewson+ (20),336.0,1901,R
450,449.,Denny McLain (24),336.0,1968,R
451,449.,Eddie Plank+ (27),336.0,1903,L
452,449.,Jim Whitney (26),336.0,1884,R
453,454.,Bill Dinneen (28),335.2,1904,R
454,454.,Sandy Koufax+ (29),335.2,1965,L
455,454.,Cy Young+ (30),335.2,1897,R
456,457.,Togie Pittinger (32),335.1,1904,R
457,458.,Jim Conway (30),335.0,1889,R
458,458.,Harry Salisbury (27),335.0,1882,
459,458.,Jack Taylor (22),335.0,1895,R
460,461.,Gus Weyhing (32),334.2,1899,R
461,462.,Duke Esper (25),334.1,1893,L
462,462.,Chick Fraser (31),334.1,1905,R
463,462.,Jouett Meekin (29),334.1,1896,R
464,462.,Phil Niekro+ (39),334.1,1978,R
465,466.,Mark Baldwin (23),334.0,1887,R
466,466.,Frank Owen (25),334.0,1905,R
467,466.,John Ward+ (18),334.0,1878,R
468,466.,Wilbur Wood (29),334.0,1971,L
469,470.,Mark Baldwin (29),333.2,1893,R
470,470.,Otto Hess (27),333.2,1906,L
471,470.,Pete Schneider (21),333.2,1917,R
472,470.,Jack Taylor (28),333.2,1902,R
473,474.,Nap Rucker (23),333.1,1908,L
474,475.,Charlie Buffinton (22),333.0,1883,R
475,475.,Nat Hudson (19),333.0,1888,R
476,477.,Bob Ewing (34),332.2,1907,R
477,477.,Nolan Ryan+ (27),332.2,1974,R
478,479.,Charlie Buffinton (26),332.1,1887,R
479,479.,Frank Dwyer (24),332.1,1892,R
480,479.,Bill James (22),332.1,1914,R
481,479.,Scott Perry (27),332.1,1918,R
482,483.,George Hemming (24),332.0,1893,R
483,483.,Roscoe Miller (24),332.0,1901,R
484,483.,Kaiser Wilhelm (31),332.0,1908,R
485,486.,Ed Killian (27),331.2,1904,L
486,487.,John Ewing (26),331.0,1889,R
487,487.,Chick Fraser (27),331.0,1901,R
488,487.,Pink Hawley (25),331.0,1898,R
489,490.,Red Faber+ (32),330.2,1921,R
490,490.,Burleigh Grimes+ (34),330.2,1928,R
491,492.,Ed Crane (28),330.1,1890,R
492,492.,Phil Niekro+ (38),330.1,1977,R
493,492.,George Pechiney (24),330.1,1886,R
494,495.,Pretzels Getzien (21),330.0,1885,R
495,495.,Fred Goldsmith (25),330.0,1881,R
496,495.,George Mullin (25),330.0,1906,R
497,495.,Robin Roberts+ (25),330.0,1952,R
498,495.,John Ward+ (21),330.0,1881,R
499,495.,Stump Weidman (24),330.0,1885,R
500,495.,Hooks Wiltse (28),330.0,1908,L
