,Rank,Player (age that year),Stolen Bases,Year,Bats
68,68.,Willie Wilson (24),79,1980,B
69,70.,Tom Brown (31),78,1892,L
70,70.,Hugh Duffy+ (23),78,1890,R
71,70.,Marquis Grissom (25),78,1992,R
72,70.,Ron LeFlore (31),78,1979,R
73,70.,John McGraw+ (21),78,1894,L
74,70.,Tim Raines+ (22),78,1982,B
75,70.,Jose Reyes (24),78,2007,B
76,77.,Vince Coleman (28),77,1990,B
77,77.,Rickey Henderson+ (30),77,1989,R
78,77.,Rudy Law (26),77,1983,L
79,77.,Davey Lopes (30),77,1975,R
80,77.,Omar Moreno (26),77,1979,L
81,77.,Ted Scheffler (26),77,1890,R
82,77.,Jimmy Sheckard (20),77,1899,L
83,84.,Ty Cobb+ (22),76,1909,L
84,84.,Marquis Grissom (24),76,1991,R
85,84.,Ed McKean (23),76,1887,R
86,84.,Dusty Miller (27),76,1896,L
87,84.,Walt Wilmot (26),76,1890,B
88,84.,Walt Wilmot (30),76,1894,B
89,90.,Benny Kauff (24),75,1914,L
90,90.,Kenny Lofton (29),75,1996,L
91,90.,Clyde Milan (26),75,1913,L
92,90.,Bill North (28),75,1976,B
93,90.,Tim Raines+ (24),75,1984,B
94,90.,Yank Robinson (27),75,1887,R
95,90.,George Van Haltren (25),75,1891,L
96,97.,Lou Brock+ (27),74,1966,L
97,97.,Frank Fennelly (27),74,1887,R
98,97.,Brian Hunter (26),74,1997,R
99,97.,Fritz Maisel (24),74,1914,R
100,97.,Harry Stovey (30),74,1887,R
101,102.,Jack Doyle (26),73,1896,R
102,102.,Tommy Harper (28),73,1969,R
103,102.,Bill Lange (26),73,1897,R
104,102.,Denny Lyons (21),73,1887,R
105,102.,John McGraw+ (26),73,1899,L
106,102.,Paul Radford (25),73,1887,R
107,102.,Bill Van Dyke (26),73,1890,R
108,109.,Charlie Comiskey+ (28),72,1888,R
109,109.,Otis Nixon (32),72,1991,B
110,109.,Juan Samuel (23),72,1984,R
111,109.,Curt Welch (28),72,1890,R
112,109.,Tony Womack (29),72,1999,L
113,114.,Hub Collins (23),71,1887,R
114,114.,Hub Collins (24),71,1888,R
115,114.,Bill Greenwood (30),71,1887,B
116,114.,Omar Moreno (25),71,1978,L
117,114.,Tim Raines+ (21),71,1981,B
118,114.,Billy Sunday (25),71,1888,L
