,Rank,Player (age that year),Strikeouts,Year,Bats
165,163.,Adam Dunn (28),164,2008,L
166,163.,Adam Duvall (27),164,2016,R
167,163.,Derrek Lee (26),164,2002,R
168,163.,Marcell Ozuna (23),164,2014,R
169,163.,Domingo Santana (26),164,2019,R
170,163.,Melvin Upton Jr. (25),164,2010,R
171,172.,Donn Clendenon (32),163,1968,R
172,172.,Todd Frazier (30),163,2016,R
173,172.,Troy Glaus (23),163,2000,R
174,172.,Randal Grichuk (27),163,2019,R
175,172.,Teoscar Hernandez (25),163,2018,R
176,172.,Eric Hosmer (29),163,2019,L
177,172.,Kelly Johnson (29),163,2011,L
178,172.,Mike Napoli (35),163,2017,R
179,172.,Matt Olson (24),163,2018,L
180,172.,Carlos Pena (31),163,2009,L
181,172.,Giancarlo Stanton (27),163,2017,R
182,172.,Eric Thames (30),163,2017,L
183,184.,Tim Anderson (24),162,2017,R
184,184.,Jason Bay (30),162,2009,R
185,184.,Pat Burrell (24),162,2001,R
186,184.,Kole Calhoun (31),162,2019,L
187,184.,Ron Gant (32),162,1997,R
188,184.,Bill Hall (26),162,2006,R
189,184.,Josh Hamilton (31),162,2012,L
190,184.,Butch Hobson (25),162,1977,R
191,184.,Evan Longoria (27),162,2013,R
192,184.,Rougned Odor (23),162,2017,L
193,184.,Juan Samuel (26),162,1987,R
194,195.,Dick Allen (26),161,1968,R
195,195.,Reggie Jackson+ (25),161,1971,L
196,195.,Carlos Pena (33),161,2011,L
197,195.,Melvin Upton Jr. (26),161,2011,R
198,195.,Justin Upton (25),161,2013,R
199,195.,Brad Wilkerson (25),161,2002,L
200,195.,David Wright (27),161,2010,R
201,202.,Pat Burrell (28),160,2005,R
202,202.,Mike Cameron (34),160,2007,R
203,202.,Jeimer Candelario (24),160,2018,B
204,202.,Ian Desmond (30),160,2016,R
205,202.,Ryan McMahon (24),160,2019,L
206,202.,Wil Myers (25),160,2016,R
207,202.,Henry Rodriguez (28),160,1996,L
208,202.,Alfonso Soriano (30),160,2006,R
209,202.,Mickey Tettleton (29),160,1990,B
210,202.,Jayson Werth (32),160,2011,R
211,202.,Mike Zunino (26),160,2017,R
212,213.,Jay Buhner (31),159,1996,R
213,213.,Jose Canseco (33),159,1998,R
214,213.,Michael Conforto (25),159,2018,L
215,213.,Nelson Cruz (35),159,2016,R
216,213.,Adam Dunn (34),159,2014,L
217,213.,Tyler Flowers (28),159,2014,R
218,213.,Ben Grieve (25),159,2001,L
219,213.,Chris Johnson (29),159,2014,R
220,213.,Kelly Johnson (30),159,2012,L
221,213.,Matt Kemp (26),159,2011,R
222,213.,Mark McGwire (33),159,1997,R
223,213.,Mark Reynolds (28),159,2012,R
224,213.,Miguel Sano (26),159,2019,R
225,213.,Richie Sexson (25),159,2000,R
226,213.,Steven Souza Jr. (27),159,2016,R
227,213.,Justin Upton (27),159,2015,R
228,229.,Jay Bruce (24),158,2011,L
229,229.,Jeromy Burnitz (29),158,1998,L
230,229.,Jose Canseco (25),158,1990,R
231,229.,Matt Carpenter (32),158,2018,L
232,229.,Rob Deer (28),158,1989,R
233,229.,Andres Galarraga (28),158,1989,R
234,229.,Troy Glaus (24),158,2001,R
235,229.,Josh Hamilton (32),158,2013,L
236,229.,Bo Jackson (24),158,1987,R
237,229.,Melvin Nieves (24),158,1996,B
238,229.,Carlos Pena (32),158,2010,L
239,229.,Michael A. Taylor (24),158,2015,R
240,229.,Mike Trout (23),158,2015,R
241,229.,Mike Zunino (23),158,2014,R
242,243.,Jose Canseco (22),157,1987,R
243,243.,Andres Galarraga (35),157,1996,R
244,243.,Chase Headley (28),157,2012,B
245,243.,Ryan Howard (30),157,2010,L
246,243.,Melvin Nieves (25),157,1997,B
247,243.,Jim Presley (25),157,1987,R
248,243.,Michael Saunders (29),157,2016,L
249,243.,Alfonso Soriano (26),157,2002,R
250,243.,Lee Stevens (33),157,2001,L
251,243.,Danny Tartabull (23),157,1986,R
252,253.,Tommie Agee (27),156,1970,R
253,253.,Tony Armas (30),156,1984,R
254,253.,Javier Baez (26),156,2019,R
255,253.,Jason Bay (27),156,2006,R
256,253.,Mike Cameron (36),156,2009,R
257,253.,Shin-Soo Choo (35),156,2018,L
258,253.,Reggie Jackson+ (36),156,1982,L
259,253.,Matt Kemp (31),156,2016,R
260,253.,Dave Kingman (33),156,1982,R
261,253.,Franmil Reyes (23),156,2019,R
262,253.,Kyle Schwarber (26),156,2019,L
263,253.,Justin Smoak (31),156,2018,B
264,253.,Alfonso Soriano (37),156,2013,R
265,253.,Danny Tartabull (30),156,1993,R
266,253.,Dan Uggla (31),156,2011,R
267,253.,Jayson Werth (30),156,2009,R
268,253.,Preston Wilson (24),156,1999,R
269,270.,Michael Bourn (29),155,2012,L
270,270.,Jackie Bradley Jr. (29),155,2019,L
271,270.,Jay Bruce (25),155,2012,L
272,270.,Jeff Burroughs (24),155,1975,R
273,270.,Mike Cameron (28),155,2001,R
274,270.,Josh Donaldson (33),155,2019,R
275,270.,Cesar Hernandez (28),155,2018,B
276,270.,Frank Howard (30),155,1967,R
277,270.,Mark McGwire (34),155,1998,R
278,270.,Grady Sizemore (24),155,2007,L
279,270.,Eugenio Suarez (24),155,2016,R
280,270.,Melvin Upton Jr. (31),155,2016,R
281,270.,Christian Walker (28),155,2019,R
282,270.,Brad Wilkerson (26),155,2003,L
283,284.,Jorge Alfaro (26),154,2019,R
284,284.,Kris Bryant (24),154,2016,R
285,284.,Dexter Fowler (29),154,2015,B
286,284.,Jake Lamb (25),154,2016,L
287,284.,Yoan Moncada (24),154,2019,B
288,284.,Dean Palmer (23),154,1992,R
289,284.,Dean Palmer (24),154,1993,R
290,284.,Larry Parrish (33),154,1987,R
291,284.,Colby Rasmus (28),154,2015,L
292,284.,Hunter Renfroe (27),154,2019,R
293,284.,Mark Reynolds (29),154,2013,R
294,284.,Richie Sexson (31),154,2006,R
295,284.,Willie Stargell+ (31),154,1971,L
296,284.,Melvin Upton Jr. (22),154,2007,R
297,284.,Mo Vaughn (28),154,1996,L
298,284.,Mo Vaughn (29),154,1997,L
299,300.,Willy Adames (23),153,2019,R
300,300.,Pat Burrell (25),153,2002,R
301,300.,Rob Deer (27),153,1988,R
302,300.,Andres Galarraga (27),153,1988,R
303,300.,Teoscar Hernandez (26),153,2019,R
304,300.,Pete Incaviglia (24),153,1988,R
305,300.,Matt Kemp (23),153,2008,R
306,300.,Dave Kingman (26),153,1975,R
307,300.,Trey Mancini (26),153,2018,R
308,300.,Brandon Moss (30),153,2014,L
309,300.,Daniel Palka (26),153,2018,L
310,300.,Dean Palmer (30),153,1999,R
311,300.,Grady Sizemore (23),153,2006,L
312,300.,Alfonso Soriano (36),153,2012,R
313,300.,Sammy Sosa (32),153,2001,R
314,300.,Mark Trumbo (26),153,2012,R
315,316.,José Abreu (32),152,2019,R
316,316.,Jose Canseco (26),152,1991,R
317,316.,Nicholas Castellanos (23),152,2015,R
318,316.,Corey Dickerson (28),152,2017,L
319,316.,Jason Heyward (22),152,2012,L
320,316.,Larry Hisle (22),152,1969,R
321,316.,Geoff Jenkins (29),152,2004,L
