,Rank,Player (age that year),Errors Committed as 3B,Year,Throws
102,101.,Doc Casey (29),56,1899,R
103,104.,Jerry Denny (23),55,1882,R
104,104.,Arlie Latham (33),55,1893,R
105,104.,Ed Mayer (24),55,1890,
106,104.,John Shetzline (30),55,1882,
107,108.,Tom Burns (33),54,1890,R
108,108.,Bob Ferguson (31),54,1876,R
109,108.,Joe Mulvey (30),54,1889,R
110,108.,Joe Sommer (25),54,1884,R
111,108.,Patsy Tebeau (24),54,1889,R
112,108.,Deacon White+ (35),54,1883,R
113,114.,Jumbo Davis (28),53,1890,R
114,114.,Jerry Denny (27),53,1886,R
115,114.,Denny Lyons (26),53,1892,R
116,114.,Billy Nash (26),53,1891,R
117,114.,George Pinkney (30),53,1889,R
118,114.,Yank Robinson (24),53,1884,R
119,120.,Jerry Denny (24),52,1883,R
120,120.,Bill Joyce (26),52,1894,R
121,120.,Arlie Latham (30),52,1890,R
122,120.,Arlie Latham (35),52,1895,R
123,120.,Fred Warner (29),52,1884,
124,125.,Doc Casey (32),51,1902,R
125,125.,Jim Donnelly (22),51,1888,R
126,125.,Bill Hague (24),51,1876,R
127,125.,Chippy McGarr (32),51,1895,R
128,125.,Jimmy Williams (23),51,1900,R
129,130.,Cap Anson+ (24),50,1876,R
130,130.,Jimmy Austin (32),50,1912,R
131,130.,Joe Battin (29),50,1883,R
132,130.,Jimmy Burke (26),50,1901,R
133,130.,Billy Clingman (25),50,1895,R
134,130.,Jimmy Collins+ (31),50,1901,R
135,130.,Jack Crooks (27),50,1893,R
136,130.,Bob Ferguson (32),50,1877,R
137,130.,Joe Mulvey (28),50,1887,R
138,130.,Billy Nash (21),50,1886,R
139,130.,Billy Nash (24),50,1889,R
140,141.,Tom Burns (29),49,1886,R
141,141.,Tom Burns (31),49,1888,R
142,141.,Bobby Byrne (22),49,1907,R
143,141.,Jack Gleason (28),49,1883,R
144,141.,Fred Hartman (36),49,1901,R
145,141.,Bill Joyce (24),49,1892,R
146,141.,John Knight (21),49,1907,R
147,141.,Harry Lord (26),49,1908,R
148,141.,Denny Lyons (22),49,1888,R
149,141.,Levi Meyerle (26),49,1876,R
150,141.,Joe Mulvey (32),49,1891,R
151,141.,Blondie Purcell (29),49,1883,R
152,141.,Billy Purtell (24),49,1910,R
153,141.,Billy Shindle (33),49,1894,R
154,141.,Harry Steinfeldt (26),49,1902,R
155,141.,Harry Wolverton (26),49,1900,R
156,157.,Dave Brain (27),48,1906,R
157,157.,Jim Delahanty (25),48,1904,R
158,157.,George Pinkney (29),48,1888,R
159,160.,Dave Brain (28),47,1907,R
160,160.,Hick Carpenter (27),47,1883,L
161,160.,Jimmy Collins+ (27),47,1897,R
162,160.,Jimmy Collins+ (37),47,1907,R
163,160.,Jerry Denny (31),47,1890,R
164,160.,Jim Donnelly (30),47,1896,R
165,160.,Frank Hankinson (28),47,1884,R
166,160.,Charlie Irwin (25),47,1894,R
167,160.,Arlie Latham (25),47,1885,R
168,160.,Billy Lauder (24),47,1898,R
169,160.,Buddy Lewis (21),47,1938,R
170,160.,John McGraw+ (22),47,1895,R
171,160.,Charlie Reilly (26),47,1893,R
172,160.,Hardy Richardson (25),47,1880,R
173,160.,Billy Shindle (27),47,1888,R
174,160.,Billy Shindle (34),47,1895,R
175,160.,Art Whitney (32),47,1890,R
176,177.,Bill Kuehne (25),46,1884,R
177,177.,Bill Kuehne (32),46,1891,R
178,177.,Denny Lyons (27),46,1893,R
179,177.,John McGraw+ (21),46,1894,R
180,177.,John McGraw+ (25),46,1898,R
181,177.,Pete Sweeney (25),46,1889,R
182,183.,Home Run Baker+ (24),45,1910,R
183,183.,Charley Bassett (29),45,1892,R
184,183.,Hick Carpenter (24),45,1880,L
185,183.,Jerry Denny (25),45,1884,R
186,183.,Jerry Denny (30),45,1889,R
187,183.,Eddie Foster (25),45,1912,R
188,183.,Arthur Irwin (24),45,1882,R
189,183.,Bill Kuehne (26),45,1885,R
190,183.,Billy Lauder (28),45,1902,R
191,183.,Chippy McGarr (31),45,1894,R
192,183.,Billy Shindle (36),45,1897,R
193,183.,Sammy Strang (24),45,1901,R
194,183.,Ned Williamson (27),45,1885,R
195,196.,Home Run Baker+ (27),44,1913,R
196,196.,Hick Carpenter (28),44,1884,L
197,196.,Jerry Denny (29),44,1888,R
198,196.,Bill Everitt (27),44,1896,R
199,196.,Will Foley (21),44,1877,R
200,196.,Denny Lyons (30),44,1896,R
201,196.,Lefty Marr (26),44,1889,L
202,196.,Barry McCormick (27),44,1902,R
203,196.,John McGlone (27),44,1888,R
204,196.,Tim O'Rourke (26),44,1890,R
205,196.,Hardy Richardson (24),44,1879,R
206,207.,Jap Barbeau (27),43,1909,R
207,207.,Bill Bradley (24),43,1902,R
208,207.,George Bradley (30),43,1883,R
209,207.,Bill Coughlin (22),43,1901,R
210,207.,Jerry Denny (26),43,1885,R
211,207.,Dude Esterbrook (27),43,1884,R
212,207.,Dude Esterbrook (29),43,1886,R
213,207.,Frank Hankinson (27),43,1883,R
214,207.,Butch Hobson (26),43,1978,R
215,207.,Bill Joyce (28),43,1896,R
216,207.,Mike Muldoon (27),43,1885,
217,207.,George Pinkney (32),43,1891,R
218,207.,Ezra Sutton (35),43,1885,R
219,207.,Bill Sweeney (23),43,1909,R
220,207.,Ned Williamson (24),43,1882,R
221,222.,Jimmy Austin (31),42,1911,R
222,222.,Home Run Baker+ (23),42,1909,R
223,222.,Charley Bassett (28),42,1891,R
224,222.,Al Boucher (32),42,1914,R
225,222.,Jimmy Burke (29),42,1904,R
226,222.,Jimmy Collins+ (28),42,1898,R
227,222.,Fred Corey (29),42,1884,R
228,222.,Fred Corey (30),42,1885,R
229,222.,Bill Dahlen (21),42,1891,R
230,222.,Art Devlin (24),42,1904,R
231,222.,Dude Esterbrook (26),42,1883,R
232,222.,Bill Everitt (28),42,1897,R
233,222.,Cal McVey (28),42,1878,R
234,222.,Jiggs Parrott (21),42,1893,
235,222.,Charlie Pick (28),42,1916,R
236,222.,Billy Shindle (37),42,1898,R
237,222.,Ezra Sutton (33),42,1883,R
238,239.,Dick Allen (22),41,1964,R
239,239.,Jimmy Austin (35),41,1915,R
240,239.,George Davis+ (23),41,1894,R
241,239.,Will Foley (20),41,1876,R
242,239.,Roy Hartzell (24),41,1906,R
243,239.,Bill Joyce (23),41,1891,R
244,239.,Bill Kuehne (33),41,1892,R
245,239.,Red Morgan (22),41,1906,R
246,239.,Billy Nash (28),41,1893,R
247,239.,Bill Schenck (27),41,1882,
248,239.,Sibby Sisti (20),41,1941,R
249,239.,Harry Steinfeldt (28),41,1904,R
250,239.,Ezra Sutton (32),41,1882,R
251,239.,Ned Williamson (21),41,1879,R
252,253.,Joe Battin (22),40,1876,R
253,253.,George Bradley (27),40,1880,R
254,253.,Jimmy Collins+ (30),40,1900,R
255,253.,Ernie Courtney (30),40,1905,R
256,253.,George Davis+ (24),40,1895,R
257,253.,Fred Mann (24),40,1882,R
258,253.,Joe Mulvey (27),40,1886,R
259,253.,Germany Schaefer (26),40,1902,R
260,253.,Jim Tabor (22),40,1939,R
261,253.,Deacon White+ (37),40,1885,R
262,253.,Art Whitney (22),40,1880,R
263,264.,Doc Casey (34),39,1904,R
264,264.,Doc Casey (36),39,1906,R
265,264.,Lave Cross (28),39,1894,R
266,264.,Buck Gladmon (20),39,1884,
267,264.,Pinky Higgins (29),39,1938,R
268,264.,Bill Kuehne (24),39,1883,R
269,264.,Tommy Leach (24),39,1902,R
270,264.,Charlie Reilly (30),39,1897,R
271,264.,Lee Tannehill (24),39,1905,R
272,264.,Fred Warner (24),39,1879,
273,264.,Heinie Zimmerman (27),39,1914,R
274,275.,Billy Clingman (26),38,1896,R
275,275.,Herm Doscher (26),38,1879,R
276,275.,Harry Gleason (30),38,1905,R
277,275.,Bill Hague (27),38,1879,R
278,275.,John McGraw+ (24),38,1897,R
279,275.,Bobby Reeves (25),38,1929,R
280,275.,Billy Shindle (35),38,1896,R
281,275.,Ezra Sutton (31),38,1881,R
282,275.,Pete Ward (25),38,1963,R
283,275.,Art Whitney (23),38,1881,R
284,285.,Bill Bradley (23),37,1901,R
285,285.,Bill Bradley (25),37,1903,R
286,285.,Bobby Byrne (24),37,1909,R
287,285.,Jimmy Callahan (29),37,1903,R
288,285.,Pat Callaghan,37,1884,
289,285.,Bill Coughlin (26),37,1905,R
290,285.,Fred Hartman (37),37,1902,R
291,285.,Pinky Higgins (25),37,1934,R
292,285.,George Moriarty (24),37,1910,R
293,285.,Mike Mowrey (26),37,1910,R
294,285.,Billy Nash (23),37,1888,R
295,285.,Red Smith (24),37,1914,R
296,285.,Sammy Strang (26),37,1903,R
297,285.,Pie Traynor+ (32),37,1931,R
298,285.,Art Whitney (33),37,1891,R
299,300.,Les Bell (23),36,1925,R
300,300.,Jimmy Collins+ (29),36,1899,R
301,300.,Jimmy Collins+ (35),36,1905,R
302,300.,Wid Conroy (26),36,1903,R
303,300.,Art Devlin (29),36,1909,R
304,300.,Bob Elliott (25),36,1942,R
305,300.,Darrell Evans (28),36,1975,R
306,300.,Will Foley (22),36,1878,R
307,300.,Eddie Foster (26),36,1913,R
308,300.,Ed Gremminger (29),36,1903,R
309,300.,Pinky Higgins (30),36,1939,R
310,300.,Charlie Irwin (32),36,1901,R
311,300.,Jim O'Rourke+ (30),36,1881,R
312,300.,Red Smith (26),36,1916,R
313,300.,Bobby Wallace+ (24),36,1898,R
314,300.,Joel Youngblood (32),36,1984,R
315,300.,Heinie Zimmerman (26),36,1913,R
316,317.,Dick Allen (25),35,1967,R
317,317.,Bobby Bonilla (26),35,1989,R
318,317.,Bobby Byrne (23),35,1908,R
319,317.,Bobby Byrne (25),35,1910,R
320,317.,Bobby Byrne (26),35,1911,R
321,317.,Jumbo Davis (24),35,1886,R
322,317.,Jim Doyle (24),35,1911,R
323,317.,Dude Esterbrook (28),35,1885,R
324,317.,Larry Gardner (26),35,1912,R
325,317.,Eddie Grant (25),35,1908,R
326,317.,Bert Haas (28),35,1942,R
327,317.,Joe Harrington (26),35,1896,R
328,317.,Frank LaPorte (26),35,1906,R
329,317.,Harry Lord (30),35,1912,R
330,317.,Rube Lutzke (25),35,1923,R
331,317.,Denny Lyons (24),35,1890,R
332,317.,Fritz Maisel (24),35,1914,R
333,317.,Bert Niehoff (30),35,1914,R
334,317.,Larry Parrish (21),35,1975,R
335,317.,Tony Perez+ (28),35,1970,R
336,317.,Red Smith (28),35,1918,R
337,317.,Art Whitney (30),35,1888,R
338,317.,Heinie Zimmerman (25),35,1912,R
339,340.,Home Run Baker+ (26),34,1912,R
340,340.,Ken Boyer (32),34,1963,R
341,340.,Jimmy Burke (30),34,1905,R
342,340.,Harlond Clift (24),34,1937,R
343,340.,Jimmy Collins+ (26),34,1896,R
344,340.,Jack Dunn (28),34,1901,R
345,340.,Eddie Foster (27),34,1914,R
346,340.,Pete Gilbert (26),34,1894,R
347,340.,Hunter Hill (26),34,1905,R
348,340.,Charlie Irwin (27),34,1896,R
349,340.,Charlie Irwin (29),34,1898,R
350,340.,Ray Jablonski (27),34,1954,R
351,340.,Jimmy Knowles (29),34,1886,
352,340.,Billy Lauder (29),34,1903,R
353,340.,Tommy Leach (21),34,1899,R
354,340.,Tommy Leach (23),34,1901,R
355,340.,Harry Lord (27),34,1909,R
356,340.,Bill McKechnie+ (27),34,1914,R
357,340.,Billy Nash (29),34,1894,R
358,340.,Jiggs Parrott (20),34,1892,
359,340.,George Pinkney (34),34,1893,R
360,340.,Mark Reynolds (24),34,2008,R
361,340.,Yank Robinson (32),34,1892,R
362,340.,Tommy Sheehan (30),34,1908,R
363,340.,Gary Sheffield (24),34,1993,R
364,340.,Red Smith (23),34,1913,R
365,340.,Bill Sweeney (22),34,1908,R
366,340.,Butts Wagner (26),34,1898,R
367,340.,Bobby Wallace+ (23),34,1897,R
368,340.,Billy Werber (31),34,1939,R
369,340.,Art Whitney (28),34,1886,R
370,340.,Ned Williamson (32),34,1890,R
371,340.,Harry Wolverton (28),34,1902,R
372,373.,Bob Blakiston (26),33,1882,
373,373.,Tony Boeckel (27),33,1920,R
374,373.,Tony Boeckel (28),33,1921,R
375,373.,Jimmy Burke (28),33,1903,R
376,373.,Lave Cross (32),33,1898,R
377,373.,Lave Cross (35),33,1901,R
378,373.,Tom Daly (27),33,1893,R
379,373.,Jim Delahanty (27),33,1906,R
380,373.,Art Devlin (25),33,1905,R
381,373.,Art Devlin (30),33,1910,R
382,373.,Bill Friel (25),33,1901,R
383,373.,Troy Glaus (23),33,2000,R
384,373.,Frank Hankinson (22),33,1878,R
385,373.,Frank Hankinson (25),33,1881,R
386,373.,Frank Hankinson (29),33,1885,R
387,373.,Charlie Irwin (33),33,1902,R
388,373.,Jimmy Johnston (31),33,1921,R
389,373.,Bob Kennedy (19),33,1940,R
390,373.,Mike Lamb (24),33,2000,R
391,373.,Tommy Leach (30),33,1908,R
392,373.,Hans Lobert (27),33,1909,R
393,373.,Bobby Lowe (35),33,1901,R
394,373.,Doggie Miller (29),33,1894,R
395,373.,George Moriarty (25),33,1911,R
396,373.,Art Phelan (24),33,1912,R
397,373.,Aramis Ramirez (25),33,2003,R
398,373.,Red Smith (27),33,1917,R
399,373.,Harry Steinfeldt (29),33,1905,R
400,373.,Jim Tabor (23),33,1940,R
401,373.,Jim Tabor (25),33,1942,R
402,373.,Lee Tannehill (27),33,1908,R
403,373.,Patsy Tebeau (26),33,1891,R
404,373.,Deacon White+ (34),33,1882,R
405,373.,Art Whitney (29),33,1887,R
406,373.,Ned Williamson (20),33,1878,R
407,373.,Todd Zeile (27),33,1993,R
408,409.,Jimmy Austin (29),32,1909,R
409,409.,Bob Bailey (20),32,1963,R
410,409.,Doug Baird (25),32,1917,R
411,409.,Ollie Beard (29),32,1891,R
412,409.,Bobby Bonilla (25),32,1988,R
413,409.,Lave Cross (29),32,1895,R
414,409.,Lave Cross (39),32,1905,R
415,409.,Russ Davis (28),32,1998,R
416,409.,Jim Ray Hart (23),32,1965,R
417,409.,John Irwin (27),32,1889,R
418,409.,Bill Kuehne (30),32,1889,R
419,409.,Buddy Lewis (19),32,1936,R
420,409.,Buddy Lewis (22),32,1939,R
421,409.,Denny Lyons (28),32,1894,R
422,409.,John McGraw+ (27),32,1900,R
423,409.,Joe Mulvey (29),32,1888,R
424,409.,Tony Perez+ (27),32,1969,R
425,409.,Babe Pinelli (26),32,1922,R
426,409.,Gene Robertson (25),32,1925,R
427,428.,Ray Bates (27),31,1917,R
428,428.,Doc Casey (33),31,1903,R
429,428.,Art Devlin (26),31,1906,R
430,428.,Jim Donnelly (19),31,1885,R
431,428.,Nanny Fernandez (23),31,1942,R
432,428.,Larry Gardner (28),31,1914,R
433,428.,Larry Gardner (31),31,1917,R
434,428.,Eddie Grant (27),31,1910,R
435,428.,Oscar Grimes (30),31,1945,R
436,428.,Frankie Gustine (27),31,1947,R
437,428.,Odell Hale (26),31,1935,R
438,428.,Buck Herzog (24),31,1910,R
439,428.,Jesse Hoffmeister (20),31,1897,R
440,428.,Jimmy Johnston (30),31,1920,R
441,428.,Jack Leary (24),31,1882,L
442,428.,Barry McCormick (22),31,1897,R
443,428.,Mike McCormack (21),31,1904,R
444,428.,Chippy McGarr (30),31,1893,R
445,428.,George Moriarty (21),31,1907,R
446,428.,Joe Mulvey (34),31,1893,R
447,428.,George Pinkney (33),31,1892,R
448,428.,Paul Radford (30),31,1892,R
449,428.,Phil Reccius (25),31,1887,
450,428.,Lew Riggs (25),31,1935,R
451,428.,Ron Santo+ (21),31,1961,R
452,428.,Harry Steinfeldt (33),31,1909,R
453,428.,Lee Tannehill (23),31,1904,R
454,428.,Buck Weaver (29),31,1920,R
455,428.,Ned Williamson (23),31,1881,R
456,457.,Jimmy Austin (30),30,1910,R
457,457.,Jimmy Austin (33),30,1913,R
458,457.,Jimmy Austin (34),30,1914,R
459,457.,Home Run Baker+ (25),30,1911,R
460,457.,George Brett+ (26),30,1979,R
461,457.,Harlond Clift (21),30,1934,R
462,457.,Jimmy Collins+ (34),30,1904,R
463,457.,Fred Corey (28),30,1883,R
464,457.,Bill Coughlin (28),30,1907,R
465,457.,Lave Cross (36),30,1902,R
466,457.,Jerry Denny (35),30,1894,R
467,457.,Art Devlin (28),30,1908,R
468,457.,Darrell Evans (32),30,1979,R
469,457.,Eddie Foster (31),30,1918,R
470,457.,Joe Foy (25),30,1968,R
471,457.,Pedro Guerrero (27),30,1983,R
472,457.,Al Halt (24),30,1915,R
473,457.,Pinky Higgins (33),30,1942,R
474,457.,Ken Keltner (25),30,1942,R
475,457.,Harmon Killebrew+ (23),30,1959,R
476,457.,Harry Lord (31),30,1913,R
477,457.,Pepper Martin (31),30,1935,R
478,457.,Eddie Mathews+ (21),30,1953,R
479,457.,Win Mercer (25),30,1899,R
480,457.,Mike Muldoon (24),30,1882,
481,457.,Fred Raymer (25),30,1901,R
482,457.,Paul Schaal (30),30,1973,R
483,457.,Fred Smith (22),30,1914,R
484,457.,Milt Stock (26),30,1920,R
485,457.,Jim Tabor (24),30,1941,R
486,457.,Johnny Vergez (24),30,1931,R
487,457.,Billy Werber (30),30,1938,R
488,457.,Chuck Workman (30),30,1945,R
489,457.,Eddie Yost (23),30,1950,R
490,491.,Joe Battin (23),29,1877,R
491,491.,Adrian Beltre (20),29,1999,R
492,491.,Bill Bradley (27),29,1905,R
493,491.,Bill Bradley (29),29,1907,R
494,491.,Tom Brookens (26),29,1980,R
495,491.,Oyster Burns (22),29,1887,R
496,491.,Enos Cabell (30),29,1980,R
497,491.,Ed Caskin (33),29,1885,R
498,491.,Billy Clingman (28),29,1898,R
499,491.,Bill Coughlin (27),29,1906,R
