,Rank,Player (age that year),Batting Average,Year,Bats
213,212.,Paul Waner+ (31),.3623,1934,L
214,215.,Cap Anson+ (30),.3621,1882,R
215,216.,Barry Bonds (39),.3619,2004,L
216,217.,Pete Browning (24),.3617,1885,R
217,217.,Bill Dickey+ (29),.3617,1936,L
218,217.,Tris Speaker+ (33),.3617,1921,L
219,220.,Mike Smith (28),.3616,1896,L
220,220.,Riggs Stephenson (31),.3616,1929,R
221,222.,Nap Lajoie+ (22),.3615,1897,R
222,222.,Mike Piazza+ (28),.3615,1997,R
223,224.,Charlie Hickman (26),.3614,1902,R
224,225.,Jake Stenzel (29),.3612,1896,R
225,226.,Rogers Hornsby+ (31),.3609,1927,R
226,227.,Wade Boggs+ (25),.3608,1983,L
227,228.,Norm Cash (27),.3607,1961,L
228,229.,Eddie Collins+ (36),.3604,1923,L
229,230.,George Gore (26),.3602,1880,L
230,231.,Jim O'Rourke+ (39),.3598,1890,R
231,232.,Jimmie Foxx+ (31),.3597,1939,R
232,232.,Orator Shafer (32),.3597,1884,L
233,234.,Kiki Cuyler+ (30),.3595,1929,R
234,235.,Josh Hamilton (29),.3591,2010,L
235,235.,Babe Ruth+ (35),.3591,1930,L
236,237.,Bill Dahlen (24),.3590,1894,R
237,238.,Rod Carew+ (29),.3589,1975,L
238,239.,Carl Reynolds (27),.3588,1930,R
239,239.,Harry Rice (23),.3588,1925,L
240,239.,Zack Wheat+ (37),.3588,1925,L
241,242.,Dan Brouthers+ (27),.3587,1885,L
242,242.,Paul O'Neill (31),.3587,1994,L
243,242.,Albert Pujols (23),.3587,2003,R
244,245.,Bob Fothergill (29),.3586,1927,R
245,245.,Charlie Jamieson (31),.3586,1924,L
246,245.,Cecil Travis (27),.3586,1941,L
247,248.,Todd Helton (29),.3585,2003,L
248,248.,Chief Meyers (31),.3585,1912,R
249,250.,George Burns (33),.3582,1926,R
250,250.,Bill Everitt (26),.3582,1895,L
251,252.,Paul Hines (23),.3580,1878,R
252,252.,George Stone (29),.3580,1906,L
253,254.,Tony Gwynn+ (33),.3579,1993,L
254,255.,Alex Rodriguez (20),.3577,1996,R
255,256.,Jesse Burkett+ (25),.3576,1894,L
256,256.,Freddie Lindstrom+ (22),.3576,1928,R
257,258.,Ed McKean (30),.3574,1894,R
258,259.,Roberto Clemente+ (32),.3573,1967,R
259,259.,Mickey Cochrane+ (27),.3573,1930,L
260,261.,Bob Caruthers (23),.3571,1887,L
261,261.,Ty Cobb+ (40),.3571,1927,L
262,261.,Nomar Garciaparra (25),.3571,1999,R
263,261.,Mike Griffin (29),.3571,1894,L
264,261.,Mike Smith (26),.3571,1894,L
265,266.,Roger Connor+ (25),.3570,1883,B
266,266.,Dave Foutz (30),.3570,1887,R
267,266.,Paul Hines (24),.3570,1879,R
268,266.,Dixie Walker (33),.3570,1944,L
269,270.,Wade Boggs+ (28),.3569,1986,L
270,270.,Albert Pujols (28),.3569,2008,R
271,272.,Albert Belle (27),.3568,1994,R
272,272.,Jimmy Ryan (31),.3568,1894,R
273,272.,Ed Swartwood (24),.3568,1883,L
274,272.,Ken Williams (33),.3568,1923,L
275,276.,Ginger Beaumont (25),.3567,1902,L
276,276.,Joe DiMaggio+ (26),.3567,1941,R
277,278.,Kiki Cuyler+ (26),.3566,1925,R
278,278.,Stan Musial+ (22),.3566,1943,L
279,280.,Earle Combs+ (28),.3565,1927,L
280,281.,Mike Donlin (27),.3564,1905,L
281,282.,Ted Williams+ (23),.3563,1942,L
282,283.,Edgar Martinez+ (32),.3562,1995,R
283,283.,Kirby Puckett+ (28),.3562,1988,R
284,285.,Charlie Gehringer+ (31),.3561,1934,L
285,286.,Cap Anson+ (24),.3560,1876,R
286,286.,Jimmie Foxx+ (25),.3560,1933,R
287,286.,Harry Heilmann+ (27),.3560,1922,R
288,289.,Bill Lamar (28),.3556,1925,L
289,289.,Babe Ruth+ (32),.3556,1927,L
290,289.,Pie Traynor+ (30),.3556,1929,R
291,289.,Hack Wilson+ (30),.3556,1930,R
292,293.,Chuck Klein+ (24),.3555,1929,L
293,293.,Nap Lajoie+ (31),.3555,1906,R
294,293.,Honus Wagner+ (29),.3555,1903,R
295,293.,Ross Youngs+ (27),.3555,1924,L
296,297.,Lou Boudreau+ (30),.3554,1948,R
297,297.,Phil Cavarretta (28),.3554,1945,L
298,297.,Cupid Childs (28),.3554,1896,L
299,297.,Hughie Jennings+ (28),.3554,1897,R
300,297.,Heinie Manush+ (27),.3554,1929,L
301,302.,George Davis+ (22),.3552,1893,B
302,303.,Kiki Cuyler+ (31),.3551,1930,R
303,304.,Darin Erstad (26),.3550,2000,L
304,304.,Bobby Veach (31),.3550,1919,L
305,306.,Bill Joyce (26),.3549,1894,L
306,307.,Oyster Burns (29),.3548,1894,R
307,308.,Debs Garms (33),.3547,1940,L
308,308.,Baby Doll Jacobson (29),.3547,1920,R
309,308.,Stan Musial+ (30),.3547,1951,L
310,311.,Moises Alou (33),.3546,2000,R
311,311.,Roger Connor+ (28),.3546,1886,B
312,313.,Hank Aaron+ (25),.3545,1959,R
313,313.,Lloyd Waner+ (21),.3545,1927,L
314,315.,Fielder Jones (24),.3544,1896,L
315,316.,Jack Doyle (27),.3543,1897,R
316,316.,Johnny Hodapp (24),.3543,1930,R
317,316.,Jimmy Williams (22),.3543,1899,R
318,319.,Abner Dalrymple (20),.3542,1878,L
319,319.,Ed Delahanty+ (33),.3542,1901,R
320,319.,Harvey Hendrick (31),.3542,1929,L
321,322.,Kiki Cuyler+ (25),.3541,1924,R
322,322.,Charlie Gehringer+ (33),.3541,1936,L
323,322.,Lou Gehrig+ (33),.3541,1936,L
324,322.,Tony Lazzeri+ (25),.3541,1929,R
325,322.,Bill Madlock (24),.3541,1975,R
326,327.,Jimmie Foxx+ (21),.3540,1929,R
327,327.,King Kelly+ (26),.3540,1884,R
328,327.,Denny Lyons (24),.3540,1890,R
329,330.,Goose Goslin+ (25),.3539,1926,L
330,330.,Gabby Hartnett+ (36),.3539,1937,R
331,330.,Chick Stahl (24),.3539,1897,L
332,330.,Honus Wagner+ (34),.3539,1908,R
333,334.,Bob Fothergill (31),.3538,1929,R
334,334.,Billy Goodman (24),.3538,1950,L
335,334.,Jimmy Sheckard (22),.3538,1901,L
336,334.,Bill Terry+ (35),.3538,1934,L
337,334.,Paul Waner+ (34),.3538,1937,L
338,339.,John Olerud (29),.3537,1998,L
339,339.,Dave Orr (24),.3537,1884,R
340,341.,Ray Grimes (28),.3536,1922,R
341,342.,Lloyd Waner+ (23),.3535,1929,L
342,343.,Frank Thomas+ (26),.3534,1994,R
343,343.,Honus Wagner+ (27),.3534,1901,R
344,345.,Joe Medwick+ (23),.3533,1935,R
345,346.,George Davis+ (26),.3532,1897,B
346,347.,Ralph Garr (28),.3531,1974,L
347,348.,Harvey Kuenn (28),.3529,1959,R
348,348.,Willie McGee (26),.3529,1985,B
349,350.,Cupid Childs (26),.3528,1894,L
350,350.,Bubbles Hargrave (33),.3528,1926,R
351,352.,Hugh Duffy+ (28),.3527,1895,R
352,352.,Mickey Mantle+ (24),.3527,1956,B
353,352.,Paul Molitor+ (30),.3527,1987,R
354,352.,Wilbert Robinson+ (30),.3527,1894,R
355,352.,Gee Walker (28),.3527,1936,R
356,357.,Joe Sewell+ (24),.3526,1923,L
357,357.,Jake Stenzel (30),.3526,1897,R
358,357.,Mickey Vernon (28),.3526,1946,L
359,360.,George Burns (25),.3525,1918,R
360,360.,George Sisler+ (24),.3525,1917,L
361,362.,Ginger Beaumont (22),.3524,1899,L
362,362.,Joe DiMaggio+ (25),.3524,1940,R
363,362.,Jake Stenzel (27),.3524,1894,R
364,365.,Bill Dahlen (26),.3523,1896,R
365,365.,Baby Doll Jacobson (30),.3523,1921,R
366,365.,George Sisler+ (26),.3523,1919,L
367,368.,Jack Glasscock (31),.3522,1889,R
368,368.,Tommy Holmes (28),.3522,1945,L
369,370.,Cecil Cooper (30),.3521,1980,L
370,370.,Ichiro Suzuki (35),.3521,2009,L
371,372.,George Davis+ (23),.3519,1894,B
372,372.,Hack Miller (28),.3519,1922,R
373,374.,Tris Speaker+ (29),.3518,1917,L
374,375.,Bibb Falk (25),.3517,1924,L
375,375.,Edd Roush+ (28),.3517,1921,L
376,375.,Jack Tobin (29),.3517,1921,L
377,378.,Don Mattingly (25),.3516,1986,L
378,379.,Jack Fournier (33),.3515,1923,L
379,379.,Lou Gehrig+ (34),.3515,1937,L
380,379.,Tony Gwynn+ (24),.3515,1984,L
381,379.,Tom McCreery (21),.3515,1896,B
382,383.,Roberto Clemente+ (26),.3514,1961,R
383,383.,Bob Ferguson (33),.3514,1878,B
384,385.,Fred Clarke+ (30),.3513,1903,L
385,385.,John Peters (26),.3513,1876,R
386,385.,Hardy Richardson (31),.3513,1886,R
387,385.,Al Simmons+ (26),.3513,1928,R
388,389.,Ross Youngs+ (23),.3511,1920,L
389,390.,Edd Roush+ (30),.3510,1923,L
390,390.,Ichiro Suzuki (33),.3510,2007,L
391,392.,Joe Start (35),.3509,1878,L
392,393.,Mike Donlin (25),.3508,1903,L
393,393.,Shoeless Joe Jackson (31),.3508,1919,L
394,393.,Manny Ramirez (28),.3508,2000,R
395,396.,Chick Stahl (26),.3507,1899,L
396,397.,Joe Medwick+ (24),.3506,1936,R
397,397.,Ed Morgan (27),.3506,1931,R
398,397.,Stan Musial+ (36),.3506,1957,L
399,397.,Juan Soto (21),.3506,2020,L
400,401.,Jack Fournier (35),.3505,1925,L
401,401.,George Van Haltren (30),.3505,1896,L
402,403.,Ty Cobb+ (20),.3504,1907,L
403,403.,Jake Daubert (29),.3504,1913,L
404,403.,Frank Demaree (26),.3504,1936,R
405,403.,Tommy McCarthy+ (26),.3504,1890,R
406,407.,Carson Bigbee (27),.3502,1922,L
407,407.,Heinie Manush+ (28),.3502,1930,L
408,407.,Austin McHenry (25),.3502,1921,R
409,410.,Larry Walker+ (34),.3501,2001,L
410,411.,Rod Carew+ (27),.3500,1973,L
411,411.,Dick Porter (28),.3500,1930,L
412,413.,Bill Terry+ (33),.3499,1932,L
413,414.,Roger Bresnahan+ (24),.3498,1903,R
414,414.,Dan Brouthers+ (33),.3498,1891,L
415,414.,Sam Rice+ (35),.3498,1925,L
416,414.,Taffy Wright (26),.3498,1938,L
417,418.,Ichiro Suzuki (27),.3497,2001,L
418,419.,Richie Ashburn+ (31),.3496,1958,L
419,420.,Cuckoo Christensen (26),.3495,1926,L
420,420.,Spud Davis (28),.3495,1933,R
421,420.,George Harper (33),.3495,1925,L
422,420.,Honus Wagner+ (33),.3495,1907,R
423,424.,Derek Jeter+ (25),.3493,1999,R
424,424.,Johnny Mize+ (26),.3493,1939,L
425,424.,Ed Morgan (26),.3493,1930,R
426,424.,Mel Ott+ (21),.3493,1930,L
427,428.,Roger Connor+ (32),.3492,1890,B
428,429.,Sam Rice+ (40),.3491,1930,L
429,429.,Frank Thomas+ (28),.3491,1996,R
430,431.,Lou Gehrig+ (29),.3490,1932,L
431,431.,Buddy Myer (31),.3490,1935,L
432,431.,Honus Wagner+ (30),.3490,1904,R
433,434.,Eddie Collins+ (37),.3489,1924,L
434,434.,Chick Hafey+ (28),.3489,1931,R
435,434.,Heinie Manush+ (32),.3489,1934,L
436,437.,Tommy McCarthy+ (30),.3488,1894,R
437,438.,Jimmie Foxx+ (30),.3487,1938,R
438,439.,Mickey Cochrane+ (28),.3486,1931,L
439,439.,Kenny Lofton (27),.3486,1994,L
440,439.,Manny Ramirez (30),.3486,2002,R
441,439.,Bill Terry+ (32),.3486,1931,L
442,443.,Steve Brodie (26),.3485,1895,L
443,444.,Joe Vosmik (25),.3484,1935,R
444,445.,Jesse Burkett+ (24),.3483,1893,L
445,446.,Jim Bottomley+ (31),.3482,1931,L
446,446.,Steve Evans (29),.3482,1914,L
447,448.,Luke Appling+ (33),.3481,1940,R
448,448.,Eddie Collins+ (25),.3481,1912,L
449,448.,Birdie Cree (28),.3481,1911,R
450,448.,Jim O'Rourke+ (28),.3481,1879,R
451,452.,Frankie Frisch+ (25),.3479,1923,B
452,453.,King Kelly+ (21),.3478,1879,R
453,453.,DJ LeMahieu (27),.3478,2016,R
454,453.,Edd Roush+ (31),.3478,1924,L
455,456.,Miguel Cabrera (30),.3477,2013,R
456,456.,Chuck Klein+ (27),.3477,1932,L
457,456.,Pete Rose (28),.3477,1969,B
458,459.,Cap Anson+ (35),.3475,1887,R
459,459.,Elston Howard (32),.3475,1961,R
460,461.,Joe Mauer (23),.3474,2006,L
461,461.,Cal McVey (26),.3474,1876,R
462,463.,Rube Bressler (29),.3473,1924,R
463,463.,Fred Clarke+ (22),.3473,1895,L
464,463.,Todd Helton (30),.3473,2004,L
465,463.,Ken Williams (31),.3473,1921,L
466,467.,Frank Thomas+ (29),.3472,1997,R
467,468.,Jimmy Bannon (24),.3469,1895,R
468,468.,Jim O'Rourke+ (33),.3469,1884,R
469,470.,Eddie Collins+ (22),.3468,1909,L
470,470.,Stan Musial+ (23),.3468,1944,L
471,472.,Dan Brouthers+ (36),.3467,1894,L
472,472.,Willie Mays+ (27),.3467,1958,R
473,474.,Home Run Baker+ (26),.3466,1912,L
474,474.,Fred Tenney (27),.3466,1899,L
475,474.,Mike Tiernan (28),.3466,1895,L
476,477.,Daniel Murphy (31),.3465,2016,L
477,478.,Frankie Frisch+ (32),.3463,1930,B
478,478.,Tommy McCarthy+ (29),.3463,1893,R
479,480.,Mookie Betts (25),.3462,2018,R
480,480.,Joe DiMaggio+ (22),.3462,1937,R
481,480.,Ezra Sutton (34),.3462,1884,R
482,483.,Eddie Collins+ (38),.3459,1925,L
483,483.,Jimmy Collins+ (27),.3459,1897,R
484,483.,Walton Cruise (31),.3459,1921,L
485,483.,Tommy Davis (23),.3459,1962,R
486,483.,Stan Musial+ (29),.3459,1950,L
487,483.,Earl Smith (29),.3459,1926,L
488,489.,Jose Altuve (27),.3458,2017,R
489,489.,Joe Cronin+ (23),.3458,1930,R
490,489.,Jimmie Foxx+ (27),.3458,1935,R
491,489.,Bobby Lowe (28),.3458,1894,R
492,493.,Spud Johnson (33),.3457,1890,L
493,494.,Johnny Bassler (29),.3456,1924,L
494,494.,Harry Heilmann+ (29),.3456,1924,R
495,494.,Mike Piazza+ (26),.3456,1995,R
496,494.,Mike Smith (25),.3456,1893,L
497,498.,Sammy Hale (28),.3453,1925,R
498,498.,Wally Moses (25),.3453,1936,L
499,500.,Roberto Clemente+ (34),.3452,1969,R
500,500.,Cy Williams (38),.3452,1926,L
