,Rank,Player (age that year),Errors Committed as SS,Year,Throws
280,280.,Jack Barry (25),55,1912,R
281,280.,Al Bridwell (24),55,1908,R
282,280.,Bill Cissell (25),55,1929,R
283,280.,Billy Clingman (29),55,1899,R
284,280.,Billy Clingman (31),55,1901,R
285,280.,Bill Dahlen (30),55,1900,R
286,280.,George Davis+ (27),55,1898,R
287,280.,Arthur Irwin (26),55,1884,R
288,280.,Hughie Jennings+ (28),55,1897,R
289,280.,Red Kress (23),55,1928,R
290,280.,Rabbit Maranville+ (23),55,1915,R
291,280.,Tom McLaughlin (24),55,1884,R
292,280.,Charley O'Leary (29),55,1905,R
293,280.,Frank O'Rourke (29),55,1921,R
294,280.,Heinie Sand (28),55,1926,R
295,280.,Joe Tinker+ (30),55,1911,R
296,280.,Bobby Wallace+ (25),55,1899,R
297,280.,Bobby Wallace+ (26),55,1900,R
298,280.,John Ward+ (25),55,1885,R
299,300.,Al Bridwell (22),54,1906,R
300,300.,Tom Carey (32),54,1879,R
301,300.,Gene DeMontreville (26),54,1899,R
302,300.,Mickey Doolin (29),54,1909,R
303,300.,Jimmy Esmond (25),54,1915,R
304,300.,Phil Lewis (22),54,1906,R
305,300.,Candy Nelson (37),54,1886,R
306,300.,Charley O'Leary (28),54,1904,R
307,300.,Roger Peckinpaugh (26),54,1917,R
308,300.,Danny Richardson (31),54,1894,R
309,300.,Jack Rowe (29),54,1886,R
310,300.,Bobby Wallace+ (33),54,1907,R
311,312.,Art Butler (27),53,1915,R
312,312.,Tom Carey (30),53,1877,R
313,312.,Ed Caskin (32),53,1884,R
314,312.,Tommy Corcoran (30),53,1899,R
315,312.,Ike Davis (30),53,1925,R
316,312.,Mickey Doolin (31),53,1911,R
317,312.,Bones Ely (32),53,1895,R
318,312.,Bones Ely (38),53,1901,R
319,312.,Jack Glasscock (35),53,1893,R
320,312.,Buck Herzog (29),53,1915,R
321,312.,Charlie Hollocher (22),53,1918,R
322,312.,Bill Keister (27),53,1899,R
323,312.,George Magoon (26),53,1901,R
324,312.,Rabbit Maranville+ (27),53,1919,R
325,312.,George McBride (31),53,1912,R
326,312.,Ed McKean (33),53,1897,R
327,312.,Ed McKean (34),53,1898,R
328,312.,Paul Radford (32),53,1894,R
329,312.,Germany Smith (34),53,1893,R
330,331.,Ross Barnes (29),52,1879,R
331,331.,Ross Barnes (31),52,1881,R
332,331.,Tom Burns (24),52,1881,R
333,331.,Jimmy Cooney (25),52,1891,R
334,331.,Mickey Doolin (35),52,1915,R
335,331.,Kid Elberfeld (32),52,1907,R
336,331.,Bones Ely (37),52,1900,R
337,331.,Bob Fisher (26),52,1913,R
338,331.,Art Fletcher (27),52,1912,R
339,331.,Wally Gerber (28),52,1920,R
340,331.,Buck Herzog (28),52,1914,R
341,331.,Rogers Hornsby+ (21),52,1917,R
342,331.,Mark Koenig (21),52,1926,R
343,331.,George McBride (27),52,1908,R
344,331.,Arky Vaughan+ (28),52,1940,R
345,331.,Honus Wagner+ (36),52,1910,R
346,331.,Glenn Wright (23),52,1924,R
347,348.,Charley Bassett (23),51,1886,R
348,348.,Donie Bush (22),51,1910,R
349,348.,Donie Bush (29),51,1917,R
350,348.,Ed Caskin (28),51,1880,R
351,348.,Mickey Doolin (25),51,1905,R
352,348.,Mickey Doolin (33),51,1913,R
353,348.,Bones Ely (35),51,1898,R
354,348.,Doc Farrell (26),51,1928,R
355,348.,Bob Fisher (28),51,1915,R
356,348.,Lonny Frey (25),51,1936,R
357,348.,Billy Hulen (26),51,1896,L
358,348.,Arthur Irwin (22),51,1880,R
359,348.,Ernie Johnson (27),51,1915,R
360,348.,John Peters (32),51,1882,R
361,348.,Billy Rogell (28),51,1933,R
362,348.,Jack Rowe (28),51,1885,R
363,348.,Jack Rowe (30),51,1887,R
364,348.,Frank Scheibeck (36),51,1901,R
365,348.,Roy Smalley (24),51,1950,R
366,348.,Honus Wagner+ (32),51,1906,R
367,368.,Ray Chapman (24),50,1915,R
368,368.,Bill Dahlen (24),50,1894,R
369,368.,Art Fletcher (28),50,1913,R
370,368.,Jack Glasscock (27),50,1885,R
371,368.,Arnold Hauser (23),50,1912,R
372,368.,Sadie Houck (25),50,1881,R
373,368.,Hughie Jennings+ (29),50,1898,R
374,368.,Doc Lavan (29),50,1920,R
375,368.,Rabbit Maranville+ (24),50,1916,R
376,368.,Topper Rigney (25),50,1922,R
377,368.,Frank Scheibeck (29),50,1894,R
378,368.,John Sullivan (23),50,1944,R
379,368.,Joe Tinker+ (28),50,1909,R
380,368.,Joe Tinker+ (31),50,1912,R
381,368.,Heinie Wagner (26),50,1907,R
382,368.,Heinie Wagner (28),50,1909,R
383,368.,Honus Wagner+ (29),50,1903,R
384,368.,Honus Wagner+ (34),50,1908,R
385,368.,Chuck Ward (22),50,1917,R
386,387.,Luke Appling+ (30),49,1937,R
387,387.,Dave Bancroft+ (26),49,1917,R
388,387.,Bobby Bragan (22),49,1940,R
389,387.,Ike Caveney (28),49,1923,R
390,387.,Ray Chapman (27),49,1918,R
391,387.,Bill Dahlen (36),49,1906,R
392,387.,Bones Ely (39),49,1902,R
393,387.,Hughie Jennings+ (22),49,1891,R
394,387.,Mark Koenig (23),49,1928,R
395,387.,Doc Lavan (30),49,1921,R
396,387.,Ivy Olson (35),49,1921,R
397,387.,Freddy Parent (32),49,1908,R
398,387.,Heinie Sand (25),49,1923,R
399,387.,Joe Sewell+ (23),49,1922,R
400,387.,Germany Smith (37),49,1896,R
401,387.,Honus Wagner+ (30),49,1904,R
402,387.,Honus Wagner+ (33),49,1907,R
403,387.,Honus Wagner+ (35),49,1909,R
404,387.,Rabbit Warstler (33),49,1937,R
405,387.,Buck Weaver (24),49,1915,R
406,387.,Sam Wise (24),49,1882,R
407,387.,Glenn Wright (25),49,1926,R
408,409.,Dick Bartell (22),48,1930,R
409,409.,Lena Blackburne (31),48,1918,R
410,409.,Donie Bush (30),48,1918,R
411,409.,Ray Chapman (22),48,1913,R
412,409.,Tom Downey (27),48,1911,R
413,409.,Kid Elberfeld (29),48,1904,R
414,409.,Art Fletcher (31),48,1916,R
415,409.,Art Fletcher (35),48,1920,R
416,409.,John Gochnaur (26),48,1902,R
417,409.,Granny Hamner (23),48,1950,R
418,409.,Joe Hoover (29),48,1944,R
419,409.,Herman Long (34),48,1900,R
420,409.,Barry McCormick (25),48,1900,R
421,409.,Charley O'Leary (31),48,1907,R
422,409.,Tim O'Rourke (29),48,1893,R
423,409.,Rabbit Warstler (34),48,1938,R
424,425.,Al Bridwell (23),47,1907,R
425,425.,Ike Caveney (27),47,1922,R
426,425.,Jimmy Cooney (24),47,1890,R
427,425.,Frankie Crosetti (27),47,1938,R
428,425.,Monte Cross (34),47,1904,R
429,425.,Monte Cross (36),47,1906,R
430,425.,Art Fletcher (34),47,1919,R
431,425.,Chick Fulmer (25),47,1876,R
432,425.,Wally Gerber (30),47,1922,R
433,425.,Jack Glasscock (24),47,1882,R
434,425.,Henry Kessler (24),47,1876,R
435,425.,Mark Koenig (22),47,1927,R
436,425.,Larry Kopf (29),47,1920,R
437,425.,Doc Lavan (26),47,1917,R
438,425.,Jim Levey (25),47,1932,R
439,425.,Tommy McMillan (21),47,1909,R
440,425.,Tommy McMillan (22),47,1910,R
441,425.,Cass Michaels (19),47,1945,R
442,425.,Candy Nelson (34),47,1883,R
443,425.,Ivy Olson (30),47,1916,R
444,425.,Ivy Olson (34),47,1920,R
445,425.,Frank Parkinson (26),47,1921,R
446,425.,Roger Peckinpaugh (24),47,1915,R
447,425.,Pee Wee Reese+ (22),47,1941,R
448,425.,Joe Sewell+ (22),47,1921,R
449,425.,Bert Tooley (25),47,1912,R
450,425.,Arky Vaughan+ (24),47,1936,R
451,452.,Neal Ball (28),46,1909,R
452,452.,Dave Bancroft+ (37),46,1928,R
453,452.,Al Bridwell (27),46,1911,R
454,452.,Oyster Burns (23),46,1888,R
455,452.,Red Corriden (26),46,1914,R
456,452.,George Davis+ (34),46,1905,R
457,452.,Charlie Gelbert (23),46,1929,R
458,452.,Rogers Hornsby+ (22),46,1918,R
459,452.,John Knight (25),46,1911,R
460,452.,Lyn Lary (25),46,1931,R
461,452.,Rabbit Maranville+ (25),46,1917,R
462,452.,Dick Padden (28),46,1899,R
463,452.,Johnny Rawlings (22),46,1915,R
464,452.,Danny Richardson (27),46,1890,R
465,452.,Heinie Schuble (22),46,1929,R
466,452.,Danny Shay (27),46,1904,R
467,452.,Bert Tooley (24),46,1911,R
468,452.,Arky Vaughan+ (20),46,1932,R
