,Rank,Player (age that year),Runs Scored,Year,Bats
100,100.,Max Carey+ (32),140,1922,B
101,100.,Mike Griffin (30),140,1895,L
102,100.,Willie Keeler+ (27),140,1899,L
103,100.,Chuck Knoblauch (27),140,1996,R
104,100.,John McGraw+ (26),140,1899,L
105,100.,Jim McTamany (26),140,1890,R
106,100.,Tom Poorman (29),140,1887,L
107,100.,Jimmy Ryan (26),140,1889,R
108,109.,Dan Brouthers+ (28),139,1886,L
109,109.,Hub Collins (25),139,1889,R
110,109.,Charlie Comiskey+ (27),139,1887,R
111,109.,Jimmie Foxx+ (30),139,1938,R
112,109.,Lou Gehrig+ (25),139,1928,L
113,109.,Bid McPhee+ (26),139,1886,R
114,109.,Red Rolfe (30),139,1939,L
115,109.,Jimmy Rollins (28),139,2007,B
116,109.,Babe Ruth+ (31),139,1926,L
117,109.,Bill Terry+ (31),139,1930,L
118,119.,Roberto Alomar+ (31),138,1999,B
119,119.,Jesse Burkett+ (25),138,1894,L
120,119.,Lou Gehrig+ (29),138,1932,L
121,119.,Lou Gehrig+ (30),138,1933,L
122,119.,Lou Gehrig+ (34),138,1937,L
123,119.,Todd Helton (26),138,2000,L
124,119.,Tommy Henrich (35),138,1948,L
125,119.,Mel Ott+ (20),138,1929,L
126,127.,Ginger Beaumont (26),137,1903,L
127,127.,Charlie Blackmon (30),137,2017,L
128,127.,Dan Brouthers+ (36),137,1894,L
129,127.,Pete Browning (26),137,1887,R
130,127.,Eddie Collins+ (25),137,1912,L
131,127.,Earle Combs+ (28),137,1927,L
132,127.,Frankie Crosetti (25),137,1936,R
133,127.,Bill Dahlen (26),137,1896,R
134,127.,Hank Greenberg+ (26),137,1937,R
135,127.,Herman Long (23),137,1889,L
136,127.,Tommy McCarthy+ (26),137,1890,R
137,127.,Bid McPhee+ (27),137,1887,R
138,127.,Johnny Mize+ (34),137,1947,L
139,127.,Albert Pujols (23),137,2003,R
140,127.,George Sisler+ (27),137,1920,L
141,127.,Tris Speaker+ (32),137,1920,L
142,127.,Roy Thomas (25),137,1899,L
143,127.,Billy Williams+ (32),137,1970,L
144,145.,Earl Averill+ (34),136,1936,L
145,145.,Cupid Childs (24),136,1892,L
146,145.,Johnny Damon (26),136,2000,L
147,145.,Curtis Granderson (30),136,2011,L
148,145.,Mike Griffin (32),136,1897,L
149,145.,Herman Long (28),136,1894,L
150,145.,Tommy McCarthy+ (25),136,1889,R
151,145.,Paul Molitor+ (25),136,1982,R
152,145.,Tris Speaker+ (24),136,1912,L
153,145.,George Van Haltren (25),136,1891,L
154,145.,George Van Haltren (30),136,1896,L
155,145.,Walt Wilmot (30),136,1894,B
156,157.,Mookie Betts (26),135,2019,R
157,157.,Tom Daly (28),135,1894,B
158,157.,Ed Delahanty+ (31),135,1899,R
159,157.,Charlie Gehringer+ (31),135,1934,L
160,157.,Lou Gehrig+ (23),135,1926,L
161,157.,Bill Gleason (28),135,1887,R
162,157.,Todd Helton (29),135,2003,L
163,157.,Hughie Jennings+ (29),135,1898,R
164,157.,Denny Lyons (23),135,1889,R
165,157.,Johnny Mostil (29),135,1925,R
166,157.,Stan Musial+ (27),135,1948,L
167,157.,Jack Rowe (30),135,1887,L
168,157.,Ted Williams+ (22),135,1941,L
169,157.,Hack Wilson+ (29),135,1929,R
170,171.,Bobby Bonds (24),134,1970,R
171,171.,Steve Brodie (25),134,1894,L
172,171.,Cliff Carroll (30),134,1890,B
173,171.,Hugh Duffy+ (24),134,1891,R
174,171.,Shawn Green (26),134,1999,L
175,171.,Dummy Hoy (29),134,1891,L
176,171.,Hughie Jennings+ (25),134,1894,R
177,171.,Derek Jeter+ (25),134,1999,R
178,171.,Fielder Jones (25),134,1897,L
179,171.,George Pinkney (29),134,1888,L
180,171.,Frank Robinson+ (26),134,1962,R
181,171.,Alex Rodriguez (24),134,2000,R
182,171.,George Sisler+ (29),134,1922,L
183,171.,Grady Sizemore (23),134,2006,L
184,171.,Sammy Sosa (29),134,1998,R
185,171.,Lloyd Waner+ (23),134,1929,L
186,171.,John Ward+ (30),134,1890,L
187,171.,Curt Welch (27),134,1889,R
188,171.,Ted Williams+ (21),134,1940,L
189,190.,Hub Collins (24),133,1888,R
190,190.,Roger Connor+ (32),133,1890,B
191,190.,Frank Fennelly (27),133,1887,R
192,190.,Augie Galan (23),133,1935,B
193,190.,Charlie Gehringer+ (34),133,1937,L
194,190.,Charlie Gehringer+ (35),133,1938,L
195,190.,Billy Hamilton+ (24),133,1890,L
196,190.,Rogers Hornsby+ (29),133,1925,R
197,190.,Rogers Hornsby+ (31),133,1927,R
198,190.,Hughie Jennings+ (28),133,1897,R
199,190.,Henry Larkin (26),133,1886,R
200,190.,Paul Molitor+ (34),133,1991,R
201,190.,George Pinkney (28),133,1887,L
202,190.,Albert Pujols (24),133,2004,R
203,190.,Tim Raines+ (23),133,1983,B
204,190.,Hardy Richardson (35),133,1890,R
205,190.,Alex Rodriguez (25),133,2001,R
206,190.,Jimmy Ryan (31),133,1894,R
207,190.,Tris Speaker+ (35),133,1923,L
208,190.,Lloyd Waner+ (21),133,1927,L
209,190.,Willie Wilson (24),133,1980,B
210,211.,Roberto Alomar+ (28),132,1996,B
211,211.,Jay Bell (33),132,1999,R
212,211.,Joe DiMaggio+ (21),132,1936,R
213,211.,George Gore (35),132,1889,L
214,211.,George Gore (36),132,1890,L
215,211.,Billy Hamilton+ (26),132,1892,L
216,211.,Todd Helton (27),132,2001,L
217,211.,Arlie Latham (34),132,1894,R
218,211.,Kenny Lofton (29),132,1996,L
219,211.,Mickey Mantle+ (24),132,1956,B
220,211.,Roger Maris (26),132,1961,L
221,211.,Joe Medwick+ (23),132,1935,R
222,211.,Billy Nash (29),132,1894,R
223,211.,Pee Wee Reese+ (30),132,1949,R
224,211.,Red Rolfe (29),132,1938,L
225,211.,Duke Snider+ (26),132,1953,L
226,211.,Roy Thomas (26),132,1900,L
227,211.,Mike Tiernan (23),132,1890,L
228,211.,Mike Tiernan (29),132,1896,L
229,211.,Jack Tobin (29),132,1921,L
230,231.,Lu Blue (25),131,1922,B
231,231.,Bobby Bonds (27),131,1973,R
232,231.,Ed Delahanty+ (28),131,1896,R
233,231.,Dom DiMaggio (33),131,1950,R
234,231.,Woody English (23),131,1929,R
235,231.,Charlie Gehringer+ (26),131,1929,L
236,231.,Rogers Hornsby+ (25),131,1921,R
237,231.,Mickey Mantle+ (29),131,1961,B
238,231.,Bill McClellan (30),131,1886,B
239,231.,Ed McKean (31),131,1895,R
240,231.,Dale Murphy (27),131,1983,R
241,231.,Vada Pinson (20),131,1959,L
242,231.,Manny Ramirez (27),131,1999,R
243,231.,Hardy Richardson (32),131,1887,R
244,231.,Sam Thompson+ (35),131,1895,L
245,231.,Chase Utley (27),131,2006,L
246,231.,Paul Waner+ (26),131,1929,L
247,231.,Ted Williams+ (20),131,1939,L
248,249.,Jimmy Bannon (23),130,1894,R
249,249.,Hugh Duffy+ (30),130,1897,R
250,249.,Bill Everitt (27),130,1896,L
251,249.,Jimmie Foxx+ (28),130,1936,R
252,249.,Jimmie Foxx+ (31),130,1939,R
253,249.,Rafael Furcal (25),130,2003,B
254,249.,Rickey Henderson+ (27),130,1986,R
255,249.,Charlie Jamieson (30),130,1923,L
256,249.,Bobby Lowe (27),130,1893,R
257,249.,Willie Mays+ (31),130,1962,R
258,249.,Mark McGwire (34),130,1998,R
259,249.,Pete Rose (35),130,1976,B
260,249.,Orator Shafer (32),130,1884,L
261,249.,Harry Stovey (28),130,1885,R
262,249.,Sam Thompson+ (33),130,1893,L
263,249.,Maury Wills (29),130,1962,B
264,265.,Mookie Betts (25),129,2018,R
265,265.,Barry Bonds (28),129,1993,L
266,265.,Barry Bonds (35),129,2000,L
267,265.,Barry Bonds (36),129,2001,L
268,265.,Barry Bonds (39),129,2004,L
269,265.,Jesse Burkett+ (28),129,1897,L
270,265.,Rocky Colavito (27),129,1961,R
271,265.,Earle Combs+ (31),129,1930,L
272,265.,Rafael Devers (22),129,2019,L
273,265.,Joe DiMaggio+ (23),129,1938,R
274,265.,Jim Edmonds (30),129,2000,L
275,265.,Bill Everitt (26),129,1895,L
276,265.,Hank Greenberg+ (29),129,1940,R
277,265.,Francisco Lindor (24),129,2018,B
278,265.,Herman Long (25),129,1891,L
279,265.,Mickey Mantle+ (22),129,1954,B
280,265.,Willie Mays+ (30),129,1961,R
281,265.,Albert Pujols (25),129,2005,R
282,265.,Mike Trout (20),129,2012,R
283,265.,George Van Haltren (27),129,1893,L
284,265.,George Van Haltren (32),129,1898,L
285,265.,John Ward+ (33),129,1893,L
286,265.,Billy Werber (26),129,1934,R
287,265.,Robin Yount+ (26),129,1982,R
288,289.,Earl Averill+ (32),128,1934,L
289,289.,Lou Bierbauer (24),128,1890,L
290,289.,Wade Boggs+ (30),128,1988,L
291,289.,Rod Carew+ (31),128,1977,L
292,289.,Lave Cross (28),128,1894,R
293,289.,Taylor Douthit (28),128,1929,R
294,289.,Lou Gehrig+ (31),128,1934,L
295,289.,Jack Glasscock (31),128,1889,R
296,289.,Luis Gonzalez (33),128,2001,L
297,289.,Roy Johnson (26),128,1929,L
298,289.,Eddie Joost (33),128,1949,R
299,289.,Aaron Judge (25),128,2017,R
300,289.,Denny Lyons (21),128,1887,R
301,289.,Stan Musial+ (28),128,1949,L
302,289.,Roger Peckinpaugh (30),128,1921,R
303,289.,Mike Smith (26),128,1894,L
304,289.,Alfonso Soriano (26),128,2002,R
305,289.,Eddie Stanky (29),128,1945,R
306,289.,Ken Williams (32),128,1922,L
307,308.,Hank Aaron+ (28),127,1962,R
308,308.,Ronald Acuna Jr. (21),127,2019,R
309,308.,Carlos Beltran (29),127,2006,B
310,308.,Joe Cronin+ (23),127,1930,R
311,308.,Frankie Crosetti (26),127,1937,R
312,308.,Dom DiMaggio (31),127,1948,R
313,308.,Jimmie Foxx+ (22),127,1930,R
314,308.,Johnny Frederick (27),127,1929,L
315,308.,Lou Gehrig+ (26),127,1929,L
316,308.,Mike Griffin (25),127,1890,L
317,308.,Derek Jeter+ (24),127,1998,R
318,308.,Freddie Lindstrom+ (24),127,1930,R
319,308.,Mickey Mantle+ (26),127,1958,B
320,308.,Stan Musial+ (32),127,1953,L
321,308.,Paul Radford (25),127,1887,R
322,308.,Jimmy Rollins (27),127,2006,B
323,308.,Billy Shindle (29),127,1890,R
324,308.,Harry Stovey (31),127,1888,R
325,308.,Ichiro Suzuki (27),127,2001,L
326,308.,Mike Tiernan (28),127,1895,L
327,328.,Jeff Bagwell+ (33),126,2001,R
328,328.,Ross Barnes (26),126,1876,R
329,328.,Lou Brock+ (32),126,1971,L
330,328.,Donie Bush (23),126,1911,B
331,328.,Matt Carpenter (27),126,2013,L
332,328.,Al Dark (31),126,1953,R
333,328.,Dom DiMaggio (32),126,1949,R
334,328.,Ray Durham (26),126,1998,B
335,328.,Steve Finley (31),126,1996,L
336,328.,Odell Hale (27),126,1936,R
337,328.,Tommy Harper (24),126,1965,R
338,328.,Bug Holliday (27),126,1894,R
339,328.,Shoeless Joe Jackson (23),126,1911,L
340,328.,Willie Keeler+ (26),126,1898,L
341,328.,Chuck Klein+ (24),126,1929,L
342,328.,Tommy Leach (31),126,1909,R
343,328.,Ron LeFlore (30),126,1978,R
344,328.,Goody Rosen (32),126,1945,L
345,328.,Gary Sheffield (34),126,2003,R
346,328.,Duke Snider+ (28),126,1955,L
347,328.,George Van Haltren (23),126,1889,L
348,328.,Zoilo Versalles (25),126,1965,R
349,328.,Jimmy Williams (22),126,1899,R
350,351.,Dick Allen (22),125,1964,R
351,351.,Eddie Collins+ (26),125,1913,L
352,351.,George Davis+ (23),125,1894,B
353,351.,Hugh Duffy+ (25),125,1892,R
354,351.,Jimmie Foxx+ (25),125,1933,R
355,351.,Lou Gehrig+ (32),125,1935,L
356,351.,Jim Gilliam (24),125,1953,B
357,351.,Ken Griffey Jr.+ (26),125,1996,L
358,351.,Ken Griffey Jr.+ (27),125,1997,L
359,351.,Tommy Holmes (28),125,1945,L
360,351.,Hughie Jennings+ (27),125,1896,R
361,351.,Willie Mays+ (28),125,1959,R
362,351.,Bid McPhee+ (30),125,1890,R
363,351.,Hanley Ramirez (23),125,2007,R
364,351.,Hanley Ramirez (24),125,2008,R
365,351.,Hardy Richardson (31),125,1886,R
366,351.,Phil Rizzuto+ (32),125,1950,R
367,351.,Jackie Robinson+ (28),125,1947,R
368,351.,Alex Rodriguez (26),125,2002,R
369,351.,George Sisler+ (28),125,1921,L
370,351.,Vern Stephens (29),125,1950,R
371,351.,Snuffy Stirnweiss (25),125,1944,R
372,351.,Harry Stovey (30),125,1887,R
373,351.,Fred Tenney (25),125,1897,L
374,351.,George Treadway (27),125,1894,L
375,351.,Curt Welch (26),125,1888,R
376,351.,Zack Wheat+ (37),125,1925,L
377,351.,Ted Williams+ (28),125,1947,L
378,351.,Carl Yastrzemski+ (30),125,1970,L
379,380.,Jeff Bagwell+ (30),124,1998,R
380,380.,Albert Belle (29),124,1996,R
381,380.,Eddie Burke (27),124,1894,L
382,380.,Ty Cobb+ (34),124,1921,L
383,380.,Duff Cooley (24),124,1897,L
384,380.,Mike Donlin (27),124,1905,L
385,380.,George Foster (28),124,1977,R
386,380.,Vladimir Guerrero+ (29),124,2004,R
387,380.,Derek Jeter+ (28),124,2002,R
388,380.,King Kelly+ (27),124,1885,R
389,380.,Ralph Kiner+ (28),124,1951,R
390,380.,Denny Lyons (25),124,1891,R
391,380.,Tommy McCarthy+ (27),124,1891,R
392,380.,Stan Musial+ (25),124,1946,L
393,380.,Stan Musial+ (30),124,1951,L
394,380.,Rafael Palmeiro (28),124,1993,L
395,380.,Johnny Pesky (29),124,1948,L
396,380.,Albert Pujols (29),124,2009,R
397,380.,Alex Rodriguez (27),124,2003,R
398,380.,Alex Rodriguez (29),124,2005,R
399,380.,Harry Stovey (27),124,1884,R
400,380.,Bill Terry+ (33),124,1932,L
401,380.,Hal Trosky (23),124,1936,L
402,380.,Ted Williams+ (29),124,1948,L
403,404.,Bobby Abreu (33),123,2007,L
404,404.,Edgardo Alfonzo (25),123,1999,R
405,404.,Jake Beckley+ (26),123,1894,L
406,404.,Craig Biggio+ (29),123,1995,R
407,404.,Craig Biggio+ (32),123,1998,R
408,404.,Craig Biggio+ (33),123,1999,R
409,404.,Barry Bonds (32),123,1997,L
410,404.,Jim Bottomley+ (28),123,1928,L
411,404.,Dan Brouthers+ (32),123,1890,L
412,404.,Tom Brown (33),123,1894,L
413,404.,Roger Connor+ (34),123,1892,B
414,404.,Duff Cooley (25),123,1898,L
415,404.,Tommy Corcoran (25),123,1894,R
416,404.,Johnny Damon (30),123,2004,L
417,404.,Joe DiMaggio+ (27),123,1942,R
418,404.,Cliff Floyd (28),123,2001,L
419,404.,Jimmie Foxx+ (21),123,1929,R
420,404.,Charlie Gehringer+ (32),123,1935,L
421,404.,Ken Griffey Jr.+ (29),123,1999,L
422,404.,Mike Griffin (29),123,1894,L
423,404.,Reggie Jackson+ (23),123,1969,L
424,404.,Chipper Jones+ (26),123,1998,B
425,404.,Willie Keeler+ (29),123,1901,L
426,404.,Willie Mays+ (24),123,1955,R
427,404.,Barney McCosky (23),123,1940,L
428,404.,John McGraw+ (20),123,1893,L
429,404.,Jim McTamany (23),123,1887,R
430,404.,Tip O'Neill (29),123,1889,R
431,404.,Tim Raines+ (27),123,1987,B
432,404.,Alex Rodriguez (22),123,1998,R
433,404.,Emmett Seery (28),123,1889,L
434,404.,Marcus Semien (28),123,2019,R
435,404.,Al Smith (27),123,1955,R
436,404.,Giancarlo Stanton (27),123,2017,R
437,404.,Mike Tiernan (30),123,1897,L
438,404.,Mike Trout (24),123,2016,R
439,440.,Felipe Alou (31),122,1966,R
440,440.,Mookie Betts (23),122,2016,R
441,440.,Barry Bonds (31),122,1996,L
442,440.,Alex Bregman (25),122,2019,R
443,440.,Eddie Burke (26),122,1893,L
444,440.,Oyster Burns (22),122,1887,R
445,440.,Fred Clarke+ (24),122,1897,L
446,440.,Fred Clarke+ (26),122,1899,L
447,440.,Eddie Collins+ (27),122,1914,L
448,440.,Hub Collins (23),122,1887,R
449,440.,Joe DiMaggio+ (26),122,1941,R
450,440.,Josh Donaldson (29),122,2015,R
451,440.,Josh Donaldson (30),122,2016,R
452,440.,Dwight Evans (30),122,1982,R
453,440.,Nomar Garciaparra (23),122,1997,R
454,440.,Goose Goslin+ (35),122,1936,L
455,440.,Curtis Granderson (26),122,2007,L
456,440.,Derek Jeter+ (31),122,2005,R
457,440.,Andruw Jones (23),122,2000,R
458,440.,Buddy Lewis (21),122,1938,L
459,440.,Pepper Martin (29),122,1933,R
460,440.,Ed Morgan (26),122,1930,R
461,440.,Joe Morgan+ (28),122,1972,L
462,440.,Hugh Nicol (29),122,1887,R
463,440.,Lefty O'Doul (33),122,1930,L
464,440.,Mel Ott+ (21),122,1930,L
465,440.,Jose Reyes (23),122,2006,B
466,440.,Hardy Richardson (34),122,1889,R
467,440.,Frank Robinson+ (20),122,1956,R
468,440.,Frank Robinson+ (30),122,1966,R
469,440.,Jackie Robinson+ (30),122,1949,R
470,440.,Jimmy Ryan (35),122,1898,R
471,440.,Billy Shindle (28),122,1889,R
472,440.,Al Simmons+ (23),122,1925,R
473,440.,Sammy Sosa (33),122,2002,R
474,440.,Chick Stahl (26),122,1899,L
475,440.,Cub Stricker (28),122,1887,R
476,440.,Jim Thome+ (25),122,1996,L
477,440.,Jack Tobin (30),122,1922,L
478,440.,Arky Vaughan+ (24),122,1936,L
479,440.,Paul Waner+ (31),122,1934,L
480,440.,Curt Welch (29),122,1891,R
481,482.,Hank Aaron+ (29),121,1963,R
482,482.,Earl Averill+ (35),121,1937,L
483,482.,Dave Bancroft+ (30),121,1921,B
484,482.,Albert Belle (28),121,1995,R
485,482.,Cody Bellinger (23),121,2019,L
486,482.,Carlos Beltran (27),121,2004,B
487,482.,Dan Brouthers+ (34),121,1892,L
488,482.,Kris Bryant (24),121,2016,R
489,482.,Vince Coleman (25),121,1987,B
490,482.,Ray Durham (28),121,2000,B
491,482.,Darin Erstad (26),121,2000,L
492,482.,Dwight Evans (32),121,1984,R
493,482.,Frankie Frisch+ (23),121,1921,B
494,482.,Frankie Frisch+ (26),121,1924,B
495,482.,Frankie Frisch+ (32),121,1930,B
496,482.,Shawn Green (28),121,2001,L
497,482.,Harry Heilmann+ (28),121,1923,R
498,482.,Rogers Hornsby+ (28),121,1924,R
499,482.,Shoeless Joe Jackson (24),121,1912,L
500,482.,Bill Joyce (22),121,1890,L
501,482.,Bill Joyce (28),121,1896,L
502,482.,Al Kaline+ (20),121,1955,R
503,482.,Ian Kinsler (29),121,2011,R
504,482.,Chuck Klein+ (26),121,1931,L
505,482.,Mickey Mantle+ (23),121,1955,B
506,482.,Mickey Mantle+ (25),121,1957,B
507,482.,Heinie Manush+ (30),121,1932,L
508,482.,Edgar Martinez+ (32),121,1995,R
509,482.,Edgar Martinez+ (33),121,1996,R
510,482.,Pepper Martin (31),121,1935,R
511,482.,Pepper Martin (32),121,1936,R
512,482.,Willie Mays+ (27),121,1958,R
513,482.,Willie Mays+ (33),121,1964,R
514,482.,Paul Molitor+ (36),121,1993,R
515,482.,Jim Rice+ (25),121,1978,R
516,482.,Sam Rice+ (40),121,1930,L
517,482.,Cal Ripken Jr.+ (22),121,1983,R
518,482.,Babe Ruth+ (34),121,1929,L
519,482.,Jimmy Sheckard (32),121,1911,L
520,482.,Mike Smith (25),121,1893,L
521,482.,Mike Smith (28),121,1896,L
522,482.,Bill Terry+ (32),121,1931,L
523,482.,Joe Vosmik (28),121,1938,R
524,482.,Lloyd Waner+ (22),121,1928,L
525,482.,Ross Youngs+ (26),121,1923,L
526,482.,Robin Yount+ (24),121,1980,R
