,Rank,Player (age that year),Slugging %,Year,Bats
368,369.,Ryan Braun (28),.5953,2012,R
369,370.,Edgar Martinez+ (33),.5952,1996,R
370,371.,Daniel Murphy (31),.5951,2016,L
371,372.,Magglio Ordonez (33),.5950,2007,R
372,373.,Frank Robinson+ (24),.5948,1960,R
373,374.,Travis Hafner (28),.5947,2005,L
374,375.,Nelson Cruz (39),.5946,2020,R
375,375.,Andres Galarraga (37),.5946,1998,R
376,375.,Johnny Mize+ (24),.5946,1937,L
377,378.,Carlos Beltran (29),.5941,2006,B
378,379.,Tim Salmon (26),.5940,1995,R
379,380.,Brian Giles (29),.5939,2000,L
380,380.,Greg Luzinski (26),.5939,1977,R
381,380.,Manny Ramirez (33),.5939,2005,R
382,380.,George Sisler+ (29),.5939,1922,L
383,384.,Hank Aaron+ (27),.5937,1961,R
384,385.,Ted Williams+ (21),.5936,1940,L
385,386.,Sammy Sosa (33),.5935,2002,R
386,387.,Jim Rice+ (24),.5932,1977,R
387,388.,Carlos Delgado (31),.5930,2003,L
388,388.,Danny Tartabull (28),.5930,1991,R
389,390.,Eric Davis (25),.5928,1987,R
390,390.,Vladimir Guerrero+ (27),.5928,2002,R
391,392.,Eddie Mathews+ (27),.5926,1959,L
392,393.,Carlos Delgado (26),.5925,1998,L
393,394.,Moises Alou (27),.5924,1994,R
394,395.,Andres Galarraga (33),.5923,1994,R
395,395.,Ketel Marte (25),.5923,2019,B
396,397.,Bob Cerv (33),.5922,1958,R
397,398.,Alex Bregman (25),.5921,2019,R
398,399.,Jeff Bagwell+ (29),.5919,1997,R
399,399.,Carl Yastrzemski+ (30),.5919,1970,L
400,401.,Cecil Fielder (26),.5916,1990,R
401,402.,Mickey Mantle+ (26),.5915,1958,B
402,402.,David Ortiz (27),.5915,2003,L
403,404.,Mickey Mantle+ (32),.5914,1964,B
404,404.,Andy Pafko (29),.5914,1950,R
405,406.,Ryan Ludwick (29),.5911,2008,R
406,406.,Mel Ott+ (25),.5911,1934,L
407,406.,Mo Vaughn (30),.5911,1998,L
408,409.,George Springer (29),.5908,2019,R
409,410.,Jeff Bagwell+ (31),.5907,1999,R
410,411.,Ralph Kiner+ (27),.5905,1950,R
411,412.,Brian Giles (30),.5903,2001,L
412,413.,Juan Gonzalez (31),.5902,2001,R
413,413.,Shoeless Joe Jackson (23),.5902,1911,L
414,415.,Ross Barnes (26),.5901,1876,R
415,415.,Roy Campanella+ (29),.5901,1951,R
416,417.,Ed Delahanty+ (34),.5899,1902,R
417,418.,DJ LeMahieu (31),.5897,2020,R
418,419.,Chick Hafey+ (24),.5896,1927,R
419,419.,Mike Trout (23),.5896,2015,R
420,421.,Shoeless Joe Jackson (32),.5895,1920,L
421,422.,Tony Perez+ (28),.5894,1970,R
422,423.,Hal Trosky (26),.5893,1939,L
423,424.,Vinny Castilla (30),.5891,1998,R
424,424.,Juan Gonzalez (27),.5891,1997,R
425,424.,Vladimir Guerrero+ (23),.5891,1998,R
426,427.,Rico Petrocelli (26),.5888,1969,R
427,428.,Hack Wilson+ (28),.5885,1928,R
428,429.,Jack Fournier (33),.5883,1923,L
429,430.,Wade Boggs+ (29),.5880,1987,L
430,430.,Mel Ott+ (27),.5880,1936,L
431,430.,Trea Turner (27),.5880,2020,R
432,433.,Shawn Green (26),.5879,1999,L
433,433.,Geoff Jenkins (25),.5879,2000,L
434,433.,Phil Nevin (30),.5879,2001,R
435,436.,Dolph Camilli (30),.5874,1937,L
436,437.,Larry Walker+ (27),.5873,1994,L
437,438.,Joe Mauer (26),.5870,2009,L
438,438.,Manny Ramirez (31),.5870,2003,R
439,440.,Johnny Bench+ (22),.5868,1970,R
440,441.,Carl Everett (29),.5867,2000,B
441,442.,Duke Snider+ (30),.5866,1957,L
442,443.,Todd Helton (25),.5865,1999,L
443,443.,Stan Musial+ (25),.5865,1946,L
444,443.,Billy Williams+ (32),.5865,1970,L
445,446.,Hank Aaron+ (29),.5864,1963,R
446,446.,Walker Cooper (32),.5864,1947,R
447,446.,Freddie Freeman (27),.5864,2017,L
448,446.,Matt Holliday (26),.5864,2006,R
449,446.,Matt Kemp (26),.5864,2011,R
450,451.,Jeff Heath (26),.5863,1941,L
451,451.,Rogers Hornsby+ (31),.5863,1927,R
452,453.,Nolan Arenado (26),.5858,2017,R
453,454.,Miguel Cabrera (28),.5857,2011,R
454,454.,Willie McCovey+ (28),.5857,1966,L
455,454.,Alex Rodriguez (23),.5857,1999,R
456,457.,George Brett+ (32),.5855,1985,L
457,458.,Dave Parker (27),.5852,1978,L
458,459.,Ed Delahanty+ (26),.5850,1894,R
459,459.,Andres Galarraga (36),.5850,1997,R
460,459.,Ted Kluszewski (30),.5850,1955,L
461,462.,Ray Lankford (30),.5849,1997,L
462,462.,Corey Seager (26),.5849,2020,L
463,464.,Joe DiMaggio+ (35),.5848,1950,R
464,465.,Chris Hoiles (28),.5847,1993,R
465,466.,Barry Bonds (32),.5846,1997,L
466,466.,Mark McGwire (28),.5846,1992,R
467,468.,Nomar Garciaparra (24),.5844,1998,R
468,468.,Carl Reynolds (27),.5844,1930,R
469,470.,Chuck Klein+ (26),.5842,1931,L
470,471.,Ty Cobb+ (25),.5841,1912,L
471,471.,Lou Gehrig+ (26),.5841,1929,L
472,471.,Ryan Howard (27),.5841,2007,L
473,471.,Jim Thome+ (27),.5841,1998,L
474,475.,David Justice (34),.5840,2000,L
475,476.,Paul Konerko (34),.5839,2010,R
476,476.,Willie Mays+ (30),.5839,1961,R
477,476.,Gary Sheffield (25),.5839,1994,R
478,476.,Ted Williams+ (39),.5839,1958,L
479,480.,Harmon Killebrew+ (33),.5838,1969,R
480,481.,Rico Carty (30),.5837,1970,R
481,482.,Nolan Arenado (28),.5833,2019,R
482,482.,Willie Mays+ (27),.5833,1958,R
483,482.,Frank Robinson+ (23),.5833,1959,R
484,482.,Rudy York (26),.5833,1940,R
485,486.,Ed Delahanty+ (25),.5832,1893,R
486,486.,Walt Dropo (27),.5832,1950,R
487,486.,Lou Gehrig+ (32),.5832,1935,L
488,489.,Roy Campanella+ (33),.5830,1955,R
489,489.,Travis Hafner (27),.5830,2004,L
490,489.,Rafael Palmeiro (30),.5830,1995,L
491,492.,Pete Alonso (24),.5829,2019,R
492,492.,Jim Edmonds (30),.5829,2000,L
493,492.,Jose Ramirez (24),.5829,2017,B
494,495.,Darryl Strawberry (25),.5827,1987,L
495,495.,Mo Vaughn (28),.5827,1996,L
496,497.,Willie Mays+ (28),.5826,1959,R
497,498.,Mel Ott+ (29),.5825,1938,L
498,498.,Gary Sheffield (32),.5825,2001,R
499,500.,Moises Alou (31),.5822,1998,R
500,500.,Willie Mays+ (32),.5822,1963,R
