,Rank,Player (age that year),Runs Created,Year,Bats
119,113.,Harry Heilmann+ (28),156,1923,R
120,113.,Johnny Mize+ (26),156,1939,L
121,113.,Stan Musial+ (32),156,1953,L
122,113.,David Ortiz (31),156,2007,L
123,113.,Albert Pujols (25),156,2005,R
124,113.,Ted Williams+ (29),156,1948,L
125,126.,Barry Bonds (35),155,2000,L
126,126.,Miguel Cabrera (30),155,2013,R
127,126.,Tommy Holmes (28),155,1945,L
128,126.,Shoeless Joe Jackson (23),155,1911,L
129,126.,Stan Musial+ (25),155,1946,L
130,126.,Jim Thome+ (31),155,2002,L
131,126.,Mike Trout (21),155,2013,R
132,126.,Joey Votto (33),155,2017,L
133,126.,Larry Walker+ (34),155,2001,L
134,126.,Carl Yastrzemski+ (27),155,1967,L
135,136.,Wade Boggs+ (29),154,1987,L
136,136.,Kiki Cuyler+ (26),154,1925,R
137,136.,Darin Erstad (26),154,2000,L
138,136.,Ralph Kiner+ (26),154,1949,R
139,136.,Chuck Klein+ (28),154,1933,L
140,136.,Mel Ott+ (20),154,1929,L
141,136.,Duke Snider+ (26),154,1953,L
142,143.,Jeff Bagwell+ (29),153,1997,R
143,143.,Barry Bonds (33),153,1998,L
144,143.,Charlie Gehringer+ (33),153,1936,L
145,143.,Rogers Hornsby+ (32),153,1928,R
146,143.,Heinie Manush+ (26),153,1928,L
147,143.,Willie Mays+ (23),153,1954,R
148,143.,Alex Rodriguez (26),153,2002,R
149,143.,Frank Thomas+ (29),153,1997,R
150,151.,Bobby Abreu (30),152,2004,L
151,151.,Carlos Delgado (31),152,2003,L
152,151.,Joe DiMaggio+ (26),152,1941,R
153,151.,Ken Griffey Jr.+ (27),152,1997,L
154,151.,Babe Herman (26),152,1929,L
155,151.,Joe Kelley+ (22),152,1894,R
156,151.,Willie Mays+ (27),152,1958,R
157,151.,Magglio Ordonez (33),152,2007,R
158,151.,David Ortiz (30),152,2006,L
159,151.,Rafael Palmeiro (34),152,1999,L
160,151.,Hal Trosky (23),152,1936,L
161,151.,Mike Trout (26),152,2018,R
162,163.,Barry Bonds (32),151,1997,L
163,163.,Jimmie Foxx+ (22),151,1930,R
164,163.,Brian Giles (29),151,2000,L
165,163.,Matt Holliday (27),151,2007,R
166,163.,Willie McCovey+ (31),151,1969,L
167,163.,Albert Pujols (26),151,2006,R
168,163.,Al Rosen (29),151,1953,R
169,170.,Brady Anderson (32),150,1996,L
170,170.,Alex Bregman (25),150,2019,R
171,170.,Prince Fielder (25),150,2009,L
172,170.,Jason Giambi (31),150,2002,L
173,170.,Billy Hamilton+ (28),150,1894,L
174,170.,Ralph Kiner+ (28),150,1951,R
175,170.,Don Mattingly (25),150,1986,L
176,170.,Stan Musial+ (33),150,1954,L
177,170.,Mike Piazza+ (28),150,1997,R
178,170.,Alex Rodriguez (24),150,2000,R
179,170.,Gary Sheffield (34),150,2003,R
180,170.,Frank Thomas+ (28),150,1996,R
181,170.,Sam Thompson+ (35),150,1895,L
182,170.,Hack Wilson+ (29),150,1929,R
183,170.,Christian Yelich (27),150,2019,L
184,185.,Hank Aaron+ (29),149,1963,R
185,185.,Jose Bautista (30),149,2011,R
186,185.,Miguel Cabrera (28),149,2011,R
187,185.,Jimmie Foxx+ (31),149,1939,R
188,185.,Brian Giles (31),149,2002,L
189,185.,Aaron Judge (25),149,2017,R
190,185.,Jeff Kent (32),149,2000,R
191,185.,Ted Kluszewski (29),149,1954,L
192,185.,Freddie Lindstrom+ (24),149,1930,R
193,185.,Mark McGwire (32),149,1996,R
194,185.,David Ortiz (29),149,2005,L
195,185.,Sammy Sosa (29),149,1998,R
196,185.,Tris Speaker+ (24),149,1912,L
197,185.,Frank Thomas+ (25),149,1993,R
198,185.,Paul Waner+ (24),149,1927,L
199,185.,Ted Williams+ (20),149,1939,L
200,201.,Lance Berkman (28),148,2004,B
201,201.,Craig Biggio+ (31),148,1997,R
202,201.,Barry Bonds (27),148,1992,L
203,201.,Ty Cobb+ (30),148,1917,L
204,201.,Jimmie Foxx+ (21),148,1929,R
205,201.,Rogers Hornsby+ (31),148,1927,R
206,201.,Ralph Kiner+ (24),148,1947,R
207,201.,Mickey Mantle+ (23),148,1955,B
208,201.,Alex Rodriguez (27),148,2003,R
209,201.,Babe Ruth+ (34),148,1929,L
210,201.,Mike Trout (24),148,2016,R
211,201.,Joey Votto (31),148,2015,L
212,213.,Kiki Cuyler+ (31),147,1930,R
213,213.,Lou Gehrig+ (30),147,1933,L
214,213.,Ken Griffey Jr.+ (23),147,1993,L
215,213.,Vladimir Guerrero+ (25),147,2000,R
216,213.,Harry Heilmann+ (30),147,1925,R
217,213.,Harry Heilmann+ (32),147,1927,R
218,213.,Chipper Jones+ (29),147,2001,B
219,213.,Chuck Knoblauch (27),147,1996,R
220,213.,Fred Lynn (27),147,1979,L
221,213.,Mickey Mantle+ (26),147,1958,B
222,213.,Johnny Mize+ (27),147,1940,L
223,213.,Jim Rice+ (25),147,1978,R
224,213.,Babe Ruth+ (37),147,1932,L
225,213.,Al Simmons+ (27),147,1929,R
226,213.,Arky Vaughan+ (23),147,1935,L
227,213.,Billy Williams+ (32),147,1970,L
228,229.,Cody Bellinger (23),146,2019,L
229,229.,Jim Bottomley+ (25),146,1925,L
230,229.,George Brett+ (32),146,1985,L
231,229.,Ed Delahanty+ (27),146,1895,R
232,229.,Ed Delahanty+ (28),146,1896,R
233,229.,Paul Goldschmidt (27),146,2015,R
234,229.,Harmon Killebrew+ (33),146,1969,R
235,229.,Willie Mays+ (31),146,1962,R
236,229.,Stan Musial+ (22),146,1943,L
237,229.,Frank Robinson+ (30),146,1966,R
238,229.,Jim Thome+ (25),146,1996,L
239,229.,Sam Thompson+ (34),146,1894,L
240,229.,Ken Williams (32),146,1922,L
241,229.,Ken Williams (33),146,1923,L
242,229.,David Wright (24),146,2007,R
243,244.,Vladimir Guerrero+ (27),145,2002,R
244,244.,Shoeless Joe Jackson (24),145,1912,L
245,244.,Eddie Mathews+ (21),145,1953,L
246,244.,Willie Mays+ (26),145,1957,R
247,244.,Joe Morgan+ (31),145,1975,L
248,244.,Stan Musial+ (29),145,1950,L
249,244.,Manny Ramirez (36),145,2008,R
250,244.,Duke Snider+ (28),145,1955,L
251,244.,Tris Speaker+ (32),145,1920,L
252,244.,Frank Thomas+ (23),145,1991,R
253,244.,Frank Thomas+ (26),145,1994,R
254,244.,Joe Torre+ (30),145,1971,R
255,244.,Mike Trout (27),145,2019,R
256,244.,Paul Waner+ (25),145,1928,L
257,244.,Ted Williams+ (21),145,1940,L
258,259.,Albert Belle (28),144,1995,R
259,259.,Lance Berkman (30),144,2006,B
260,259.,Jim Bottomley+ (28),144,1928,L
261,259.,Jesse Burkett+ (27),144,1896,L
262,259.,Ripper Collins (30),144,1934,B
263,259.,Ed Delahanty+ (25),144,1893,R
264,259.,Jim Edmonds (34),144,2004,L
265,259.,George Foster (28),144,1977,R
266,259.,Todd Helton (28),144,2002,L
267,259.,Reggie Jackson+ (23),144,1969,L
268,259.,Edgar Martinez+ (33),144,1996,R
269,259.,Mark McGwire (33),144,1997,R
270,259.,Ed Morgan (26),144,1930,R
271,259.,Joe Morgan+ (32),144,1976,L
272,259.,Manny Ramirez (28),144,2000,R
273,259.,Al Simmons+ (29),144,1931,R
274,259.,Frank Thomas+ (27),144,1995,R
275,259.,Hal Trosky (21),144,1934,L
276,259.,Mo Vaughn (30),144,1998,L
277,259.,Joey Votto (26),144,2010,L
278,279.,Jason Bay (26),143,2005,R
279,279.,Adrian Beltre (25),143,2004,R
280,279.,Wade Boggs+ (27),143,1985,L
281,279.,Chris Davis (27),143,2013,L
282,279.,Darrell Evans (26),143,1973,L
283,279.,Prince Fielder (23),143,2007,L
284,279.,Lou Gehrig+ (32),143,1935,L
285,279.,Hank Greenberg+ (23),143,1934,R
286,279.,Tony Gwynn+ (27),143,1987,L
287,279.,Shoeless Joe Jackson (32),143,1920,L
288,279.,Eddie Mathews+ (27),143,1959,L
289,279.,Willie Mays+ (34),143,1965,R
290,279.,Dale Murphy (31),143,1987,R
291,279.,Lefty O'Doul (33),143,1930,L
292,279.,Mel Ott+ (23),143,1932,L
293,279.,Gary Sheffield (31),143,2000,R
294,279.,Jim Thome+ (30),143,2001,L
295,279.,Larry Walker+ (32),143,1999,L
296,297.,Bobby Abreu (25),142,1999,L
297,297.,Craig Biggio+ (32),142,1998,R
298,297.,Ryan Braun (28),142,2012,R
299,297.,Lenny Dykstra (30),142,1993,L
300,297.,Jason Giambi (28),142,1999,L
301,297.,Ken Griffey Jr.+ (26),142,1996,L
302,297.,Ken Griffey Jr.+ (28),142,1998,L
303,297.,Edgar Martinez+ (37),142,2000,R
304,297.,Mel Ott+ (25),142,1934,L
305,297.,Albert Pujols (30),142,2010,R
306,297.,Tim Salmon (26),142,1995,R
307,297.,Giancarlo Stanton (27),142,2017,R
308,297.,Bill Terry+ (33),142,1932,L
309,297.,Frank Thomas+ (24),142,1992,R
310,311.,Dale Alexander (26),141,1929,R
311,311.,Earl Averill+ (29),141,1931,L
312,311.,Miguel Cabrera (27),141,2010,R
313,311.,Ty Cobb+ (25),141,1912,L
314,311.,Rocky Colavito (27),141,1961,R
315,311.,J.D. Drew (28),141,2004,L
316,311.,Shawn Green (28),141,2001,L
317,311.,Matt Kemp (26),141,2011,R
318,311.,Edgar Martinez+ (35),141,1998,R
319,311.,J.D. Martinez (30),141,2018,R
320,311.,Joe Medwick+ (24),141,1936,R
321,311.,Johnny Mize+ (24),141,1937,L
322,311.,John Olerud (29),141,1998,L
323,311.,Albert Pujols (21),141,2001,R
324,311.,Hanley Ramirez (23),141,2007,R
325,311.,Manny Ramirez (31),141,2003,R
326,327.,Hank Aaron+ (28),140,1962,R
327,327.,Lance Berkman (26),140,2002,B
328,327.,Wade Boggs+ (30),140,1988,L
329,327.,Ryan Braun (25),140,2009,R
330,327.,Nomar Garciaparra (26),140,2000,R
331,327.,Brian Giles (30),140,2001,L
332,327.,Vladimir Guerrero+ (29),140,2004,R
333,327.,Richard Hidalgo (25),140,2000,R
334,327.,Edgar Martinez+ (34),140,1997,R
335,327.,Willie McCovey+ (32),140,1970,L
336,327.,Joe Medwick+ (23),140,1935,R
337,327.,Tony Perez+ (28),140,1970,R
338,327.,Grady Sizemore (23),140,2006,L
339,327.,Sammy Sosa (30),140,1999,R
340,327.,Mark Teixeira (25),140,2005,B
341,327.,Bernie Williams (30),140,1999,B
342,327.,Christian Yelich (26),140,2018,L
343,344.,Bobby Abreu (26),139,2000,L
344,344.,Roberto Alomar+ (31),139,1999,B
345,344.,Earl Averill+ (32),139,1934,L
346,344.,Jose Bautista (29),139,2010,R
347,344.,Miguel Cabrera (23),139,2006,R
348,344.,Miguel Cabrera (29),139,2012,R
349,344.,Jacoby Ellsbury (27),139,2011,L
350,344.,Woody English (24),139,1930,R
351,344.,Shawn Green (26),139,1999,L
352,344.,Ken Griffey Jr.+ (29),139,1999,L
353,344.,Willie Keeler+ (25),139,1897,L
354,344.,Mel Ott+ (27),139,1936,L
355,344.,Anthony Rendon (29),139,2019,R
356,344.,Cy Seymour (32),139,1905,L
357,344.,Mike Trout (23),139,2015,R
358,344.,Joey Votto (32),139,2016,L
359,344.,Rudy York (26),139,1940,R
360,361.,Roberto Alomar+ (33),138,2001,B
361,361.,Moises Alou (31),138,1998,R
362,361.,Jeff Bagwell+ (33),138,2001,R
363,361.,Ryan Braun (27),138,2011,R
364,361.,Ken Caminiti (33),138,1996,B
365,361.,Ty Cobb+ (28),138,1915,L
366,361.,Joe DiMaggio+ (24),138,1939,R
367,361.,Joe DiMaggio+ (33),138,1948,R
368,361.,Freddie Freeman (26),138,2016,L
369,361.,Charlie Gehringer+ (31),138,1934,L
370,361.,Jim Gentile (27),138,1961,L
371,361.,Brian Giles (28),138,1999,L
372,361.,Troy Glaus (23),138,2000,R
373,361.,Rickey Henderson+ (26),138,1985,R
374,361.,Harmon Killebrew+ (25),138,1961,R
375,361.,Chuck Klein+ (26),138,1931,L
376,361.,Roger Maris (26),138,1961,L
377,361.,Joe Mauer (26),138,2009,L
378,361.,Lefty O'Doul (35),138,1932,L
379,361.,Jim Rice+ (26),138,1979,R
380,361.,Alex Rodriguez (22),138,1998,R
381,361.,Pete Rose (28),138,1969,B
382,361.,Mike Trout (20),138,2012,R
383,361.,Paul Waner+ (31),138,1934,L
384,385.,Hank Aaron+ (37),137,1971,R
385,385.,Jeff Bagwell+ (26),137,1994,R
386,385.,Lance Berkman (32),137,2008,B
387,385.,Pete Browning (26),137,1887,R
388,385.,Jesse Burkett+ (26),137,1895,L
389,385.,Earle Combs+ (28),137,1927,L
390,385.,Jim Edmonds (30),137,2000,L
391,385.,Lou Gehrig+ (26),137,1929,L
392,385.,Rickey Henderson+ (31),137,1990,R
393,385.,Johnny Mize+ (34),137,1947,L
394,385.,Mel Ott+ (21),137,1930,L
395,385.,Rafael Palmeiro (31),137,1996,L
396,385.,Jose Ramirez (25),137,2018,B
397,385.,Frank Robinson+ (25),137,1961,R
398,385.,Mike Schmidt+ (30),137,1980,R
399,385.,Ichiro Suzuki (30),137,2004,L
400,385.,Alan Trammell+ (29),137,1987,R
401,385.,Mike Trout (22),137,2014,R
402,385.,Billy Williams+ (34),137,1972,L
403,385.,Ted Williams+ (32),137,1951,L
404,385.,Ted Williams+ (35),137,1954,L
405,406.,Hank Aaron+ (23),136,1957,R
406,406.,Earl Averill+ (30),136,1932,L
407,406.,Jose Canseco (23),136,1988,R
408,406.,Will Clark (25),136,1989,L
409,406.,Ed Delahanty+ (26),136,1894,R
410,406.,Andres Galarraga (35),136,1996,R
411,406.,Nomar Garciaparra (25),136,1999,R
412,406.,Charlie Gehringer+ (26),136,1929,L
413,406.,Luis Gonzalez (31),136,1999,L
414,406.,Travis Hafner (29),136,2006,L
415,406.,Rogers Hornsby+ (24),136,1920,R
416,406.,Chipper Jones+ (26),136,1998,B
417,406.,Chipper Jones+ (28),136,2000,B
418,406.,Ted Kluszewski (30),136,1955,L
419,406.,Don Mattingly (24),136,1985,L
420,406.,Willie Mays+ (33),136,1964,R
421,406.,Kevin Mitchell (27),136,1989,R
422,406.,Johnny Mize+ (25),136,1938,L
423,406.,Paul Molitor+ (36),136,1993,R
424,406.,Hanley Ramirez (24),136,2008,R
425,406.,Manny Ramirez (32),136,2004,R
426,406.,Jim Rice+ (24),136,1977,R
427,406.,Willie Stargell+ (33),136,1973,L
428,406.,Mike Sweeney (26),136,2000,R
429,406.,Chase Utley (27),136,2006,L
430,406.,Robin Yount+ (26),136,1982,R
431,432.,Dick Allen (22),135,1964,R
432,432.,Jose Altuve (26),135,2016,R
433,432.,Garrett Atkins (26),135,2006,R
434,432.,Ernie Banks+ (27),135,1958,R
435,432.,Albert Belle (32),135,1999,R
436,432.,Lou Boudreau+ (30),135,1948,R
437,432.,George Brett+ (27),135,1980,L
438,432.,Kris Bryant (24),135,2016,R
439,432.,Joe DiMaggio+ (23),135,1938,R
440,432.,Prince Fielder (27),135,2011,L
441,432.,Charlie Gehringer+ (34),135,1937,L
442,432.,Adrian Gonzalez (29),135,2011,L
443,432.,Luis Gonzalez (32),135,2000,L
444,432.,Keith Hernandez (25),135,1979,L
445,432.,Al Kaline+ (20),135,1955,R
446,432.,John Mayberry (26),135,1975,L
447,432.,David Ortiz (28),135,2004,L
448,432.,Rafael Palmeiro (36),135,2001,L
449,432.,Carlos Pena (29),135,2007,L
450,432.,Jimmy Rollins (28),135,2007,B
451,432.,Ron Santo+ (24),135,1964,R
452,432.,Sammy Sosa (33),135,2002,R
453,432.,Mark Teixeira (29),135,2009,B
454,432.,Jim Thome+ (32),135,2003,L
455,432.,Joe Vosmik (25),135,1935,R
456,432.,Paul Waner+ (33),135,1936,L
457,432.,Jimmy Williams (22),135,1899,R
458,432.,David Wright (25),135,2008,R
459,460.,Jeff Bagwell+ (30),134,1998,R
460,460.,Xander Bogaerts (26),134,2019,R
461,460.,Barry Bonds (30),134,1995,L
462,460.,Bobby Bonds (24),134,1970,R
463,460.,George Brett+ (26),134,1979,L
464,460.,Dolph Camilli (29),134,1936,L
465,460.,Carlos Delgado (29),134,2001,L
466,460.,Dwight Evans (30),134,1982,R
467,460.,Dwight Evans (35),134,1987,R
468,460.,Jack Fournier (35),134,1925,L
469,460.,Andres Galarraga (36),134,1997,R
470,460.,Andres Galarraga (37),134,1998,R
471,460.,Juan Gonzalez (28),134,1998,R
472,460.,Mike Greenwell (24),134,1988,L
473,460.,Josh Hamilton (29),134,2010,L
474,460.,Bob Johnson (33),134,1939,R
475,460.,Benny Kauff (24),134,1914,L
476,460.,Nap Lajoie+ (35),134,1910,R
477,460.,Ketel Marte (25),134,2019,B
478,460.,Stan Musial+ (23),134,1944,L
479,460.,Mel Ott+ (29),134,1938,L
480,460.,Dave Parker (27),134,1978,L
481,460.,Cal Ripken Jr.+ (30),134,1991,R
482,460.,Jackie Robinson+ (30),134,1949,R
483,460.,Al Simmons+ (30),134,1932,R
484,460.,George Sisler+ (28),134,1921,L
485,460.,Mark Teixeira (28),134,2008,B
486,460.,Paul Waner+ (26),134,1929,L
487,460.,Zack Wheat+ (37),134,1925,L
488,489.,Jose Altuve (27),133,2017,R
489,489.,Carlos Beltran (27),133,2004,B
490,489.,Mookie Betts (23),133,2016,R
491,489.,Wade Boggs+ (28),133,1986,L
492,489.,Bret Boone (32),133,2001,R
493,489.,Ty Cobb+ (34),133,1921,L
494,489.,Johnny Damon (26),133,2000,L
495,489.,Joe DiMaggio+ (25),133,1940,R
496,489.,Josh Donaldson (29),133,2015,R
497,489.,Josh Donaldson (30),133,2016,R
498,489.,Jermaine Dye (26),133,2000,R
499,489.,Goose Goslin+ (30),133,1931,L
500,489.,Shoeless Joe Jackson (25),133,1913,L
501,489.,Derek Jeter+ (32),133,2006,R
502,489.,Mel Ott+ (26),133,1935,L
503,489.,Bill Terry+ (30),133,1929,L
504,489.,Sam Thompson+ (33),133,1893,L
505,489.,Joey Votto (27),133,2011,L
