,Rank,Player (age that year),Games Played,Year,Throws
399,369.,Guy Hecker (28),75,1884,R
400,369.,Liam Hendriks (30),75,2019,R
401,369.,Doug Henry (33),75,1997,R
402,369.,Matt Herges (31),75,2001,R
403,369.,Willie Hernandez (27),75,1982,L
404,369.,Yoshihisa Hirano (34),75,2018,R
405,369.,Bill Hutchison (32),75,1892,R
406,369.,Kenley Jansen (25),75,2013,R
407,369.,Kevin Jepsen (30),75,2015,R
408,369.,Doug Jones (40),75,1997,R
409,369.,Kerry Ligtenberg (27),75,1998,R
410,369.,Javier Lopez (25),75,2003,L
411,369.,Wilton Lopez (29),75,2013,R
412,369.,Mark Lowe (26),75,2009,R
413,369.,Carlos Marmol (28),75,2011,R
414,369.,Damaso Marte (31),75,2006,L
415,369.,Nick Masset (29),75,2011,R
416,369.,Roger McDowell (25),75,1986,R
417,369.,Mark Melancon (31),75,2016,R
418,369.,Butch Metzger (25),75,1977,R
419,369.,Mike Myers (35),75,2004,L
420,369.,Robb Nen (26),75,1996,R
421,369.,Juan Carlos Oviedo (27),75,2009,R
422,369.,Adam Ottavino (28),75,2014,R
423,369.,Adam Ottavino (32),75,2018,R
424,369.,Tony Pena (25),75,2007,R
425,369.,Ron Perranoski (33),75,1969,L
426,369.,Dan Quisenberry (27),75,1980,R
427,369.,Old Hoss Radbourn+ (29),75,1884,R
428,369.,Scott Radinsky (29),75,1997,L
429,369.,Jon Rauch (30),75,2009,R
430,369.,Jeff Reardon (26),75,1982,R
431,369.,Dennys Reyes (31),75,2008,L
432,369.,Dennys Reyes (32),75,2009,L
433,369.,Juan Rincon (26),75,2005,R
434,369.,Juan Rincon (27),75,2006,R
435,369.,Felipe Vazquez (24),75,2016,L
436,369.,Jeff Robinson (27),75,1988,R
437,369.,Fernando Salas (31),75,2016,R
438,369.,Jeff Samardzija (26),75,2011,R
439,369.,Scott Sauerbeck (28),75,2000,L
440,369.,Bryan Shaw (28),75,2016,R
441,369.,Heathcliff Slocumb (30),75,1996,R
442,369.,John Smoltz+ (35),75,2002,R
443,369.,Mike Trombley (32),75,1999,R
444,369.,Mike Trombley (33),75,2000,R
445,369.,Jose Valverde (33),75,2011,R
446,369.,Luis Vizcaino (28),75,2003,R
447,369.,Billy Wagner (33),75,2005,L
448,369.,Dan Wheeler (28),75,2006,R
449,369.,Todd Worrell (27),75,1987,R
450,369.,Jamey Wright (33),75,2008,R
451,369.,Michael Wuertz (26),75,2005,R
452,369.,Tyler Yates (29),75,2007,R
453,454.,Terry Adams (24),74,1997,R
454,454.,Jeremy Affeldt (29),74,2008,L
455,454.,Jeremy Affeldt (30),74,2009,L
456,454.,Paul Assenmacher (29),74,1990,L
457,454.,John Axford (28),74,2011,R
458,454.,Matt Belisle (31),74,2011,R
459,454.,Heath Bell (30),74,2008,R
460,454.,Dellin Betances (27),74,2015,R
461,454.,Yhency Brazoban (25),74,2005,R
462,454.,Rex Brothers (26),74,2014,L
463,454.,Matt Capps (26),74,2010,R
464,454.,Randy Choate (28),74,2004,L
465,454.,Tyler Clippard (27),74,2012,R
466,454.,Phil Coke (27),74,2010,L
467,454.,Chad Cordero (23),74,2005,R
468,454.,Ryan Dempster (29),74,2006,R
469,454.,Rob Dibble (25),74,1989,R
470,454.,Jerry Dipoto (29),74,1997,R
471,454.,Zach Duke (31),74,2014,L
472,454.,Sam Dyson (30),74,2018,R
473,454.,Scott Eyre (31),74,2003,L
474,454.,Scott Eyre (34),74,2006,L
475,454.,John Franco (25),74,1986,L
476,454.,Ryan Franklin (35),74,2008,R
477,454.,Scott Garrelts (23),74,1985,R
478,454.,Jimmy Gobble (25),74,2007,L
479,454.,John Grabow (29),74,2008,L
480,454.,Kevin Gregg (29),74,2007,R
481,454.,Matt Guerrier (31),74,2010,R
482,454.,LaTroy Hawkins (30),74,2003,R
483,454.,Aaron Heilman (27),74,2006,R
484,454.,Felix Heredia (25),74,2000,L
485,454.,David Hernandez (26),74,2011,R
486,454.,Roberto Hernandez (32),74,1997,R
487,454.,Willie Hernandez (28),74,1983,L
488,454.,Willie Hernandez (30),74,1985,L
489,454.,Jason Isringhausen (31),74,2004,R
490,454.,Kevin Jepsen (29),74,2014,R
491,454.,Jose Jimenez (28),74,2002,R
492,454.,Jim Johnson (30),74,2013,R
493,454.,Steve Karsay (29),74,2001,R
494,454.,Ron Kline (33),74,1965,R
495,454.,Jim Konstanty (33),74,1950,R
496,454.,Bob Lacey (24),74,1978,L
497,454.,Brandon League (29),74,2012,R
498,454.,Josh Lindblom (25),74,2012,R
499,454.,Graeme Lloyd (32),74,1999,L
500,454.,Braden Looper (28),74,2003,R
501,454.,Derek Lowe (26),74,1999,R
502,454.,Derek Lowe (27),74,2000,R
503,454.,Damaso Marte (29),74,2004,L
504,454.,Nick Masset (27),74,2009,R
505,454.,Jim McCormick (23),74,1880,R
506,454.,Dan McGinn (25),74,1969,L
507,454.,Greg McMichael (26),74,1993,R
508,454.,Jose Mesa (36),74,2002,R
509,454.,Dan Miceli (33),74,2004,R
510,454.,Bob Miller (25),74,1964,R
511,454.,Greg Minton (32),74,1984,R
512,454.,Dale Mohorcic (31),74,1987,R
513,454.,Rob Murphy (29),74,1989,L
514,454.,Hector Neris (28),74,2017,R
515,454.,Pat Neshek (26),74,2007,R
516,454.,Bobby Parnell (27),74,2012,R
517,454.,Yusmeiro Petit (33),74,2018,R
518,454.,Jay Powell (25),74,1997,R
519,454.,Jay Powell (29),74,2001,R
520,454.,Jon Rauch (29),74,2008,R
521,454.,Mike Remlinger (35),74,2001,L
522,454.,Lee Richmond (23),74,1880,L
523,454.,Dave Righetti (26),74,1985,L
524,454.,Dave Righetti (27),74,1986,L
525,454.,Mariano Rivera+ (34),74,2004,R
526,454.,John Rocker (24),74,1999,L
527,454.,Mel Rojas (29),74,1996,R
528,454.,J.C. Romero (28),74,2004,L
529,454.,J.C. Romero (31),74,2007,L
530,454.,Enrique Romo (32),74,1980,R
531,454.,Trevor Rosenthal (23),74,2013,R
532,454.,James Russell (27),74,2013,L
533,454.,Bryan Shaw (27),74,2015,R
534,454.,Scot Shields (30),74,2006,R
535,454.,Russ Springer (40),74,2009,R
536,454.,Mike Stanton (24),74,1991,L
537,454.,Julian Tavarez (32),74,2005,R
538,454.,Matt Thornton (31),74,2008,L
539,454.,Matt Thornton (35),74,2012,L
540,454.,Jose Valverde (30),74,2008,R
541,454.,Ron Villone (38),74,2008,L
542,454.,Bob Wickman (28),74,1997,R
543,454.,C.J. Wilson (28),74,2009,L
544,454.,Justin Wilson (27),74,2015,L
545,454.,Todd Worrell (26),74,1986,R
546,454.,Michael Wuertz (30),74,2009,R
