,Rank,Player (age that year),AB per HR,Year,Bats
106,106.,Frank Robinson+ (30),11.76,1966,R
107,108.,Harmon Killebrew+ (28),11.78,1964,R
108,109.,Lou Gehrig+ (31),11.82,1934,L
109,109.,Lou Gehrig+ (33),11.82,1936,L
110,111.,George Foster (28),11.83,1977,R
111,112.,Larry Walker+ (32),11.84,1999,L
112,113.,Juan Soto (21),11.85,2020,L
113,114.,Jim Edmonds (34),11.86,2004,L
114,114.,Jason Giambi (29),11.86,2000,L
115,114.,Manny Ramirez (27),11.86,1999,R
116,114.,Willie Stargell+ (33),11.86,1973,L
117,118.,Cody Bellinger (23),11.87,2019,L
118,119.,Kole Calhoun (32),11.88,2020,L
119,119.,Adam Duvall (31),11.88,2020,R
120,119.,Teoscar Hernandez (27),11.88,2020,R
121,122.,Hank Greenberg+ (35),11.89,1946,R
122,123.,Eddie Mathews+ (22),11.90,1954,L
123,124.,Lance Berkman (30),11.91,2006,B
124,125.,Jose Bautista (30),11.93,2011,R
125,125.,Rocky Colavito (24),11.93,1958,R
126,125.,Gary Sheffield (25),11.93,1994,R
127,128.,Jimmie Foxx+ (25),11.94,1933,R
128,129.,Joe Adcock (28),11.95,1956,R
129,129.,Alex Rodriguez (23),11.95,1999,R
130,129.,Frank Thomas+ (38),11.95,2006,R
131,132.,Jack Clark (31),11.97,1987,R
132,133.,Troy Glaus (23),11.98,2000,R
133,133.,Todd Helton (27),11.98,2001,L
134,135.,Khris Davis (30),12.00,2018,R
135,136.,Rafael Palmeiro (34),12.02,1999,L
136,136.,Mike Schmidt+ (29),12.02,1979,R
137,138.,Jason Giambi (35),12.05,2006,L
138,139.,Carlos Pena (31),12.08,2009,L
139,139.,Sammy Sosa (31),12.08,2000,R
140,139.,Mike Trout (26),12.08,2018,R
141,142.,Albert Pujols (29),12.09,2009,R
142,143.,Jim Thome+ (33),12.10,2004,L
143,144.,Alex Rodriguez (25),12.15,2001,R
144,145.,Eddie Mathews+ (23),12.17,1955,L
145,146.,Mike Trout (25),12.18,2017,R
146,147.,Chris Davis (29),12.19,2015,L
147,148.,Greg Vaughn (33),12.22,1999,R
