,Rank,Player (age that year),Putouts as LF (s.1901),Year,Throws
53,54.,Eddie Brown (35),337,1927,R
54,54.,Max Carey+ (23),337,1913,R
55,54.,Bob Johnson (29),337,1935,R
56,57.,Albert Belle (26),336,1993,R
57,57.,Jose Cruz (34),336,1982,L
58,57.,Goose Goslin+ (24),336,1925,R
59,60.,Gil Coan (26),335,1948,R
60,60.,Charlie Jamieson (31),335,1924,L
61,60.,Bobby Veach (31),335,1919,R
62,63.,Pat Duncan (26),334,1920,R
63,63.,Jim Rice+ (31),334,1984,R
64,63.,Jim Rice+ (33),334,1986,R
65,63.,Ken Williams (33),334,1923,R
66,67.,Bibb Falk (27),333,1926,L
67,67.,Dale Mitchell (27),333,1949,L
68,67.,Zack Wheat+ (28),333,1916,R
69,70.,Rickey Henderson+ (24),332,1983,L
70,70.,Rickey Henderson+ (30),332,1989,L
71,70.,Jimmy Sheckard (32),332,1911,R
72,70.,Jimmy Sheckard (33),332,1912,R
73,70.,Ted Williams+ (30),332,1949,R
74,75.,Barry Bonds (25),331,1990,L
75,75.,Marty Cordova (25),331,1995,R
76,75.,Larry Herndon (28),331,1982,R
77,75.,Jacque Jones (27),331,2002,L
78,75.,Matty McIntyre (24),331,1904,L
79,75.,Zack Wheat+ (26),331,1914,R
80,81.,Matty McIntyre (28),330,1908,L
81,81.,Tillie Walker (33),330,1921,R
82,81.,Gus Zernial (28),330,1951,R
83,84.,Jose Cruz (32),329,1980,L
84,84.,Rickey Henderson+ (25),329,1984,L
85,84.,Eric Tipton (29),329,1944,R
86,87.,Ken Williams (31),328,1921,R
87,88.,Marty Cordova (26),327,1996,R
88,88.,Carl Crawford (27),327,2009,L
89,88.,Danny Litwhiler (24),327,1941,R
90,88.,Carl Yastrzemski+ (22),327,1962,R
91,92.,Alfonso Soriano (30),326,2006,R
92,93.,Garret Anderson (31),325,2003,L
93,93.,George Burns (27),325,1917,R
94,93.,Charlie Keller (24),325,1941,R
95,93.,Steve Kemp (23),325,1978,L
96,97.,Duffy Lewis (29),324,1917,R
97,97.,Pete Rose (31),324,1972,R
98,97.,Joe Vosmik (25),324,1935,R
99,100.,Rube Ellis (23),323,1909,L
100,100.,Augie Galan (23),323,1935,R
101,100.,Alex Gordon (29),323,2013,R
102,100.,Rickey Henderson+ (22),323,1981,L
103,100.,Ted Williams+ (28),323,1947,R
104,105.,Jose Cruz (35),322,1983,L
105,105.,Brian Downing (31),322,1982,R
106,105.,Hank Sauer (35),322,1952,R
107,105.,Roy White (28),322,1972,R
108,109.,Bill Collins (28),321,1910,R
109,109.,Hoot Evers (29),321,1950,R
110,109.,Dan Gladden (30),321,1988,R
111,109.,Bobby Higginson (30),321,2001,R
112,109.,Charlie Jamieson (32),321,1925,L
113,109.,Charlie Maxwell (30),321,1957,L
114,115.,Jose Cruz (31),320,1979,L
115,115.,Roy White (32),320,1976,R
116,117.,Max Carey+ (24),319,1914,R
117,117.,Alex Gordon (28),319,2012,R
118,117.,Woody Jensen (28),319,1936,L
119,117.,Zack Wheat+ (37),319,1925,R
120,121.,George Bell (25),318,1985,R
121,121.,Larry Hisle (29),318,1976,R
122,121.,Sherry Magee (21),318,1906,R
123,121.,Justin Upton (29),318,2017,R
124,125.,Carson Bigbee (26),317,1921,R
125,125.,Carl Crawford (21),317,2003,L
126,125.,George Foster (34),317,1983,R
127,125.,Minnie Minoso (33),317,1959,R
128,129.,Jason Bay (27),316,2006,R
129,129.,Albert Belle (31),316,1998,R
130,129.,Rickey Henderson+ (29),316,1988,L
131,132.,Greg Vaughn (25),315,1991,R
132,133.,Ralph Garr (25),314,1971,R
133,133.,Kirk Gibson (31),314,1988,L
134,133.,Jim Russell (25),314,1944,R
135,133.,Billy Sample (28),314,1983,R
136,133.,Joe Vosmik (21),314,1931,R
137,138.,Barry Bonds (26),313,1991,L
138,138.,Warren Cromartie (23),313,1977,L
139,138.,Roy White (26),313,1970,R
140,138.,Roy White (27),313,1971,R
141,142.,Jose Cruz (36),312,1984,L
142,142.,Alex Gordon (27),312,2011,R
143,142.,Tim Raines+ (32),312,1992,R
144,142.,Frank Robinson+ (20),312,1956,R
145,142.,Tillie Walker (26),312,1914,R
146,142.,Zack Wheat+ (34),312,1922,R
147,148.,Carmelo Martinez (23),311,1984,R
148,148.,Ted Williams+ (32),311,1951,R
149,150.,Jason Bay (30),310,2009,R
150,150.,Albert Belle (29),310,1996,R
151,150.,Barry Bonds (27),310,1992,L
152,150.,Barry Bonds (28),310,1993,L
153,150.,John Briggs (30),310,1974,L
154,150.,Lou Brock+ (34),310,1973,L
155,150.,Pat Duncan (28),310,1922,R
156,150.,George Foster (29),310,1978,R
157,150.,Bob Fothergill (29),310,1927,R
158,150.,Goose Goslin+ (30),310,1931,R
159,150.,Steve Henderson (25),310,1978,R
160,150.,Charlie Keller (25),310,1942,R
161,150.,Joe Medwick+ (24),310,1936,R
162,150.,Joe Medwick+ (28),310,1940,R
163,150.,Jo-Jo Moore (26),310,1935,R
164,150.,Gene Richards (26),310,1980,L
165,166.,Bill Buckner (26),309,1976,L
166,166.,Bernard Gilkey (29),309,1996,R
167,166.,Jack Graney (30),309,1916,L
168,169.,Dusty Baker (31),308,1980,R
169,169.,Wally Berger (24),308,1930,R
170,169.,Goose Goslin+ (29),308,1930,R
171,169.,Shoeless Joe Jackson (29),308,1917,R
172,169.,Dale Mitchell (26),308,1948,L
173,169.,Jimmy Sheckard (31),308,1910,R
174,169.,Enos Slaughter+ (33),308,1949,R
175,169.,Willie Wilson (23),308,1979,R
176,177.,Max Carey+ (25),307,1915,R
177,177.,Del Ennis (21),307,1946,R
178,177.,Ralph Garr (29),307,1975,R
179,177.,Bob Johnson (33),307,1939,R
180,177.,Carlos Lee (27),307,2003,R
181,177.,Carlos Lee (29),307,2005,R
182,177.,Lefty O'Doul (35),307,1932,L
183,177.,Juan Pierre (32),307,2010,L
184,177.,Willie Wilson (26),307,1982,R
185,177.,Carl Yastrzemski+ (26),307,1966,R
186,187.,Carl Crawford (28),306,2010,L
187,187.,Shane Mack (28),306,1992,R
188,187.,Kevin McReynolds (29),306,1989,R
189,187.,Kevin Mitchell (27),306,1989,R
190,191.,Bobby Higginson (29),305,2000,R
191,191.,Marcell Ozuna (26),305,2017,R
192,193.,Albert Belle (28),304,1995,R
193,193.,Ryan Braun (25),304,2009,R
194,193.,Bibb Falk (26),304,1925,L
195,193.,Rusty Greer (29),304,1998,L
196,193.,Hal Lee (27),304,1932,R
197,193.,Joe Medwick+ (23),304,1935,R
198,199.,Rusty Greer (27),303,1996,L
199,199.,Shoeless Joe Jackson (32),303,1920,R
200,199.,Hideki Matsui (30),303,2004,R
201,199.,Gus Zernial (30),303,1953,R
202,203.,Barry Bonds (33),302,1998,L
203,203.,Carl Crawford (24),302,2006,L
204,203.,Goose Goslin+ (22),302,1923,R
205,203.,Raul Ibanez (36),302,2008,R
206,203.,Bob Johnson (28),302,1934,R
207,203.,Carl Yastrzemski+ (28),302,1968,R
208,203.,Gus Zernial (29),302,1952,R
209,203.,Richie Zisk (27),302,1976,R
210,211.,Rocky Colavito (27),301,1961,R
211,211.,Raul Ibanez (34),301,2006,R
212,211.,Roy White (31),301,1975,R
213,211.,Gus Zernial (27),301,1950,R
214,215.,George Foster (31),300,1980,R
215,215.,Jim Greengrass (26),300,1954,R
216,215.,Charlie Jamieson (34),300,1927,L
217,215.,Hal Lee (31),300,1936,R
218,215.,Duffy Lewis (24),300,1912,R
219,215.,Tim Raines+ (23),300,1983,R
220,215.,Spike Shannon (30),300,1905,R
221,222.,Steve Henderson (27),299,1980,R
222,222.,Ward Miller (30),299,1915,R
223,222.,Shannon Stewart (26),299,2000,R
224,222.,Randy Winn (29),299,2003,R
225,226.,Garret Anderson (24),298,1996,L
226,226.,Bob Cerv (33),298,1958,R
227,226.,Fred Clarke+ (34),298,1907,R
228,226.,Ralph Kiner+ (26),298,1949,R
229,226.,Troy O'Leary (28),298,1998,L
230,226.,Eric Tipton (28),298,1943,R
231,226.,Billy Williams+ (25),298,1963,R
232,233.,Rube Ellis (25),297,1911,L
233,233.,Sherry Magee (22),297,1907,R
234,233.,Bobby Veach (27),297,1915,R
235,236.,Luis Gonzalez (32),296,2000,R
236,236.,Matt Holliday (27),296,2007,R
237,236.,Troy O'Leary (29),296,1999,L
238,236.,Jay Payton (30),296,2003,R
239,236.,Roy Sievers (27),296,1954,R
240,241.,Goose Goslin+ (28),295,1929,R
241,241.,Goose Goslin+ (31),295,1932,R
242,241.,Minnie Minoso (31),295,1957,R
243,241.,Roy White (33),295,1977,R
244,245.,Garret Anderson (29),294,2001,L
245,245.,Phil Bradley (29),294,1988,R
246,245.,Coco Crisp (25),294,2005,R
247,245.,David DeJesus (29),294,2009,L
248,245.,Brett Gardner (27),294,2011,L
249,245.,Luis Gonzalez (23),294,1991,R
250,245.,Carmelo Martinez (24),294,1985,R
251,245.,Minnie Minoso (32),294,1958,R
252,245.,George Stone (29),294,1906,L
253,245.,Justin Upton (30),294,2018,R
254,255.,Kevin Mitchell (28),293,1990,R
255,255.,Kip Selbach (32),293,1904,R
256,255.,Al Simmons+ (30),293,1932,R
257,258.,Mike Greenwell (24),292,1988,R
258,258.,Riggs Stephenson (29),292,1927,R
259,260.,Rickey Henderson+ (31),291,1990,L
260,260.,Russ Scarritt (26),291,1929,R
261,260.,Jimmy Sheckard (25),291,1904,R
262,263.,John Anderson (32),290,1906,R
263,263.,Barry Bonds (32),290,1997,L
264,263.,Del Ennis (30),290,1955,R
265,263.,George Foster (33),290,1982,R
266,263.,Charlie Jamieson (33),290,1926,L
267,263.,Charlie Keller (29),290,1946,R
268,263.,Tim Raines+ (27),290,1987,R
269,263.,Lonnie Smith (33),290,1989,R
270,263.,Moose Solters (29),290,1935,R
271,263.,Zack Wheat+ (31),290,1919,R
272,273.,Phil Bradley (30),289,1989,R
273,273.,George Burns (26),289,1916,R
274,273.,Jeff Heath (27),289,1942,R
275,273.,Rickey Henderson+ (39),289,1998,L
276,273.,Charlie Maxwell (32),289,1959,L
277,273.,Irish Meusel (31),289,1924,R
278,273.,Clyde Milan (33),289,1920,R
279,273.,Dick Sisler (29),289,1950,R
280,273.,Carl Yastrzemski+ (27),289,1967,R
281,282.,Clyde Barnhart (29),288,1925,R
282,282.,Barry Bonds (23),288,1988,L
283,282.,Pat Duncan (27),288,1921,R
284,282.,Jack Graney (31),288,1917,L
285,282.,Mike Greenwell (26),288,1990,R
286,282.,Jim Russell (26),288,1945,R
287,282.,Greg Vaughn (26),288,1992,R
288,282.,Gee Walker (31),288,1939,R
289,282.,Willie Wilson (24),288,1980,R
290,291.,Johnny Damon (25),287,1999,L
291,291.,Bibb Falk (25),287,1924,L
292,291.,Tito Francona (27),287,1961,L
293,291.,Augie Galan (25),287,1937,R
294,291.,Al Oliver (33),287,1980,L
295,291.,Rafael Palmeiro (23),287,1988,L
296,291.,Luis Polonia (29),287,1993,L
297,291.,Al Scheer (26),287,1915,R
298,291.,Moose Solters (30),287,1936,R
299,291.,Tillie Walker (34),287,1922,R
300,301.,Harry Anderson (27),286,1959,R
301,301.,Morrie Arnovich (27),286,1938,R
302,301.,Dusty Baker (30),286,1979,R
303,301.,Carl Crawford (25),286,2007,L
304,301.,Rusty Greer (30),286,1999,L
305,301.,Charlie Jamieson (35),286,1928,L
306,301.,Charlie Keller (26),286,1943,R
307,301.,Heinie Manush+ (27),286,1929,L
308,301.,Kevin McReynolds (27),286,1987,R
309,301.,Chet Ross (23),286,1940,R
310,311.,John Briggs (29),285,1973,L
311,311.,Jose Cardenal (31),285,1975,R
312,311.,Del Ennis (22),285,1947,R
313,311.,Larry Herndon (29),285,1983,R
314,311.,Ralph Kiner+ (31),285,1954,R
315,311.,Sherry Magee (24),285,1909,R
316,311.,Joe Medwick+ (30),285,1942,R
317,311.,Minnie Minoso (28),285,1954,R
318,311.,Gary Ward (28),285,1982,R
319,311.,Zack Wheat+ (23),285,1911,R
320,311.,Zack Wheat+ (24),285,1912,R
321,311.,Zack Wheat+ (32),285,1920,R
322,311.,Possum Whitted (26),285,1916,R
323,311.,Carl Yastrzemski+ (37),285,1977,R
324,325.,Bob Bescher (32),284,1916,L
325,325.,Barry Bonds (31),284,1996,L
326,325.,Fred Clarke+ (37),284,1910,R
327,325.,Bill Lamar (28),284,1925,R
328,325.,Gary Matthews (23),284,1974,R
329,325.,Joe Medwick+ (21),284,1933,R
330,325.,Alex Metzler (26),284,1929,R
331,325.,Lefty O'Doul (34),284,1931,L
332,325.,Bob Skinner (27),284,1959,R
333,325.,Zack Wheat+ (36),284,1924,R
334,325.,Carl Yastrzemski+ (23),284,1963,R
335,336.,Bob Bescher (29),283,1913,L
336,336.,Cliff Floyd (32),283,2005,R
337,336.,Jack Graney (33),283,1919,L
338,336.,Rusty Greer (28),283,1997,L
339,336.,Matty McIntyre (25),283,1905,L
340,336.,Lefty O'Doul (32),283,1929,L
341,336.,Hank Sauer (32),283,1949,R
342,336.,Hank Sauer (34),283,1951,R
343,336.,Spike Shannon (32),283,1907,R
344,336.,Zack Wheat+ (33),283,1921,R
345,336.,Al Wingo (27),283,1925,R
346,347.,Carson Bigbee (28),282,1923,R
347,347.,Carlos Lee (28),282,2004,R
348,347.,Minnie Minoso (30),282,1956,R
349,347.,Tim Raines+ (25),282,1985,R
350,347.,B.J. Surhoff (34),282,1999,R
351,347.,Bobby Veach (26),282,1914,R
352,347.,Delmon Young (22),282,2008,R
353,354.,Barry Bonds (30),281,1995,L
354,354.,Rocky Colavito (29),281,1963,R
355,354.,Pat Duncan (29),281,1923,R
356,354.,Bibb Falk (22),281,1921,L
357,354.,Dan Gladden (32),281,1990,R
358,354.,Gary Matthews (22),281,1973,R
