,Rank,Player (age that year),Putouts as OF,Year,Throws
281,280.,Bob Johnson (32),400,1938,R
282,280.,Hack Wilson+ (27),400,1927,R
283,284.,Mike Cameron (27),399,2000,R
284,284.,Brady Clark (32),399,2005,R
285,284.,Mike Devereaux (28),399,1991,R
286,284.,Lloyd Moseby (23),399,1983,R
287,284.,Hi Myers (33),399,1922,R
288,284.,Grady Sizemore (24),399,2007,L
289,284.,Sammy Sosa (30),399,1999,R
290,284.,Thurman Tucker (25),399,1943,R
291,284.,Devon White (30),399,1993,R
292,293.,Earl Averill+ (29),398,1931,R
293,293.,Carlos Beltran (25),398,2002,R
294,293.,Carlos Beltran (27),398,2004,R
295,293.,Larry Doby+ (28),398,1952,R
296,293.,Darin Erstad (27),398,2001,L
297,293.,Johnny Frederick (29),398,1931,L
298,293.,Matt Lawton (26),398,1998,R
299,293.,Jerry Mumphrey (27),398,1980,R
300,293.,George Wright (23),398,1982,R
301,302.,Bill Bruton (27),397,1953,R
302,302.,Steve Finley (34),397,1999,L
303,302.,Willie Mays+ (32),397,1963,R
304,302.,Alex Metzler (24),397,1927,R
305,302.,Bill North (28),397,1976,R
306,302.,Jim Piersall (27),397,1957,R
307,302.,Melvin Upton Jr. (25),397,2010,R
308,309.,Wally Berger (26),396,1932,R
309,309.,Taylor Douthit (26),396,1927,R
310,309.,Andruw Jones (30),396,2007,R
311,309.,Omar Moreno (29),396,1982,L
312,309.,Wally Moses (25),396,1936,L
313,309.,Stan Spence (28),396,1943,L
314,309.,Lloyd Waner+ (21),396,1927,R
315,309.,Mookie Wilson (28),396,1984,R
316,317.,Carlos Beltran (22),395,1999,R
317,317.,Brett Butler (31),395,1988,L
318,317.,Bake McBride (25),395,1974,R
319,317.,Stan Spence (27),395,1942,L
320,317.,Elmer Valo (28),395,1949,R
321,322.,Mel Almada (25),394,1938,L
322,322.,Bill Bruton (36),394,1962,R
323,322.,Johnny Damon (31),394,2005,L
324,322.,Andre Dawson+ (24),394,1979,R
325,322.,Johnny Frederick (28),394,1930,L
326,322.,Ken Henderson (29),394,1975,R
327,322.,Baby Doll Jacobson (29),394,1920,R
328,322.,Brian McRae (25),394,1993,R
329,322.,Lloyd Moseby (25),394,1985,R
330,322.,Johnny Mostil (32),394,1928,R
331,322.,Kirby Puckett+ (32),394,1992,R
332,322.,Tris Speaker+ (38),394,1926,L
333,322.,Bobby Thomson (26),394,1950,R
334,322.,Del Unser (26),394,1971,L
335,322.,Randy Winn (28),394,2002,R
336,322.,Chris Young (27),394,2011,R
337,338.,Ethan Allen (25),393,1929,R
338,338.,Brett Butler (30),393,1987,L
339,338.,Chuck Carr (25),393,1993,R
340,338.,Ruppert Jones (23),393,1978,L
341,338.,Danny Litwhiler (24),393,1941,R
342,338.,Chris Young (24),393,2008,R
343,344.,Jim Edmonds (28),392,1998,L
344,344.,Hoot Evers (27),392,1948,R
345,344.,Babe Herman (29),392,1932,L
346,344.,Willie Mays+ (29),392,1960,R
347,344.,Eddie Milner (28),392,1983,L
348,344.,Scott Podsednik (28),392,2004,L
349,344.,Goody Rosen (32),392,1945,L
350,344.,Aaron Rowand (29),392,2007,R
351,352.,Rich Becker (24),391,1996,L
352,352.,Bill Bruton (30),391,1956,R
353,352.,Lorenzo Cain (29),391,2015,R
354,352.,Vince DiMaggio (28),391,1941,R
355,352.,Taylor Douthit (30),391,1931,R
356,352.,Curt Flood (26),391,1964,R
357,352.,Curt Flood (28),391,1966,R
358,352.,Carlos Gomez (27),391,2013,R
359,352.,Lance Johnson (32),391,1996,L
360,352.,Vada Pinson (22),391,1961,L
361,352.,Bobby Thomson (29),391,1953,R
362,363.,Earl Averill+ (31),390,1933,R
363,363.,Dusty Baker (24),390,1973,R
364,363.,Dom DiMaggio (29),390,1946,R
365,363.,Dom DiMaggio (33),390,1950,R
366,363.,Dave Gallagher (28),390,1989,R
367,363.,Andruw Jones (26),390,2003,R
368,363.,Ralph Kiner+ (24),390,1947,R
369,363.,Al Simmons+ (22),390,1924,R
370,363.,Reggie Smith (23),390,1968,R
371,372.,Carlos Beltran (30),389,2007,R
372,372.,Byron Buxton (23),389,2017,R
373,372.,Andruw Jones (27),389,2004,R
374,372.,Roberto Kelly (27),389,1992,R
375,372.,Jim Landis (27),389,1961,R
376,372.,Dave Parker (26),389,1977,R
377,378.,Jacoby Ellsbury (27),388,2011,L
378,378.,Ken Griffey Jr.+ (27),388,1997,L
379,378.,Freddie Lindstrom+ (27),388,1933,R
380,378.,Whitey Lockman (21),388,1948,R
381,378.,Amos Otis (23),388,1970,R
382,378.,Alex Rios (29),388,2010,R
383,378.,Aaron Rowand (27),388,2005,R
384,378.,Del Unser (23),388,1968,L
385,378.,Cy Williams (32),388,1920,L
386,378.,Johnny Wyrostek (26),388,1946,R
387,388.,Richie Ashburn+ (28),387,1955,R
388,388.,Doc Cramer (27),387,1933,R
