,Rank,Player (age that year),Total Zone Runs as CF (s.1953),Year,Throws
77,75.,Andre Dawson+ (27),18,1982,R
78,75.,Dave Henderson (30),18,1989,R
79,75.,Odubel Herrera (24),18,2016,R
80,75.,Lance Johnson (27),18,1991,L
81,75.,Lance Johnson (29),18,1993,L
82,75.,Chet Lemon (22),18,1977,R
83,75.,Kenny Lofton (25),18,1992,L
84,75.,Kenny Lofton (26),18,1993,L
85,75.,Kenny Lofton (30),18,1997,L
86,75.,Willie Mays+ (33),18,1964,R
87,75.,Willie Mays+ (35),18,1966,R
88,75.,Vada Pinson (22),18,1961,L
89,75.,Melvin Upton Jr. (25),18,2010,R
90,75.,Devon White (28),18,1991,R
91,75.,Devon White (30),18,1993,R
92,93.,Tommie Agee (23),17,1966,R
93,93.,Paul Blair (24),17,1968,R
94,93.,Darren Bragg (27),17,1997,R
95,93.,Mike Cameron (30),17,2003,R
96,93.,Shin-Soo Choo (30),17,2013,L
97,93.,Steve Finley (34),17,1999,L
98,93.,Billy Hamilton (23),17,2014,R
99,93.,Brian Hunter (27),17,1998,R
100,93.,Lance Johnson (32),17,1996,L
101,93.,Andruw Jones (27),17,2004,R
102,93.,Terry Jones (27),17,1998,R
103,93.,Jason Michaels (29),17,2005,R
104,93.,Dwayne Murphy (31),17,1986,R
105,93.,Jay Payton (31),17,2004,R
106,93.,Jim Piersall (29),17,1959,R
107,93.,Jim Piersall (30),17,1960,R
108,93.,Jim Piersall (31),17,1961,R
109,93.,Colby Rasmus (22),17,2009,L
110,93.,Mallex Smith (26),17,2019,R
111,93.,Chris Young (27),17,2011,R
112,113.,Tommie Agee (24),16,1967,R
113,113.,Richie Ashburn+ (29),16,1956,R
114,113.,Carlos Beltran (29),16,2006,R
115,113.,Carlos Beltran (31),16,2008,R
116,113.,Jim Busby (26),16,1953,R
117,113.,Melky Cabrera (23),16,2008,L
118,113.,Willie Davis (25),16,1965,L
119,113.,Mike Devereaux (28),16,1991,R
120,113.,Starling Marte (29),16,2018,R
121,113.,Leonys Martín (25),16,2013,R
122,113.,Leonys Martín (27),16,2015,R
123,113.,Amos Otis (31),16,1978,R
124,113.,Scott Podsednik (27),16,2003,L
125,113.,Mike Trout (23),16,2015,R
126,113.,Mitch Webster (31),16,1990,L
127,128.,Carlos Beltran (26),15,2003,R
128,128.,Carlos Beltran (32),15,2009,R
129,128.,Paul Blair (30),15,1974,R
130,128.,Endy Chavez (26),15,2004,L
131,128.,Milt Cuyler (22),15,1991,R
132,128.,Darin Erstad (27),15,2001,L
133,128.,Curt Flood (23),15,1961,R
134,128.,Curt Flood (24),15,1962,R
135,128.,Curt Flood (25),15,1963,R
136,128.,Carlos Gomez (25),15,2011,R
137,128.,Ken Griffey Jr.+ (27),15,1997,L
138,128.,Odubel Herrera (23),15,2015,R
139,128.,Odubel Herrera (25),15,2017,R
140,128.,Darrin Jackson (27),15,1991,R
141,128.,Stan Javier (26),15,1990,R
142,128.,Adam Jones (29),15,2015,R
143,128.,Darren Lewis (31),15,1999,R
144,128.,Manuel Margot (22),15,2017,R
145,128.,Willie Mays+ (27),15,1958,R
146,128.,Gary Pettis (29),15,1987,R
147,128.,Justin Ruggiano (30),15,2012,R
148,128.,Denard Span (29),15,2013,L
149,150.,Rick Ankiel (31),14,2011,L
150,150.,Peter Bourjos (23),14,2010,R
151,150.,Lorenzo Cain (28),14,2014,R
152,150.,Coco Crisp (33),14,2013,R
153,150.,Willie Davis (22),14,1962,L
154,150.,Jody Gerut (30),14,2008,L
155,150.,Carlos Gomez (22),14,2008,R
156,150.,Carlos Gomez (27),14,2013,R
157,150.,Ken Griffey Jr.+ (25),14,1995,L
158,150.,Lance Johnson (28),14,1992,L
159,150.,Andruw Jones (20),14,1997,R
160,150.,Ray Lankford (29),14,1996,L
161,150.,Chet Lemon (31),14,1986,R
162,150.,Willie Mays+ (29),14,1960,R
163,150.,Willie Mays+ (30),14,1961,R
164,150.,Omar Moreno (24),14,1977,L
165,150.,Corey Patterson (26),14,2006,R
166,150.,Jim Piersall (28),14,1958,R
167,150.,Mickey Rivers (28),14,1977,L
168,150.,Grady Sizemore (22),14,2005,L
169,150.,Milt Thompson (30),14,1989,R
170,150.,Tom Umphlett (22),14,1953,R
171,150.,Del Unser (27),14,1972,L
172,150.,Bernie Williams (26),14,1995,R
173,150.,Jim Wynn (32),14,1974,R
174,175.,Tommie Agee (27),13,1970,R
175,175.,Bill Bruton (30),13,1956,R
176,175.,Mike Cameron (24),13,1997,R
177,175.,Jose Cardenal (24),13,1968,R
178,175.,Vic Davalillo (25),13,1965,L
179,175.,Willie Davis (21),13,1961,L
180,175.,Willie Davis (32),13,1972,L
181,175.,Jim Edmonds (25),13,1995,L
182,175.,Darin Erstad (29),13,2003,L
183,175.,Dexter Fowler (30),13,2016,R
184,175.,Cesar Geronimo (25),13,1973,L
185,175.,Dave Henderson (31),13,1990,R
186,175.,Rickey Henderson+ (26),13,1985,L
187,175.,Juan Lagares (25),13,2014,R
188,175.,Darren Lewis (27),13,1995,R
189,175.,Kenny Lofton (27),13,1994,L
190,175.,Kenny Lofton (32),13,1999,L
191,175.,Garry Maddox (27),13,1977,R
192,175.,Jake Marisnick (28),13,2019,R
193,175.,Willie Mays+ (25),13,1956,R
194,175.,Willie Mays+ (34),13,1965,R
195,175.,Andrew McCutchen (25),13,2012,R
196,175.,Eddie Milner (29),13,1984,L
197,175.,Angel Pagan (28),13,2010,R
198,175.,Felix Pie (22),13,2007,L
199,175.,Colby Rasmus (25),13,2012,L
