,Rank,Player (age that year),Range Factor/9Inn as 1B,Year,Throws
78,79.,John Ganzel (30),11.580,1904,R
79,79.,Wally Pipp (29),11.580,1922,L
80,81.,Walter Holke (25),11.578,1918,L
81,82.,Candy LaChance (32),11.568,1902,R
82,83.,Chub Sullivan (22),11.567,1878,R
83,84.,Jim Field (21),11.552,1884,
84,85.,Perry Werden (35),11.548,1897,R
85,86.,Pop Dillon (27),11.545,1901,R
86,87.,Charlie Comiskey+ (24),11.541,1884,R
87,88.,Elbie Fletcher (21),11.539,1937,L
88,89.,Charlie Comiskey+ (23),11.537,1883,R
89,90.,John Ganzel (26),11.535,1900,R
90,91.,Bill Sweeney (26),11.533,1931,R
91,92.,Jake Beckley+ (37),11.525,1905,L
92,93.,Tom Jones (30),11.522,1904,R
93,94.,Walter Holke (26),11.509,1919,L
94,95.,Stuffy McInnis (28),11.505,1919,R
95,96.,Jack Fournier (24),11.503,1914,R
96,97.,Lew Whistler (24),11.500,1892,R
97,98.,Fred Tenney (37),11.499,1909,L
98,99.,Ed Konetchy (24),11.498,1910,R
99,100.,Jim Hackett (25),11.492,1903,R
100,101.,Jake Beckley+ (36),11.485,1904,L
101,101.,Mox McQuery (25),11.485,1886,
102,103.,Charlie Householder (30),11.483,1884,L
103,103.,Bill Phillips (28),11.483,1885,R
104,105.,Ed Konetchy (32),11.480,1918,R
105,106.,Fred Tenney (36),11.479,1908,L
106,107.,Cap Anson+ (32),11.477,1884,R
107,107.,High Pockets Kelly+ (33),11.477,1929,R
108,109.,Harry Stovey (25),11.476,1882,R
109,110.,Ron Jackson (27),11.475,1980,R
110,111.,Johnny McCarthy (33),11.469,1943,L
111,112.,Frank Chance+ (30),11.466,1907,R
112,113.,Al Spalding+ (26),11.465,1877,R
113,114.,Bob Unglaub (26),11.461,1907,R
114,115.,Bob Horner (27),11.456,1985,R
115,116.,Jake Stahl (29),11.453,1908,R
116,117.,George Stovall (36),11.451,1914,R
117,118.,Cap Anson+ (29),11.449,1881,R
118,119.,Lu Blue (27),11.446,1924,L
119,120.,Johnny McCarthy (28),11.441,1938,L
120,121.,Jim Bottomley+ (27),11.439,1927,L
121,121.,Kitty Bransfield (28),11.439,1903,R
122,123.,George Burns (24),11.434,1917,R
123,124.,Fred Tenney (34),11.424,1906,L
124,125.,Jimmy Knowles (27),11.413,1884,
125,126.,George Burns (26),11.412,1919,R
126,127.,Cap Anson+ (28),11.409,1880,R
127,127.,Lu Blue (26),11.409,1923,L
128,129.,Dan McGann (32),11.404,1904,R
129,130.,Harry Swacina (32),11.399,1914,R
130,131.,Frank Isbell (26),11.395,1902,R
131,131.,Wally Pipp (28),11.395,1921,L
132,133.,Fritz Mollwitz (29),11.387,1919,R
133,134.,Dan McGann (36),11.386,1908,R
134,135.,Jumbo Latham (24),11.383,1877,R
135,136.,Stuffy McInnis (29),11.382,1920,R
136,137.,Tom Jones (32),11.381,1906,R
137,138.,Jake Virtue (28),11.374,1893,L
138,139.,George Burns (23),11.373,1916,R
139,140.,Harry Taylor (24),11.372,1890,
140,141.,Frank Chance+ (31),11.370,1908,R
141,142.,Ernie Banks+ (33),11.364,1964,R
142,142.,Lou Gehrig+ (24),11.364,1927,L
143,144.,Jake Daubert (38),11.355,1922,L
144,145.,Wally Pipp (26),11.354,1919,L
145,146.,George Sisler+ (23),11.352,1916,L
146,147.,High Pockets Kelly+ (30),11.350,1926,R
147,148.,Bill Buckner (33),11.349,1983,L
148,149.,John Anderson (28),11.345,1902,R
149,149.,George Stovall (32),11.345,1910,R
150,151.,Fred Merkle (29),11.337,1918,R
151,152.,Wally Pipp (22),11.334,1915,L
152,153.,High Pockets Kelly+ (25),11.332,1921,R
153,153.,John Kerins (25),11.332,1884,R
154,155.,John Ganzel (34),11.329,1908,R
155,156.,Lu Blue (25),11.328,1922,L
156,157.,Cap Anson+ (31),11.324,1883,R
157,157.,Jack Doyle (29),11.324,1899,R
158,159.,Chris Chambliss (31),11.321,1980,R
159,160.,Phil Todt (25),11.319,1927,L
160,161.,George Stovall (31),11.318,1909,R
161,162.,Jake Stahl (30),11.315,1909,R
162,162.,Bill Terry+ (30),11.315,1929,L
163,164.,Dan Stearns (21),11.314,1883,R
164,165.,Tommy Tucker (35),11.312,1899,R
165,166.,Bill Terry+ (34),11.310,1933,L
166,167.,Dave Orr (26),11.309,1886,R
167,168.,Keith Hernandez (28),11.306,1982,L
168,169.,Fred Luderus (31),11.295,1917,R
169,170.,Gene Paulette (29),11.293,1920,R
170,171.,Hal Chase (25),11.292,1908,L
171,172.,Jim Bottomley+ (33),11.289,1933,L
172,173.,George Sisler+ (24),11.288,1917,L
173,173.,Bill Terry+ (35),11.288,1934,L
174,175.,Roger Connor+ (35),11.286,1893,L
175,176.,High Pockets Kelly+ (28),11.283,1924,R
176,177.,Joe Hauser (25),11.282,1924,L
177,177.,Fritz Mollwitz (28),11.282,1918,R
178,179.,Frank Isbell (27),11.279,1903,R
179,179.,Fred Merkle (31),11.279,1920,R
180,181.,Ivy Griffin (23),11.275,1920,R
181,182.,Joe Start (40),11.274,1883,L
182,183.,Roger Connor+ (29),11.273,1887,L
183,184.,Sam Leslie (30),11.268,1936,L
184,185.,Claude Rossman (27),11.267,1908,L
185,186.,Tommy Tucker (24),11.264,1888,R
186,187.,Joe Start (39),11.262,1882,L
187,188.,Milt Scott (24),11.261,1885,
188,189.,Fred Tenney (32),11.259,1904,L
189,190.,Tom Jones (36),11.256,1910,R
190,191.,Hal Chase (27),11.254,1910,L
191,191.,High Pockets Kelly+ (27),11.254,1923,R
192,193.,Patsy Tebeau (33),11.253,1898,R
193,194.,Red Kress (28),11.252,1933,R
194,195.,Elbie Fletcher (24),11.248,1940,L
195,196.,Jake Beckley+ (25),11.240,1893,L
196,196.,John Morrill (33),11.240,1888,R
197,198.,John Anderson (27),11.238,1901,R
198,199.,Dick Hoblitzell (27),11.235,1916,R
199,200.,Walter Holke (27),11.234,1920,L
200,201.,Ray Grimes (27),11.229,1921,R
201,202.,Ed Konetchy (23),11.223,1909,R
202,203.,Albert Pujols (25),11.221,2005,R
203,204.,Jack Doyle (33),11.220,1903,R
204,204.,Fred Luderus (32),11.220,1918,R
205,206.,Bob Horner (28),11.215,1986,R
206,207.,Mike Jorgensen (25),11.213,1974,L
207,207.,Jake Stahl (25),11.213,1904,R
208,209.,Cecil Cooper (28),11.205,1978,L
209,210.,Patsy Tebeau (32),11.203,1897,R
210,211.,Candy LaChance (34),11.202,1904,R
211,212.,Candy LaChance (25),11.200,1895,R
212,213.,Billy O'Brien (30),11.197,1890,R
213,214.,Bill Terry+ (29),11.196,1928,L
214,215.,Walter Holke (24),11.193,1917,L
215,216.,George Burns (29),11.192,1922,R
216,217.,Ed Konetchy (31),11.189,1917,R
217,218.,Fred Merkle (27),11.187,1916,R
218,219.,Dale Alexander (29),11.183,1932,R
219,220.,Charlie Comiskey+ (31),11.182,1891,R
220,221.,Lu Blue (29),11.181,1926,L
221,222.,Dave Orr (24),11.179,1884,R
222,223.,Willie Clark (28),11.177,1899,L
223,223.,Joe Nealon (21),11.177,1906,R
224,225.,Dan Brouthers+ (25),11.172,1883,L
225,226.,Ed Konetchy (27),11.171,1913,R
226,227.,John Ganzel (27),11.170,1901,R
227,228.,Johnny McCarthy (27),11.169,1937,L
228,229.,Dude Esterbrook (23),11.163,1880,R
229,230.,Todd Helton (34),11.160,2008,L
230,231.,Ed Konetchy (21),11.157,1907,R
231,232.,High Pockets Kelly+ (34),11.154,1930,R
232,233.,Elbie Fletcher (22),11.151,1938,L
233,233.,Frank Isbell (25),11.151,1901,R
234,235.,Jake Beckley+ (24),11.149,1892,L
235,235.,George Burns (30),11.149,1923,R
236,235.,Joe Hauser (23),11.149,1922,L
237,238.,Dan Stearns (27),11.147,1889,R
238,239.,Mike Lehane (25),11.143,1890,
239,239.,Joe Start (42),11.143,1885,L
240,241.,Dan Brouthers+ (24),11.139,1882,L
241,242.,Charlie Hickman (27),11.137,1903,R
242,243.,Roger Connor+ (27),11.136,1885,L
243,244.,Ed Konetchy (28),11.135,1914,R
244,244.,Chub Sullivan (24),11.135,1880,R
245,246.,Hal Chase (26),11.134,1909,L
246,247.,Wally Pipp (34),11.133,1927,L
247,248.,Candy LaChance (27),11.131,1897,R
248,249.,Jack Fournier (26),11.130,1916,R
249,250.,Jake Beckley+ (22),11.129,1890,L
250,251.,Cap Anson+ (39),11.127,1891,R
251,251.,Ernie Banks+ (34),11.127,1965,R
252,253.,Wally Pipp (23),11.126,1916,L
253,254.,Bill Terry+ (26),11.122,1925,L
254,255.,Del Howard (27),11.120,1905,R
255,255.,Stuffy McInnis (25),11.120,1916,R
256,257.,Donn Clendenon (32),11.118,1968,R
257,258.,Zeke Bonura (27),11.117,1936,R
258,259.,Phil Todt (23),11.116,1925,L
259,260.,Dan McGann (33),11.113,1905,R
260,261.,Charlie Grimm (25),11.112,1924,L
261,262.,Candy LaChance (31),11.111,1901,R
262,263.,Stuffy McInnis (30),11.105,1921,R
263,264.,Ed Swartwood (24),11.102,1883,R
264,265.,Harry Davis (24),11.100,1898,R
265,266.,Sid Farrar (23),11.097,1883,R
266,267.,Keith Hernandez (26),11.096,1980,L
267,267.,Jake Virtue (26),11.096,1891,L
268,269.,Zeke Bonura (26),11.095,1935,R
269,270.,Ed Konetchy (25),11.092,1911,R
270,270.,Mike Squires (31),11.092,1983,L
271,272.,Sid Farrar (25),11.090,1885,R
272,272.,Dave Foutz (33),11.090,1890,R
273,274.,Roger Connor+ (33),11.088,1891,L
274,275.,Peek-A-Boo Veach (28),11.087,1890,R
275,276.,John Morrill (30),11.084,1885,R
276,277.,Harry Stovey (26),11.082,1883,R
277,278.,Joe Adcock (36),11.078,1964,R
278,279.,Sid Farrar (24),11.077,1884,R
279,280.,John Reilly (29),11.068,1888,R
280,281.,Jake Beckley+ (27),11.067,1895,L
281,281.,Charlie Comiskey+ (32),11.067,1892,R
282,283.,Jake Stahl (31),11.066,1910,R
283,284.,Bert Haas (32),11.063,1946,R
284,285.,Tom Jones (34),11.062,1908,R
285,285.,Ed Konetchy (30),11.062,1916,R
286,287.,Charlie Householder (28),11.056,1882,L
287,288.,Scoops Carey (31),11.055,1902,R
288,289.,Lew Fonseca (30),11.054,1929,R
289,290.,Fred Luderus (30),11.048,1916,R
290,291.,Dan McGann (28),11.044,1900,R
291,292.,Rod Carew+ (36),11.042,1982,R
292,292.,Charlie Comiskey+ (25),11.042,1885,R
293,294.,Paul Hines (34),11.041,1889,R
294,295.,Moose Grimshaw (30),11.039,1906,R
295,296.,Jack Doyle (30),11.038,1900,R
296,297.,Buck Freeman (29),11.037,1901,L
297,297.,Fred Merkle (26),11.037,1915,R
298,299.,Kitty Bransfield (33),11.036,1908,R
299,299.,Bill Phillips (25),11.036,1882,R
300,301.,Guy Hecker (26),11.033,1882,R
301,301.,Keith Hernandez (29),11.033,1983,L
302,301.,Bill Terry+ (31),11.033,1930,L
303,304.,Lu Blue (30),11.031,1927,L
304,304.,Jumbo Latham (29),11.031,1882,R
305,304.,Bob Unglaub (29),11.031,1910,R
306,307.,Joe Harris (33),11.030,1924,R
307,307.,Tom Jones (35),11.030,1909,R
308,309.,John Reilly (31),11.028,1890,R
309,310.,John Smith (24),11.026,1882,
310,311.,Harry Stovey (28),11.022,1885,R
311,312.,Mox McQuery (30),11.020,1891,
312,313.,George Burns (31),11.019,1924,R
313,314.,William Brown (25),11.013,1891,R
314,315.,Sid Farrar (26),11.011,1886,R
315,316.,Jake Beckley+ (20),11.005,1888,L
316,317.,Hal Chase (32),11.004,1915,L
317,318.,Jake Daubert (34),11.002,1918,L
318,319.,Hal Chase (30),11.000,1913,L
319,319.,Walter Holke (31),11.000,1924,L
320,321.,Fritz Mollwitz (25),10.998,1915,R
321,322.,Joe Kuhel (32),10.997,1938,L
322,323.,Dick Hoblitzell (25),10.992,1914,R
323,324.,Dan Brouthers+ (26),10.991,1884,L
324,325.,Charlie Carr (27),10.988,1904,R
325,326.,Jimmy Dykes (30),10.986,1927,R
326,327.,Pat Newnam (29),10.982,1910,R
327,328.,Ed Cogswell (25),10.980,1879,R
328,329.,Fred Beck (28),10.979,1915,L
329,330.,Dave Foutz (32),10.978,1889,R
330,331.,Dick Hoblitzell (24),10.976,1913,R
331,332.,Stuffy McInnis (22),10.975,1913,R
332,333.,Wally Pipp (24),10.974,1917,L
333,334.,Hal Chase (23),10.973,1906,L
334,335.,Buck Ewing+ (36),10.971,1896,R
335,336.,Dan Brouthers+ (30),10.969,1888,L
336,336.,Gus Suhr (32),10.969,1938,R
337,338.,Bud Sharpe (28),10.968,1910,R
338,339.,Candy LaChance (33),10.967,1903,R
339,340.,Dan McGann (30),10.966,1902,R
340,341.,Zeke Bonura (30),10.964,1939,R
341,342.,Perry Werden (29),10.963,1891,R
342,343.,Don Hurst (23),10.961,1929,L
343,343.,Gerald Perry (26),10.961,1987,R
344,345.,Fred Merkle (25),10.957,1914,R
345,346.,Jack Carney (24),10.955,1891,R
346,346.,Frank Chance+ (26),10.955,1903,R
347,346.,Frank Chance+ (27),10.955,1904,R
348,346.,Phil Todt (27),10.955,1929,L
349,350.,Mark Grace (28),10.954,1992,L
350,350.,Tommy McCraw (25),10.954,1966,L
351,352.,Pop Dillon (30),10.951,1904,R
352,353.,Jay Kirke (27),10.949,1915,R
353,353.,Mike Squires (28),10.949,1980,L
354,355.,Cap Anson+ (35),10.941,1887,R
355,355.,Kitty Bransfield (27),10.941,1902,R
356,355.,Roger Connor+ (28),10.941,1886,L
357,355.,Elbie Fletcher (23),10.941,1939,L
358,359.,Perry Werden (30),10.938,1892,R
359,360.,Lu Blue (28),10.937,1925,L
360,360.,Whitey Lockman (30),10.937,1957,R
361,362.,Bill Joyce (30),10.936,1898,R
362,363.,Bill Everitt (29),10.934,1898,R
363,363.,David Green (23),10.934,1984,R
364,365.,Cap Anson+ (37),10.932,1889,R
365,366.,Babe Young (24),10.931,1940,L
366,367.,Ray Schmandt (25),10.925,1921,R
367,368.,Elbie Fletcher (27),10.921,1943,L
368,369.,Jerry Freeman (28),10.920,1908,R
369,369.,Mike Grady (27),10.920,1897,R
370,371.,Jim Field (20),10.918,1883,
371,372.,Jumbo Latham (31),10.917,1884,R
372,373.,Fred Luderus (33),10.916,1919,R
373,374.,Tommy McCraw (27),10.914,1968,L
374,375.,Dan Brouthers+ (27),10.913,1885,L
375,376.,Lou Finney (25),10.912,1936,R
376,377.,Lu Blue (35),10.911,1932,L
377,377.,Charlie Grimm (30),10.911,1929,L
378,379.,Cecil Cooper (31),10.909,1981,L
379,379.,Ray Grimes (28),10.909,1922,R
380,381.,Jake Virtue (27),10.908,1892,L
381,382.,Dan Brouthers+ (28),10.904,1886,L
382,383.,Sid Farrar (28),10.894,1888,R
383,383.,Ed Kranepool (21),10.894,1966,L
384,383.,Phil Weintraub (37),10.894,1945,L
385,386.,Jake Beckley+ (21),10.893,1889,L
386,386.,Candy LaChance (29),10.893,1899,R
387,388.,Rod Carew+ (37),10.889,1983,R
388,388.,Dan McGann (35),10.889,1907,R
389,388.,Earl Sheely (32),10.889,1925,R
390,391.,Jake Beckley+ (32),10.888,1900,L
391,392.,Frank McCormick (29),10.887,1940,R
392,393.,Harry Taylor (25),10.885,1891,
393,394.,Ed Kranepool (20),10.883,1965,L
394,395.,Bruce Bochte (29),10.881,1980,L
395,395.,Ed Delahanty+ (32),10.881,1900,R
396,397.,Hooks Cotter (24),10.879,1924,L
397,398.,Roger Connor+ (38),10.875,1896,L
398,398.,Len Matuszek (29),10.875,1984,R
399,400.,George Decker (32),10.873,1898,L
400,400.,Kevin Young (33),10.873,2002,R
401,402.,Hap Myers (28),10.871,1915,R
402,403.,Chappy Lane,10.870,1884,
403,404.,Tommy Tucker (29),10.869,1893,R
404,405.,Milt Scott (23),10.868,1884,
405,406.,Joe Hauser (24),10.865,1923,L
406,407.,Donn Clendenon (29),10.863,1965,R
407,408.,Donn Clendenon (28),10.860,1964,R
408,408.,Johnny Walker (24),10.860,1921,R
409,410.,Bill Buckner (27),10.859,1977,L
410,411.,Harry Heilmann+ (25),10.856,1920,R
411,411.,Hal Trosky (22),10.856,1935,R
412,413.,Earl Sheely (29),10.855,1922,R
413,414.,Hap Myers (26),10.853,1913,R
414,414.,Phil Todt (28),10.853,1930,L
415,416.,Lou Gehrig+ (22),10.850,1925,L
416,416.,John Reilly (30),10.850,1889,R
417,418.,Johnny Mize+ (29),10.849,1942,R
418,419.,Jim Bottomley+ (26),10.848,1926,L
419,419.,Ray Knight (29),10.848,1982,R
420,421.,Hal Chase (28),10.847,1911,L
421,422.,Jim Field (22),10.845,1885,
422,423.,Brian Hunter (26),10.844,1994,L
423,424.,George Sisler+ (35),10.841,1928,L
424,425.,Henry Larkin (32),10.840,1892,R
425,426.,Hal Chase (31),10.839,1914,L
426,426.,Stuffy McInnis (21),10.839,1912,R
427,426.,Albert Pujols (29),10.839,2009,R
428,429.,Lou Gehrig+ (23),10.838,1926,L
429,430.,Harry Stovey (27),10.834,1884,R
430,431.,George Metkovich (24),10.832,1945,L
431,432.,Dave Orr (27),10.831,1887,R
432,433.,Ed Morgan (26),10.830,1930,R
433,434.,Dave Hostetler (26),10.828,1982,R
434,434.,Joe Quinn (21),10.828,1884,R
435,436.,Rod Carew+ (31),10.827,1977,R
436,436.,Tommy Tucker (32),10.827,1896,R
437,438.,Rod Carew+ (35),10.825,1981,R
438,439.,Jake Daubert (39),10.822,1923,L
439,439.,Tommy McCraw (26),10.822,1967,L
440,441.,Ed Konetchy (29),10.820,1915,R
441,442.,Cap Anson+ (40),10.819,1892,R
442,443.,Bill Abstein (26),10.816,1909,R
443,443.,Tim Jordan (28),10.816,1907,R
444,445.,Jack Doyle (27),10.815,1897,R
445,446.,Steve Garvey (33),10.813,1982,R
446,447.,Mark Grace (27),10.812,1991,L
447,448.,Chris Chambliss (32),10.811,1981,R
448,449.,Leon Durham (27),10.809,1985,L
449,450.,John Morrill (29),10.807,1884,R
450,451.,Charlie Levis (24),10.804,1884,
451,452.,Buck Jordan (26),10.801,1933,R
452,452.,Frank McCormick (33),10.801,1944,R
453,454.,Dick Hoblitzell (20),10.800,1909,R
454,454.,Doc Johnston (31),10.800,1919,L
455,454.,Don Mattingly (32),10.800,1993,L
456,454.,Joe Pepitone (30),10.800,1971,L
457,458.,Butch Schmidt (27),10.799,1914,L
458,459.,George Burns (33),10.797,1926,R
459,460.,Charlie Grimm (21),10.791,1920,L
460,460.,Mox McQuery (24),10.791,1885,
461,462.,Cap Anson+ (34),10.790,1886,R
462,462.,Donn Clendenon (31),10.790,1967,R
463,462.,Dave Orr (25),10.790,1885,R
464,465.,Chris Chambliss (35),10.788,1984,R
465,466.,Richie Hebner (33),10.785,1981,R
466,467.,Ernie Banks+ (31),10.784,1962,R
467,468.,Vic Saier (22),10.782,1913,R
468,469.,George Burns (32),10.781,1925,R
469,469.,Jason Thompson (21),10.781,1976,L
470,471.,William Brown (27),10.780,1893,R
471,471.,Mike Jorgensen (27),10.780,1976,L
472,471.,Joe Start (38),10.780,1881,L
473,471.,Jason Thompson (22),10.780,1977,L
474,475.,Jimmie Foxx+ (26),10.775,1934,R
475,476.,Lu Blue (33),10.774,1930,L
476,476.,Enos Cabell (33),10.774,1983,R
477,478.,Pat Putnam (27),10.772,1981,R
478,479.,High Pockets Kelly+ (32),10.767,1928,R
479,480.,Joe Adcock (33),10.766,1961,R
480,481.,Jack Doyle (24),10.765,1894,R
481,481.,Nap Lajoie+ (22),10.765,1897,R
482,483.,Jumbo Schoeneck (22),10.761,1884,R
483,484.,George McQuinn (30),10.759,1940,L
484,485.,Harry Stovey (24),10.757,1881,R
485,486.,George Burns (34),10.756,1927,R
486,487.,Chick Gandil (25),10.754,1913,R
487,487.,Fred Luderus (29),10.754,1915,R
488,489.,Walter Holke (32),10.752,1925,L
489,490.,Stuffy McInnis (31),10.751,1922,R
490,491.,Frank McCormick (32),10.750,1943,R
491,492.,Tommy Tucker (23),10.748,1887,R
492,493.,Frank Chance+ (29),10.747,1906,R
493,494.,Lyle Overbay (30),10.746,2007,L
494,495.,Doc Johnston (32),10.741,1920,L
495,496.,Frank Brower (30),10.736,1923,R
496,496.,John Mayberry (24),10.736,1973,L
497,498.,Bill Buckner (32),10.735,1982,L
498,499.,Boileryard Clarke (34),10.733,1903,R
499,499.,Gail Hopkins (26),10.733,1969,R
