,Rank,Player (age that year),Wins Above Replacement,Year,Bats/Throws
235,228.,Rick Reuschel (28),9.6,1977,R
236,228.,Mike Trout (23),9.6,2015,R
237,228.,Cy Young+ (37),9.6,1904,R
238,239.,Hank Aaron+ (27),9.5,1961,R
239,239.,Jim Bagby (30),9.5,1920,B
240,239.,Mookie Betts (23),9.5,2016,R
241,239.,Ty Cobb+ (28),9.5,1915,L
242,239.,Stan Coveleski+ (28),9.5,1918,R
243,239.,Dizzy Dean+ (24),9.5,1934,R
244,239.,Red Faber+ (33),9.5,1922,B
245,239.,Zack Greinke (31),9.5,2015,R
246,239.,Shoeless Joe Jackson (24),9.5,1912,L
247,239.,Randy Johnson+ (37),9.5,2001,R
248,239.,Mickey Mantle+ (23),9.5,1955,B
249,239.,Willie Mays+ (29),9.5,1960,R
250,239.,Stan Musial+ (22),9.5,1943,L
251,239.,Hal Newhouser+ (25),9.5,1946,L
252,239.,Ted Williams+ (28),9.5,1947,L
253,239.,Carl Yastrzemski+ (30),9.5,1970,L
254,255.,Craig Biggio+ (31),9.4,1997,R
255,255.,George Brett+ (27),9.4,1980,L
256,255.,Roger Clemens (24),9.4,1987,R
257,255.,Eddie Collins+ (28),9.4,1915,L
258,255.,Joe DiMaggio+ (26),9.4,1941,R
259,255.,Wes Ferrell (22),9.4,1930,R
260,255.,Lou Gehrig+ (25),9.4,1928,L
261,255.,Teddy Higuera (28),9.4,1986,B
262,255.,Bill Hutchison (31),9.4,1891,R
263,255.,Tim Keefe+ (29),9.4,1886,R
264,255.,Greg Maddux+ (26),9.4,1992,R
265,255.,Sadie McMahon (23),9.4,1891,R
266,255.,Kid Nichols+ (25),9.4,1895,B
267,255.,Alex Rodriguez (20),9.4,1996,R
268,255.,Alex Rodriguez (29),9.4,2005,R
269,255.,Alex Rodriguez (31),9.4,2007,R
270,255.,Bobby Shantz (26),9.4,1952,R
271,255.,Warren Spahn+ (26),9.4,1947,L
272,273.,Babe Adams (31),9.3,1913,L
273,273.,Kevin Appier (25),9.3,1993,R
274,273.,Home Run Baker+ (26),9.3,1912,L
275,273.,Ernie Banks+ (27),9.3,1958,R
276,273.,Dan Casey (24),9.3,1887,R
277,273.,Frankie Frisch+ (29),9.3,1927,B
278,273.,Clark Griffith+ (25),9.3,1895,R
279,273.,Harry Heilmann+ (28),9.3,1923,R
280,273.,Dutch Leonard (22),9.3,1914,L
281,273.,Joe McGinnity+ (33),9.3,1904,R
282,273.,Joe Morgan+ (28),9.3,1972,L
283,273.,Joe Morgan+ (29),9.3,1973,L
284,273.,Kid Nichols+ (21),9.3,1891,B
285,273.,Eddie Plank+ (28),9.3,1904,L
286,273.,Jackie Robinson+ (30),9.3,1949,R
287,273.,Terry Turner (25),9.3,1906,R
288,273.,Rube Waddell+ (28),9.3,1905,R
289,273.,Honus Wagner+ (32),9.3,1906,R
290,273.,Will White (28),9.3,1883,B
291,292.,Barry Bonds (38),9.2,2003,L
292,292.,Norm Cash (27),9.2,1961,L
293,292.,Ice Box Chamberlain (21),9.2,1889,R
294,292.,Ty Cobb+ (25),9.2,1912,L
295,292.,Jason Giambi (30),9.2,2001,L
