,Rank,Player (age that year),On-Base Plus Slugging,Year,Bats
279,280.,Mel Ott+ (30),1.0295,1939,L
280,281.,Chipper Jones+ (35),1.0293,2007,B
281,282.,Magglio Ordonez (33),1.0286,2007,R
282,283.,Ken Griffey Jr.+ (27),1.0285,1997,L
283,284.,Ken Caminiti (33),1.0284,1996,B
284,285.,Richard Hidalgo (25),1.0275,2000,R
285,286.,Dick Allen (24),1.0273,1966,R
286,287.,Ty Cobb+ (35),1.0262,1922,L
287,288.,Chick Hafey+ (26),1.0261,1929,R
288,288.,Alex Rodriguez (24),1.0261,2000,R
289,290.,Harry Heilmann+ (30),1.0260,1925,R
290,290.,Eddie Mathews+ (22),1.0260,1954,L
291,292.,Willie Stargell+ (31),1.0259,1971,L
292,293.,Dan Brouthers+ (28),1.0258,1886,L
293,294.,Rudy York (23),1.0257,1937,R
294,295.,Brian Giles (29),1.0256,2000,L
295,295.,Hal Trosky (23),1.0256,1936,L
296,297.,Ken Griffey Jr.+ (23),1.0249,1993,L
297,298.,Chuck Klein+ (28),1.0246,1933,L
298,298.,Mel Ott+ (23),1.0246,1932,L
299,300.,Rocky Colavito (24),1.0245,1958,R
300,301.,Mel Ott+ (29),1.0241,1938,L
301,302.,Joey Votto (26),1.0240,2010,L
302,303.,Sammy Sosa (29),1.0237,1998,R
303,304.,Tim Salmon (26),1.0235,1995,R
304,305.,Babe Ruth+ (38),1.0234,1933,L
305,306.,Dick Allen (30),1.0231,1972,R
306,307.,Gary Sheffield (34),1.0230,2003,R
307,307.,Larry Walker+ (35),1.0230,2002,L
308,309.,Kevin Mitchell (27),1.0229,1989,R
309,310.,Nomar Garciaparra (25),1.0219,1999,R
310,311.,Tony Gwynn+ (34),1.0216,1994,L
311,312.,George Brett+ (32),1.0215,1985,L
312,313.,Johnny Mize+ (24),1.0214,1937,L
313,314.,David Ortiz (40),1.0211,2016,L
314,315.,Jeff Bagwell+ (28),1.0210,1996,R
315,315.,Kiki Cuyler+ (26),1.0210,1925,R
316,317.,Stan Musial+ (25),1.0208,1946,L
317,318.,Jeff Kent (32),1.0207,2000,R
318,318.,Alex Rodriguez (25),1.0207,2001,R
319,320.,Joe Morgan+ (32),1.0203,1976,L
320,321.,Ken Griffey Jr.+ (26),1.0200,1996,L
321,322.,Ted Williams+ (32),1.0193,1951,L
322,323.,Rod Carew+ (31),1.0186,1977,L
323,324.,Carlos Delgado (31),1.0185,2003,L
324,325.,Harry Rice (23),1.0182,1925,L
325,325.,Al Simmons+ (23),1.0182,1925,R
326,327.,Reggie Jackson+ (23),1.0181,1969,L
327,328.,Dolph Camilli (29),1.0180,1936,L
328,329.,King Kelly+ (28),1.0175,1886,R
329,330.,Jeff Bagwell+ (29),1.0173,1997,R
330,331.,Jake Stenzel (27),1.0170,1894,R
331,332.,Adrian Beltre (25),1.0169,2004,R
332,333.,Lance Berkman (28),1.0160,2004,B
333,334.,Rickey Henderson+ (31),1.0159,1990,R
334,335.,Alex Bregman (25),1.0152,2019,R
335,336.,Frank Robinson+ (25),1.0151,1961,R
336,336.,Alex Rodriguez (26),1.0151,2002,R
337,338.,Lou Gehrig+ (26),1.0150,1929,L
338,339.,Jack Fournier (35),1.0148,1925,L
339,340.,Mickey Mantle+ (32),1.0147,1964,B
340,341.,Jim Thome+ (35),1.0144,2006,L
341,342.,Eddie Mathews+ (23),1.0142,1955,L
342,343.,Prince Fielder (25),1.0141,2009,L
343,343.,Ray Grimes (28),1.0141,1922,R
344,343.,Manny Ramirez (31),1.0141,2003,R
345,346.,Ty Cobb+ (30),1.0138,1917,L
346,347.,Ed Morgan (26),1.0137,1930,R
347,348.,Billy Hamilton+ (27),1.0135,1893,L
348,348.,David Justice (31),1.0135,1997,L
349,348.,Manny Ramirez (29),1.0135,2001,R
350,351.,Albert Pujols (21),1.0131,2001,R
351,352.,Prince Fielder (23),1.0128,2007,L
352,352.,Joe Kelley+ (24),1.0128,1896,R
353,354.,George Foster (28),1.0126,1977,R
354,355.,Mike Piazza+ (31),1.0123,2000,R
355,356.,Matt Holliday (27),1.0122,2007,R
356,357.,Harmon Killebrew+ (25),1.0118,1961,R
357,357.,Fred McGriff (30),1.0118,1994,L
358,359.,Bill Dahlen (24),1.0115,1894,R
359,359.,Juan Gonzalez (26),1.0115,1996,R
360,361.,Shoeless Joe Jackson (25),1.0112,1913,L
361,362.,Harmon Killebrew+ (33),1.0111,1969,R
362,363.,DJ LeMahieu (31),1.0110,2020,R
363,364.,Pete Browning (26),1.0106,1887,R
364,365.,Albert Pujols (30),1.0105,2010,R
365,366.,Vladimir Guerrero+ (27),1.0103,2002,R
366,367.,Bob Caruthers (23),1.0100,1887,L
367,368.,Anthony Rendon (29),1.0099,2019,R
368,369.,Manny Ramirez (32),1.0094,2004,R
369,370.,Edgar Martinez+ (34),1.0093,1997,R
370,371.,Barry Bonds (30),1.0086,1995,L
371,372.,Hank Aaron+ (28),1.0080,1962,R
372,372.,Ripper Collins (30),1.0080,1934,B
373,372.,Troy Glaus (23),1.0080,2000,R
374,375.,Giancarlo Stanton (27),1.0072,2017,R
375,376.,Honus Wagner+ (26),1.0071,1900,R
376,377.,Scott Rolen (29),1.0068,2004,R
377,378.,Ed Delahanty+ (25),1.0065,1893,R
378,379.,Riggs Stephenson (31),1.0063,1929,R
379,380.,Jermaine Dye (32),1.0061,2006,R
380,381.,Mel Ott+ (25),1.0060,1934,L
381,381.,Mike Piazza+ (26),1.0060,1995,R
382,383.,J.D. Drew (28),1.0058,2004,L
383,384.,Roy Campanella+ (31),1.0057,1953,R
384,385.,Todd Helton (28),1.0056,2002,L
385,385.,Frank Thomas+ (23),1.0056,1991,R
386,387.,Andres Galarraga (32),1.0053,1993,R
387,388.,Boog Powell (22),1.0049,1964,L
388,389.,Paul Goldschmidt (27),1.0048,2015,R
389,390.,Billy Williams+ (34),1.0047,1972,L
390,391.,Hank Greenberg+ (23),1.0046,1934,R
391,392.,Mike Schmidt+ (30),1.0045,1980,R
392,393.,Ty Cobb+ (23),1.0041,1910,L
393,394.,Chris Davis (27),1.0035,2013,L
