,Rank,Player (age that year),Putouts as CF (s.1901),Year,Throws
157,156.,Andruw Jones (21),413,1998,R
158,156.,Willie Wilson (30),413,1986,R
159,160.,Andre Dawson+ (23),412,1978,R
160,160.,Doug Glanville (30),412,2001,R
161,160.,Ken Griffey Jr.+ (28),412,1998,L
162,160.,Chet Lemon (30),412,1985,R
163,160.,Aaron Rowand (30),412,2008,R
164,165.,Wally Berger (29),411,1935,R
165,165.,Al Bumbry (35),411,1982,R
166,165.,Larry Doby+ (30),411,1954,R
167,165.,Rickey Henderson+ (27),411,1986,L
168,165.,Chet Lemon (24),411,1979,R
169,170.,Juan Beniquez (26),410,1976,R
170,170.,Mike Cameron (28),410,2001,R
171,170.,Earle Combs+ (29),410,1928,R
172,170.,Taylor Douthit (29),410,1930,R
173,170.,Ender Inciarte (26),410,2017,L
174,170.,Kevin Kiermaier (25),410,2015,R
175,176.,Earl Averill+ (30),409,1932,R
176,176.,Sam Jethroe (35),409,1952,R
177,176.,Dave May (29),409,1973,R
178,176.,Omar Moreno (25),409,1978,L
179,176.,Fred Schulte (27),409,1928,R
180,176.,Grady Sizemore (23),409,2006,L
181,182.,Coco Crisp (27),408,2007,R
182,182.,Johnny Frederick (27),408,1929,L
183,182.,Cesar Geronimo (27),408,1975,L
184,185.,Richie Ashburn+ (23),407,1950,R
185,185.,Brett Butler (32),407,1989,L
186,185.,Jose Cruz (26),407,2000,R
187,185.,Brian Hunter (26),407,1997,R
188,185.,Denard Span (26),407,2010,L
189,185.,Thurman Tucker (26),407,1944,R
190,185.,Gerald Young (24),407,1989,R
191,192.,Bill Bruton (35),406,1961,R
192,192.,Baby Doll Jacobson (32),406,1923,R
193,192.,Willie Mays+ (25),406,1956,R
194,192.,Bobby Tolan (26),406,1972,L
195,192.,Sam West (30),406,1935,L
196,197.,Joe DiMaggio+ (22),405,1937,R
197,197.,Andruw Jones (25),405,2002,R
198,197.,Willie Mays+ (26),405,1957,R
199,197.,Brian McRae (23),405,1991,R
200,201.,Earl Averill+ (29),404,1931,R
201,201.,Gus Bell (25),404,1954,R
202,201.,Carlos Beltran (24),404,2001,R
203,201.,Mike Cameron (36),404,2009,R
204,201.,Willie Davis (24),404,1964,L
205,201.,Fred Lynn (23),404,1975,L
206,201.,Fred Lynn (26),404,1978,L
207,201.,Kevin Pillar (26),404,2015,R
208,201.,Andy Van Slyke (27),404,1988,R
209,210.,Andre Dawson+ (25),403,1980,R
210,210.,Curt Flood (25),403,1963,R
211,210.,Chet Lemon (28),403,1983,R
212,210.,Mickey Rivers (27),403,1976,L
213,210.,Bill Virdon (28),403,1959,R
214,215.,Paul Blair (25),402,1969,R
215,215.,Willie Davis (31),402,1971,L
216,215.,Jim Edmonds (25),402,1995,L
217,215.,Marquis Grissom (25),402,1992,R
218,215.,Kenny Lofton (26),402,1993,L
219,215.,Garry Maddox (30),402,1980,R
220,215.,Juan Pierre (25),402,2003,L
221,215.,Jim Rivera (30),402,1952,L
222,223.,Ty Cobb+ (37),401,1924,R
223,223.,David DeJesus (27),401,2007,L
224,223.,Amos Otis (24),401,1971,R
225,223.,Tony Scott (27),401,1979,R
226,227.,Larry Doby+ (28),400,1952,R
227,227.,Curtis Granderson (28),400,2009,R
228,227.,Willie McGee (31),400,1990,R
229,227.,Lloyd Waner+ (22),400,1928,R
230,231.,Brady Clark (32),399,2005,R
231,231.,Earle Combs+ (28),399,1927,R
232,231.,Mike Devereaux (28),399,1991,R
233,231.,Lloyd Moseby (23),399,1983,R
234,231.,Grady Sizemore (24),399,2007,L
235,231.,Devon White (30),399,1993,R
236,237.,Carlos Beltran (27),398,2004,R
237,237.,Darin Erstad (27),398,2001,L
238,237.,Johnny Frederick (29),398,1931,L
239,237.,Willie Mays+ (24),398,1955,R
240,237.,Willie Mays+ (32),398,1963,R
241,237.,Bill Virdon (26),398,1957,R
242,243.,Andre Dawson+ (24),397,1979,R
243,243.,Steve Finley (34),397,1999,L
244,243.,Roberto Kelly (25),397,1990,R
245,243.,Jerry Mumphrey (27),397,1980,R
246,243.,Melvin Upton Jr. (25),397,2010,R
247,243.,Mookie Wilson (28),397,1984,R
248,249.,Carlos Beltran (25),396,2002,R
249,249.,Bill Bruton (36),396,1962,R
250,249.,Mike Cameron (27),396,2000,R
251,249.,Andruw Jones (30),396,2007,R
252,249.,Omar Moreno (29),396,1982,L
253,249.,Vada Pinson (21),396,1960,L
254,249.,Vada Pinson (22),396,1961,L
255,249.,Tris Speaker+ (38),396,1926,L
256,249.,Bobby Thomson (26),396,1950,R
257,249.,Bill Virdon (27),396,1958,R
258,249.,Hack Wilson+ (27),396,1927,R
259,260.,Carlos Beltran (22),395,1999,R
260,260.,Bill Bruton (30),395,1956,R
261,260.,Bake McBride (25),395,1974,R
262,260.,Eddie Milner (28),395,1983,L
263,260.,Jim Piersall (27),395,1957,R
264,260.,Kirby Puckett+ (32),395,1992,R
265,260.,Bobby Thomson (29),395,1953,R
266,267.,Dusty Baker (24),394,1973,R
267,267.,Brett Butler (31),394,1988,L
268,267.,Johnny Damon (31),394,2005,L
269,267.,Dom DiMaggio (30),394,1947,R
270,267.,Curt Flood (28),394,1966,R
271,267.,Ruppert Jones (23),394,1978,L
272,267.,Jim Landis (27),394,1961,R
273,267.,Goody Rosen (32),394,1945,L
274,267.,Chris Young (27),394,2011,R
275,276.,Richie Ashburn+ (28),393,1955,R
276,276.,Jim Edmonds (28),393,1998,L
277,276.,Ken Henderson (29),393,1975,R
278,276.,Chris Young (24),393,2008,R
279,280.,Earl Averill+ (31),392,1933,R
280,280.,Chuck Carr (25),392,1993,R
281,280.,Taylor Douthit (26),392,1927,R
282,280.,Lance Johnson (32),392,1996,L
283,280.,Brian McRae (25),392,1993,R
284,280.,Hi Myers (33),392,1922,R
285,280.,Scott Podsednik (28),392,2004,L
286,280.,Aaron Rowand (29),392,2007,R
287,288.,Joe DiMaggio+ (27),391,1942,R
288,288.,Carlos Gomez (27),391,2013,R
289,288.,Dave Henderson (30),391,1989,R
290,288.,Willie Mays+ (29),391,1960,R
291,288.,Lee Mazzilli (22),391,1977,R
292,288.,Lloyd Moseby (25),391,1985,R
293,294.,Brett Butler (30),390,1987,L
294,294.,Johnny Frederick (28),390,1930,L
295,294.,Cesar Geronimo (28),390,1976,L
296,294.,Andruw Jones (26),390,2003,R
297,294.,Del Unser (23),390,1968,L
298,299.,Carlos Beltran (30),389,2007,R
299,299.,Bill Bruton (27),389,1953,R
300,299.,Byron Buxton (23),389,2017,R
301,299.,Lorenzo Cain (29),389,2015,R
302,299.,Doc Cramer (27),389,1933,R
303,299.,Taylor Douthit (30),389,1931,R
304,299.,Andruw Jones (27),389,2004,R
305,306.,Doc Cramer (28),388,1934,R
306,306.,Jacoby Ellsbury (27),388,2011,L
307,306.,Curt Flood (26),388,1964,R
308,306.,Ken Griffey Jr.+ (27),388,1997,L
309,306.,Bill North (28),388,1976,R
310,306.,Aaron Rowand (27),388,2005,R
311,312.,Happy Felsch (28),387,1920,R
312,312.,Torii Hunter (31),387,2007,R
313,312.,Willie McGee (24),387,1983,R
314,312.,Alex Metzler (24),387,1927,R
315,312.,Amos Otis (23),387,1970,R
316,312.,Stan Spence (32),387,1947,L
317,312.,George Wright (23),387,1982,R
318,319.,Steve Finley (31),386,1996,L
319,319.,Ken Griffey Jr.+ (29),386,1999,L
320,319.,Rick Manning (27),386,1982,R
321,319.,Jim Rivera (31),386,1953,L
322,323.,Curt Flood (24),385,1962,R
323,323.,Doug Glanville (28),385,1999,R
324,323.,Curtis Granderson (25),385,2006,R
325,323.,Darryl Hamilton (31),385,1996,R
326,323.,Garry Maddox (27),385,1977,R
327,323.,Willie Mays+ (30),385,1961,R
328,323.,Mickey Rivers (28),385,1977,L
329,323.,Duke Snider+ (24),385,1951,R
330,323.,Cy Williams (32),385,1920,L
331,332.,Earl Averill+ (27),384,1929,R
332,332.,Curt Flood (30),384,1968,R
333,332.,Lee Mazzilli (23),384,1978,R
334,332.,Johnny Mostil (27),384,1923,R
335,332.,Alex Rios (29),384,2010,R
336,332.,Reggie Smith (23),384,1968,R
337,332.,Tom Umphlett (22),384,1953,R
338,332.,Sam West (26),384,1931,L
339,332.,Preston Wilson (25),384,2000,R
340,332.,Jim Wynn (23),384,1965,R
341,342.,Earl Averill+ (32),383,1934,R
342,342.,Michael Bourn (29),383,2012,R
343,342.,Willie Davis (22),383,1962,L
344,342.,Doug Glanville (29),383,2000,R
345,342.,Dave Henderson (29),383,1988,R
346,342.,Brian Hunter (27),383,1998,R
347,342.,Austin Jackson (23),383,2010,R
348,342.,Terrence Long (26),383,2002,L
349,342.,Bobby Murcer (27),383,1973,R
350,342.,Amos Otis (31),383,1978,R
351,342.,Amos Otis (32),383,1979,R
352,342.,Jeremy Reed (24),383,2005,L
353,342.,Mike Trout (22),383,2014,R
354,342.,Marvell Wynne (24),383,1984,L
355,356.,Bill Bruton (29),382,1955,R
356,356.,Ty Cobb+ (24),382,1911,R
357,356.,Grady Sizemore (25),382,2008,L
358,356.,Melvin Upton Jr. (26),382,2011,R
359,356.,Bill Virdon (30),382,1961,R
360,361.,Vince DiMaggio (30),381,1943,R
361,361.,Ron LeFlore (28),381,1976,R
362,361.,Nelson Mathews (22),381,1964,R
363,361.,Hi Myers (31),381,1920,R
364,361.,Bill Virdon (25),381,1956,R
365,361.,Vernon Wells (24),381,2003,R
366,361.,Bernie Williams (30),381,1999,R
367,361.,Randy Winn (28),381,2002,R
368,369.,Jacoby Ellsbury (30),380,2014,L
369,369.,Ender Inciarte (27),380,2018,L
370,369.,Fred Lynn (27),380,1979,L
371,369.,Nate McLouth (26),380,2008,R
372,369.,Mickey Rivers (29),380,1978,L
373,369.,Drew Stubbs (25),380,2010,R
374,369.,Willie Wilson (29),380,1985,R
375,376.,Cesar Cedeno (25),379,1976,R
376,376.,Ken Griffey Jr.+ (26),379,1996,L
377,376.,Austin Jackson (24),379,2011,R
378,376.,Adam Jones (25),379,2011,R
379,376.,Juan Pierre (28),379,2006,L
380,376.,Ray Powell (33),379,1922,R
381,376.,Duke Snider+ (23),379,1950,R
382,376.,Denard Span (29),379,2013,L
383,376.,Sam West (27),379,1932,L
384,376.,Rondell White (25),379,1997,R
385,386.,Carlos Beltran (28),378,2005,R
386,386.,Eric Davis (25),378,1987,R
387,386.,Dom DiMaggio (33),378,1950,R
388,386.,Larry Doby+ (32),378,1956,R
389,386.,Austin Jackson (27),378,2014,R
390,386.,Baby Doll Jacobson (30),378,1921,R
391,386.,Andruw Jones (29),378,2006,R
392,386.,Willie McGee (26),378,1985,R
393,386.,Tris Speaker+ (27),378,1915,L
394,386.,Bill Tuttle (30),378,1960,R
395,386.,Melvin Upton Jr. (23),378,2008,R
396,386.,Lloyd Waner+ (26),378,1932,R
397,386.,Cy Williams (34),378,1922,L
398,386.,Willie Wilson (28),378,1984,R
399,400.,Joe DiMaggio+ (26),377,1941,R
400,400.,Rick Manning (23),377,1978,R
401,400.,Rick Manning (25),377,1980,R
402,400.,Angel Pagan (30),377,2012,R
403,400.,Sam Rice+ (32),377,1922,R
404,400.,Alex Sanchez (26),377,2003,L
405,400.,Denard Span (30),377,2014,L
406,400.,Sam West (31),377,1936,L
407,400.,Hack Wilson+ (29),377,1929,R
408,400.,Robin Yount+ (31),377,1987,R
409,410.,Ira Flagstead (30),376,1924,R
410,410.,Chick Fullis (32),376,1933,R
411,410.,Ken Griffey Jr.+ (30),376,2000,L
412,410.,Jim Landis (26),376,1960,R
413,410.,Kenny Lofton (29),376,1996,L
414,410.,Bobby Murcer (24),376,1970,R
415,410.,Bobby Murcer (26),376,1972,R
416,417.,Jim Busby (28),375,1955,R
417,417.,Chili Davis (22),375,1982,R
418,417.,Melvin Upton Jr. (24),375,2009,R
419,420.,Tommie Agee (27),374,1970,R
420,420.,Dom DiMaggio (34),374,1951,R
421,420.,Marquis Grissom (32),374,1999,R
422,420.,Adam Jones (28),374,2014,R
423,420.,Willie McGee (25),374,1984,R
424,420.,Omar Moreno (30),374,1983,L
425,420.,Al Oliver (28),374,1975,L
426,420.,Amos Otis (29),374,1976,R
427,420.,Burt Shotton (27),374,1912,R
428,420.,Tris Speaker+ (25),374,1913,L
429,420.,Tris Speaker+ (31),374,1919,L
430,431.,Paul Blair (23),373,1967,R
431,431.,Kiddo Davis (30),373,1932,R
432,431.,Andrew McCutchen (23),373,2010,R
433,431.,Sam Rice+ (31),373,1921,R
434,431.,Grady Sizemore (22),373,2005,L
435,431.,Tris Speaker+ (35),373,1923,L
436,431.,Roy Thomas (31),373,1905,L
437,431.,Roy Weatherly (25),373,1940,R
438,439.,Felipe Alou (33),372,1968,R
439,439.,Brett Butler (34),372,1991,L
440,439.,Mike Cameron (26),372,1999,R
441,439.,Willie Davis (34),372,1974,L
442,439.,Cesar Geronimo (29),372,1977,L
443,439.,Tom Goodwin (29),372,1998,R
444,439.,Mule Haas (25),372,1929,R
445,439.,Odubel Herrera (24),372,2016,R
446,439.,Clyde Milan (29),372,1916,R
447,439.,Devon White (35),372,1998,R
448,449.,Carlos Beltran (26),371,2003,R
449,449.,Paul Blair (29),371,1973,R
450,449.,Michael Bourn (26),371,2009,R
451,449.,Marlon Byrd (32),371,2010,R
452,449.,Mickey Mantle+ (23),371,1955,R
453,449.,Lloyd Moseby (26),371,1986,R
454,449.,Sam West (24),371,1929,L
455,449.,Cy Williams (36),371,1924,L
456,449.,Robin Yount+ (36),371,1992,R
457,458.,Ellis Burks (23),370,1988,R
458,458.,Max Carey+ (26),370,1916,R
459,458.,Willie Davis (32),370,1972,L
460,458.,Dan Ford (26),370,1978,R
461,458.,Omar Moreno (24),370,1977,L
462,458.,Duke Snider+ (26),370,1953,R
463,458.,Jigger Statz (26),370,1924,R
464,458.,Jim Wynn (32),370,1974,R
465,458.,Christian Yelich (25),370,2017,R
466,467.,Vince DiMaggio (25),369,1938,R
467,467.,Ray Lankford (24),369,1991,L
468,467.,Mickey Mantle+ (27),369,1959,R
469,467.,Cy Williams (33),369,1921,L
470,467.,Johnny Wyrostek (26),369,1946,R
471,472.,Gus Bell (26),368,1955,R
472,472.,Tom Goodwin (28),368,1997,R
473,472.,Lee Mazzilli (24),368,1979,R
474,472.,Johnny Mostil (32),368,1928,R
475,472.,Tris Speaker+ (32),368,1920,L
476,472.,Bill Tuttle (24),368,1954,R
477,478.,Michael Bourn (28),367,2011,R
478,478.,Brett Butler (36),367,1993,L
479,478.,Mike Cameron (33),367,2006,R
480,478.,Jose Cardenal (24),367,1968,R
481,478.,Earle Combs+ (26),367,1925,R
482,478.,Larry Doby+ (26),367,1950,R
483,478.,Matt Kemp (24),367,2009,R
484,478.,Garry Maddox (23),367,1973,R
485,478.,Mickey Mantle+ (24),367,1956,R
486,478.,Andrew McCutchen (25),367,2012,R
487,478.,Gary Pettis (27),367,1985,R
488,478.,Robin Yount+ (33),367,1989,R
489,490.,Paul Blair (26),366,1970,R
490,490.,Curt Flood (31),366,1969,R
491,490.,Curtis Granderson (27),366,2008,R
492,490.,Juan Pierre (29),366,2007,L
493,490.,Ray Powell (31),366,1920,R
494,490.,Tris Speaker+ (24),366,1912,L
495,490.,Drew Stubbs (26),366,2011,R
496,490.,Bernie Williams (24),366,1993,R
497,498.,Tommie Agee (23),365,1966,R
498,498.,Jackie Bradley Jr. (26),365,2016,R
499,498.,Mike Cameron (34),365,2007,R
