,Rank,Player (age that year),Range Factor/9Inn as CF (s.1948),Year,Throws
241,239.,Roy Sievers (22),2.986,1949,R
242,239.,Bobby Thomson (25),2.986,1949,R
243,244.,Bobby Brown (26),2.985,1980,R
244,244.,Ken Griffey Jr.+ (26),2.985,1996,L
245,246.,Al Oliver (27),2.984,1974,L
246,247.,Bake McBride (26),2.983,1975,R
247,247.,Dave Philley (32),2.983,1952,R
248,247.,Gorman Thomas (32),2.983,1983,R
249,247.,Bill Tuttle (25),2.983,1955,R
250,251.,Joe Lovitto (21),2.982,1972,R
251,252.,Richie Ashburn+ (28),2.981,1955,R
252,252.,Milt Thompson (29),2.981,1988,R
253,254.,Amos Otis (24),2.980,1971,R
254,255.,Ruppert Jones (24),2.979,1979,L
255,255.,Nook Logan (27),2.979,2007,R
256,255.,Fred Lynn (28),2.979,1980,L
257,258.,Peter Bourjos (25),2.978,2012,R
258,259.,Juan Lagares (24),2.976,2013,R
259,260.,Lenny Dykstra (30),2.974,1993,L
260,260.,Carlos Gomez (25),2.974,2011,R
261,260.,Luis Matos (24),2.974,2003,R
262,263.,Chet Lemon (28),2.973,1983,R
263,264.,Torii Hunter (27),2.972,2003,R
264,265.,Reggie Smith (28),2.971,1973,R
265,266.,Joe Carter (28),2.970,1988,R
266,267.,Terry Puhl (21),2.969,1978,R
267,268.,Brett Butler (29),2.967,1986,L
268,269.,Lenny Dykstra (31),2.966,1994,L
269,269.,Ender Inciarte (25),2.966,2016,L
270,269.,Derrel Thomas (28),2.966,1979,R
271,272.,Colby Rasmus (27),2.965,2014,L
272,273.,Jim Busby (24),2.964,1951,R
273,273.,Chet Lemon (24),2.964,1979,R
274,273.,Bill Virdon (26),2.964,1957,R
275,276.,Chili Davis (23),2.963,1983,R
276,276.,George Hendrick (27),2.963,1977,R
277,276.,Omar Moreno (25),2.963,1978,L
278,279.,Cesar Geronimo (28),2.962,1976,L
279,280.,Lorenzo Cain (28),2.961,2014,R
280,280.,Omar Moreno (24),2.961,1977,L
281,282.,Robin Yount+ (32),2.960,1988,R
282,283.,Ken Henderson (29),2.959,1975,R
283,284.,Mike Cameron (28),2.957,2001,R
284,284.,Whitey Lockman (21),2.957,1948,R
285,286.,Willie Mays+ (27),2.956,1958,R
286,287.,Dusty Baker (25),2.955,1974,R
287,287.,Ken Henderson (28),2.955,1974,R
288,289.,Andruw Jones (24),2.953,2001,R
289,289.,Garry Maddox (30),2.953,1980,R
290,291.,Tom Goodwin (29),2.952,1998,R
