,Rank,Player (age that year),Strikeouts,Year,Throws
49,50.,John Clarkson+ (23),308,1885,R
50,50.,Randy Johnson+ (29),308,1993,L
51,50.,Mickey Lolich (30),308,1971,L
52,50.,Larry McKeon (18),308,1884,
53,50.,Chris Sale (28),308,2017,L
54,55.,Sandy Koufax+ (27),306,1963,L
55,55.,Mike Scott (31),306,1986,R
56,57.,Pedro Martinez+ (25),305,1997,R
57,58.,Sam McDowell (27),304,1970,L
58,58.,Amos Rusie+ (21),304,1892,R
59,60.,Walter Johnson+ (24),303,1912,R
60,60.,J.R. Richard (28),303,1978,R
61,62.,Ed Morris (21),302,1884,L
62,62.,Rube Waddell+ (26),302,1903,L
63,64.,Vida Blue (21),301,1971,L
64,64.,Clayton Kershaw (27),301,2015,L
65,64.,Nolan Ryan+ (42),301,1989,R
66,67.,Max Scherzer (33),300,2018,R
67,67.,Curt Schilling (31),300,1998,R
68,67.,Justin Verlander (36),300,2019,R
69,70.,Ed Morris (22),298,1885,L
70,71.,Tim Keefe+ (29),297,1886,R
71,72.,Randy Johnson+ (31),294,1995,L
72,73.,Curt Schilling (34),293,2001,R
73,74.,Roger Clemens (34),292,1997,R
74,74.,Jack Lynch (27),292,1884,R
75,76.,Roger Clemens (25),291,1988,R
76,76.,Randy Johnson+ (33),291,1997,L
77,76.,Sadie McMahon (22),291,1890,R
78,79.,Randy Johnson+ (40),290,2004,L
79,79.,Justin Verlander (35),290,2018,R
80,81.,Bill Hutchison (30),289,1890,R
81,81.,Tom Seaver+ (26),289,1971,R
82,81.,Jack Stivetts (22),289,1890,R
83,84.,Rube Waddell+ (28),287,1905,L
84,85.,Steve Carlton+ (35),286,1980,L
85,85.,Steve Carlton+ (37),286,1982,L
86,85.,Bobby Mathews (32),286,1884,R
87,85.,Bobby Mathews (33),286,1885,R
88,89.,John Clarkson+ (27),284,1889,R
89,89.,Pedro Martinez+ (28),284,2000,R
90,89.,Max Scherzer (31),284,2016,R
91,89.,Billy Taylor (29),284,1884,R
92,93.,Dave Foutz (29),283,1886,R
93,93.,Sam McDowell (25),283,1968,L
94,93.,Tom Seaver+ (25),283,1970,R
95,96.,Denny McLain (24),280,1968,R
96,97.,Pud Galvin+ (26),279,1883,R
97,97.,Sam McDowell (26),279,1969,L
98,99.,Yu Darvish (26),277,2013,R
99,100.,Gerrit Cole (27),276,2018,R
100,100.,Dwight Gooden (19),276,1984,R
101,100.,Max Scherzer (30),276,2015,R
102,100.,John Smoltz+ (29),276,1996,R
103,100.,Bob Veale (29),276,1965,L
104,105.,Steve Carlton+ (38),275,1983,L
105,105.,Hal Newhouser+ (25),275,1946,L
106,107.,Bob Gibson+ (34),274,1970,R
107,107.,Fergie Jenkins+ (27),274,1970,R
108,107.,Chris Sale (26),274,2015,L
109,107.,Mario Soto (25),274,1982,R
110,111.,Fergie Jenkins+ (26),273,1969,R
111,112.,Larry Corcoran (24),272,1884,R
112,112.,Ed Seward (21),272,1888,R
113,112.,Mickey Welch+ (26),272,1886,R
114,115.,Roger Clemens (35),271,1998,R
115,115.,Mickey Lolich (28),271,1969,L
116,115.,David Price (28),271,2014,L
117,118.,Bob Gibson+ (29),270,1965,R
118,118.,Nolan Ryan+ (40),270,1987,R
119,118.,Jim Whitney (26),270,1884,R
120,121.,Jacob deGrom (30),269,2018,R
121,121.,Bob Gibson+ (33),269,1969,R
122,121.,Corey Kluber (28),269,2014,R
123,121.,Sandy Koufax+ (25),269,1961,L
124,121.,Frank Tanana (21),269,1975,L
125,121.,Justin Verlander (26),269,2009,R
126,121.,Ed Walsh+ (27),269,1908,R
127,128.,Jim Bunning+ (33),268,1965,R
128,128.,Larry Corcoran (20),268,1880,R
129,128.,Bob Gibson+ (32),268,1968,R
130,128.,Dwight Gooden (20),268,1985,R
131,128.,Max Scherzer (32),268,2017,R
132,128.,Bill Wise (23),268,1884,
133,134.,Christy Mathewson+ (22),267,1903,R
134,135.,Kerry Wood (26),266,2003,R
135,136.,Corey Kluber (31),265,2017,R
136,136.,Tim Lincecum (24),265,2008,R
137,136.,Jim Maloney (23),265,1963,R
138,136.,Johan Santana (25),265,2004,L
139,140.,Bob Emslie (25),264,1884,R
140,140.,Ben Sheets (25),264,2004,R
141,140.,Luis Tiant (27),264,1968,R
142,143.,Hardie Henderson (22),263,1885,R
143,143.,Fergie Jenkins+ (28),263,1971,R
144,143.,Herb Score (23),263,1956,L
145,146.,Mark Langston (26),262,1987,L
146,146.,Phil Niekro+ (38),262,1977,R
147,146.,Dazzy Vance+ (33),262,1924,R
148,149.,David Cone (29),261,1992,R
149,149.,Bob Feller+ (21),261,1940,R
150,149.,Bill Hutchison (31),261,1891,R
151,149.,Tim Lincecum (25),261,2009,R
152,149.,Frank Tanana (22),261,1976,L
153,154.,Bob Feller+ (22),260,1941,R
154,154.,Fergie Jenkins+ (25),260,1968,R
155,154.,Jim McCormick (23),260,1880,R
156,154.,Nolan Ryan+ (31),260,1978,R
157,158.,Shane Bieber (24),259,2019,R
158,158.,Christy Mathewson+ (27),259,1908,R
159,158.,Jack Stivetts (23),259,1891,R
160,161.,Bert Blyleven+ (22),258,1973,R
161,161.,Silver King (20),258,1888,R
162,161.,Ed Walsh+ (29),258,1910,R
163,161.,Mickey Welch+ (25),258,1885,R
164,161.,Smoky Joe Wood (22),258,1912,R
165,166.,Kevin Brown (33),257,1998,R
166,166.,Roger Clemens (33),257,1996,R
167,166.,Toad Ramsey (25),257,1890,L
168,169.,Roger Clemens (24),256,1987,R
169,170.,James Burke,255,1884,
170,170.,Jacob deGrom (31),255,2019,R
171,170.,Ed Walsh+ (30),255,1911,R
172,173.,Justin Verlander (33),254,2016,R
173,173.,Ed Walsh+ (31),254,1912,R
174,175.,Trevor Bauer (28),253,2019,R
175,175.,Jim Bunning+ (35),253,1967,R
176,175.,Jose Fernandez (23),253,2016,R
177,178.,Chris Archer (26),252,2015,R
178,178.,Jim Bunning+ (34),252,1966,R
179,178.,Max Scherzer (29),252,2014,R
180,181.,Madison Bumgarner (26),251,2016,L
181,181.,Don Drysdale+ (26),251,1963,R
182,181.,Pedro Martinez+ (26),251,1998,R
183,181.,CC Sabathia (27),251,2008,L
184,181.,Jason Schmidt (31),251,2004,R
185,181.,Tom Seaver+ (28),251,1973,R
186,181.,Bill Stoneman (27),251,1971,R
187,181.,Stephen Strasburg (30),251,2019,R
188,189.,Mickey Lolich (31),250,1972,L
189,189.,Tony Mullane (27),250,1886,R
190,189.,Bob Veale (28),250,1964,L
191,189.,Justin Verlander (28),250,2011,R
192,193.,Chris Archer (28),249,2017,R
193,193.,Bert Blyleven+ (23),249,1974,R
194,193.,Tom Seaver+ (27),249,1972,R
195,196.,Ron Guidry (27),248,1978,L
196,196.,Felix Hernandez (28),248,2014,R
197,196.,Clayton Kershaw (23),248,2011,L
198,196.,Juan Marichal+ (25),248,1963,R
199,196.,Phil Niekro+ (39),248,1978,R
200,201.,Al Atkinson (23),247,1884,R
201,201.,Bill Singer (25),247,1969,R
202,203.,Patrick Corbin (28),246,2018,L
203,203.,Don Drysdale+ (23),246,1960,R
204,203.,Bob Feller+ (20),246,1939,R
205,203.,Jim Lonborg (25),246,1967,R
206,203.,Lance Lynn (32),246,2019,R
207,208.,Bob Gibson+ (28),245,1964,R
208,208.,Corey Kluber (29),245,2015,R
209,208.,Mark Langston (25),245,1986,L
210,208.,Mark Prior (22),245,2003,R
211,208.,Nolan Ryan+ (35),245,1982,R
212,208.,Johan Santana (27),245,2006,L
213,208.,Herb Score (22),245,1955,L
214,215.,Dennis Leonard (26),244,1977,R
215,215.,Jim Maloney (25),244,1965,R
216,217.,Walter Johnson+ (25),243,1913,R
217,217.,Lee Richmond (23),243,1880,L
218,217.,Max Scherzer (34),243,2019,R
219,217.,Tom Seaver+ (30),243,1975,R
220,221.,Charlie Buffinton (24),242,1885,R
221,221.,Johnny Cueto (28),242,2014,R
222,221.,Don Drysdale+ (22),242,1959,R
223,221.,Zack Greinke (25),242,2009,R
224,221.,Mario Soto (26),242,1983,R
225,221.,Stephen Strasburg (25),242,2014,R
226,221.,Fernando Valenzuela (25),242,1986,L
227,228.,Pete Alexander+ (28),241,1915,R
228,228.,Roger Clemens (28),241,1991,R
229,228.,David Cone (28),241,1991,R
230,228.,Randy Johnson+ (28),241,1992,L
231,228.,Bill Singer (29),241,1973,R
232,228.,John Smoltz+ (30),241,1997,R
233,228.,Javier Vazquez (26),241,2003,R
234,235.,Steve Carlton+ (29),240,1974,L
235,235.,Bob Feller+ (19),240,1938,R
236,235.,Teddy Higuera (29),240,1987,L
237,235.,Juan Marichal+ (27),240,1965,R
238,235.,Charlie Morton (35),240,2019,R
239,235.,Kid Nichols+ (21),240,1891,R
240,235.,Jake Peavy (26),240,2007,R
241,235.,Max Scherzer (28),240,2013,R
242,235.,Fernando Valenzuela (23),240,1984,L
243,244.,Jack Chesbro+ (30),239,1904,R
244,244.,Jacob deGrom (29),239,2017,R
245,244.,Noodles Hahn (22),239,1901,L
246,244.,Scott Kazmir (23),239,2007,L
247,244.,Clayton Kershaw (26),239,2014,L
248,244.,Pedro Martinez+ (30),239,2002,R
249,244.,Oliver Perez (22),239,2004,L
250,244.,Cy Seymour (25),239,1898,L
251,244.,Bill Stemmyer (21),239,1886,R
252,244.,Justin Verlander (29),239,2012,R
253,244.,John Ward+ (19),239,1879,R
254,255.,Matthew Boyd (28),238,2019,L
255,255.,Roger Clemens (23),238,1986,R
256,255.,Patrick Corbin (29),238,2019,L
257,255.,Cliff Lee (32),238,2011,L
258,255.,Van Mungo (25),238,1936,R
259,255.,Gaylord Perry+ (34),238,1973,R
260,255.,Johan Santana (26),238,2005,L
261,255.,Javier Vazquez (32),238,2009,R
262,263.,John Clarkson+ (25),237,1887,R
263,263.,Don Drysdale+ (27),237,1964,R
264,263.,Rube Marquard+ (24),237,1911,L
265,263.,Chris Sale (29),237,2018,L
266,263.,Chris Short (27),237,1965,L
267,268.,Jake Arrieta (29),236,2015,R
268,268.,Joe Coleman (24),236,1971,R
269,268.,Cy Falkenberg (34),236,1914,R
270,268.,Fergie Jenkins+ (24),236,1967,R
271,268.,Sam McDowell (24),236,1967,L
272,268.,Hideo Nomo (26),236,1995,R
273,274.,Mark Langston (27),235,1988,L
274,274.,Mark Langston (28),235,1989,L
275,274.,Robbie Ray (27),235,2019,L
276,274.,Johan Santana (28),235,2007,L
277,274.,Tom Seaver+ (31),235,1976,R
278,274.,Don Wilson (24),235,1969,R
279,280.,Madison Bumgarner (25),234,2015,L
280,280.,Dean Chance (27),234,1968,R
281,280.,Hideo Nomo (27),234,1996,R
282,280.,Gaylord Perry+ (33),234,1972,R
283,284.,Chris Archer (27),233,2016,R
284,284.,Bert Blyleven+ (24),233,1975,R
285,284.,David Cone (27),233,1990,R
286,284.,Hideo Nomo (28),233,1997,R
287,284.,Gaylord Perry+ (30),233,1969,R
288,284.,Gaylord Perry+ (36),233,1975,R
289,284.,Chris Sale (27),233,2016,L
290,284.,Mike Scott (32),233,1987,R
291,284.,Jered Weaver (27),233,2010,R
292,284.,Kerry Wood (21),233,1998,R
293,294.,Larry Dierker (22),232,1969,R
294,294.,Don Drysdale+ (25),232,1962,R
295,294.,Felix Hernandez (24),232,2010,R
296,294.,Clayton Kershaw (25),232,2013,L
297,294.,Jack Morris+ (28),232,1983,R
298,294.,Nolan Ryan+ (43),232,1990,R
299,294.,Rube Waddell+ (30),232,1907,L
300,294.,Rube Waddell+ (31),232,1908,L
301,294.,Will White (24),232,1879,R
302,303.,A.J. Burnett (31),231,2008,R
303,303.,Carlos Carrasco (31),231,2018,R
304,303.,Jack Flaherty (23),231,2019,R
305,303.,Clay Kirby (23),231,1971,R
306,303.,Tim Lincecum (26),231,2010,R
307,303.,Max Scherzer (27),231,2012,R
308,303.,Smoky Joe Wood (21),231,1911,R
309,310.,Roger Clemens (26),230,1989,R
310,310.,R.A. Dickey (37),230,2012,R
311,310.,Mickey Lolich (29),230,1970,L
312,310.,German Marquez (23),230,2018,R
313,310.,Gaylord Perry+ (28),230,1967,R
314,310.,CC Sabathia (30),230,2011,L
315,310.,Luis Severino (23),230,2017,R
316,310.,Adonis Terry (19),230,1884,R
317,310.,John Ward+ (20),230,1880,R
318,319.,Yu Darvish (32),229,2019,R
319,319.,Dave Davenport (25),229,1915,R
320,319.,Clayton Kershaw (24),229,2012,L
321,319.,Aaron Nola (26),229,2019,R
322,319.,Bob Veale (30),229,1966,L
323,324.,Bert Blyleven+ (21),228,1972,R
324,324.,Lucas Giolito (24),228,2019,R
325,324.,Randy Johnson+ (27),228,1991,L
326,324.,Walter Johnson+ (28),228,1916,R
327,324.,Phil Knell (26),228,1891,L
328,324.,David Price (30),228,2016,L
329,324.,Toad Ramsey (23),228,1888,L
330,324.,Nolan Ryan+ (41),228,1988,R
331,332.,Pete Alexander+ (24),227,1911,R
332,332.,Tim Keefe+ (28),227,1885,R
333,332.,Corey Kluber (30),227,2016,R
334,332.,Pedro Martinez+ (32),227,2004,R
335,332.,Jose Rijo (28),227,1993,R
336,332.,Bill Singer (24),227,1968,R
337,338.,Jersey Bakley (20),226,1884,R
338,338.,Carlos Carrasco (30),226,2017,R
339,338.,Luis Castillo (26),226,2019,R
340,338.,Bill Donovan (24),226,1901,R
341,338.,Mickey Lolich (24),226,1965,L
342,338.,Bobo Newsom (30),226,1938,R
343,338.,Chris Sale (24),226,2013,L
344,338.,Tom Seaver+ (33),226,1978,R
345,346.,Bob Gibson+ (30),225,1966,R
346,346.,Egyptian Healy (23),225,1890,R
347,346.,Tom Hughes (22),225,1901,R
348,346.,Fergie Jenkins+ (31),225,1974,R
349,346.,Walter Johnson+ (26),225,1914,R
350,346.,Sam Jones (32),225,1958,R
351,346.,Tim Keefe+ (32),225,1889,R
352,346.,Jon Lester (25),225,2009,L
353,346.,Jon Lester (26),225,2010,L
354,346.,Sam McDowell (23),225,1966,L
355,346.,David Price (29),225,2015,L
356,346.,James Shields (29),225,2011,R
357,346.,Vic Willis+ (26),225,1902,R
358,359.,Bert Blyleven+ (20),224,1971,R
359,359.,Jack Coombs (27),224,1910,R
360,359.,Aaron Nola (25),224,2018,R
361,362.,Steve Carlton+ (28),223,1973,L
362,362.,John Clarkson+ (26),223,1888,R
363,362.,Dwight Gooden (25),223,1990,R
364,362.,Dan Haren (28),223,2009,R
365,362.,Felix Hernandez (26),223,2012,R
366,362.,Charlie Hough (39),223,1987,R
367,362.,Sandy Koufax+ (28),223,1964,L
368,362.,Ramon Martinez (22),223,1990,R
369,362.,Jack Morris+ (31),223,1986,R
370,362.,Nolan Ryan+ (32),223,1979,R
371,362.,James Shields (30),223,2012,R
372,373.,Joe Coleman (25),222,1972,R
373,373.,David Cone (34),222,1997,R
374,373.,Jeff Fassero (33),222,1996,L
375,373.,Kid Gleason (23),222,1890,R
376,373.,Felix Hernandez (25),222,2011,R
377,373.,Corey Kluber (32),222,2018,R
378,373.,Cliff Lee (34),222,2013,L
379,373.,Juan Marichal+ (28),222,1966,R
380,373.,Pedro Martinez+ (24),222,1996,R
381,373.,Kid Nichols+ (20),222,1890,R
382,383.,Trevor Bauer (27),221,2018,R
383,383.,Erik Bedard (28),221,2007,L
384,383.,Kevin Brown (34),221,1999,R
385,383.,Yu Darvish (25),221,2012,R
386,383.,Christy Mathewson+ (20),221,1901,R
387,383.,Andy Messersmith (28),221,1974,R
388,383.,Camilo Pascual (27),221,1961,R
389,383.,Blake Snell (25),221,2018,L
390,383.,Dazzy Vance+ (34),221,1925,R
391,383.,Bobby Witt (26),221,1990,R
392,393.,Dean Chance (26),220,1967,R
393,393.,Roy Halladay+ (34),220,2011,R
394,393.,Jon Lester (30),220,2014,L
395,393.,Tim Lincecum (27),220,2011,R
396,393.,Hideo Nomo (32),220,2001,R
397,393.,Luis Severino (24),220,2018,R
398,399.,Bert Blyleven+ (25),219,1976,R
399,399.,Madison Bumgarner (24),219,2014,L
400,399.,Jim Bunning+ (32),219,1964,R
401,399.,Roy Halladay+ (33),219,2010,R
402,399.,Darryl Kile (27),219,1996,R
403,399.,Sadie McMahon (23),219,1891,R
404,399.,Luis Tiant (26),219,1967,R
405,399.,Justin Verlander (27),219,2010,R
406,399.,Justin Verlander (34),219,2017,R
407,399.,Adam Wainwright (31),219,2013,R
408,399.,Gus Weyhing (24),219,1891,R
409,410.,Roger Clemens (41),218,2004,R
410,410.,Aaron Harang (29),218,2007,R
411,410.,Juan Marichal+ (30),218,1968,R
412,410.,Mike Mussina+ (28),218,1997,R
413,410.,Chan Ho Park (28),218,2001,R
414,410.,Melido Perez (26),218,1992,R
415,410.,David Price (25),218,2011,L
416,410.,Old Hoss Radbourn+ (31),218,1886,R
417,410.,Robbie Ray (24),218,2016,L
418,410.,Robbie Ray (25),218,2017,L
419,410.,Chris Sale (30),218,2019,L
420,410.,Noah Syndergaard (23),218,2016,R
421,422.,Al Downing (23),217,1964,L
422,422.,Felix Hernandez (23),217,2009,R
423,422.,Matt Kilroy (21),217,1887,L
424,422.,Matt Kilroy (23),217,1889,L
425,422.,Carlos Martinez (25),217,2017,R
426,422.,Chan Ho Park (27),217,2000,R
427,422.,Don Sutton+ (24),217,1969,R
428,422.,Justin Verlander (30),217,2013,R
429,422.,Kerry Wood (24),217,2001,R
430,422.,Kerry Wood (25),217,2002,R
431,432.,Kevin Brown (35),216,2000,R
432,432.,Carlos Carrasco (28),216,2015,R
433,432.,Larry Corcoran (23),216,1883,R
434,432.,Cole Hamels (28),216,2012,L
435,432.,Aaron Harang (28),216,2006,R
436,432.,Dan Haren (29),216,2010,R
437,432.,Felix Hernandez (27),216,2013,R
438,432.,Dallas Keuchel (27),216,2015,L
439,432.,Sandy Koufax+ (26),216,1962,L
440,432.,Jim Maloney (26),216,1966,R
441,432.,Jake Peavy (24),216,2005,R
442,432.,Gaylord Perry+ (35),216,1974,R
443,432.,James Shields (33),216,2015,R
444,445.,Bert Blyleven+ (35),215,1986,R
445,445.,Walker Buehler (24),215,2019,R
446,445.,Matt Clement (27),215,2002,R
447,445.,Chuck Finley (33),215,1996,L
448,445.,Zack Greinke (33),215,2017,R
449,445.,Cole Hamels (31),215,2015,L
450,445.,John Montefusco (25),215,1975,R
451,445.,Jake Peavy (25),215,2006,R
452,445.,Gary Peters (30),215,1967,L
453,445.,John Smoltz+ (25),215,1992,R
454,455.,Pete Alexander+ (27),214,1914,R
455,455.,Ubaldo Jimenez (26),214,2010,R
456,455.,Mickey Lolich (32),214,1973,L
457,455.,Jim Maloney (24),214,1964,R
458,455.,Mike Mussina+ (32),214,2001,R
459,455.,Gaylord Perry+ (31),214,1970,R
460,455.,J.R. Richard (26),214,1976,R
461,455.,J.R. Richard (27),214,1977,R
462,455.,Jeff Samardzija (28),214,2013,R
463,455.,Ervin Santana (25),214,2008,R
464,455.,Mario Soto (28),214,1985,R
465,466.,Steve Carlton+ (34),213,1979,L
466,466.,Chris Carpenter (30),213,2005,R
467,466.,Roger Clemens (38),213,2001,R
468,466.,David Cone (25),213,1988,R
469,466.,Egyptian Healy (19),213,1886,R
470,466.,Andy Messersmith (29),213,1975,R
471,466.,Camilo Pascual (30),213,1964,R
472,466.,Eduardo Rodriguez (26),213,2019,L
473,466.,Rick Sutcliffe (28),213,1984,R
474,466.,Javier Vazquez (30),213,2007,R
475,466.,Bob Veale (33),213,1969,L
476,466.,Adam Wainwright (28),213,2010,R
477,466.,Gus Weyhing (22),213,1889,R
478,479.,Jersey Bakley (24),212,1888,R
479,479.,Bartolo Colon (27),212,2000,R
480,479.,George Derby (23),212,1881,R
481,479.,Charlie Ferguson (23),212,1886,R
482,479.,Chuck Finley (35),212,1998,L
483,479.,Clayton Kershaw (22),212,2010,L
484,479.,Christy Mathewson+ (23),212,1904,R
485,479.,Hal Newhouser+ (24),212,1945,L
486,479.,Tyson Ross (28),212,2015,R
487,479.,Adam Wainwright (27),212,2009,R
488,489.,Tony Cloninger (24),211,1965,R
489,489.,Cole Hamels (26),211,2010,L
490,489.,Erik Hanson (25),211,1990,R
491,489.,Randy Johnson+ (41),211,2005,L
492,489.,Jim Kaat (28),211,1967,L
493,489.,Andy Messersmith (23),211,1969,R
494,489.,John Smoltz+ (39),211,2006,R
495,489.,Frank Viola (29),211,1989,L
496,497.,Pedro Astacio (30),210,1999,R
497,497.,Steve Carlton+ (24),210,1969,L
498,497.,Don Drysdale+ (28),210,1965,R
499,497.,Mike Mussina+ (31),210,2000,R
500,497.,Eddie Plank+ (29),210,1905,L
501,497.,Bob Turley (24),210,1955,R
502,497.,Rube Waddell+ (25),210,1902,L
503,497.,Wilbur Wood (29),210,1971,L
504,497.,Cy Young+ (38),210,1905,R
505,497.,Carlos Zambrano (25),210,2006,R
