,Rank,Player (age that year),Range Factor/9Inn as P,Year,Throws
43,44.,Joe Lake (30),4.312,1911,R
44,45.,Ernie Shore (25),4.301,1916,R
45,46.,Hooks Dauss (25),4.297,1915,R
46,47.,Larry Pape (25),4.296,1911,R
47,48.,King Brockett (28),4.288,1909,R
48,49.,Kevin Brown (30),4.282,1995,R
49,50.,Willie Sudhoff (30),4.279,1905,R
50,51.,Ed Killian (31),4.276,1908,L
51,52.,George McConnell (34),4.271,1912,R
52,53.,Jimmy Callahan (27),4.270,1901,R
53,54.,Frank Corridon (23),4.268,1904,R
54,55.,Carl Mays (32),4.261,1924,R
55,56.,Carl Mays (34),4.260,1926,R
56,57.,Frank Owen (23),4.258,1903,R
57,58.,Ed Walsh+ (29),4.257,1910,R
58,59.,Weldon Henley (24),4.255,1905,R
59,60.,Frank Smith (31),4.247,1911,R
60,61.,Joe Yeager (26),4.243,1902,R
61,62.,Carl Mays (26),4.239,1918,R
62,63.,Jean Dubuc (27),4.235,1916,R
63,64.,Jock Menefee (35),4.225,1903,R
64,65.,Ned Garvin (30),4.222,1904,R
65,66.,Ed Willett (30),4.217,1914,R
66,67.,Doc White (28),4.206,1907,L
67,68.,Patsy Flaherty (28),4.200,1904,L
68,69.,Babe Ruth+ (23),4.175,1918,L
69,70.,Ed Karger (23),4.173,1906,L
70,71.,Charlie Bartson (25),4.165,1890,
71,72.,Ed Doheny (29),4.157,1903,L
72,73.,George McConnell (35),4.150,1913,R
73,74.,John Tener (26),4.143,1890,R
74,75.,Chick Fraser (34),4.141,1908,R
75,76.,Barney Pelty (25),4.138,1906,R
76,77.,Red Donahue (29),4.130,1902,R
77,78.,Clarence Currie (24),4.127,1903,R
78,79.,Barney Pelty (28),4.116,1909,R
79,80.,Fred Mitchell (26),4.114,1904,R
80,81.,Hooks Wiltse (25),4.112,1905,L
81,82.,Frank Corridon (28),4.105,1909,R
82,83.,George Mullin (22),4.094,1903,R
83,84.,Eddie Rommel (22),4.086,1920,R
84,85.,Joe Boehling (25),4.075,1916,L
85,86.,Bert Husting (23),4.065,1901,R
86,87.,Joe Lake (28),4.061,1909,R
87,88.,Addie Joss+ (25),4.059,1905,R
88,89.,Red Ames (26),4.057,1909,R
89,89.,Rube Benton (30),4.057,1920,L
90,91.,Gene Krapp (27),4.055,1914,R
91,91.,Frank Owen (26),4.055,1906,R
92,93.,Jimmy Callahan (28),4.053,1902,R
93,94.,Bill Doak (27),4.052,1918,R
94,95.,Zeke Wilson (26),4.050,1896,R
95,96.,Christy Mathewson+ (30),4.046,1911,R
96,97.,Hooks Dauss (30),4.033,1920,R
97,98.,Ed Scott (29),4.029,1900,R
98,99.,Doc White (31),4.025,1910,L
99,100.,Sherry Smith (30),4.011,1921,L
100,101.,Harry Coveleski (28),4.010,1914,L
101,102.,Burleigh Grimes+ (31),4.008,1925,R
102,103.,Bullet Joe Bush (20),4.005,1913,R
103,104.,Ted Wingfield (25),4.004,1925,R
104,105.,Nick Altrock (29),4.000,1906,L
105,105.,Roy Wilkinson (28),4.000,1921,R
106,105.,Vic Willis+ (29),4.000,1905,R
107,108.,Eddie Cicotte (29),3.996,1913,R
108,109.,Bert Husting (24),3.991,1902,R
109,110.,Weldon Henley (23),3.983,1904,R
110,110.,George Mullin (24),3.983,1905,R
111,112.,Cy Falkenberg (29),3.982,1909,R
112,113.,Harry Howell (26),3.981,1903,R
113,113.,Chappie McFarland (29),3.981,1904,R
114,115.,Cliff Curtis (28),3.980,1910,R
115,116.,Greg Maddux+ (30),3.967,1996,R
116,117.,Nick Cullop (27),3.964,1915,L
117,118.,Ed Willett (28),3.961,1912,R
118,119.,Smoky Joe Wood (22),3.951,1912,R
119,120.,Billy Campbell (34),3.950,1908,L
120,121.,Eddie Cicotte (30),3.948,1914,R
121,121.,Al Orth (31),3.948,1904,R
122,123.,Bill Doak (28),3.946,1919,R
123,124.,Mysterious Walker (30),3.941,1914,R
124,125.,Kenny Rogers (43),3.939,2008,L
125,126.,Frank Corridon (27),3.938,1908,R
126,127.,Ray Fisher (31),3.931,1919,R
127,128.,Jing Johnson (24),3.921,1919,R
128,129.,Jesse Barnes (23),3.920,1916,R
129,130.,Patsy Flaherty (27),3.918,1903,L
130,131.,Pete Henning (27),3.913,1915,R
131,132.,Rip Collins (31),3.902,1927,R
132,132.,Al Maul (24),3.902,1890,R
133,134.,Jean Dubuc (25),3.897,1914,R
134,135.,Bill Burns (28),3.896,1908,L
135,136.,Cy Falkenberg (30),3.887,1910,R
136,137.,Vic Willis+ (30),3.885,1906,R
137,138.,Mel Harder (23),3.878,1933,R
138,138.,Tom Sheehan (22),3.878,1916,R
139,140.,Bucky Walters (27),3.872,1936,R
140,141.,Christy Mathewson+ (27),3.867,1908,R
141,142.,George Suggs (31),3.865,1914,R
142,143.,Doc White (27),3.863,1906,L
143,144.,Joe Benz (32),3.857,1918,R
144,144.,Pud Galvin+ (33),3.857,1890,R
145,146.,Eddie Cicotte (26),3.852,1910,R
146,147.,Bill Phillips (31),3.851,1900,R
147,148.,Bill Doak (24),3.848,1915,R
148,148.,Addie Joss+ (22),3.848,1902,R
149,150.,Russ Christopher (27),3.846,1945,R
150,151.,Vic Willis+ (28),3.831,1904,R
151,152.,Joe Boehling (22),3.830,1913,L
152,153.,Doc White (25),3.829,1904,L
153,154.,Beany Jacobson (23),3.827,1904,L
154,155.,Watty Lee (23),3.826,1903,L
155,155.,Ernie Shore (24),3.826,1915,R
156,157.,Johnny Gorsica (25),3.825,1940,R
157,157.,Carl Mays (30),3.825,1922,R
158,159.,Barney Pelty (26),3.824,1907,R
159,160.,Ray Fisher (23),3.820,1911,R
160,161.,Russ Christopher (24),3.818,1942,R
161,162.,Dolly Gray (31),3.812,1910,L
162,163.,Gene Krapp (24),3.811,1911,R
163,164.,Curt Davis (30),3.810,1934,R
164,165.,Frank Corridon (29),3.808,1910,R
165,166.,Ernie Shore (26),3.806,1917,R
166,167.,Eddie Rommel (25),3.805,1923,R
167,168.,George Mullin (27),3.804,1908,R
168,169.,Phil Douglas (29),3.803,1919,R
169,169.,Addie Joss+ (23),3.803,1903,R
170,171.,Bob Rhoads (28),3.800,1908,R
171,172.,Addie Joss+ (26),3.798,1906,R
172,173.,Howard Ehmke (26),3.795,1920,R
173,174.,Eddie Rommel (26),3.788,1924,R
174,175.,Bill Duggleby (27),3.783,1901,R
175,176.,Boardwalk Brown (25),3.782,1914,R
176,177.,Chick Fraser (23),3.776,1897,R
177,178.,Walt Woods (24),3.774,1899,R
178,179.,Frank Owen (25),3.773,1905,R
179,180.,Fred Glade (29),3.764,1905,R
180,180.,Christy Mathewson+ (28),3.764,1909,R
181,180.,Willie Sudhoff (27),3.764,1902,R
182,183.,Al Orth (34),3.759,1907,R
183,184.,Jack Chesbro+ (30),3.758,1904,R
184,185.,Ed Reulbach (23),3.757,1906,R
185,186.,Ed Willett (29),3.756,1913,R
186,187.,Cy Seymour (24),3.755,1897,L
187,187.,Cy Young+ (43),3.755,1910,R
188,187.,Zip Zabel (24),3.755,1915,R
189,190.,George Van Haltren (24),3.753,1890,L
190,191.,Bert Cunningham (33),3.750,1899,R
191,192.,Bill Bernhard (30),3.747,1901,R
192,193.,Red Ames (34),3.746,1917,R
193,193.,Jake Weimer (33),3.746,1907,L
194,195.,Ned Garvin (29),3.745,1903,R
195,195.,Frank Smith (27),3.745,1907,R
196,195.,Frank Smith (28),3.745,1908,R
197,198.,Stan Coveleski+ (31),3.743,1921,R
198,199.,Red Ames (27),3.742,1910,R
199,199.,Nick Strincevich (29),3.742,1944,R
200,201.,George Mullin (26),3.731,1907,R
201,202.,Fred Newman (23),3.729,1965,R
202,203.,Burt Keeley (28),3.728,1908,R
203,204.,Hooks Dauss (29),3.727,1919,R
204,205.,Ben Cantwell (27),3.726,1929,R
205,205.,Phil Douglas (28),3.726,1918,R
206,207.,Bob Groom (24),3.724,1909,R
207,207.,Lefty Tyler (23),3.724,1913,L
208,209.,Bill James (28),3.722,1915,R
209,210.,Joe Benz (28),3.721,1914,R
210,211.,Barney Pelty (24),3.718,1905,R
211,212.,Roy Patterson (26),3.717,1903,R
212,212.,Jim Scott (22),3.717,1910,R
213,214.,Frank Corridon (26),3.712,1907,R
214,215.,Sherry Smith (26),3.711,1917,L
215,216.,Ed Walsh+ (31),3.710,1912,R
216,217.,Boardwalk Brown (23),3.709,1912,R
217,218.,Jean Dubuc (23),3.708,1912,R
218,218.,Herman Pillette (27),3.708,1923,R
219,220.,Larry Cheney (29),3.703,1915,R
220,221.,Win Mercer (28),3.702,1902,R
221,221.,Jesse Tannehill (29),3.702,1904,L
222,223.,Bob Shawkey (26),3.699,1917,R
223,224.,Freddie Fitzsimmons (28),3.696,1930,R
224,225.,Bobby Shantz (31),3.694,1957,L
225,225.,Sherry Smith (28),3.694,1919,L
226,227.,Eddie Rommel (27),3.690,1925,R
227,227.,Doc White (24),3.690,1903,L
228,229.,Willie Sudhoff (23),3.686,1898,R
229,230.,Ed Siever (28),3.685,1903,L
230,231.,Lefty Tyler (30),3.684,1920,L
231,232.,Ben Harris (24),3.682,1914,R
232,233.,Alex Main (31),3.678,1915,R
233,233.,Henry Schmidt (30),3.678,1903,R
234,235.,Bill James (27),3.676,1914,R
235,236.,Jing Johnson (22),3.675,1917,R
236,237.,Jack Taylor (25),3.673,1898,R
237,238.,Tex Pruiett (24),3.672,1907,R
238,239.,Bob Wicker (25),3.671,1902,R
239,240.,Buster Brown (23),3.670,1905,R
240,240.,Mordecai Brown+ (30),3.670,1907,R
241,240.,Clarence Mitchell (35),3.670,1926,L
242,243.,Willie Sudhoff (24),3.666,1899,R
243,244.,George Winter (30),3.662,1908,R
244,245.,Ray Fisher (26),3.660,1914,R
245,246.,Bill Burns (29),3.655,1909,L
246,246.,Claude Hendrix (25),3.655,1914,R
247,246.,Sid Hudson (37),3.655,1952,R
248,246.,Addie Joss+ (28),3.655,1908,R
249,246.,George Mullin (25),3.655,1906,R
250,251.,Lloyd Brown (28),3.654,1933,L
251,251.,Togie Pittinger (32),3.654,1904,R
252,253.,Hooks Dauss (27),3.653,1917,R
253,254.,Patsy Flaherty (32),3.652,1908,L
254,255.,Patsy Flaherty (31),3.650,1907,L
255,255.,Ed Siever (29),3.650,1904,L
256,257.,Charlie Smith (27),3.649,1907,R
257,258.,Jesse Duryea (32),3.646,1892,R
258,259.,Harry Gumbert (32),3.644,1942,R
259,259.,George Mullin (29),3.644,1910,R
260,259.,Gene Wright (24),3.644,1903,R
261,262.,Willie Sudhoff (28),3.643,1903,R
262,263.,Dana Fillingim (26),3.640,1920,R
263,264.,Patsy Flaherty (29),3.638,1905,L
264,265.,George Mullin (21),3.635,1902,R
265,266.,Tommy John (24),3.634,1967,L
266,267.,Charlie Chech (30),3.633,1908,R
267,267.,Lefty Leifield (26),3.633,1910,L
268,269.,Jimmy Callahan (26),3.632,1900,R
269,269.,Chick Fraser (26),3.632,1900,R
270,271.,Hooks Dauss (31),3.631,1921,R
271,272.,Joe Boehling (23),3.628,1914,L
272,273.,Ed Reulbach (26),3.627,1909,R
273,274.,Mike Regan (29),3.625,1917,R
274,275.,Ed Reulbach (29),3.621,1912,R
275,275.,Ernie Wingard (25),3.621,1926,L
276,277.,Christy Mathewson+ (23),3.620,1904,R
277,277.,Fred Olmstead (28),3.620,1910,R
278,279.,Bill Doak (26),3.619,1917,R
279,279.,Lee Meadows (26),3.619,1921,R
280,281.,Al Schulz (25),3.618,1914,L
281,282.,Bill Hart (30),3.616,1896,R
282,283.,Freddie Fitzsimmons (29),3.614,1931,R
283,284.,Rube Foster (28),3.610,1916,R
284,284.,Bill Piercy (27),3.610,1923,R
285,286.,Frank Corridon (24),3.609,1905,R
286,286.,Smoky Joe Wood (20),3.609,1910,R
287,288.,George Blaeholder (25),3.608,1929,R
288,289.,Carl Mays (28),3.606,1920,R
289,290.,Bill Bernhard (35),3.600,1906,R
290,290.,Dave Black (21),3.600,1915,L
291,290.,Willis Hudlin (23),3.600,1929,R
292,290.,Harry McCormick (26),3.600,1882,R
293,290.,Ed Summers (25),3.600,1910,R
294,290.,Lefty Tyler (21),3.600,1911,L
295,296.,Harry Coveleski (29),3.594,1915,L
296,297.,Eddie Cicotte (28),3.591,1912,R
297,297.,Ned Garvin (28),3.591,1902,R
298,299.,Bill Doak (23),3.586,1914,R
299,300.,Howard Ehmke (23),3.583,1917,R
300,300.,Ed Karger (24),3.583,1907,L
301,302.,Bob Purkey (31),3.581,1961,R
302,303.,Harry Gumbert (31),3.580,1941,R
303,304.,Chief Bender+ (21),3.576,1905,R
304,305.,Greg Maddux+ (24),3.570,1990,R
305,305.,Greg Maddux+ (33),3.570,1999,R
306,307.,Christy Mathewson+ (29),3.566,1910,R
307,308.,Earl Hamilton (29),3.560,1921,L
308,309.,Spud Chandler (30),3.558,1938,R
309,309.,Russ Christopher (26),3.558,1944,R
310,309.,Tom Sullivan (28),3.558,1888,
311,309.,Paul Zahniser (29),3.558,1926,R
312,313.,Freddie Fitzsimmons (30),3.555,1932,R
313,313.,Bill Phillips (32),3.555,1901,R
314,313.,Joe Yeager (25),3.555,1901,R
315,316.,Carl Mays (27),3.553,1919,R
316,317.,Roscoe Miller (24),3.551,1901,R
317,317.,Jack Quinn (38),3.551,1922,R
318,319.,Ray Fisher (25),3.549,1913,R
319,319.,Henry Keupper (27),3.549,1914,L
320,319.,Jack Quinn (27),3.549,1911,R
321,322.,Jack Katoll (26),3.548,1901,R
322,323.,Mordecai Brown+ (38),3.547,1915,R
323,323.,Chick Fraser (32),3.547,1906,R
324,323.,Harry Gumbert (28),3.547,1938,R
325,323.,John Malarkey (30),3.547,1902,R
326,323.,Jack Quinn (31),3.547,1915,R
327,328.,Bullet Joe Bush (23),3.544,1916,R
328,328.,Clark Griffith+ (29),3.544,1899,R
329,330.,Gus Dorner (31),3.542,1908,R
330,330.,Ed Smith (27),3.542,1906,R
331,332.,Kaiser Wilhelm (37),3.541,1914,R
332,333.,Cy Falkenberg (27),3.539,1907,R
333,333.,Christy Mathewson+ (25),3.539,1906,R
334,333.,Harry Moran (26),3.539,1915,L
335,336.,Bob Harmon (28),3.538,1916,R
336,336.,Hal Schumacher (24),3.538,1935,R
337,338.,George Mogridge (28),3.536,1917,L
338,339.,Jake Westbrook (33),3.535,2011,R
339,340.,Dale Gear (29),3.534,1901,R
340,341.,Burleigh Grimes+ (24),3.533,1918,R
341,341.,Otto Hess (26),3.533,1905,L
342,343.,Doc White (26),3.531,1905,L
343,344.,Stan Coveleski+ (26),3.530,1916,R
344,345.,Denny Driscoll (28),3.529,1884,L
345,346.,Bill Steele (25),3.526,1912,R
346,347.,Lefty Leifield (23),3.525,1907,L
347,348.,Irv Young (27),3.524,1905,L
348,349.,Red Faber+ (28),3.520,1917,R
349,350.,Jack Warhop (24),3.519,1909,R
350,351.,Red Oldham (26),3.516,1920,L
351,352.,Lefty Tyler (28),3.513,1918,L
352,353.,George Mogridge (27),3.508,1916,L
353,354.,Tom Rogers (26),3.507,1918,R
354,355.,Dick Rudolph (25),3.506,1913,R
355,356.,Freddie Fitzsimmons (36),3.503,1938,R
356,356.,Wilcy Moore (34),3.503,1931,R
357,358.,Rube Waddell+ (24),3.500,1901,L
358,359.,Ed Doheny (25),3.498,1899,L
359,359.,Joe Horlen (28),3.498,1966,R
360,361.,Johnny Schmitz (29),3.497,1950,L
361,362.,Red Donahue (30),3.493,1903,R
362,362.,Cy Seymour (26),3.493,1899,L
363,362.,Sam Weaver (26),3.493,1882,R
364,365.,Jimmy Ring (24),3.492,1919,R
365,366.,George Blaeholder (24),3.491,1928,R
366,367.,Earl Hamilton (27),3.488,1919,L
367,367.,Slim Harriss (25),3.488,1923,R
368,367.,Jesse Tannehill (28),3.488,1903,L
369,370.,Elmer Myers (22),3.486,1916,R
370,370.,Art Nehf (25),3.486,1918,L
371,372.,Pete Alexander+ (32),3.485,1919,R
372,373.,Bob Caruthers (23),3.484,1887,R
373,374.,Jesse Barnes (24),3.478,1917,R
374,374.,Jack Cronin (28),3.478,1902,R
375,376.,Elmer Knetzer (30),3.477,1916,R
376,377.,Stan Coveleski+ (33),3.474,1923,R
377,378.,Gus Dorner (29),3.469,1906,R
378,379.,Jack Quinn (41),3.468,1925,R
379,379.,Ed Willett (27),3.468,1911,R
380,381.,Harry Gumbert (29),3.467,1939,R
381,382.,Joe Giard (26),3.466,1925,L
382,383.,Ed Lafitte (28),3.464,1914,R
383,383.,Jim McCormick (28),3.464,1885,R
384,385.,John Denny (25),3.462,1978,R
385,385.,Rube Ehrhardt (30),3.462,1925,R
386,385.,Bill Phyle (26),3.462,1901,R
387,388.,Jimmy Callahan (25),3.459,1899,R
388,388.,Eppa Rixey+ (26),3.459,1917,L
389,390.,Chick Fraser (22),3.456,1896,R
390,391.,Christy Mathewson+ (20),3.455,1901,R
391,392.,Billy Rhines (29),3.454,1898,R
392,393.,Tony Mullane (33),3.448,1892,R
393,394.,Sherry Smith (35),3.447,1926,L
394,395.,Al Mattern (26),3.446,1909,L
395,396.,Charlie Buffinton (27),3.443,1888,R
396,396.,Sloppy Thurston (26),3.443,1925,R
397,398.,Joe Benz (29),3.441,1915,R
398,398.,Les Sweetland (27),3.441,1929,L
399,400.,Dana Fillingim (25),3.436,1919,R
400,401.,Howard Ehmke (25),3.434,1919,R
401,402.,Greg Maddux+ (42),3.433,2008,R
402,402.,Dick Rudolph (28),3.433,1916,R
403,404.,Elmer Steele (27),3.429,1911,R
404,405.,Chief Johnson (29),3.427,1915,R
405,405.,Johnny Lush (20),3.427,1906,L
406,407.,Chick Fraser (27),3.426,1901,R
407,407.,Jack Pfiester (31),3.426,1909,L
408,409.,Cy Morgan (32),3.420,1911,R
409,410.,Joe Boehling (24),3.419,1915,L
410,410.,Fred Frankhouse (33),3.419,1937,R
411,412.,Bill Hart (35),3.418,1901,R
412,412.,Jake Westbrook (27),3.418,2005,R
413,414.,Harry Coveleski (30),3.417,1916,L
414,415.,Chick Fraser (24),3.416,1898,R
415,415.,Sad Sam Jones (26),3.416,1919,R
416,415.,Kaiser Wilhelm (31),3.416,1908,R
417,418.,Walt Kinney (25),3.414,1919,L
418,418.,Kid Madden (23),3.414,1891,L
419,420.,Clarence Currie (23),3.411,1902,R
420,421.,Phil Douglas (27),3.410,1917,R
421,422.,Cozy Dolan (22),3.409,1895,L
422,423.,Carl Hubbell+ (30),3.408,1933,L
423,424.,Ernie Wingard (26),3.404,1927,L
424,425.,Dave Anderson (21),3.402,1890,L
425,425.,Speed Martin (25),3.402,1919,R
426,427.,Bob Groom (31),3.401,1916,R
427,428.,George Suggs (32),3.399,1915,R
428,429.,Ned Garvin (27),3.397,1901,R
429,430.,Jim Bagby (28),3.396,1945,R
430,431.,Irv Young (28),3.394,1906,L
431,432.,Freddie Fitzsimmons (31),3.393,1933,R
432,433.,Clarence Mitchell (34),3.392,1925,L
433,434.,Ted Lyons+ (25),3.391,1926,R
434,435.,Frank Arellanes (27),3.390,1909,R
435,435.,Win Ballou (28),3.390,1926,R
436,435.,Curt Davis (37),3.390,1941,R
437,438.,Hooks Dauss (26),3.389,1916,R
438,438.,Harry Howell (31),3.389,1908,R
439,438.,Lefty Tyler (27),3.389,1917,L
440,441.,Mel Stottlemyre (25),3.388,1967,R
441,442.,Snake Wiltse (29),3.386,1901,L
442,443.,Tully Sparks (27),3.384,1902,R
443,444.,Bert Cunningham (30),3.381,1896,R
444,445.,Howard Ehmke (29),3.379,1923,R
445,445.,Cowboy Jones (25),3.379,1900,L
446,445.,Bob Lemon+ (28),3.379,1949,R
447,445.,Mike Morrison (20),3.379,1887,R
448,449.,Cy Seymour (25),3.378,1898,L
449,450.,Mike Boddicker (26),3.375,1984,R
450,450.,Sarge Connally (25),3.375,1924,R
451,450.,Sherry Smith (33),3.375,1924,L
452,453.,Greg Maddux+ (32),3.371,1998,R
453,453.,Joe Yeager (22),3.371,1898,R
454,455.,Freddie Fitzsimmons (24),3.370,1926,R
455,455.,Dave Foutz (35),3.370,1892,R
456,455.,Eddie Rommel (28),3.370,1926,R
457,458.,Bill Doak (33),3.368,1924,R
458,459.,Freddie Fitzsimmons (27),3.365,1929,R
459,460.,Scott Stratton (21),3.363,1891,R
460,461.,Red Ames (24),3.361,1907,R
461,461.,Bill Bernhard (32),3.361,1903,R
462,463.,Bill Duggleby (28),3.359,1902,R
463,464.,Ray Fisher (32),3.358,1920,R
464,464.,Ned Garver (32),3.358,1958,R
465,464.,Roy Patterson (25),3.358,1902,R
466,467.,Burleigh Grimes+ (30),3.357,1924,R
467,467.,Greg Maddux+ (34),3.357,2000,R
468,469.,John Clarkson+ (22),3.356,1884,R
469,470.,Fernando Arroyo (25),3.354,1977,R
470,471.,Gerry Staley (33),3.353,1954,R
471,472.,Bob Ewing (30),3.352,1903,R
472,472.,George Mogridge (29),3.352,1918,L
473,474.,Jack Taylor (28),3.351,1902,R
474,475.,Win Mercer (27),3.350,1901,R
475,476.,Jesse Barnes (27),3.348,1920,R
476,476.,Howie Fox (24),3.348,1945,R
477,478.,Jim Tobin (29),3.344,1942,R
478,478.,Carl Weilman (30),3.344,1920,L
479,480.,Joe Horlen (32),3.342,1970,R
480,480.,Elmer Myers (23),3.342,1917,R
481,482.,Bob Lemon+ (27),3.341,1948,R
482,483.,Red Ames (28),3.337,1911,R
483,484.,John Denny (28),3.336,1981,R
484,485.,Addie Joss+ (29),3.333,1909,R
485,485.,Al Orth (29),3.333,1902,R
486,487.,Dick Rudolph (30),3.331,1918,R
487,488.,Jack Russell (23),3.330,1929,R
488,489.,Clarence Mitchell (33),3.327,1924,L
489,489.,Mel Stottlemyre (27),3.327,1969,R
490,491.,Jack Taylor (27),3.326,1901,R
491,491.,Cy Young+ (29),3.326,1896,R
492,493.,Christy Mathewson+ (32),3.324,1913,R
493,493.,Ed Reulbach (28),3.324,1911,R
494,495.,Willis Hudlin (28),3.323,1934,R
495,496.,Hal Jeffcoat (31),3.322,1956,R
496,497.,Bob Miller (24),3.321,1963,R
497,498.,Bullet Joe Bush (27),3.320,1920,R
498,499.,Al Orth (28),3.319,1901,R
499,500.,Zeke Wilson (28),3.318,1898,R
