,Rank,Player (age that year),Successful Replay Challenges,Year
60,60.,John Farrell (52),21,2015
61,60.,Ron Gardenhire (56),21,2014
62,60.,Chip Hale (50),21,2015
63,60.,Torey Lovullo (53),21,2019
64,60.,Joe Maddon (60),21,2014
65,60.,Joe Maddon (62),21,2016
66,60.,Dave Martinez (53),21,2018
67,60.,Don Mattingly (53),21,2014
68,60.,Bob Melvin (56),21,2018
69,60.,Paul Molitor+ (61),21,2018
70,60.,Mike Scioscia (57),21,2016
71,60.,Mike Scioscia (58),21,2017
72,60.,Robin Ventura (47),21,2015
73,60.,Matt Williams (48),21,2014
74,60.,Ned Yost (60),21,2015
75,76.,Bud Black (62),20,2019
76,76.,John Farrell (53),20,2016
77,76.,John Gibbons (53),20,2015
78,76.,AJ Hinch (45),20,2019
79,76.,Clint Hurdle (56),20,2014
80,76.,Lloyd McClendon (55),20,2014
81,76.,Bryan Price (53),20,2015
82,76.,Rick Renteria (56),20,2018
83,76.,Mike Scioscia (55),20,2014
84,76.,Buck Showalter (60),20,2016
85,76.,Robin Ventura (48),20,2016
86,87.,Brad Ausmus (47),19,2016
87,87.,Dusty Baker (67),19,2016
88,87.,Bruce Bochy (62),19,2017
89,87.,Terry Collins (66),19,2015
90,87.,John Farrell (51),19,2014
91,87.,Ron Gardenhire (60),19,2018
92,87.,John Gibbons (54),19,2016
93,87.,Kirk Gibson (57),19,2014
94,87.,Andy Green (40),19,2018
95,87.,Paul Molitor+ (60),19,2017
96,87.,Bryan Price (55),19,2017
97,87.,Mike Redmond (43),19,2014
98,87.,Dave Roberts (44),19,2016
99,87.,Dave Roberts (47),19,2019
100,87.,Brian Snitker (61),19,2017
101,102.,Terry Collins (67),18,2016
102,102.,John Gibbons (56),18,2018
103,102.,Joe Girardi (51),18,2016
104,102.,AJ Hinch (43),18,2017
105,102.,Don Mattingly (56),18,2017
106,102.,Dave Roberts (46),18,2018
107,102.,Scott Servais (52),18,2019
108,102.,Brian Snitker (60),18,2016
109,102.,Brian Snitker (62),18,2018
110,102.,Ron Washington (62),18,2014
111,112.,Brad Ausmus (50),17,2019
112,112.,Jeff Banister (51),17,2015
113,112.,Bud Black (57),17,2014
114,112.,Kevin Cash (37),17,2015
115,112.,Craig Counsell (46),17,2017
116,112.,Terry Francona (55),17,2014
117,112.,Joe Girardi (55),17,2020
118,112.,Andy Green (39),17,2017
119,112.,Pete Mackanin (65),17,2017
120,112.,Don Mattingly (54),17,2015
121,112.,Paul Molitor+ (59),17,2016
122,112.,Charlie Montoyo (53),17,2019
123,112.,Bo Porter (41),17,2014
124,112.,Rick Renteria (55),17,2017
125,112.,Ron Roenicke (57),17,2014
126,112.,Scott Servais (50),17,2017
127,112.,Buck Showalter (59),17,2015
128,112.,Buck Showalter (61),17,2017
129,112.,Robin Ventura (46),17,2014
130,131.,Brad Ausmus (48),16,2017
131,131.,Jeff Banister (54),16,2018
132,131.,Bud Black (60),16,2017
133,131.,Craig Counsell (48),16,2019
134,131.,John Farrell (54),16,2017
135,131.,Terry Francona (59),16,2018
136,131.,John Gibbons (52),16,2014
137,131.,AJ Hinch (42),16,2016
138,131.,Torey Lovullo (51),16,2017
139,131.,Pete Mackanin (63),16,2015
140,131.,Joe Maddon (65),16,2019
141,131.,Mike Matheny (44),16,2015
142,131.,Bob Melvin (55),16,2017
143,131.,Ron Roenicke (63),16,2020
144,131.,Mike Shildt (50),16,2019
145,131.,Brian Snitker (63),16,2019
146,147.,Bruce Bochy (64),15,2019
147,147.,Aaron Boone (46),15,2019
148,147.,Mickey Callaway (43),15,2018
149,147.,Terry Francona (56),15,2015
150,147.,Terry Francona (58),15,2017
151,147.,Terry Francona (60),15,2019
152,147.,Clint Hurdle (61),15,2019
153,147.,Dave Martinez (54),15,2019
154,147.,Bob Melvin (53),15,2015
155,147.,Buck Showalter (62),15,2018
156,157.,David Bell (46),14,2019
157,157.,Terry Collins (65),14,2014
158,157.,Ron Gardenhire (61),14,2019
159,157.,AJ Hinch (44),14,2018
160,157.,Dave Martinez (55),14,2020
161,157.,Mike Matheny (47),14,2018
162,157.,Bob Melvin (52),14,2014
163,157.,Ryne Sandberg+ (54),14,2014
164,157.,Buck Showalter (58),14,2014
165,157.,Walt Weiss (50),14,2014
166,167.,Mickey Callaway (44),13,2019
167,167.,Joe Maddon (66),13,2020
168,167.,Mike Matheny (43),13,2014
169,167.,Scott Servais (51),13,2018
170,171.,Dusty Baker (68),12,2017
171,171.,Rocco Baldelli (37),12,2019
172,171.,Craig Counsell (44),12,2015
173,171.,John Gibbons (55),12,2017
174,171.,Dan Jennings (54),12,2015
175,171.,Bob Melvin (57),12,2019
176,171.,Bryan Price (52),12,2014
177,171.,Rick Renteria (57),12,2019
178,171.,Jim Riggleman (65),12,2018
179,171.,Matt Williams (49),12,2015
180,181.,Brad Ausmus (46),11,2015
181,181.,Rocco Baldelli (38),11,2020
182,181.,David Bell (47),11,2020
183,181.,Ron Gardenhire (62),11,2020
184,181.,Brandon Hyde (45),11,2019
185,181.,Gabe Kapler (44),11,2020
186,181.,Don Mattingly (59),11,2020
187,181.,Rick Renteria (58),11,2020
188,181.,Dave Roberts (48),11,2020
189,181.,Chris Woodward (44),11,2020
190,191.,Terry Francona (61),10,2020
191,191.,Torey Lovullo (54),10,2020
192,191.,Pat Murphy (56),10,2015
193,191.,David Ross (43),10,2020
194,195.,Bud Black (58),9,2015
195,195.,Jayce Tingler (39),9,2020
196,197.,Kevin Cash (42),8,2020
197,197.,Brandon Hyde (46),8,2020
198,197.,Luis Rojas (38),8,2020
199,197.,Ryne Sandberg+ (55),8,2015
200,197.,Mike Shildt (51),8,2020
201,202.,Bud Black (63),7,2020
202,202.,Craig Counsell (47),7,2018
203,202.,Bob Melvin (58),7,2020
204,202.,Mike Redmond (44),7,2015
205,206.,Charlie Montoyo (54),6,2020
206,207.,Aaron Boone (47),5,2020
207,207.,Mike Matheny (49),5,2020
208,207.,Scott Servais (53),5,2020
209,210.,Dusty Baker (71),4,2020
210,210.,Tim Bogar (47),4,2014
211,210.,Craig Counsell (49),4,2020
212,210.,Ron Roenicke (58),4,2015
213,210.,Mike Shildt (49),4,2018
214,210.,Brian Snitker (64),4,2020
215,216.,Rod Barajas (43),3,2019
216,217.,Tom Lawless (57),2,2014
217,217.,Bryan Price (56),2,2018
218,217.,Derek Shelton (49),2,2020
219,220.,Lloyd McClendon (61),1,2020
220,220.,Don Wakamatsu (55),1,2018
