,Rank,Player (age that year),Walks & Hits per IP,Year,Throws
211,212.,Don Sutton+ (35),0.9890,1980,R
212,213.,Odalis Perez (24),0.9895,2002,L
213,214.,Curt Schilling (25),0.9897,1992,R
214,215.,Ledell Titcomb (21),0.9898,1888,L
215,216.,Corey Kluber (32),0.9907,2018,R
216,217.,Fred Corey (25),0.9910,1880,R
217,217.,Brandon Woodruff (27),0.9910,2020,R
218,219.,Kevin Brown (35),0.9913,2000,R
219,219.,Eddie Plank+ (39),0.9913,1915,L
220,221.,Charlie Buffinton (23),0.9915,1884,R
221,221.,Ben Sanders (23),0.9915,1888,R
222,223.,Spud Chandler (35),0.9921,1943,R
223,223.,Ron Guidry (30),0.9921,1981,L
224,225.,Stan Coveleski+ (27),0.9922,1917,R
225,226.,Jim Merritt (23),0.9927,1967,L
226,227.,Ed Seward (21),0.9929,1888,R
227,228.,Steve Carlton+ (27),0.9933,1972,L
228,229.,Bill Hands (28),0.9936,1968,R
229,230.,Frank Owen (25),0.9940,1905,R
230,231.,Juan Marichal+ (31),0.9944,1969,R
231,232.,Eddie Cicotte (35),0.9946,1919,R
232,233.,Kevin Millwood (24),0.9956,1999,R
233,234.,Bob Caruthers (24),0.9957,1888,R
234,235.,Kyle Hendricks (30),0.9959,2020,R
235,235.,Juan Marichal+ (25),0.9959,1963,R
236,237.,Jack Powell (33),0.9961,1908,R
237,238.,Fritz Peterson (27),0.9963,1969,L
238,239.,Orval Overall (28),0.9965,1909,R
239,240.,Harry McCormick (26),0.9970,1882,R
240,241.,Johan Santana (27),0.9971,2006,L
241,242.,Ray Prim (38),0.9980,1945,L
242,243.,Chief Bender+ (23),0.9985,1907,R
243,243.,Teddy Higuera (30),0.9985,1988,L
244,243.,Vern Law (35),0.9985,1965,R
245,246.,Ferdie Schupp (26),1.0000,1917,L
246,246.,Will White (28),1.0000,1883,R
247,246.,Wilbur Wood (29),1.0000,1971,L
248,249.,Gus Krock (22),1.0010,1888,R
249,250.,Al Orth (28),1.0012,1901,R
250,251.,John Smoltz+ (29),1.0013,1996,R
251,252.,Justin Verlander (33),1.0015,2016,R
252,253.,Dan Haren (28),1.0029,2009,R
253,254.,Cliff Lee (31),1.0031,2010,L
254,255.,Jim Bunning+ (34),1.0032,1966,R
255,255.,Kid Nichols+ (34),1.0032,1904,R
256,257.,Jim McCormick (23),1.0035,1880,R
257,257.,Bob Ojeda (30),1.0035,1988,L
258,259.,George McConnell (38),1.0039,1916,R
259,260.,Will White (27),1.0042,1882,R
260,261.,Mike Cuellar (32),1.0046,1969,L
261,262.,Tim Keefe+ (28),1.0050,1885,R
262,263.,Tony Mullane (25),1.0053,1884,R
263,264.,Ray Collins (23),1.0054,1910,L
