,Rank,Player (age that year),Times On Base,Year,Bats
140,137.,Albert Pujols (25),301,2005,R
141,137.,Alex Rodriguez (29),301,2005,R
142,137.,Pete Rose (32),301,1973,B
143,144.,Shin-Soo Choo (30),300,2013,L
144,144.,Ty Cobb+ (24),300,1911,L
145,144.,Carlos Delgado (31),300,2003,L
146,144.,Charlie Gehringer+ (34),300,1937,L
147,144.,Jason Giambi (31),300,2002,L
148,144.,Todd Helton (27),300,2001,L
149,144.,Joe Sewell+ (24),300,1923,L
150,144.,Mike Trout (24),300,2016,R
151,144.,Larry Walker+ (30),300,1997,L
152,144.,Paul Waner+ (24),300,1927,L
153,154.,Lou Boudreau+ (30),299,1948,R
154,154.,Jimmie Foxx+ (27),299,1935,R
155,154.,Ryan Howard (26),299,2006,L
156,154.,Hughie Jennings+ (29),299,1898,R
157,154.,Paul Molitor+ (34),299,1991,R
158,154.,Phil Rizzuto+ (32),299,1950,R
159,154.,Alex Rodriguez (31),299,2007,R
160,154.,Jimmy Sheckard (32),299,1911,L
161,154.,Joey Votto (27),299,2011,L
162,163.,Earl Averill+ (34),298,1936,L
163,163.,Mike Hargrove (30),298,1980,L
164,163.,Tommy Holmes (28),298,1945,L
165,163.,Lyn Lary (30),298,1936,R
166,163.,Joe Morgan+ (31),298,1975,L
167,163.,Mel Ott+ (20),298,1929,L
168,163.,George Sisler+ (29),298,1922,L
169,163.,Frank Thomas+ (28),298,1996,R
170,163.,Roy Thomas (26),298,1900,L
171,163.,Eddie Yost (24),298,1951,R
172,173.,Craig Biggio+ (32),297,1998,R
173,173.,Dan Brouthers+ (34),297,1892,L
174,173.,Ty Cobb+ (37),297,1924,L
175,173.,Eddie Collins+ (28),297,1915,L
176,173.,Ed Delahanty+ (31),297,1899,R
177,173.,Brian Giles (29),297,2000,L
178,173.,Hank Greenberg+ (27),297,1938,R
179,173.,Shoeless Joe Jackson (23),297,1911,L
180,173.,John Olerud (29),297,1998,L
181,173.,David Ortiz (31),297,2007,L
182,173.,Jackie Robinson+ (30),297,1949,R
183,173.,Tris Speaker+ (28),297,1916,L
184,173.,Joe Torre+ (30),297,1971,R
185,186.,Lance Berkman (25),296,2001,B
186,186.,Lu Blue (32),296,1929,B
187,186.,Jesse Burkett+ (27),296,1896,L
188,186.,Harlond Clift (23),296,1936,R
189,186.,Prince Fielder (25),296,2009,L
190,186.,Vladimir Guerrero+ (27),296,2002,R
191,186.,Todd Helton (33),296,2007,L
192,186.,Rogers Hornsby+ (32),296,1928,R
193,186.,Albert Pujols (28),296,2008,R
194,186.,Pete Rose (33),296,1974,B
195,186.,Norm Siebern (28),296,1962,L
196,186.,Frank Thomas+ (29),296,1997,R
197,186.,Arky Vaughan+ (23),296,1935,L
198,186.,David Wright (24),296,2007,R
199,200.,Bobby Abreu (25),295,1999,L
200,200.,Jesse Burkett+ (32),295,1901,L
201,200.,Eddie Collins+ (33),295,1920,L
202,200.,Earle Combs+ (28),295,1927,L
203,200.,Rogers Hornsby+ (31),295,1927,R
204,200.,Derek Jeter+ (32),295,2006,R
205,200.,Jeff Kent (32),295,2000,R
206,200.,Frank Robinson+ (26),295,1962,R
207,200.,Red Rolfe (30),295,1939,L
208,200.,Ken Singleton (28),295,1975,B
209,200.,Eddie Stanky (29),295,1945,R
210,200.,Paul Waner+ (33),295,1936,L
211,212.,Darrell Evans (26),294,1973,L
212,212.,Augie Galan (23),294,1935,B
213,212.,Frank Howard (33),294,1970,R
214,212.,Edgar Martinez+ (33),294,1996,R
215,212.,John McGraw+ (26),294,1899,L
216,212.,Stan Musial+ (22),294,1943,L
217,212.,Magglio Ordonez (33),294,2007,R
218,212.,Ken Singleton (26),294,1973,B
219,212.,Al Smith (27),294,1955,R
220,212.,Frank Thomas+ (27),294,1995,R
221,212.,Joey Votto (32),294,2016,L
222,212.,Ted Williams+ (20),294,1939,L
223,224.,Sal Bando (25),293,1969,R
224,224.,Jose Bautista (30),293,2011,R
225,224.,Albert Belle (29),293,1996,R
226,224.,Rod Carew+ (28),293,1974,L
227,224.,Augie Galan (33),293,1945,B
228,224.,Lou Gehrig+ (26),293,1929,L
229,224.,Jason Giambi (28),293,1999,L
230,224.,Adrian Gonzalez (29),293,2011,L
231,224.,Stan Hack (35),293,1945,L
232,224.,Harry Heilmann+ (30),293,1925,R
233,224.,Johnny Mize+ (26),293,1939,L
234,235.,Wade Boggs+ (26),292,1984,L
235,235.,Zeke Bonura (27),292,1936,R
236,235.,Alex Bregman (25),292,2019,R
237,235.,Jimmie Foxx+ (26),292,1934,R
238,235.,Harry Heilmann+ (26),292,1921,R
239,235.,Dummy Hoy (29),292,1891,L
240,235.,Shoeless Joe Jackson (24),292,1912,L
241,235.,Joe Kelley+ (24),292,1896,R
242,235.,Nap Lajoie+ (35),292,1910,R
243,235.,Don Mattingly (25),292,1986,L
244,235.,Stan Musial+ (23),292,1944,L
245,235.,Stan Musial+ (31),292,1952,L
246,235.,Pee Wee Reese+ (30),292,1949,R
247,235.,Alex Rodriguez (25),292,2001,R
248,235.,Grady Sizemore (24),292,2007,L
249,235.,Mike Sweeney (26),292,2000,R
250,235.,Paul Waner+ (26),292,1929,L
251,235.,Ted Williams+ (21),292,1940,L
252,235.,Eddie Yost (32),292,1959,R
253,254.,Bobby Abreu (31),291,2005,L
254,254.,Dave Bancroft+ (31),291,1922,B
255,254.,Barry Bonds (38),291,2003,L
256,254.,Jesse Burkett+ (29),291,1898,L
257,254.,Brett Butler (34),291,1991,L
258,254.,Miguel Cabrera (23),291,2006,R
259,254.,Max Carey+ (32),291,1922,B
260,254.,Kiki Cuyler+ (26),291,1925,R
261,254.,Dwight Evans (30),291,1982,R
262,254.,Charlie Gehringer+ (35),291,1938,L
263,254.,Lou Gehrig+ (30),291,1933,L
264,254.,Keith Hernandez (25),291,1979,L
265,254.,Eddie Joost (33),291,1949,R
266,254.,Benny Kauff (24),291,1914,L
267,254.,Paul Molitor+ (36),291,1993,R
268,254.,Mel Ott+ (27),291,1936,L
269,254.,Albert Pujols (27),291,2007,R
270,271.,Bobby Abreu (32),290,2006,L
271,271.,Luke Appling+ (29),290,1936,R
272,271.,Earl Averill+ (32),290,1934,L
273,271.,George Brett+ (32),290,1985,L
274,271.,Jesse Burkett+ (30),290,1899,L
275,271.,Ty Cobb+ (30),290,1917,L
276,271.,Eddie Collins+ (25),290,1912,L
277,271.,Taylor Douthit (28),290,1929,R
278,271.,Brian Giles (31),290,2002,L
279,271.,Hank Greenberg+ (24),290,1935,R
280,271.,Harry Heilmann+ (28),290,1923,R
281,271.,Derek Jeter+ (31),290,2005,R
282,271.,Tony Phillips (37),290,1996,B
283,271.,Albert Pujols (30),290,2010,R
284,271.,Manny Ramirez (31),290,2003,R
285,271.,Al Rosen (29),290,1953,R
286,271.,Ichiro Suzuki (33),290,2007,L
287,271.,Bernie Williams (33),290,2002,B
288,289.,Albert Belle (32),289,1999,R
289,289.,Paul Goldschmidt (28),289,2016,R
290,289.,Hank Greenberg+ (29),289,1940,R
291,289.,Stan Hack (28),289,1938,L
292,289.,Matt Holliday (27),289,2007,R
293,289.,Derek Jeter+ (35),289,2009,R
294,289.,Chipper Jones+ (29),289,2001,B
295,289.,Derrek Lee (29),289,2005,R
296,289.,Mickey Mantle+ (26),289,1958,B
297,289.,Mickey Mantle+ (29),289,1961,B
298,289.,Dale Murphy (31),289,1987,R
299,289.,Eddie Murray+ (28),289,1984,B
300,289.,Johnny Pesky (30),289,1949,L
301,289.,Kevin Seitzer (25),289,1987,R
302,289.,Al Simmons+ (23),289,1925,R
303,304.,Roberto Alomar+ (31),288,1999,B
304,304.,Richie Ashburn+ (28),288,1955,L
305,304.,Charlie Blackmon (30),288,2017,L
306,304.,Lu Blue (24),288,1921,B
307,304.,Brett Butler (33),288,1990,L
308,304.,Miguel Cabrera (30),288,2013,R
309,304.,Roger Connor+ (34),288,1892,B
310,304.,Dom DiMaggio (31),288,1948,R
311,304.,Lenny Dykstra (27),288,1990,L
312,304.,Jimmie Foxx+ (21),288,1929,R
313,304.,Mike Greenwell (24),288,1988,L
314,304.,Billy Hamilton+ (25),288,1891,L
315,304.,Rogers Hornsby+ (29),288,1925,R
316,304.,Chipper Jones+ (30),288,2002,B
317,304.,Ralph Kiner+ (26),288,1949,R
318,304.,Edgar Martinez+ (35),288,1998,R
319,304.,Babe Ruth+ (37),288,1932,L
320,304.,Frank Thomas+ (25),288,1993,R
321,322.,Craig Biggio+ (33),287,1999,R
322,322.,Frankie Crosetti (27),287,1938,R
323,322.,Carlos Delgado (29),287,2001,L
324,322.,Prince Fielder (27),287,2011,L
325,322.,Nellie Fox+ (29),287,1957,L
326,322.,Al Kaline+ (20),287,1955,R
327,322.,Chuck Klein+ (27),287,1932,L
328,322.,Willie Mays+ (27),287,1958,R
329,322.,Mel Ott+ (21),287,1930,L
330,322.,Mel Ott+ (29),287,1938,L
331,322.,Albert Pujols (24),287,2004,R
332,322.,Duke Snider+ (27),287,1954,L
333,322.,Earl Torgeson (26),287,1950,L
334,322.,Paul Waner+ (31),287,1934,L
335,322.,Ted Williams+ (38),287,1957,L
336,322.,David Wright (25),287,2008,R
337,338.,Al Bumbry (33),286,1980,L
338,338.,Dolph Camilli (29),286,1936,L
339,338.,Eddie Collins+ (37),286,1924,L
340,338.,Ed Delahanty+ (27),286,1895,R
341,338.,Dwight Evans (32),286,1984,R
342,338.,Prince Fielder (26),286,2010,L
343,338.,Stan Hack (31),286,1941,L
344,338.,Todd Helton (28),286,2002,L
345,338.,Aaron Judge (25),286,2017,R
346,338.,Johnny Mostil (30),286,1926,R
347,338.,Pete Rose (24),286,1965,B
348,338.,Sammy Sosa (31),286,2000,R
349,338.,Jim Thome+ (25),286,1996,L
350,338.,Jimmy Williams (22),286,1899,R
351,352.,Jeff Bagwell+ (33),285,2001,R
352,352.,Taylor Douthit (27),285,1928,R
353,352.,Chone Figgins (31),285,2009,B
354,352.,Jack Fournier (35),285,1925,L
355,352.,Charlie Gehringer+ (26),285,1929,L
356,352.,Lou Gehrig+ (23),285,1926,L
357,352.,Brian Giles (34),285,2005,L
358,352.,Billy Hamilton+ (31),285,1897,L
359,352.,Chipper Jones+ (26),285,1998,B
360,352.,George Kell+ (27),285,1950,R
361,352.,Jose Offerman (29),285,1998,B
362,352.,Ken Singleton (30),285,1977,B
363,352.,Rusty Staub (25),285,1969,L
364,365.,Bobby Abreu (29),284,2003,L
365,365.,Roberto Alomar+ (28),284,1996,B
366,365.,Richie Ashburn+ (30),284,1957,L
367,365.,Garrett Atkins (26),284,2006,R
368,365.,Jason Bay (26),284,2005,R
369,365.,Rocky Colavito (27),284,1961,R
370,365.,Eddie Collins+ (27),284,1914,L
371,365.,Frankie Crosetti (25),284,1936,R
372,365.,Dom DiMaggio (32),284,1949,R
373,365.,Joe DiMaggio+ (22),284,1937,R
374,365.,Bob Elliott (31),284,1948,R
375,365.,Prince Fielder (28),284,2012,L
376,365.,Jason Giambi (32),284,2003,L
377,365.,Paul Goldschmidt (25),284,2013,R
378,365.,John Mayberry (26),284,1975,L
379,365.,Paul Molitor+ (39),284,1996,R
380,365.,Mel Ott+ (23),284,1932,L
381,365.,Darrell Porter (27),284,1979,L
382,365.,Alex Rodriguez (26),284,2002,R
383,365.,Gary Sheffield (34),284,2003,R
384,365.,Burt Shotton (31),284,1916,L
385,365.,Jack Tobin (29),284,1921,L
386,365.,Jim Wynn (27),284,1969,R
387,365.,Carl Yastrzemski+ (27),284,1967,L
388,365.,Eddie Yost (26),284,1953,R
389,390.,Bobby Abreu (26),283,2000,L
390,390.,Bobby Abreu (28),283,2002,L
391,390.,Jose Altuve (26),283,2016,R
392,390.,Luke Appling+ (28),283,1935,R
393,390.,Luke Appling+ (36),283,1943,R
394,390.,Earl Averill+ (29),283,1931,L
395,390.,Jeff Blauser (27),283,1993,R
396,390.,Pete Browning (26),283,1887,R
397,390.,Jesse Burkett+ (24),283,1893,L
398,390.,Ferris Fain (29),283,1950,L
399,390.,Charlie Gehringer+ (32),283,1935,L
400,390.,Billy Hamilton+ (34),283,1900,L
401,390.,Bob Johnson (33),283,1939,R
402,390.,Nick Markakis (24),283,2008,L
403,390.,Willie McCovey+ (32),283,1970,L
404,390.,Johnny Mostil (29),283,1925,R
405,390.,David Ortiz (29),283,2005,L
406,390.,David Ortiz (30),283,2006,L
407,390.,Rafael Palmeiro (34),283,1999,L
408,390.,Manny Ramirez (27),283,1999,R
409,390.,Alex Rodriguez (27),283,2003,R
410,390.,Duke Snider+ (26),283,1953,L
411,390.,Carl Yastrzemski+ (28),283,1968,L
412,413.,Albert Belle (31),282,1998,R
413,413.,Cupid Childs (25),282,1893,L
414,413.,Roy Cullenbine (27),282,1941,B
415,413.,Josh Donaldson (30),282,2016,R
416,413.,Ferris Fain (31),282,1952,L
417,413.,Lou Gehrig+ (35),282,1938,L
418,413.,Luis Gonzalez (32),282,2000,L
419,413.,Ken Griffey Jr.+ (23),282,1993,L
420,413.,Frank Howard (32),282,1969,R
421,413.,Shoeless Joe Jackson (25),282,1913,L
422,413.,Willie McCovey+ (31),282,1969,L
423,413.,Joe Morgan+ (28),282,1972,L
424,413.,Joe Morgan+ (29),282,1973,L
425,413.,Stan Musial+ (29),282,1950,L
426,413.,Dustin Pedroia (27),282,2011,R
427,413.,Tony Phillips (33),282,1992,B
428,413.,Tim Raines+ (23),282,1983,B
429,413.,Alex Rodriguez (24),282,2000,R
430,413.,Enos Slaughter+ (26),282,1942,L
431,413.,Arky Vaughan+ (22),282,1934,L
432,413.,Paul Waner+ (34),282,1937,L
433,413.,Michael Young (28),282,2005,R
434,435.,Dan Brouthers+ (33),281,1891,L
435,435.,Jesse Burkett+ (28),281,1897,L
436,435.,Cupid Childs (26),281,1894,L
437,435.,Cupid Childs (28),281,1896,L
438,435.,Ty Cobb+ (29),281,1916,L
439,435.,J.D. Drew (28),281,2004,L
440,435.,Dwight Evans (33),281,1985,R
441,435.,Jack Fournier (34),281,1924,L
442,435.,Jimmie Foxx+ (22),281,1930,R
443,435.,Keith Hernandez (26),281,1980,L
444,435.,Rogers Hornsby+ (24),281,1920,R
445,435.,Shoeless Joe Jackson (32),281,1920,L
446,435.,Derek Jeter+ (26),281,2000,R
447,435.,Bill Joyce (28),281,1896,L
448,435.,Willie Keeler+ (25),281,1897,L
449,435.,Harmon Killebrew+ (31),281,1967,R
450,435.,Edgar Martinez+ (37),281,2000,R
451,435.,Minnie Minoso (30),281,1956,R
452,435.,Tim Raines+ (24),281,1984,B
453,435.,Manny Ramirez (36),281,2008,R
454,435.,Grady Sizemore (23),281,2006,L
455,435.,Ichiro Suzuki (28),281,2002,L
456,435.,Mark Teixeira (28),281,2008,B
457,435.,Ross Youngs+ (23),281,1920,L
458,459.,Jeff Bagwell+ (30),280,1998,R
459,459.,Lance Berkman (26),280,2002,B
460,459.,Matt Carpenter (27),280,2013,L
461,459.,Joe Cronin+ (23),280,1930,R
462,459.,Johnny Damon (26),280,2000,L
463,459.,Mark Grace (34),280,1998,L
464,459.,Chuck Klein+ (28),280,1933,L
465,459.,Chuck Knoblauch (30),280,1999,R
466,459.,John Kruk (32),280,1993,L
467,459.,Heinie Manush+ (26),280,1928,L
468,459.,Mark McGwire (35),280,1999,R
469,459.,Joe Medwick+ (25),280,1937,R
470,459.,Tip O'Neill (27),280,1887,R
471,459.,Dave Parker (26),280,1977,L
472,459.,Pete Rose (29),280,1970,B
473,459.,Ichiro Suzuki (27),280,2001,L
474,459.,Joe Torre+ (29),280,1970,R
475,459.,Chase Utley (27),280,2006,L
476,459.,Arky Vaughan+ (26),280,1938,L
477,459.,Lloyd Waner+ (23),280,1929,L
478,479.,Hank Aaron+ (29),279,1963,R
479,479.,Edgardo Alfonzo (25),279,1999,R
480,479.,Brady Anderson (35),279,1999,L
481,479.,Earl Averill+ (30),279,1932,L
482,479.,Lance Berkman (32),279,2008,B
483,479.,Barry Bonds (27),279,1992,L
484,479.,Bobby Bonds (24),279,1970,R
485,479.,Harlond Clift (24),279,1937,R
486,479.,Kiki Cuyler+ (32),279,1931,R
487,479.,Dom DiMaggio (33),279,1950,R
488,479.,Luis Gonzalez (31),279,1999,L
489,479.,Rusty Greer (28),279,1997,L
490,479.,Toby Harrah (33),279,1982,R
491,479.,Harry Heilmann+ (29),279,1924,R
492,479.,Hughie Jennings+ (27),279,1896,R
493,479.,Jason Kendall (26),279,2000,R
494,479.,Chuck Knoblauch (28),279,1997,R
495,479.,Freddie Lindstrom+ (24),279,1930,R
496,479.,Rafael Palmeiro (31),279,1996,L
497,479.,Johnny Pesky (28),279,1947,L
498,479.,Frank Robinson+ (30),279,1966,R
499,479.,Kevin Seitzer (34),279,1996,R
500,479.,Grady Sizemore (25),279,2008,L
501,479.,Snuffy Stirnweiss (25),279,1944,R
502,479.,Gus Suhr (30),279,1936,L
503,479.,Mike Trout (26),279,2018,R
504,479.,Joe Vosmik (25),279,1935,R
505,479.,Billy Williams+ (32),279,1970,L
506,479.,Ken Williams (33),279,1923,L
507,479.,Carl Yastrzemski+ (23),279,1963,L
508,479.,Rudy York (26),279,1940,R
