,Rank,Player (age that year),Passed Balls,Year,Throws
264,263.,Klondike Douglass (28),27,1900,R
265,263.,Tom Dowse (24),27,1891,R
266,263.,Joe Gunson (29),27,1892,R
267,263.,King Kelly+ (33),27,1891,R
268,263.,Deacon McGuire (30),27,1894,R
269,263.,Heinie Peitz (22),27,1893,R
270,263.,Wilbert Robinson+ (28),27,1892,R
271,263.,Jack Ryan (26),27,1895,R
272,263.,Charles Strick (23),27,1882,
273,263.,Bob Uecker (33),27,1967,R
274,275.,Cap Anson+ (25),26,1877,R
275,275.,Amos Booth (27),26,1876,R
276,275.,Frank Bowerman (31),26,1900,R
277,275.,Con Daily (27),26,1892,R
278,275.,Duke Farrell (24),26,1891,R
279,275.,Mike Macfarlane (31),26,1995,R
280,275.,Bill Merritt (24),26,1895,R
281,275.,Bill Phillips (22),26,1879,R
282,275.,Wilbert Robinson+ (29),26,1893,R
283,275.,Jarrod Saltalamacchia (26),26,2011,R
284,285.,Charlie Bennett (23),25,1878,R
285,285.,Nig Clarke (24),25,1907,R
286,285.,Dick Dietz (28),25,1970,R
287,285.,Barney Gilligan (25),25,1881,R
288,285.,John Henry (21),25,1911,R
289,285.,Malachi Kittridge (21),25,1891,R
290,285.,Fergy Malone (31),25,1876,L
291,285.,Ed McFarland (26),25,1900,R
292,285.,Ted Simmons+ (23),25,1973,R
293,285.,Pop Snyder (21),25,1876,R
294,285.,Sam Trott (23),25,1880,L
295,285.,Jason Varitek (27),25,1999,R
296,285.,Farmer Vaughn (28),25,1892,R
297,298.,Ed Herrmann (26),24,1973,R
298,298.,J.C. Martin (27),24,1964,R
299,298.,Bill Merritt (21),24,1892,R
300,298.,Pat Moran (27),24,1903,R
301,298.,John Morrill (21),24,1876,R
302,298.,Wilbert Robinson+ (30),24,1894,R
303,304.,Dick Bertell (25),23,1961,R
304,304.,Jim Donahue (29),23,1891,R
305,304.,Buck Ewing+ (32),23,1892,R
306,304.,King Kelly+ (22),23,1880,R
307,304.,Tom Kinslow (27),23,1893,R
308,304.,Ed McFarland (24),23,1898,R
309,304.,John Munyan (30),23,1891,
310,304.,Heinie Peitz (29),23,1900,R
311,304.,Benito Santiago (28),23,1993,R
312,304.,Pop Schriver (26),23,1892,R
313,304.,George Townsend (24),23,1891,R
314,304.,Parke Wilson (28),23,1896,R
315,316.,Harry Bemis (28),22,1902,R
316,316.,Dick Buckley (33),22,1892,R
317,316.,Boileryard Clarke (31),22,1900,R
318,316.,Duke Farrell (26),22,1893,R
319,316.,Mike Grady (28),22,1898,R
320,316.,Bill Harbridge (22),22,1877,L
321,316.,Kick Kelly (22),22,1879,
322,316.,Doggie Miller (27),22,1892,R
323,316.,Jocko Milligan (31),22,1893,R
324,316.,Pat Moran (29),22,1905,R
325,316.,Morgan Murphy (25),22,1892,R
326,316.,Jack O'Connor (28),22,1894,R
327,316.,Benito Santiago (22),22,1987,R
328,316.,Farmer Vaughn (27),22,1891,R
329,316.,Chief Zimmer (32),22,1893,R
330,316.,Chief Zimmer (34),22,1895,R
331,316.,Chief Zimmer (35),22,1896,R
332,333.,John Bateman (25),21,1966,R
333,333.,Frank Bowerman (28),21,1897,R
334,333.,Frank Bowerman (32),21,1901,R
335,333.,William Coon (21),21,1876,
336,333.,Jody Davis (26),21,1983,R
337,333.,Rick Ferrell+ (39),21,1945,R
338,333.,Joe Ginsberg (32),21,1959,R
