,Rank,Player (age that year),Range Factor/Game as CF (s.1901),Year,Throws
125,126.,Willie Mays+ (20),2.992,1951,R
126,126.,Dwayne Murphy (28),2.992,1983,R
127,126.,Jigger Statz (26),2.992,1924,R
128,126.,Willie Wilson (36),2.992,1992,R
129,130.,Chet Lemon (23),2.988,1978,R
130,131.,Max Carey+ (34),2.987,1924,R
131,132.,Tris Speaker+ (31),2.985,1919,L
132,133.,Chad Curtis (25),2.983,1994,R
133,133.,Rick Miller (31),2.983,1979,L
134,135.,Amos Otis (33),2.981,1980,R
135,136.,Harry Craft (23),2.980,1938,R
136,136.,Kevin McReynolds (25),2.980,1985,R
137,138.,Fred Schulte (27),2.979,1928,R
138,138.,Bernie Williams (26),2.979,1995,R
139,140.,Max Carey+ (26),2.978,1916,R
140,141.,Jimmy Welsh (24),2.975,1927,R
141,142.,Garret Anderson (27),2.974,1999,L
142,142.,Eddie Brown (33),2.974,1925,R
143,142.,Johnny Mostil (29),2.974,1925,R
144,142.,Devon White (29),2.974,1992,R
145,146.,Rick Bosetti (25),2.969,1979,R
146,147.,Brett Butler (27),2.962,1984,L
147,148.,Fred Lynn (24),2.961,1976,L
148,148.,Lloyd Merriman (26),2.961,1951,L
149,150.,Roberto Kelly (27),2.960,1992,R
150,151.,Jim Landis (25),2.959,1959,R
151,152.,Gerald Young (24),2.958,1989,R
152,153.,Tony Scott (27),2.957,1979,R
153,154.,Jim Edmonds (25),2.950,1995,L
154,154.,George Metkovich (26),2.950,1947,L
155,156.,Freddy Leach (29),2.949,1927,R
156,156.,Dwayne Murphy (31),2.949,1986,R
157,158.,Franklin Gutierrez (26),2.948,2009,R
158,158.,Bobby Mitchell (27),2.948,1982,L
159,160.,Buster Adams (29),2.947,1944,R
160,160.,Carlos Gomez (22),2.947,2008,R
161,162.,Paul Blair (26),2.945,1970,R
162,162.,Lance Johnson (29),2.945,1993,L
163,164.,Johnny Frederick (27),2.944,1929,L
164,165.,Reggie Smith (26),2.943,1971,R
165,166.,Wally Berger (25),2.942,1931,R
166,166.,Bill Tuttle (25),2.942,1955,R
167,168.,Willie Mays+ (27),2.940,1958,R
168,169.,Dave Philley (32),2.939,1952,R
169,169.,Lloyd Waner+ (26),2.939,1932,R
170,171.,Lenny Dykstra (30),2.938,1993,L
171,172.,Al Oliver (29),2.934,1976,L
172,173.,Dusty Baker (23),2.933,1972,R
173,173.,Mickey Rivers (28),2.933,1977,L
174,173.,Sam West (24),2.933,1929,L
