,Rank,Player (age that year),Total Zone Runs as 3B (s.1953),Year,Throws
250,215.,Damian Rolls (25),10,2003,R
251,215.,Al Rosen (29),10,1953,R
252,215.,Ron Santo+ (23),10,1963,R
253,215.,Mike Schmidt+ (26),10,1976,R
254,215.,Mike Schmidt+ (34),10,1984,R
255,215.,Travis Shaw (27),10,2017,R
256,215.,Travis Shaw (28),10,2018,R
257,215.,Miguel Tejada (37),10,2011,R
258,215.,Gio Urshela (23),10,2015,R
259,215.,John Valentin (32),10,1999,R
260,215.,Robin Ventura (22),10,1990,R
261,215.,Don Wert (25),10,1964,R
262,215.,Matt Williams (27),10,1993,R
263,264.,Nolan Arenado (29),9,2020,R
264,264.,Buddy Bell (25),9,1977,R
265,264.,David Bell (30),9,2003,R
266,264.,Wade Boggs+ (24),9,1982,R
267,264.,George Brett+ (25),9,1978,R
268,264.,George Brett+ (27),9,1980,R
269,264.,Hubie Brooks (26),9,1983,R
270,264.,John Castino (25),9,1980,R
271,264.,Dave Chalk (24),9,1975,R
272,264.,Jeff Cirillo (30),9,2000,R
273,264.,Scott Cooper (26),9,1994,R
274,264.,Doug DeCinces (28),9,1979,R
275,264.,Chone Figgins (30),9,2008,R
276,264.,David Freese (29),9,2012,R
277,264.,Travis Fryman (28),9,1997,R
278,264.,Wayne Garrett (29),9,1977,R
279,264.,Marwin Gonzalez (30),9,2019,R
280,264.,Billy Goodman (33),9,1959,R
281,264.,Jack Hannahan (28),9,2008,R
282,264.,Jack Howell (27),9,1989,R
283,264.,Chipper Jones+ (32),9,2004,R
284,264.,Carney Lansford (30),9,1987,R
285,264.,Mike Lansing (25),9,1993,R
286,264.,Gene Leek (24),9,1961,R
287,264.,Mike Lowell (33),9,2007,R
288,264.,Ken McMullen (23),9,1965,R
289,264.,Yoan Moncada (24),9,2019,R
290,264.,Max Muncy (28),9,2019,R
291,264.,Graig Nettles (27),9,1972,R
292,264.,Graig Nettles (32),9,1977,R
293,264.,Abraham Nunez (31),9,2007,R
294,264.,Kevin Orie (24),9,1997,R
295,264.,Kevin Orie (26),9,1999,R
296,264.,Mike Pagliarulo (35),9,1995,R
297,264.,Ken Reitz (27),9,1978,R
298,264.,Rich Rollins (27),9,1965,R
299,264.,Mike Schmidt+ (31),9,1981,R
300,264.,Marco Scutaro (32),9,2008,R
301,264.,Kyle Seager (29),9,2017,R
302,264.,Pete Suder (37),9,1953,R
303,264.,Juan Uribe (37),9,2016,R
304,264.,Don Wert (26),9,1965,R
305,306.,Bobby Adams (33),8,1955,R
306,306.,Edgardo Alfonzo (28),8,2002,R
307,306.,Sal Bando (34),8,1978,R
308,306.,Buddy Bell (24),8,1976,R
309,306.,David Bell (29),8,2002,R
310,306.,Mark Bellhorn (31),8,2006,R
311,306.,Adrian Beltre (33),8,2012,R
312,306.,Casey Blake (34),8,2008,R
313,306.,Wade Boggs+ (27),8,1985,R
314,306.,Wade Boggs+ (28),8,1986,R
315,306.,Wade Boggs+ (29),8,1987,R
316,306.,Wade Boggs+ (35),8,1993,R
317,306.,Wade Boggs+ (38),8,1996,R
318,306.,Clete Boyer (28),8,1965,R
319,306.,Tom Brookens (25),8,1979,R
320,306.,Tom Brookens (30),8,1984,R
321,306.,Kris Bryant (24),8,2016,R
322,306.,Andy Carey (23),8,1955,R
323,306.,Ron Cey (28),8,1976,R
324,306.,Jeff Cirillo (32),8,2002,R
325,306.,Luis Cruz (29),8,2013,R
326,306.,Al Dark (37),8,1959,R
327,306.,Doug DeCinces (26),8,1977,R
328,306.,Pedro Feliz (28),8,2003,R
329,306.,David Fletcher (24),8,2018,R
330,306.,David Fletcher (25),8,2019,R
331,306.,Gary Gaetti (24),8,1983,R
332,306.,Gary Gaetti (36),8,1995,R
333,306.,Steve Garvey (22),8,1971,R
334,306.,Leo Gomez (25),8,1991,R
335,306.,Leo Gomez (29),8,1995,R
336,306.,Rene Gonzales (27),8,1988,R
337,306.,Willie Greene (28),8,2000,R
338,306.,Bill Hall (28),8,2008,R
339,306.,Josh Harrison (26),8,2014,R
340,306.,Grady Hatton (31),8,1954,R
341,306.,Chase Headley (29),8,2013,R
342,306.,Roy Howell (25),8,1979,R
343,306.,Tim Hulett (27),8,1987,R
344,306.,Luis Jimenez (25),8,2013,R
345,306.,Randy Johnson (28),8,1984,R
346,306.,Russ Johnson (27),8,2000,R
347,306.,Chipper Jones+ (38),8,2010,R
348,306.,Isiah Kiner-Falefa (23),8,2018,R
349,306.,Corey Koskie (26),8,1999,R
350,306.,Jim Lefebvre (27),8,1969,R
351,306.,Manny Machado (25),8,2018,R
352,306.,Frank Malzone (32),8,1962,R
353,306.,Fred Marsh (30),8,1954,R
354,306.,Kevin Mitchell (25),8,1987,R
355,306.,Paul Molitor+ (26),8,1983,R
356,306.,Yoan Moncada (25),8,2020,R
357,306.,Jim Morrison (34),8,1987,R
358,306.,Phil Nevin (28),8,1999,R
359,306.,Ken Oberkfell (26),8,1982,R
360,306.,Anthony Rendon (28),8,2018,R
361,306.,Brooks Robinson+ (28),8,1965,R
362,306.,Alex Rodriguez (35),8,2011,R
363,306.,Aurelio Rodriguez (21),8,1969,R
364,306.,Scott Rolen (25),8,2000,R
365,306.,Jerry Royster (23),8,1976,R
366,306.,Pablo Sandoval (27),8,2014,R
367,306.,Ron Santo+ (26),8,1966,R
368,306.,Paul Schaal (25),8,1968,R
369,306.,Bill Spiers (31),8,1997,R
370,306.,B.J. Surhoff (28),8,1993,R
371,306.,Tom Tresh (27),8,1966,R
372,306.,Juan Uribe (33),8,2012,R
373,306.,Juan Uribe (36),8,2015,R
374,306.,Robin Ventura (27),8,1995,R
375,306.,Tim Wallach (31),8,1989,R
376,306.,Pete Ward (27),8,1965,R
377,306.,Matt Williams (25),8,1991,R
378,306.,Matt Williams (28),8,1994,R
379,306.,Matt Williams (32),8,1998,R
380,306.,David Wright (29),8,2012,R
381,306.,Kevin Youkilis (25),8,2004,R
382,306.,Kevin Youkilis (29),8,2008,R
383,306.,Ryan Zimmerman (22),8,2007,R
384,385.,Bobby Adams (31),7,1953,R
385,385.,Pedro Alvarez (26),7,2013,R
386,385.,Dave Anderson (24),7,1985,R
387,385.,Sal Bando (23),7,1967,R
388,385.,Sal Bando (27),7,1971,R
389,385.,Sal Bando (33),7,1977,R
390,385.,Tony Batista (27),7,2001,R
391,385.,Adrian Beltre (21),7,2000,R
392,385.,Adrian Beltre (31),7,2010,R
393,385.,Mike Blowers (28),7,1993,R
394,385.,Wade Boggs+ (25),7,1983,R
395,385.,Ken Boyer (29),7,1960,R
396,385.,Russell Branyan (31),7,2007,R
397,385.,Steve Braun (24),7,1972,R
398,385.,George Brett+ (22),7,1975,R
399,385.,George Brett+ (31),7,1984,R
400,385.,Tom Brookens (29),7,1983,R
401,385.,Scott Brosius (32),7,1999,R
402,385.,Steve Buechele (24),7,1986,R
403,385.,Steve Buechele (29),7,1991,R
404,385.,Don Buford (28),7,1965,R
405,385.,Don Buford (30),7,1967,R
406,385.,Alberto Callaspo (29),7,2012,R
407,385.,John Castino (26),7,1981,R
408,385.,Vinny Castilla (28),7,1996,R
409,385.,Vinny Castilla (30),7,1998,R
410,385.,Vinny Castilla (35),7,2003,R
411,385.,Starlin Castro (29),7,2019,R
412,385.,Ed Charles (29),7,1962,R
413,385.,Lonnie Chisenhall (26),7,2015,R
414,385.,Jeff Cirillo (29),7,1999,R
415,385.,Ron Coomer (32),7,1999,R
416,385.,Joe Crede (31),7,2009,R
417,385.,Luis Cruz (28),7,2012,R
418,385.,Todd Cruz (28),7,1984,R
419,385.,Jim Davenport (28),7,1962,R
420,385.,Josh Donaldson (27),7,2013,R
421,385.,Pedro Feliz (29),7,2004,R
422,385.,Todd Frazier (28),7,2014,R
423,385.,Gary Gaetti (30),7,1989,R
424,385.,Mike Gallego (32),7,1993,R
425,385.,Phil Garner (28),7,1977,R
426,385.,Phil Garner (35),7,1984,R
427,385.,Wayne Garrett (25),7,1973,R
428,385.,Jim Gilliam (33),7,1962,R
429,385.,Charles Gipson (26),7,1999,R
430,385.,Troy Glaus (25),7,2002,R
431,385.,Alberto Gonzalez (27),7,2010,R
432,385.,Craig Grebeck (25),7,1990,R
433,385.,Kelly Gruber (27),7,1989,R
434,385.,Tommy Harper (29),7,1970,R
435,385.,Jim Ray Hart (24),7,1966,R
436,385.,Charlie Hayes (31),7,1996,R
437,385.,Chase Headley (28),7,2012,R
438,385.,Don Hoak (32),7,1960,R
439,385.,Art Howe (35),7,1982,R
440,385.,Willie Jones (27),7,1953,R
441,385.,Jeff Keppinger (32),7,2012,R
442,385.,Billy Klaus (27),7,1956,R
443,385.,Corey Koskie (30),7,2003,R
444,385.,Scott Leius (26),7,1992,R
445,385.,Mike Lowell (27),7,2001,R
446,385.,Manny Machado (22),7,2015,R
447,385.,Manny Machado (23),7,2016,R
448,385.,Jose Macias (29),7,2001,R
449,385.,Andy Marte (22),7,2006,R
450,385.,Edgar Martinez+ (31),7,1994,R
451,385.,Ken McMullen (24),7,1966,R
452,385.,Bill Melton (25),7,1971,R
453,385.,Tim Naehring (28),7,1995,R
454,385.,Graig Nettles (34),7,1979,R
455,385.,Larry Parrish (20),7,1974,R
456,385.,Terry Pendleton (30),7,1991,R
457,385.,Tony Perez+ (29),7,1971,R
458,385.,Herbert Perry (30),7,2000,R
459,385.,Bobby Pfeil (26),7,1969,R
460,385.,Martin Prado (31),7,2015,R
461,385.,Nick Punto (32),7,2010,R
462,385.,Mark Reynolds (30),7,2014,R
463,385.,Brooks Robinson+ (21),7,1958,R
464,385.,Aurelio Rodriguez (26),7,1974,R
465,385.,Aurelio Rodriguez (27),7,1975,R
466,385.,Aurelio Rodriguez (29),7,1977,R
467,385.,Aurelio Rodriguez (30),7,1978,R
468,385.,Tyler Saladino (25),7,2015,R
469,385.,Yolmer Sanchez (25),7,2017,R
470,385.,Ron Santo+ (25),7,1965,R
471,385.,Mike Schmidt+ (29),7,1979,R
472,385.,Kyle Seager (28),7,2016,R
473,385.,Kevin Seitzer (30),7,1992,R
474,385.,Charley Smith (27),7,1965,R
475,385.,Eric Soderholm (23),7,1972,R
476,385.,Chris Speier (37),7,1987,R
477,385.,Scott Spiezio (31),7,2004,R
478,385.,Chad Tracy (24),7,2004,R
479,385.,Luis Valbuena (26),7,2012,R
480,385.,Robin Ventura (23),7,1991,R
481,385.,Robin Ventura (26),7,1994,R
482,385.,Robin Ventura (29),7,1997,R
483,385.,Don Wert (28),7,1967,R
484,385.,Don Wert (29),7,1968,R
485,385.,Matt Williams (24),7,1990,R
486,385.,Matt Williams (33),7,1999,R
487,488.,Hanser Alberto (26),6,2019,R
488,488.,Rich Amaral (31),6,1993,R
489,488.,Garrett Atkins (29),6,2009,R
490,488.,Javier Baez (23),6,2016,R
491,488.,Larvell Blanks (30),6,1980,R
492,488.,Willie Bloomquist (25),6,2003,R
493,488.,Aaron Boone (29),6,2002,R
494,488.,Steve Boros (27),6,1964,R
495,488.,Jeff Branson (28),6,1995,R
496,488.,Alex Bregman (25),6,2019,R
497,488.,Jack Brohamer (29),6,1979,R
498,488.,Scott Brosius (27),6,1994,R
499,488.,Kris Bryant (25),6,2017,R
