,Rank,Player (age that year),Adj. Pitching Wins,Year,Throws
384,384.,Denny McLain (25),4.10,1969,R
385,386.,Cy Blanton (26),4.09,1935,R
386,386.,Eppa Rixey+ (34),4.09,1925,L
387,386.,Tom Seaver+ (25),4.09,1970,R
388,386.,Jim Whitney (25),4.09,1883,R
389,390.,Bob Caruthers (23),4.08,1887,R
390,390.,Dennis Eckersley+ (24),4.08,1979,R
391,390.,Whitey Ford+ (29),4.08,1958,L
392,390.,John Smoltz+ (29),4.08,1996,R
393,390.,Hippo Vaughn (31),4.08,1919,L
394,395.,Fergie Jenkins+ (28),4.07,1971,R
395,395.,Kid Nichols+ (29),4.07,1899,R
396,395.,Curt Schilling (37),4.07,2004,R
397,398.,Mark Baldwin (26),4.06,1890,R
398,398.,Roy Halladay+ (25),4.06,2002,R
399,398.,Bill Lee (26),4.06,1973,L
400,401.,Corey Kluber (28),4.05,2014,R
401,402.,Wes Ferrell (22),4.04,1930,R
402,402.,Mark Fidrych (21),4.04,1976,R
403,402.,Noodles Hahn (20),4.04,1899,L
404,402.,Josh Johnson (26),4.04,2010,R
405,402.,Jim McCormick (26),4.04,1883,R
406,402.,Chris Sale (28),4.04,2017,L
407,402.,Adam Wainwright (27),4.04,2009,R
408,409.,Stan Coveleski+ (35),4.03,1925,R
409,409.,Jim Palmer+ (31),4.03,1977,R
410,411.,Frank Dwyer (28),4.02,1896,R
411,411.,Mike Witt (25),4.02,1986,R
412,413.,Chris Carpenter (30),4.01,2005,R
413,413.,Christy Mathewson+ (32),4.01,1913,R
414,413.,Hyun Jin Ryu (32),4.01,2019,L
415,416.,Kevin Brown (38),4.00,2003,R
416,416.,Eddie Cicotte (29),4.00,1913,R
417,416.,Dizzy Dean+ (25),4.00,1935,R
418,416.,Mark Gubicza (25),4.00,1988,R
419,416.,Christy Mathewson+ (29),4.00,1910,R
420,416.,Phil Niekro+ (39),4.00,1978,R
421,416.,Billy Pierce (26),4.00,1953,L
422,416.,Lefty Stewart (29),4.00,1930,L
423,416.,Brandon Webb (27),4.00,2006,R
424,425.,Red Ehret (21),3.99,1890,R
425,425.,Orel Hershiser (29),3.99,1988,R
426,427.,Roy Halladay+ (31),3.98,2008,R
427,427.,Bill Singer (25),3.98,1969,R
428,429.,Kevin Brown (32),3.97,1997,R
429,429.,Jim Bunning+ (35),3.97,1967,R
430,429.,Whitey Ford+ (27),3.97,1956,L
431,429.,Frank Kitson (29),3.97,1899,R
432,433.,Kris Medlen (26),3.96,2012,R
433,434.,Sheriff Blake (28),3.95,1928,R
434,434.,Mike Cuellar (32),3.95,1969,L
435,434.,Carl Mays (29),3.95,1921,R
436,434.,David Price (29),3.95,2015,L
437,438.,Vic Willis+ (30),3.94,1906,R
438,439.,Roy Halladay+ (26),3.93,2003,R
439,439.,Tex Hughson (26),3.93,1942,R
440,439.,Jim Maloney (25),3.93,1965,R
441,439.,Dave Stieb (25),3.93,1983,R
442,439.,Dazzy Vance+ (36),3.93,1927,R
443,444.,Johnny Allen (32),3.92,1937,R
444,444.,Charlie Buffinton (28),3.92,1889,R
445,444.,Clayton Kershaw (29),3.92,2017,L
446,444.,Ted Lyons+ (26),3.92,1927,R
447,444.,Jim Palmer+ (32),3.92,1978,R
448,444.,Howie Pollet (25),3.92,1946,L
449,444.,Johnny Sain (28),3.92,1946,R
450,444.,Curt Schilling (35),3.92,2002,R
451,444.,Fred Toney (26),3.92,1915,R
452,453.,Rich Harden (26),3.91,2008,R
453,453.,Randy Jones (25),3.91,1975,L
454,453.,Jon Matlack (24),3.91,1974,L
455,453.,Al Spalding+ (25),3.91,1876,R
456,453.,Monty Stratton (25),3.91,1937,R
457,453.,Cy Young+ (37),3.91,1904,R
458,459.,Pete Alexander+ (32),3.90,1919,R
459,459.,Tommy Bridges (29),3.90,1936,R
460,459.,Bob Gibson+ (30),3.90,1966,R
461,459.,Roy Oswalt (28),3.90,2006,R
462,459.,Dave Roberts (26),3.90,1971,L
463,459.,Justin Thompson (24),3.90,1997,L
464,459.,Hippo Vaughn (30),3.90,1918,L
465,466.,David Cone (31),3.89,1994,R
466,466.,Stan Coveleski+ (27),3.89,1917,R
467,466.,Orel Hershiser (26),3.89,1985,R
468,466.,Jim Kern (30),3.89,1979,R
469,466.,Wilcy Moore (30),3.89,1927,R
470,466.,Jim Turner (33),3.89,1937,R
471,472.,Babe Adams (29),3.88,1911,R
472,472.,Guy Hecker (29),3.88,1885,R
473,472.,Bill Hutchison (31),3.88,1891,R
474,472.,Nap Rucker (27),3.88,1912,L
475,476.,Bucky Walters (35),3.87,1944,R
476,477.,Wes Ferrell (27),3.86,1935,R
477,477.,Waite Hoyt+ (27),3.86,1927,R
478,477.,Dave Stewart (33),3.86,1990,R
479,480.,Vida Blue (26),3.85,1976,L
480,480.,Luis Tiant (33),3.85,1974,R
481,482.,Claude Passeau (31),3.84,1940,R
482,482.,Bob Shawkey (31),3.84,1922,R
483,482.,Bill Walker (27),3.84,1931,L
484,485.,Roger Clemens (31),3.83,1994,R
485,485.,Mort Cooper (31),3.83,1944,R
486,485.,Allie Reynolds (35),3.83,1952,R
487,485.,Johnny Rigney (25),3.83,1940,R
488,485.,Red Ruffing+ (34),3.83,1939,R
489,485.,Nolan Ryan+ (30),3.83,1977,R
490,491.,Babe Adams (37),3.82,1919,R
491,491.,Tommy Bond (21),3.82,1877,R
492,491.,Egyptian Healy (23),3.82,1890,R
493,491.,Hal Newhouser+ (27),3.82,1948,L
494,491.,Jim Palmer+ (24),3.82,1970,R
495,491.,Stephen Strasburg (28),3.82,2017,R
496,491.,Mickey Welch+ (28),3.82,1888,R
497,498.,Bill Bevens (29),3.81,1946,R
498,498.,General Crowder (33),3.81,1932,R
499,498.,Mel Harder (25),3.81,1935,R
500,498.,Carlos Zambrano (23),3.81,2004,R
