,Rank,Player (age that year),Range Factor/Game as 3B,Year,Throws
139,140.,Doc Casey (32),3.659,1902,R
140,141.,Frank Ellerbe (25),3.657,1921,R
141,142.,Joe Mulvey (32),3.655,1891,R
142,143.,George Davis+ (22),3.654,1893,R
143,143.,Frank Hankinson (30),3.654,1886,R
144,145.,Will Foley (20),3.652,1876,R
145,146.,Billy Nash (19),3.644,1884,R
146,146.,Tex Wisterzil (27),3.644,1915,R
147,148.,Harlond Clift (30),3.643,1943,R
148,148.,Randy Jackson (25),3.643,1951,R
149,150.,Andy Carey (22),3.642,1954,R
150,151.,Charlie Irwin (27),3.638,1896,R
151,152.,Charlie Reilly (24),3.636,1891,R
152,153.,Buddy Bell (30),3.635,1982,R
153,153.,Hobe Ferris (33),3.635,1908,R
154,155.,Jimmy Burke (28),3.634,1903,R
155,156.,Home Run Baker+ (32),3.627,1918,R
156,156.,Tommy Leach (24),3.627,1902,R
157,158.,Hector Lopez (25),3.624,1955,R
158,159.,Harry Steinfeldt (29),3.621,1905,R
159,160.,Harry Raymond (27),3.620,1889,
160,161.,Buddy Bell (29),3.615,1981,R
161,162.,Graig Nettles (26),3.614,1971,R
162,163.,George Kell+ (22),3.612,1945,R
163,164.,Home Run Baker+ (26),3.611,1912,R
164,165.,Billy Shindle (33),3.607,1894,R
165,166.,Ken Keltner (27),3.604,1944,R
166,167.,Ron Santo+ (27),3.603,1967,R
167,168.,Billy Lauder (28),3.602,1902,R
168,169.,Ed Gremminger (28),3.600,1902,R
169,169.,Billy Shindle (37),3.600,1898,R
170,171.,Doc Casey (31),3.598,1901,R
171,172.,Wid Conroy (31),3.597,1908,R
172,172.,Bob Jones (32),3.597,1922,R
173,174.,Johnny Pesky (31),3.595,1950,R
174,175.,Jerry McCormick (21),3.591,1883,
175,176.,Mike Muldoon (24),3.590,1882,
176,177.,Lee Tannehill (23),3.588,1904,R
177,178.,Ossie Vitt (29),3.587,1919,R
178,178.,Ned Williamson (22),3.587,1880,R
179,180.,Al Halt (24),3.586,1915,R
180,181.,Lave Cross (36),3.584,1902,R
181,182.,Joe Battin (30),3.577,1884,R
182,182.,Jiggs Parrott (20),3.577,1892,
183,184.,Ossie Bluege (26),3.575,1927,R
184,184.,Clete Boyer (24),3.575,1961,R
185,186.,Jim Donnelly (21),3.574,1887,R
186,186.,George Pinkney (28),3.574,1887,R
187,188.,Home Run Baker+ (30),3.573,1916,R
188,189.,Harry Wolverton (25),3.571,1899,R
189,190.,Dario Lodigiani (25),3.570,1941,R
190,191.,John Knight (21),3.568,1907,R
191,191.,John McGraw+ (22),3.568,1895,R
192,191.,Billy Nash (29),3.568,1894,R
193,194.,Arlie Latham (33),3.567,1893,R
194,194.,Harry Steinfeldt (27),3.567,1903,R
195,196.,Bill Sweeney (23),3.563,1909,R
196,197.,Home Run Baker+ (24),3.562,1910,R
197,198.,Ralph Hodgin (29),3.561,1944,R
198,198.,Billy Werber (27),3.561,1935,R
199,200.,Eddie Mulligan (27),3.560,1922,R
200,201.,Ron Santo+ (26),3.559,1966,R
201,202.,Howie Shanks (30),3.558,1921,R
202,203.,Home Run Baker+ (31),3.555,1917,R
203,203.,Joe Farrell (26),3.555,1883,
204,203.,Harry Raymond (28),3.555,1890,
205,206.,Art Devlin (26),3.554,1906,R
206,207.,Art Devlin (29),3.552,1909,R
207,208.,Babe Pinelli (26),3.551,1922,R
208,209.,Jimmy Austin (33),3.549,1913,R
209,210.,Art Whitney (33),3.542,1891,R
210,211.,George Perring (30),3.539,1915,R
211,212.,Jerry Denny (31),3.538,1890,R
212,213.,Ken Keltner (24),3.537,1941,R
213,214.,Tom Burns (29),3.536,1886,R
214,215.,Larry Gardner (32),3.535,1918,R
215,216.,Bobby Byrne (23),3.533,1908,R
216,216.,Art Scharein (27),3.533,1932,R
217,218.,Billy Werber (26),3.531,1934,R
218,219.,Frank O'Rourke (35),3.529,1927,R
219,219.,Terry Turner (33),3.529,1914,R
220,221.,Sammy Strang (24),3.528,1901,R
221,222.,Willie Kamm (27),3.527,1927,R
222,222.,Pie Traynor+ (26),3.527,1925,R
223,224.,Willie Kamm (23),3.524,1923,R
224,225.,Jim Donnelly (20),3.522,1886,R
225,226.,Willie Kamm (26),3.521,1926,R
226,226.,John McGraw+ (26),3.521,1899,R
227,228.,Bill Kuehne (29),3.520,1888,R
228,229.,Jimmy Burke (26),3.517,1901,R
229,230.,Ken Boyer (27),3.514,1958,R
230,230.,Billy Werber (33),3.514,1941,R
231,232.,Doug DeCinces (32),3.512,1983,R
232,232.,Bill Kuehne (33),3.512,1892,R
233,234.,Ray Bates (27),3.508,1917,R
234,235.,Vern Stephens (30),3.506,1951,R
235,236.,Duke Farrell (25),3.504,1892,R
236,236.,Bill McKechnie+ (28),3.504,1915,R
237,238.,Bill McKechnie+ (27),3.503,1914,R
238,239.,Hobe Ferris (34),3.500,1909,R
239,239.,Lee Tannehill (27),3.500,1908,R
240,241.,Babe Pinelli (28),3.497,1924,R
241,242.,Arlie Latham (28),3.496,1888,R
242,243.,Fred Hartman (37),3.495,1902,R
243,244.,Brooks Robinson+ (30),3.494,1967,R
244,245.,Eddie Grant (25),3.493,1908,R
245,245.,Arlie Latham (32),3.493,1892,R
246,245.,Johnny Pesky (30),3.493,1949,R
247,248.,George Moriarty (23),3.491,1909,R
248,249.,Harry Wolverton (26),3.490,1900,R
249,250.,Billy Nash (21),3.489,1886,R
250,251.,Harry Wolverton (29),3.488,1903,R
251,252.,Tom Burns (31),3.485,1888,R
252,252.,Barry McCormick (23),3.485,1898,R
253,252.,George Moriarty (24),3.485,1910,R
254,255.,Doug Baird (27),3.484,1919,R
255,256.,Sammy Hale (31),3.481,1928,R
256,256.,Joe Mulvey (30),3.481,1889,R
257,258.,Fred Hartman (36),3.479,1901,R
258,258.,Red Smith (28),3.479,1918,R
259,260.,Buck Weaver (26),3.477,1917,R
260,261.,Charley Bassett (29),3.474,1892,R
261,261.,Darrell Evans (28),3.474,1975,R
262,263.,Stan Hack (35),3.473,1945,R
263,264.,Ossie Bluege (22),3.472,1923,R
264,265.,Patsy Tebeau (24),3.471,1889,R
265,266.,George Moriarty (28),3.468,1914,R
266,266.,Babe Pinelli (29),3.468,1925,R
267,268.,Bill Bradley (28),3.463,1906,R
268,268.,Fred Hartman (33),3.463,1898,R
269,268.,Fred Warner (24),3.463,1879,
270,268.,Art Whitney (28),3.463,1886,R
271,272.,Bill Joyce (22),3.459,1890,R
272,272.,Eddie Yost (29),3.459,1956,R
273,274.,Doug Baird (25),3.458,1917,R
274,275.,Tommy Leach (23),3.457,1901,R
275,276.,Ken McMullen (25),3.455,1967,R
276,276.,Ken McMullen (27),3.455,1969,R
277,278.,Charlie Pick (28),3.454,1916,R
278,279.,Buddy Bell (26),3.453,1978,R
279,280.,Jimmy Dykes (29),3.451,1926,R
280,280.,Bill Hague (27),3.451,1879,R
281,282.,Darrell Evans (27),3.450,1974,R
282,283.,Bill Kuehne (32),3.449,1891,R
283,284.,Tim Wallach (27),3.448,1985,R
284,285.,Bill Bradley (27),3.445,1905,R
285,286.,Home Run Baker+ (27),3.443,1913,R
286,286.,Home Run Baker+ (28),3.443,1914,R
287,288.,Eddie Foster (31),3.441,1918,R
288,288.,Frank Hankinson (31),3.441,1887,R
289,290.,Tom Burns (33),3.439,1890,R
290,291.,Fred Haney (30),3.438,1926,R
291,291.,Willie Kamm (24),3.438,1924,R
292,293.,Heinie Groh (28),3.437,1918,R
293,293.,Ken Keltner (25),3.437,1942,R
294,295.,Suter Sullivan (26),3.436,1899,
295,296.,Jerry Denny (26),3.434,1885,R
296,297.,Bob Jones (33),3.433,1923,R
297,298.,George Pinkney (34),3.432,1893,R
298,299.,Denny Lyons (21),3.431,1887,R
299,299.,Brooks Robinson+ (37),3.431,1974,R
300,301.,Jimmy Austin (32),3.430,1912,R
301,302.,Ned Williamson (20),3.429,1878,R
302,303.,Terry Turner (30),3.426,1911,R
303,304.,Billy Lauder (25),3.424,1899,R
304,305.,Bill Joyce (28),3.423,1896,R
305,306.,Cecil Travis (21),3.421,1935,R
306,306.,Art Whitney (32),3.421,1890,R
307,308.,Billy Shindle (34),3.419,1895,R
308,309.,Brooks Robinson+ (32),3.417,1969,R
309,309.,Jim Tabor (23),3.417,1940,R
310,311.,Billy Klaus (27),3.415,1956,R
311,312.,Charley Bassett (28),3.413,1891,R
312,313.,Jimmy Dykes (25),3.411,1922,R
313,313.,Bill Joyce (29),3.411,1897,R
314,313.,Marty McManus (31),3.411,1931,R
315,313.,Ossie Vitt (25),3.411,1915,R
316,317.,Harlond Clift (26),3.409,1939,R
317,317.,Heinie Groh (26),3.409,1916,R
318,319.,Billy Nash (26),3.407,1891,R
319,320.,John Irwin (28),3.406,1890,R
320,321.,Frank Malzone (27),3.405,1957,R
321,322.,Graig Nettles (29),3.403,1974,R
322,323.,Jimmy Austin (34),3.402,1914,R
323,324.,Art Devlin (28),3.401,1908,R
324,325.,Germany Schaefer (26),3.400,1902,R
325,326.,Bernie Friberg (27),3.398,1927,R
326,327.,Don Hoak (27),3.397,1955,R
327,328.,Ed Mayer (24),3.393,1890,
328,328.,Gil McDougald (24),3.393,1952,R
329,330.,Ray Boone (30),3.392,1954,R
330,330.,Bob Elliott (32),3.392,1949,R
331,330.,Lee Handley (31),3.392,1945,R
332,333.,Gil Torres (28),3.390,1944,R
333,334.,Art Whitney (29),3.387,1887,R
334,335.,Willie Kamm (29),3.386,1929,R
335,336.,Lena Blackburne (32),3.385,1919,R
336,337.,Bill Joyce (26),3.384,1894,R
337,337.,Aurelio Rodriguez (27),3.384,1975,R
338,339.,Frank Hankinson (29),3.383,1885,R
339,340.,Larry Gardner (35),3.382,1921,R
340,341.,Bill Everitt (27),3.381,1896,R
341,341.,Willie Jones (26),3.381,1952,R
342,343.,Buck Weaver (29),3.378,1920,R
343,344.,Jimmy Burke (30),3.377,1905,R
344,344.,Tommy Glaviano (26),3.377,1950,R
345,344.,Terry Turner (35),3.377,1916,R
346,344.,Bobby Wallace+ (23),3.377,1897,R
347,344.,Deacon White+ (39),3.377,1887,R
348,349.,Buddy Bell (28),3.375,1980,R
349,350.,Lee Handley (32),3.373,1946,R
350,351.,Jim Delahanty (25),3.372,1904,R
351,351.,Willie Jones (23),3.372,1949,R
352,351.,Cecil Travis (26),3.372,1940,R
353,351.,Pinky Whitney (25),3.372,1930,R
354,355.,Andy Carey (23),3.370,1955,R
355,355.,Heinie Zimmerman (31),3.370,1918,R
356,357.,George Brett+ (26),3.369,1979,R
357,357.,Jimmy Collins+ (33),3.369,1903,R
358,357.,Mike Schmidt+ (27),3.369,1977,R
359,360.,Jim Donnelly (30),3.368,1896,R
360,361.,George Davis+ (21),3.367,1892,R
361,362.,Bobby Adams (32),3.366,1954,R
362,362.,Mark Christman (30),3.366,1944,R
363,364.,Eddie Foster (32),3.365,1919,R
364,365.,Jimmy Austin (37),3.364,1917,R
365,365.,Larry Gardner (34),3.364,1920,R
366,367.,Clete Boyer (26),3.362,1963,R
367,367.,Charlie Deal (27),3.362,1919,R
368,367.,Bill Everitt (26),3.362,1895,R
369,367.,Tex Wisterzil (26),3.362,1914,R
370,371.,Willie Kamm (28),3.361,1928,R
371,372.,Jim Tabor (27),3.360,1944,R
372,373.,Gus Getz (25),3.359,1915,R
373,374.,Bob Elliott (28),3.358,1945,R
374,374.,Ken McMullen (28),3.358,1970,R
375,374.,Art Scharein (28),3.358,1933,R
376,377.,Loren Babe (25),3.357,1953,R
377,377.,Buddy Bell (22),3.357,1974,R
378,377.,Nanny Fernandez (23),3.357,1942,R
379,377.,Don Hoak (30),3.357,1958,R
380,377.,Bill McKechnie+ (31),3.357,1918,R
381,377.,Graig Nettles (28),3.357,1973,R
382,383.,Arlie Latham (27),3.356,1887,R
383,383.,Ezra Sutton (28),3.356,1878,R
384,385.,Hector Lopez (26),3.355,1956,R
385,386.,Jim Finigan (25),3.353,1954,R
386,386.,Frankie Gustine (27),3.353,1947,R
387,388.,Wayne Causey (24),3.352,1961,R
388,388.,Brandon Inge (29),3.352,2006,R
389,390.,Eddie Foster (25),3.351,1912,R
390,390.,Steve Mesner (27),3.351,1945,R
391,392.,Randy Jackson (30),3.350,1956,R
392,392.,Lew Riggs (27),3.350,1937,R
393,394.,Mike Mowrey (26),3.348,1910,R
394,395.,Wid Conroy (27),3.346,1904,R
395,395.,Billy Nash (30),3.346,1895,R
396,395.,Ezra Sutton (31),3.346,1881,R
397,398.,Pete Castiglione (30),3.343,1951,R
398,398.,Buddy Lewis (22),3.343,1939,R
399,398.,Harry Lord (27),3.343,1909,R
400,398.,Billy Purtell (24),3.343,1910,R
401,402.,Jimmy Brown (31),3.342,1941,R
402,403.,George Pinkney (30),3.341,1889,R
403,404.,Doug DeCinces (31),3.340,1982,R
404,405.,Bert Myers (22),3.339,1896,R
405,406.,Floyd Baker (30),3.337,1947,R
406,407.,Buck Herzog (26),3.336,1912,R
407,407.,Frank Malzone (28),3.336,1958,R
408,407.,Héctor Rodríguez (32),3.336,1952,R
409,407.,Pie Traynor+ (28),3.336,1927,R
410,407.,Eddie Yost (27),3.336,1954,R
411,407.,Heinie Zimmerman (30),3.336,1917,R
412,413.,Nolan Arenado (29),3.333,2020,R
413,413.,Ossie Bluege (27),3.333,1928,R
414,413.,Harlond Clift (27),3.333,1940,R
415,413.,Jumbo Davis (25),3.333,1887,R
416,413.,Joe Dugan (28),3.333,1925,R
417,413.,George Moriarty (25),3.333,1911,R
418,419.,Bill Joyce (27),3.331,1895,R
419,420.,Home Run Baker+ (23),3.329,1909,R
420,421.,Fred Hartman (32),3.328,1897,R
421,422.,Al Rosen (29),3.325,1953,R
422,423.,Odell Hale (27),3.324,1936,R
423,424.,Mike Schmidt+ (24),3.321,1974,R
424,425.,Zinn Beck (28),3.320,1914,R
425,425.,Ray Boone (29),3.320,1953,R
426,425.,Clete Boyer (28),3.320,1965,R
427,428.,Joe Yeager (31),3.319,1907,R
428,429.,Home Run Baker+ (25),3.318,1911,R
429,429.,Harlond Clift (28),3.318,1941,R
430,431.,Fritz Maisel (28),3.317,1918,R
431,431.,Ken McMullen (26),3.317,1968,R
432,433.,Denny Lyons (26),3.315,1892,R
433,434.,Charlie Deal (26),3.314,1918,R
434,435.,Roger Connor+ (22),3.313,1880,L
435,436.,Bill Coughlin (24),3.311,1903,R
436,436.,Willie Kamm (30),3.311,1930,R
437,436.,Mike Schmidt+ (25),3.311,1975,R
438,439.,Bill Bradley (25),3.309,1903,R
439,439.,Wid Conroy (26),3.309,1903,R
440,441.,Denny Lyons (25),3.308,1891,R
441,442.,Fred Thomas (26),3.307,1919,R
442,443.,Hick Carpenter (27),3.305,1883,L
443,443.,Heinie Groh (25),3.305,1915,R
444,443.,Heinie Groh (27),3.305,1917,R
445,446.,Eddie Yost (23),3.303,1950,R
446,447.,Eddie Kasko (29),3.302,1960,R
447,448.,Marty McManus (29),3.300,1929,R
448,449.,George Kell+ (28),3.299,1951,R
449,450.,Jimmy Collins+ (35),3.298,1905,R
450,451.,Ezra Sutton (35),3.297,1885,R
451,452.,Chippy McGarr (27),3.296,1890,R
452,453.,Art Whitney (31),3.295,1889,R
453,454.,Milt Stock (24),3.293,1918,R
454,455.,Buddy Bell (21),3.292,1973,R
455,456.,Ron Cey (26),3.291,1974,R
456,456.,Bill Melton (25),3.291,1971,R
457,456.,Mike Mowrey (27),3.291,1911,R
458,456.,Billy Nash (32),3.291,1897,R
459,456.,Graig Nettles (31),3.291,1976,R
460,461.,George Kell+ (24),3.290,1947,R
461,461.,Billy Werber (34),3.290,1942,R
462,463.,Terry Pendleton (24),3.289,1985,R
463,464.,Buddy Bell (31),3.286,1983,R
464,465.,Babe Pinelli (27),3.285,1923,R
465,466.,Joe Evans (22),3.284,1917,R
466,466.,Billy Johnson (24),3.284,1943,R
467,468.,Brooks Robinson+ (23),3.283,1960,R
468,468.,Joe Sewell+ (30),3.283,1929,R
469,468.,Eric Soderholm (26),3.283,1975,R
470,468.,Ned Williamson (27),3.283,1885,R
471,472.,George Davis+ (23),3.282,1894,R
472,473.,Heinie Groh (29),3.281,1919,R
473,473.,George Kell+ (21),3.281,1944,R
474,475.,Bill Kuehne (30),3.280,1889,R
475,475.,Tommy Leach (30),3.280,1908,R
476,477.,Gil McDougald (25),3.279,1953,R
477,477.,Pete Suder (25),3.279,1941,R
478,479.,Odell Hale (28),3.278,1937,R
479,479.,Hank Majeski (34),3.278,1951,R
480,479.,Bubba Phillips (29),3.278,1957,R
481,482.,Home Run Baker+ (33),3.277,1919,R
482,482.,Aurelio Rodriguez (26),3.277,1974,R
483,482.,Sibby Sisti (20),3.277,1941,R
484,485.,Jimmy Collins+ (34),3.276,1904,R
485,485.,Tim O'Rourke (26),3.276,1890,R
486,485.,Harry Steinfeldt (28),3.276,1904,R
487,488.,Harry Wolverton (30),3.275,1904,R
488,489.,Dave Brain (26),3.274,1905,R
489,489.,Matt Chapman (24),3.274,2017,R
490,489.,Graig Nettles (30),3.274,1975,R
491,492.,Bobby Adams (30),3.273,1952,R
492,492.,Charlie Barber (30),3.273,1884,R
493,492.,Doug Rader (25),3.273,1970,R
494,492.,Red Rolfe (28),3.273,1937,R
495,496.,Pie Traynor+ (29),3.271,1928,R
496,497.,Willie Jones (28),3.270,1954,R
497,498.,Danny O'Connell (24),3.269,1953,R
498,498.,Harry Wolverton (27),3.269,1901,R
499,500.,Willie Jones (24),3.268,1950,R
