,Rank,Player (age that year),Batters Faced,Year,Throws
293,294.,Henry Gruber (27),1576,1891,R
294,295.,John Keefe (22),1572,1890,L
295,296.,Clark Griffith+ (25),1570,1895,R
296,297.,Bob Caruthers (24),1569,1888,R
297,298.,Sadie McMahon (25),1568,1893,R
298,298.,George Mullin (23),1568,1904,R
299,300.,Dan Casey (23),1566,1886,L
300,301.,Sam Leever (27),1564,1899,R
301,301.,Kid Nichols+ (26),1564,1896,R
302,301.,Gus Weyhing (31),1564,1898,R
303,304.,Tim Keefe+ (32),1563,1889,R
304,304.,Sam Weaver (26),1563,1882,R
305,306.,Bert Cunningham (24),1562,1890,R
306,306.,Sam Kimber (31),1562,1884,R
307,306.,Win Mercer (20),1562,1894,R
308,309.,Cinders O'Brien (22),1560,1889,R
309,310.,George Hemming (25),1555,1894,R
310,311.,Jersey Bakley (26),1550,1890,R
311,312.,John Ewing (26),1549,1889,R
312,313.,George Uhle (24),1548,1923,R
313,313.,Lee Viau (24),1548,1891,R
314,315.,Henry Boyle (24),1547,1885,R
315,316.,Jack Powell (29),1546,1904,R
316,317.,Jack Stivetts (26),1542,1894,R
317,318.,George Hemming (24),1541,1893,R
318,319.,Ben Sanders (24),1539,1889,R
319,320.,Mickey Lolich (30),1538,1971,L
320,321.,Ed Crane (28),1537,1890,R
321,322.,Mike Morrison (20),1536,1887,R
322,322.,Ben Sanders (25),1536,1890,R
323,324.,Pretzels Getzien (25),1535,1889,R
324,324.,Egyptian Healy (20),1535,1887,R
325,326.,Mickey Welch+ (21),1534,1881,R
326,327.,Dave Foutz (30),1533,1887,R
327,328.,Ed Walsh+ (31),1532,1912,R
328,329.,Bill Hart (30),1531,1896,R
329,329.,Wilbur Wood (31),1531,1973,L
330,331.,Pete Alexander+ (30),1529,1917,R
331,332.,Al Mays (21),1528,1886,R
332,332.,Kid Nichols+ (28),1528,1898,R
333,334.,Hank O'Day+ (30),1526,1890,R
334,335.,Doc McJames (23),1525,1898,R
335,336.,Noodles Hahn (22),1524,1901,L
336,337.,Bill Stemmyer (21),1520,1886,R
337,337.,Cy Young+ (31),1520,1898,R
338,339.,Joe McGinnity+ (28),1519,1899,R
339,340.,Dummy Taylor (26),1518,1901,R
340,340.,Cy Young+ (28),1518,1895,R
341,342.,Win Mercer (23),1517,1897,R
342,343.,Ed Daily (27),1516,1890,R
343,344.,Brickyard Kennedy (29),1513,1897,R
344,345.,Charlie Buffinton (30),1512,1891,R
345,345.,Bob Feller+ (27),1512,1946,R
346,347.,Dad Clarke (31),1510,1896,R
347,347.,Bert Cunningham (32),1510,1898,R
348,347.,Nig Cuppy (25),1510,1895,R
349,347.,Denny Driscoll (27),1510,1883,L
350,347.,Red Ehret (21),1510,1890,R
351,352.,Bill Dinneen (26),1508,1902,R
352,353.,Cy Young+ (35),1506,1902,R
353,354.,Togie Pittinger (31),1505,1903,R
354,355.,Henry Porter (29),1504,1887,R
355,356.,Cy Falkenberg (34),1502,1914,R
356,356.,Christy Mathewson+ (22),1502,1903,R
357,358.,Pete Alexander+ (29),1500,1916,R
358,358.,Clark Griffith+ (27),1500,1897,R
359,360.,Nig Cuppy (26),1498,1896,R
360,361.,Dave Davenport (25),1497,1915,R
361,361.,Old Hoss Radbourn+ (35),1497,1890,R
362,363.,Rube Waddell+ (27),1496,1904,L
363,364.,Jack Taylor (25),1495,1899,R
364,365.,Theodore Breitenstein (27),1494,1896,L
365,366.,Bill Carrick (26),1493,1900,R
366,367.,Bill Donovan (24),1490,1901,R
367,367.,Kid Nichols+ (27),1490,1897,R
368,367.,Vic Willis+ (28),1490,1904,R
369,367.,Wilbur Wood (30),1490,1972,L
370,371.,Pud Galvin+ (32),1487,1889,R
371,371.,Egyptian Healy (19),1487,1886,R
372,373.,Tricky Nichols (26),1484,1877,R
373,373.,Scott Stratton (23),1484,1893,R
374,375.,Mark Baldwin (29),1482,1893,R
375,375.,George Pechiney (24),1482,1886,R
376,377.,Toad Ramsey (23),1481,1888,L
377,378.,Joe McGinnity+ (29),1480,1900,R
378,378.,Jouett Meekin (29),1480,1896,R
379,380.,Casey Patten (30),1478,1904,L
380,381.,Bobo Newsom (30),1475,1938,R
381,381.,Scott Stratton (22),1475,1892,R
382,381.,Irv Young (27),1475,1905,L
383,384.,Jack Neagle (26),1474,1884,R
384,385.,Frank Mountain (24),1473,1884,R
385,386.,Jack Taylor (22),1472,1895,R
386,387.,George Mullin (26),1470,1907,R
387,387.,Gus Weyhing (32),1470,1899,R
388,389.,Larry Corcoran (22),1469,1882,R
389,389.,Frank Killen (26),1469,1897,L
390,389.,Christy Mathewson+ (27),1469,1908,R
391,389.,The Only Nolan (22),1469,1878,R
392,393.,Mickey Hughes (21),1468,1888,R
393,393.,Toad Ramsey (25),1468,1890,L
394,393.,Cy Young+ (32),1468,1899,R
395,396.,Bob Feller+ (22),1466,1941,R
396,396.,Pretzels Getzien (26),1466,1890,R
397,396.,Jumbo McGinnis (30),1466,1884,
398,399.,Mark Baldwin (23),1465,1887,R
399,400.,Red Faber+ (33),1464,1922,R
400,401.,Chick Fraser (27),1463,1901,R
401,402.,Brickyard Kennedy (30),1461,1898,R
402,402.,John Sowders (23),1461,1890,L
403,404.,Kid Carsey (20),1460,1893,R
404,405.,Pete Alexander+ (27),1459,1914,R
405,406.,Mike Smith (20),1456,1888,L
406,407.,Pretzels Getzien (21),1455,1885,R
407,408.,Win Mercer (21),1454,1895,R
408,409.,Jim McCormick (29),1449,1886,R
409,409.,Jock Menefee (26),1449,1894,R
410,409.,Ed Walsh+ (30),1449,1911,R
