,Rank,Player (age that year),Errors Committed as 2B,Year,Throws
54,54.,Joe Gerhardt (30),65,1885,R
55,54.,Joe Gerhardt (32),65,1887,R
56,54.,Bid McPhee+ (26),65,1886,R
57,54.,Al Myers (22),65,1886,R
58,54.,Fred Pfeffer (28),65,1888,R
59,60.,Jack Farrell (23),64,1881,R
60,60.,Joe Gerhardt (29),64,1884,R
61,60.,Kid Gleason (34),64,1901,R
62,60.,Bid McPhee+ (24),64,1884,R
63,60.,Al Myers (21),64,1885,R
64,60.,Pop Smith (28),64,1885,R
65,66.,Cupid Childs (26),63,1894,R
66,66.,Cupid Childs (27),63,1895,R
67,66.,Tom Daly (33),63,1899,R
68,66.,Fred Dunlap (23),63,1882,R
69,66.,Gracie Pierce (22),63,1882,R
70,66.,Hardy Richardson (27),63,1882,R
71,66.,Cub Stricker (30),63,1889,R
72,73.,Lou Bierbauer (24),62,1890,R
73,73.,Cupid Childs (25),62,1893,R
74,73.,Mike McGeary (28),62,1879,R
75,73.,John Pickett (24),62,1890,R
76,73.,Pop Smith (26),62,1883,R
77,78.,Lou Bierbauer (21),61,1887,R
78,78.,Hub Collins (25),61,1889,R
79,78.,Jack Farrell (21),61,1879,R
80,78.,Jack Farrell (22),61,1880,R
81,78.,Hobe Ferris (26),61,1901,R
82,83.,Chick Fulmer (28),60,1879,R
83,83.,Bill Greenwood (32),60,1889,L
84,83.,Al Myers (24),60,1888,R
85,83.,Elias Peak (25),60,1884,
86,83.,Joe Quest (25),60,1878,R
87,83.,Joe Quest (31),60,1884,R
88,89.,Jack Burdock (27),59,1879,R
89,89.,Bill Greenwood (27),59,1884,L
90,89.,Bill Greenwood (33),59,1890,L
91,89.,Bobby Lowe (28),59,1894,R
92,89.,Charlie Sweasy (30),59,1878,R
93,94.,Tommy Dowd (23),58,1892,R
94,94.,Fred Dunlap (24),58,1883,R
95,94.,Fred Dunlap (27),58,1886,R
96,94.,Bob Ferguson (35),58,1880,R
97,94.,Joe Quest (27),58,1880,R
98,99.,Charley Bassett (25),57,1888,R
99,99.,Cupid Childs (22),57,1890,R
100,99.,Joe Gerhardt (31),57,1886,R
101,99.,Bill Smiley (26),57,1882,
102,99.,Pop Smith (33),57,1890,R
103,99.,Cub Stricker (29),57,1888,R
104,99.,Dasher Troy (27),57,1883,R
105,106.,Erve Beck (22),56,1901,R
106,106.,Joe Gerhardt (28),56,1883,R
107,106.,Bill Greenwood (30),56,1887,L
108,106.,Thorny Hawkes (26),56,1879,R
109,106.,Fred Pfeffer (29),56,1889,R
110,106.,General Stafford (27),56,1895,R
111,106.,Frank Truesdale (26),56,1910,R
112,113.,Lou Bierbauer (23),55,1889,R
113,113.,Lou Bierbauer (25),55,1891,R
114,113.,Jack Burdock (36),55,1888,R
115,113.,Eddie Burke (25),55,1892,R
116,113.,Bob Ferguson (36),55,1881,R
117,113.,Kid Gleason (31),55,1898,R
118,113.,George Grantham (23),55,1923,R
119,113.,Bill Hallman (24),55,1891,R
120,121.,George Creamer (27),54,1882,R
121,121.,Johnny Evers+ (22),54,1904,R
122,123.,Sam Barkley (27),53,1885,R
123,123.,Charley Bassett (24),53,1887,R
124,123.,Jim Canavan (25),53,1892,R
125,123.,Cupid Childs (24),53,1892,R
126,123.,Cupid Childs (28),53,1896,R
127,123.,Larry Doyle (23),53,1910,R
128,123.,Fred Dunlap (21),53,1880,R
129,123.,John Farrell (26),53,1903,R
130,123.,John Farrell (27),53,1904,R
131,123.,Kid Gleason (30),53,1897,R
132,123.,Al Myers (27),53,1891,R
133,123.,Danny Richardson (26),53,1889,R
134,123.,Yank Robinson (28),53,1888,R
135,123.,George Wright+ (30),53,1877,R
136,137.,Charley Bassett (26),52,1889,R
137,137.,Cupid Childs (32),52,1900,R
138,137.,Joe Gerhardt (22),52,1877,R
139,137.,Joe Gerhardt (35),52,1890,R
140,137.,Kid Gleason (37),52,1904,R
141,137.,Tim Manning (30),52,1884,R
142,137.,Parson Nicholson (27),52,1890,
143,137.,Jay Partridge (24),52,1927,R
144,137.,Joe Quinn (27),52,1890,R
145,137.,Tim Shinnick (22),52,1890,R
146,137.,Tim Shinnick (23),52,1891,R
147,137.,Ace Stewart (26),52,1895,R
148,137.,Cub Stricker (23),52,1882,R
149,137.,Jimmy Williams (24),52,1901,R
150,151.,Sam Barkley (26),51,1884,R
151,151.,George Creamer (26),51,1881,R
152,151.,Fred Dunlap (22),51,1881,R
153,151.,Fred Dunlap (25),51,1884,R
154,151.,Jack Farrell (25),51,1883,R
155,151.,Jack Farrell (26),51,1884,R
156,151.,Joe Gerhardt (26),51,1881,R
157,151.,Kid Gleason (28),51,1895,R
158,151.,Miller Huggins+ (27),51,1905,R
159,151.,Bid McPhee+ (30),51,1890,R
160,151.,Bid McPhee+ (32),51,1892,R
161,151.,Claude Ritchey (25),51,1899,R
162,151.,Cub Stricker (32),51,1891,R
163,151.,Charlie Sweasy (28),51,1876,R
164,151.,Sam Wise (35),51,1893,R
165,166.,Lou Bierbauer (28),50,1894,R
166,166.,Jack Burdock (28),50,1880,R
167,166.,Tom Daly (29),50,1895,R
168,166.,Kid Gleason (32),50,1899,R
169,166.,Bid McPhee+ (29),50,1889,R
170,166.,Fred Pfeffer (32),50,1892,R
171,166.,Danny Richardson (24),50,1887,R
172,166.,Dan Shannon (25),50,1890,
173,174.,Lou Bierbauer (26),49,1892,R
174,174.,Fred Dunlap (26),49,1885,R
175,174.,Billy Gilbert (25),49,1901,R
176,174.,Bill Hallman (25),49,1892,R
177,174.,Bobby Lowe (27),49,1893,R
178,174.,Bid McPhee+ (34),49,1894,R
179,174.,Bert Niehoff (32),49,1916,R
180,174.,Jiggs Parrott (22),49,1894,
181,174.,Fred Pfeffer (33),49,1893,R
182,174.,Pop Smith (30),49,1887,R
183,184.,Cupid Childs (30),48,1898,R
184,184.,Cupid Childs (31),48,1899,R
185,184.,Kid Gleason (29),48,1896,R
186,184.,Kid Gleason (33),48,1900,R
187,184.,Bill Hallman (27),48,1894,R
188,184.,Dick Padden (26),48,1897,R
189,184.,Joe Quest (26),48,1879,R
190,184.,Heinie Reitz (26),48,1893,R
191,184.,Cub Stricker (33),48,1892,R
192,193.,Sam Barkley (28),47,1886,R
193,193.,Jack Crooks (24),47,1890,R
194,193.,Billy Gilbert (27),47,1903,R
195,193.,Don Johnson (32),47,1944,R
196,193.,Jimmy Knowles (29),47,1886,
197,193.,Bid McPhee+ (25),47,1885,R
198,193.,Bid McPhee+ (28),47,1888,R
199,193.,Sam Mertes (28),47,1901,R
200,193.,George Strief (26),47,1883,R
201,202.,Jimmy Dykes (24),46,1921,R
202,202.,Kid Gleason (38),46,1905,R
203,202.,Miller Huggins+ (26),46,1904,R
204,202.,Nap Lajoie+ (23),46,1898,R
205,202.,Bid McPhee+ (23),46,1883,R
206,202.,Danny Murphy (27),46,1904,R
207,202.,John O'Brien (28),46,1895,R
208,202.,Del Pratt (26),46,1914,R
209,202.,Danny Richardson (25),46,1888,R
210,202.,Hardy Richardson (34),46,1889,R
211,202.,Claude Ritchey (27),46,1901,R
212,202.,Bill Sweeney (25),46,1911,R
213,214.,Ed Abbaticchio (26),45,1903,R
214,214.,Jack Burdock (24),45,1876,R
215,214.,Sam Crane (32),45,1886,R
216,214.,Billy Herman+ (23),45,1933,R
217,214.,Bill Sweeney (27),45,1913,R
218,214.,Piggy Ward (27),45,1894,R
219,220.,Jack Burdock (31),44,1883,R
220,220.,Jim Connor (35),44,1898,R
221,220.,Jack Crooks (26),44,1892,R
222,220.,Tom Daly (27),44,1893,R
223,220.,Ed Delahanty+ (20),44,1888,R
224,220.,Dick Egan (27),44,1911,R
225,220.,Johnny Evers+ (24),44,1906,R
226,220.,Bob Ferguson (37),44,1882,R
227,220.,Billy Gilbert (28),44,1904,R
228,220.,George Grantham (24),44,1924,R
229,220.,Heinie Groh (24),44,1914,R
230,220.,Miller Huggins+ (28),44,1906,R
231,220.,Al Myers (23),44,1887,R
232,220.,John O'Brien (29),44,1896,R
233,220.,Joe Quinn (30),44,1893,R
234,220.,Joe Quinn (32),44,1895,R
235,220.,Dave Shean (26),44,1910,R
236,237.,Sam Barkley (30),43,1888,R
237,237.,Tom Daly (35),43,1901,R
238,237.,Frankie Gustine (20),43,1940,R
239,237.,Marty Kavanagh (23),43,1914,R
240,237.,Duke Kenworthy (27),43,1914,R
241,242.,Whitey Alpermann (29),42,1909,R
242,242.,Cupid Childs (29),42,1897,R
243,242.,Hub Collins (26),42,1890,R
244,242.,Tom Forster (27),42,1886,R
245,242.,Kid Gleason (35),42,1902,R
246,242.,Bill Hallman (28),42,1895,R
247,242.,Bill Lange (22),42,1893,R
248,242.,Bid McPhee+ (22),42,1882,R
249,242.,Bid McPhee+ (31),42,1891,R
250,242.,Joe Quinn (28),42,1891,R
251,242.,Jim Viox (23),42,1914,R
252,253.,Pug Bennett (32),41,1906,R
253,253.,Jack Burdock (26),41,1878,R
254,253.,Jack Burdock (35),41,1887,R
255,253.,Bill Craver (32),41,1876,R
256,253.,Gene DeMontreville (25),41,1898,R
257,253.,Tim Flood (25),41,1902,R
258,253.,Odell Hale (25),41,1934,R
259,253.,Bill Hallman (31),41,1898,R
260,253.,Billy Herman+ (27),41,1937,R
261,253.,Bill Keister (28),41,1900,R
262,253.,Bid McPhee+ (33),41,1893,R
263,253.,Bert Niehoff (31),41,1915,R
264,253.,Del Pratt (25),41,1913,R
265,266.,Joe Ardner (32),40,1890,R
266,266.,Jack Burdock (25),40,1877,R
267,266.,Jack Burdock (29),40,1881,R
268,266.,Hub Collins (27),40,1891,R
269,266.,Tom Daly (34),40,1900,R
270,266.,Larry Doyle (28),40,1915,R
271,266.,John Farrell (25),40,1902,R
272,266.,Bobby Lowe (33),40,1899,R
273,266.,Lee Magee (26),40,1915,R
274,266.,Dick Padden (27),40,1898,R
275,266.,John Peters (28),40,1878,R
276,266.,Joe Quinn (29),40,1892,R
277,266.,Bama Rowell (25),40,1941,R
278,266.,George Strief (25),40,1882,R
279,266.,Bill Sweeney (26),40,1912,R
280,266.,Jimmy Williams (27),40,1904,R
281,282.,Lou Bierbauer (29),39,1895,R
282,282.,Lou Chiozza (25),39,1935,R
283,282.,Larry Doyle (22),39,1909,R
284,282.,Fred Dunlap (30),39,1889,R
285,282.,Jack Farrell (27),39,1885,R
286,282.,Jack Farrell (28),39,1886,R
287,282.,Jack Farrell (21),39,1914,R
288,282.,John Farrell (24),39,1901,R
289,282.,Hobe Ferris (28),39,1903,R
290,282.,Joe Gerhardt (24),39,1879,R
291,282.,Bill Hallman (29),39,1896,R
292,282.,Mike McGeary (25),39,1876,R
293,294.,Eddie Collins+ (25),38,1912,R
294,294.,Sam Crane (31),38,1885,R
295,294.,George Cutshaw (26),38,1913,R
296,294.,George Cutshaw (27),38,1914,R
297,294.,Larry Doyle (25),38,1912,R
298,294.,Johnny Evers+ (27),38,1909,R
299,294.,Hobe Ferris (27),38,1902,R
300,294.,Joe Gerhardt (23),38,1878,R
301,294.,Bill Greenwood (31),38,1888,L
302,294.,Bucky Harris+ (24),38,1921,R
303,294.,Billy Herman+ (22),38,1932,R
304,294.,Charlie Hickman (29),38,1905,R
305,294.,Otto Knabe (27),38,1911,R
306,294.,Sam LaRocque (27),38,1890,R
307,294.,Bill McClellan (29),38,1885,L
308,294.,Amby McConnell (25),38,1908,R
309,294.,Dots Miller (24),38,1911,R
310,294.,Al Myers (26),38,1890,R
311,294.,Pete O'Brien (29),38,1906,R
312,294.,Joe Quest (30),38,1883,R
313,294.,Danny Richardson (28),38,1891,R
314,294.,Bill Wambsganss (23),38,1917,R
315,294.,Bill Wambsganss (26),38,1920,R
316,317.,Johnny Evers+ (21),37,1903,R
317,317.,Miller Huggins+ (34),37,1912,R
318,317.,Otto Knabe (26),37,1910,R
319,317.,Nap Lajoie+ (33),37,1908,R
320,317.,Carl Lind (24),37,1928,R
321,317.,Bobby Lowe (32),37,1898,R
322,317.,Barry McCormick (29),37,1904,R
323,317.,Ray Morgan (25),37,1914,R
324,317.,John Morrill (21),37,1876,R
325,317.,Joe Quest (28),37,1881,R
326,317.,Ike Rockenfield (28),37,1905,R
327,317.,Germany Schaefer (29),37,1905,R
328,317.,Germany Schaefer (30),37,1906,R
329,317.,Heinie Smith (30),37,1902,R
330,317.,Bill Wambsganss (30),37,1924,R
331,332.,Ed Abbaticchio (30),36,1907,R
332,332.,Ross Barnes (26),36,1876,R
333,332.,Pete Childs (30),36,1902,R
334,332.,Jack Crooks (25),36,1891,R
335,332.,George Cutshaw (29),36,1916,R
336,332.,Tom Daly (30),36,1896,R
337,332.,Tom Daly (37),36,1903,R
338,332.,Gene DeMontreville (29),36,1902,R
339,332.,Red Downs (24),36,1908,R
340,332.,Larry Doyle (24),36,1911,R
341,332.,Johnny Evers+ (23),36,1905,R
342,332.,Jack Glasscock (21),36,1879,R
343,332.,George Grantham (30),36,1930,R
344,332.,Otto Knabe (25),36,1909,R
345,332.,Nap Lajoie+ (28),36,1903,R
346,332.,Frank LaPorte (31),36,1911,R
347,332.,George Magoon (28),36,1903,R
348,332.,Bill McClellan (32),36,1888,L
349,332.,Barney McLaughlin (25),36,1887,R
350,332.,Ski Melillo (27),36,1927,R
351,332.,Eddie Moore (26),36,1925,R
352,332.,Tom O'Brien (23),36,1883,R
353,332.,Fred Pfeffer (34),36,1894,R
354,332.,Fred Pfeffer (36),36,1896,R
355,332.,Del Pratt (24),36,1912,R
356,332.,Claude Ritchey (30),36,1904,R
357,332.,Heinie Smith (31),36,1903,R
358,332.,Deacon White+ (33),36,1881,R
359,332.,Sam Wise (31),36,1889,R
360,361.,Whitey Alpermann (26),35,1906,R
361,361.,Pete Browning (21),35,1882,R
362,361.,Jack Burdock (30),35,1882,R
363,361.,Bobby Byrne (29),35,1914,R
364,361.,Tommy Dowd (27),35,1896,R
365,361.,Charlie Gehringer+ (25),35,1928,R
366,361.,Billy Gilbert (30),35,1906,R
367,361.,Don Gutteridge (32),35,1944,R
368,361.,Bill Hallman (30),35,1897,R
369,361.,Lee Handley (23),35,1937,R
370,361.,Bucky Harris+ (26),35,1923,R
371,361.,Billy Herman+ (25),35,1935,R
372,361.,Frank Isbell (30),35,1906,R
373,361.,Alex Kampouris (22),35,1935,R
374,361.,King Kelly+ (29),35,1887,R
375,361.,Duke Kenworthy (28),35,1915,R
376,361.,Bill McClellan (22),35,1878,L
377,361.,Mike McGeary (26),35,1877,R
378,361.,Hardy Richardson (30),35,1885,R
379,361.,Bill Sweeney (28),35,1914,R
380,361.,Fresco Thompson (25),35,1927,R
381,361.,Dasher Troy (29),35,1885,R
382,383.,Lou Bierbauer (27),34,1893,R
383,383.,Chappy Charles (28),34,1909,R
384,383.,Bill Eagan (22),34,1891,
385,383.,Dick Egan (25),34,1909,R
386,383.,Tim Flood (26),34,1903,R
387,383.,Billy Gilbert (29),34,1905,R
388,383.,Bill Hallman (26),34,1893,R
389,383.,Rogers Hornsby+ (24),34,1920,R
390,383.,Rogers Hornsby+ (29),34,1925,R
391,383.,Jack Lewis (30),34,1914,R
392,383.,Bobby Lowe (31),34,1897,R
393,383.,Bobby Lowe (34),34,1900,R
394,383.,Bobby Lowe (36),34,1902,R
395,383.,Barry McCormick (24),34,1899,R
396,383.,Benny McCoy (24),34,1940,R
397,383.,Bid McPhee+ (35),34,1895,R
398,383.,Dots Miller (22),34,1909,R
399,383.,Harry Niles (26),34,1907,R
400,383.,John O'Brien (32),34,1899,R
401,383.,Frank Parkinson (27),34,1922,R
402,383.,George Pinkney (26),34,1885,R
403,383.,Joe Quinn (31),34,1894,R
404,383.,Fred Raymer (29),34,1905,R
405,383.,Eddie Stanky (29),34,1945,R
406,383.,Lou Stringer (24),34,1941,R
407,383.,Rabbit Warstler (31),34,1935,R
408,383.,Jimmy Williams (25),34,1902,R
409,383.,Steve Yerkes (24),34,1912,R
410,411.,Whitey Alpermann (27),33,1907,R
411,411.,Jack Burdock (34),33,1886,R
412,411.,Rod Carew+ (28),33,1974,R
413,411.,Jim Delahanty (31),33,1910,R
414,411.,Larry Doyle (21),33,1908,R
415,411.,Larry Doyle (30),33,1917,R
416,411.,Fred Dunlap (29),33,1888,R
417,411.,Johnny Evers+ (28),33,1910,R
418,411.,Hobe Ferris (29),33,1904,R
419,411.,Davy Force (35),33,1885,R
420,411.,Bucky Harris+ (23),33,1920,R
421,411.,Alex Kampouris (24),33,1937,R
422,411.,Otto Knabe (29),33,1913,R
423,411.,Dots Miller (23),33,1910,R
424,411.,Dick Padden (30),33,1901,R
425,411.,Del Pratt (28),33,1916,R
426,411.,Joe Quest (29),33,1882,R
427,411.,Claude Ritchey (26),33,1900,R
428,411.,Juan Samuel (23),33,1984,R
429,411.,Pop Smith (31),33,1888,R
430,411.,Fresco Thompson (27),33,1929,R
431,411.,Ralph Young (28),33,1917,R
432,411.,Rollie Zeider (26),33,1910,R
433,434.,Jim Canavan (30),32,1897,R
434,434.,Bill Cissell (26),32,1930,R
435,434.,Jim Connor (34),32,1897,R
436,434.,Creepy Crespi (23),32,1941,R
437,434.,Jack Crooks (29),32,1895,R
438,434.,Johnny Evers+ (25),32,1907,R
439,434.,Johnny Evers+ (30),32,1912,R
440,434.,Larry Gardner (24),32,1910,R
441,434.,Kid Gleason (39),32,1906,R
442,434.,Joe Gordon+ (26),32,1941,R
443,434.,George Grantham (27),32,1927,R
444,434.,Buck Herzog (31),32,1917,R
445,434.,Miller Huggins+ (29),32,1907,R
446,434.,Nap Lajoie+ (26),32,1901,R
447,434.,Frank LaPorte (35),32,1915,R
448,434.,Marty McManus (22),32,1922,R
449,434.,Marty McManus (23),32,1923,R
450,434.,Bid McPhee+ (38),32,1898,R
451,434.,Ski Melillo (31),32,1931,R
452,434.,Ray Morgan (24),32,1913,R
453,434.,Danny Murphy (26),32,1903,R
454,434.,Danny Murphy (28),32,1905,R
455,434.,John O'Brien (24),32,1891,R
456,434.,Jerry Priddy (26),32,1946,R
457,434.,Johnny Rawlings (28),32,1921,R
458,434.,Freddy Spurgeon (24),32,1926,R
459,434.,Fresco Thompson (26),32,1928,R
460,434.,Fresco Thompson (28),32,1930,R
461,434.,Burgess Whitehead (26),32,1936,R
462,434.,Alan Wiggins (26),32,1984,R
463,434.,Jimmy Williams (26),32,1903,R
464,434.,Jimmy Williams (29),32,1906,R
465,434.,Ralph Young (26),32,1915,R
466,434.,Heinie Zimmerman (24),32,1911,R
467,468.,Lou Chiozza (24),31,1934,R
468,468.,Pete Coscarart (27),31,1940,R
469,468.,Tom Daly (36),31,1902,R
470,468.,Jim Delahanty (30),31,1909,R
471,468.,Larry Doyle (26),31,1913,R
472,468.,Jimmy Dykes (23),31,1920,R
473,468.,Joe Farrell (29),31,1886,
474,468.,Hobe Ferris (30),31,1905,R
475,468.,Charlie Ganzel (26),31,1888,R
476,468.,Joe Gordon+ (23),31,1938,R
477,468.,Otto Knabe (30),31,1914,R
478,468.,Frank LaPorte (34),31,1914,R
479,468.,Tony Lazzeri+ (22),31,1926,R
480,468.,Jim Manning (27),31,1889,R
481,468.,Amby McConnell (26),31,1909,R
482,468.,Marty McManus (25),31,1925,R
483,468.,Mike Muldoon (28),31,1886,
484,468.,Bert Niehoff (33),31,1917,R
485,468.,Del Pratt (27),31,1915,R
486,468.,Joe Quinn (36),31,1899,R
487,468.,Morrie Rath (24),31,1912,R
488,468.,Heinie Reitz (31),31,1898,R
489,468.,Claude Ritchey (31),31,1905,R
490,468.,Jimmy Williams (31),31,1908,R
491,468.,Mickey Witek (27),31,1943,R
492,468.,Ralph Young (32),31,1921,R
493,494.,Gene Baker (30),30,1955,R
494,494.,Footsie Blair (29),30,1930,R
495,494.,Bill Cissell (28),30,1932,R
496,494.,George Creamer (23),30,1878,R
497,494.,Bill Cunningham (25),30,1911,R
498,494.,Gene DeMontreville (28),30,1901,R
499,494.,Johnny Evers+ (31),30,1913,R
