,Rank,Player (age that year),Assists as 2B,Year,Throws
55,54.,Bernie Friberg (26),512,1926,R
56,54.,Jim Gantner (30),512,1983,R
57,54.,Billy Herman+ (23),512,1933,R
58,54.,Johnny Ray (25),512,1982,R
59,54.,Fresco Thompson (27),512,1929,R
60,61.,Hughie Critz (29),510,1930,R
61,61.,Hughie Critz (33),510,1934,R
62,61.,Orlando Hudson (28),510,2006,R
63,61.,Cotton Tierney (29),510,1923,R
64,65.,Bobby Grich (24),509,1973,R
65,65.,Bill Mazeroski+ (25),509,1962,R
66,65.,Fresco Thompson (26),509,1928,R
67,65.,Manny Trillo (24),509,1975,R
68,69.,Charlie Gehringer+ (25),507,1928,R
69,69.,Harold Reynolds (26),507,1987,R
70,71.,Bill Mazeroski+ (26),506,1963,R
71,71.,Harold Reynolds (28),506,1989,R
72,73.,Joe Gordon+ (25),505,1940,R
73,73.,Glenn Hubbard (24),505,1982,R
74,73.,Carl Lind (24),505,1928,R
75,73.,Bill Mazeroski+ (24),505,1961,R
76,73.,Manny Trillo (27),505,1978,R
77,73.,Mickey Witek (27),505,1943,R
78,79.,Craig Biggio+ (31),504,1997,R
79,80.,Rennie Stennett (25),502,1976,R
80,81.,Charlie Gehringer+ (26),501,1929,R
81,81.,Charlie Gehringer+ (27),501,1930,R
82,83.,Johnny Evers+ (25),500,1907,R
83,83.,Jose Oquendo (25),500,1989,R
84,83.,Ryne Sandberg+ (25),500,1985,R
85,86.,Tony Cuccinello (23),499,1931,R
86,86.,Mark Ellis (30),499,2007,R
87,86.,Phil Garner (31),499,1980,R
88,86.,Harold Reynolds (29),499,1990,R
89,90.,Irv Hall (26),498,1945,R
90,90.,Bill Mazeroski+ (30),498,1967,R
91,92.,Robinson Cano (24),497,2007,R
92,92.,Hughie Critz (27),497,1928,R
93,92.,Jackie Hayes (26),497,1933,R
94,95.,Damion Easley (31),496,2001,R
95,95.,Bill Mazeroski+ (21),496,1958,R
96,97.,Charlie Gehringer+ (29),495,1932,R
97,97.,Johnny Rawlings (28),495,1921,R
98,99.,Glenn Beckert (24),494,1965,R
99,99.,Jerry Kindall (27),494,1962,R
100,99.,Bill Wambsganss (30),494,1924,R
101,99.,Eric Young Sr. (30),494,1997,R
102,103.,Ken Hubbs (21),493,1963,R
103,103.,Dave Shean (26),493,1910,R
104,103.,Randy Velarde (36),493,1999,R
105,103.,Aaron Ward (26),493,1923,R
106,107.,Billy Herman+ (26),492,1936,R
107,107.,Bid McPhee+ (31),492,1891,R
108,107.,Joe Morgan+ (21),492,1965,R
109,107.,Ryne Sandberg+ (26),492,1986,R
110,107.,Snuffy Stirnweiss (26),492,1945,R
111,107.,Bump Wills (24),492,1977,R
112,113.,Del Pratt (28),491,1916,R
113,113.,Del Pratt (31),491,1919,R
114,115.,Bobby Doerr+ (25),490,1943,R
115,115.,Joe Gordon+ (28),490,1943,R
116,115.,Jackie Hayes (30),490,1937,R
117,115.,Frank White (34),490,1985,R
118,119.,Frank Bolling (29),489,1961,R
119,119.,Charlie Gehringer+ (32),489,1935,R
120,119.,George Hausmann (29),489,1945,R
121,119.,Ken Hubbs (20),489,1962,R
122,119.,Bill Wambsganss (26),489,1920,R
123,119.,Aaron Ward (25),489,1922,R
124,125.,George Grantham (30),488,1930,R
125,125.,Bobby Knoop (27),488,1966,R
126,127.,Cupid Childs (28),487,1896,R
127,127.,Eddie Collins+ (28),487,1915,R
128,127.,Aaron Hill (30),487,2012,R
129,127.,Glenn Hubbard (28),487,1986,R
130,131.,Sparky Adams (31),485,1926,R
131,131.,Charlie Gehringer+ (34),485,1937,R
132,131.,Billy Herman+ (29),485,1939,R
133,131.,Tim Teufel (25),485,1984,R
134,131.,Fresco Thompson (25),485,1927,R
135,136.,Bobby Grich (26),484,1975,R
136,136.,Aaron Hill (27),484,2009,R
137,136.,Glenn Hubbard (25),484,1983,R
138,136.,Cass Michaels (23),484,1949,R
139,136.,Del Pratt (34),484,1922,R
140,141.,Bobby Doerr+ (28),483,1946,R
141,141.,Nellie Fox+ (27),483,1955,R
142,141.,Bucky Harris+ (25),483,1922,R
143,141.,Fred Pfeffer (29),483,1889,R
144,145.,Robinson Cano (25),482,2008,R
145,145.,Joe Morgan+ (27),482,1971,R
146,145.,Claude Ritchey (30),482,1904,R
147,145.,Rabbit Warstler (31),482,1935,R
148,149.,Dave Cash (27),481,1975,R
149,149.,Bucky Harris+ (24),481,1921,R
150,149.,Jim Morrison (27),481,1980,R
151,149.,Snuffy Stirnweiss (25),481,1944,R
152,153.,Bobby Doerr+ (22),480,1940,R
153,153.,Dick Egan (27),480,1911,R
154,153.,Odell Hale (25),480,1934,R
155,156.,Marty Barrett (27),479,1985,R
156,156.,Marty McManus (25),479,1925,R
157,156.,Johnny Ray (29),479,1986,R
158,156.,Freddy Spurgeon (24),479,1926,R
159,160.,Horace Clarke (31),478,1970,R
160,160.,Tito Fuentes (29),478,1973,R
161,160.,Glenn Hubbard (29),478,1987,R
162,160.,Freddie Maguire (32),478,1931,R
163,160.,Willie Randolph (24),478,1979,R
164,160.,Claude Ritchey (31),478,1905,R
165,166.,Rogers Hornsby+ (25),477,1921,R
166,166.,Orlando Hudson (25),477,2003,R
167,166.,Billy Moran (28),477,1962,R
168,166.,Red Schoendienst+ (31),477,1954,R
169,166.,Milt Stock (31),477,1925,R
170,171.,Freddie Maguire (31),476,1930,R
171,172.,Carlos Baerga (23),475,1992,R
172,172.,Bill Cissell (28),475,1932,R
173,172.,Brian Dozier (27),475,2014,R
174,172.,Ron Oester (30),475,1986,R
175,172.,Rennie Stennett (23),475,1974,R
176,172.,Bill Sweeney (26),475,1912,R
177,178.,Frankie Frisch+ (30),474,1928,R
178,178.,Fred Pfeffer (31),474,1891,R
179,180.,George Cutshaw (28),473,1915,R
180,180.,Frankie Frisch+ (32),473,1930,R
181,180.,Rogers Hornsby+ (26),473,1922,R
182,180.,Jose Lind (24),473,1988,R
183,180.,Rabbit Maranville+ (40),473,1932,R
184,180.,Mark McLemore (31),473,1996,R
185,180.,Buddy Myer (31),473,1935,R
186,180.,Bump Wills (27),473,1980,R
187,188.,Roberto Alomar+ (21),472,1989,R
188,188.,Julio Cruz (23),472,1978,R
189,188.,Kid Gleason (32),472,1899,R
190,188.,Jody Reed (29),472,1992,R
191,188.,John Ward+ (32),472,1892,R
192,193.,Eddie Collins+ (33),471,1920,R
193,193.,Hughie Critz (31),471,1932,R
194,193.,Julio Cruz (28),471,1983,R
195,193.,Frankie Frisch+ (28),471,1926,R
196,193.,Damaso Garcia (23),471,1980,R
197,193.,Marcus Giles (25),471,2003,R
198,193.,Bid McPhee+ (32),471,1892,R
199,193.,Jerry Priddy (28),471,1948,R
200,193.,Harold Reynolds (27),471,1988,R
201,193.,Dan Uggla (32),471,2012,R
202,193.,Michael Young (26),471,2003,R
203,204.,Pedro Garcia (23),470,1973,R
204,204.,Otto Knabe (24),470,1908,R
205,204.,DJ LeMahieu (28),470,2017,R
206,204.,Lou Whitaker (25),470,1982,R
207,208.,Jim Gantner (31),469,1984,R
208,208.,Marcus Giles (27),469,2005,R
209,208.,Bill Regan (29),469,1928,R
210,208.,Ryne Sandberg+ (30),469,1990,R
211,212.,Lou Bierbauer (24),468,1890,R
212,212.,Kid Gleason (31),468,1898,R
213,212.,Tommy Helms (30),468,1971,R
214,212.,Billy Herman+ (27),468,1937,R
215,212.,Jose Lopez (24),468,2008,R
216,212.,Fernando Vina (29),468,1998,R
217,212.,Bump Wills (26),468,1979,R
218,219.,George Cutshaw (29),467,1916,R
219,219.,Ian Kinsler (32),467,2014,R
220,219.,Tony Lazzeri+ (25),467,1929,R
221,219.,Bill Mazeroski+ (31),467,1968,R
222,219.,Marty McManus (22),467,1922,R
223,219.,Manny Trillo (26),467,1977,R
224,219.,Manny Trillo (29),467,1980,R
225,226.,Roberto Alomar+ (31),466,1999,R
226,226.,Bobby Doerr+ (29),466,1947,R
227,226.,Billy Gilbert (28),466,1904,R
228,226.,Joe Gordon+ (32),466,1947,R
229,226.,Roy Hughes (25),466,1936,R
230,226.,Omar Infante (29),466,2011,R
231,226.,Otto Knabe (29),466,1913,R
232,226.,Ryne Sandberg+ (29),466,1989,R
233,234.,Tito Fuentes (27),465,1971,R
234,234.,Phil Garner (27),465,1976,R
235,234.,Jimmy Williams (27),465,1904,R
236,237.,Danny Espinosa (24),464,2011,R
237,237.,Davey Johnson (30),464,1973,R
238,237.,Bid McPhee+ (26),464,1886,R
239,237.,John Ward+ (33),464,1893,R
240,241.,Kid Gleason (37),463,1904,R
241,241.,Bobby Grich (31),463,1980,R
242,241.,Jerry Priddy (31),463,1951,R
243,241.,Morrie Rath (24),463,1912,R
244,241.,Harold Reynolds (30),463,1991,R
245,241.,Juan Samuel (24),463,1985,R
246,241.,Ted Sizemore (28),463,1973,R
247,241.,Rennie Stennett (24),463,1975,R
248,241.,Chase Utley (29),463,2008,R
249,250.,Don Johnson (32),462,1944,R
250,250.,Ski Melillo (34),462,1934,R
251,250.,Connie Ryan (32),462,1952,R
252,250.,Bobby Young (26),462,1951,R
253,254.,Glenn Beckert (27),461,1968,R
254,254.,Bill Doran (25),461,1983,R
255,254.,Brian Dozier (26),461,2013,R
256,254.,Lonny Frey (32),461,1943,R
257,254.,Damaso Garcia (25),461,1982,R
258,254.,Joe Gordon+ (24),461,1939,R
259,254.,Nap Lajoie+ (32),461,1907,R
260,254.,Tony Lazzeri+ (22),461,1926,R
261,254.,Bobby Lowe (33),461,1899,R
262,254.,Pete Suder (32),461,1948,R
263,264.,Sandy Alomar (26),460,1970,R
264,264.,Hobe Ferris (27),460,1902,R
265,264.,Hobe Ferris (29),460,1904,R
266,264.,Chuck Knoblauch (22),460,1991,R
267,264.,Claude Ritchey (29),460,1903,R
268,264.,Claude Ritchey (33),460,1907,R
269,264.,Steve Sax (29),460,1989,R
270,271.,Roberto Alomar+ (20),459,1988,R
271,271.,Jose Altuve (24),459,2014,R
272,271.,Craig Counsell (34),459,2005,R
273,271.,Hobe Ferris (32),459,1907,R
274,271.,Tito Fuentes (33),459,1977,R
275,271.,John Kerr (30),459,1929,R
276,277.,Eddie Collins+ (34),458,1921,R
277,277.,Tony Cuccinello (30),458,1938,R
278,277.,Jerry Hairston (25),458,2001,R
279,277.,Miller Huggins+ (28),458,1906,R
280,277.,Eddie Mayo (34),458,1944,R
281,277.,Lou Whitaker (21),458,1978,R
282,277.,Frank White (36),458,1987,R
283,284.,Jack Farrell (21),457,1914,R
284,284.,Kid Gleason (34),457,1901,R
285,284.,Kid Gleason (38),457,1905,R
286,284.,Bobby Lowe (32),457,1898,R
287,284.,Ron Oester (29),457,1985,R
288,284.,Fred Pfeffer (28),457,1888,R
289,284.,Brian Roberts (29),457,2007,R
290,284.,Steve Sax (30),457,1990,R
291,292.,Lou Bierbauer (28),456,1894,R
292,292.,Brian Dozier (28),456,2015,R
293,292.,Tony Taylor (23),456,1959,R
294,295.,Dave Campbell (28),455,1970,R
295,295.,Cupid Childs (23),455,1891,R
296,295.,Horace Clarke (32),455,1971,R
297,295.,Mark Ellis (26),455,2003,R
298,295.,Charlie Gehringer+ (35),455,1938,R
299,295.,Bid McPhee+ (33),455,1893,R
300,295.,Billy Moran (29),455,1963,R
301,295.,Danny Murphy (27),455,1904,R
302,295.,Lou Stringer (24),455,1941,R
303,304.,Don Gutteridge (30),454,1942,R
304,304.,Pete Kilduff (27),454,1920,R
305,304.,Jay Partridge (24),454,1927,R
306,304.,Tony Piet (25),454,1932,R
307,304.,Willie Randolph (22),454,1977,R
308,309.,Tom Daly (33),453,1899,R
309,309.,Bobby Doerr+ (24),453,1942,R
310,309.,Nellie Fox+ (29),453,1957,R
311,309.,Nellie Fox+ (31),453,1959,R
312,309.,Bobby Grich (25),453,1974,R
313,309.,Emil Verban (31),453,1947,R
314,309.,John Ward+ (34),453,1894,R
315,316.,Julio Cruz (29),452,1984,R
316,316.,Dick Egan (28),452,1912,R
317,316.,Tom Herr (28),452,1984,R
318,316.,Miller Huggins+ (32),452,1910,R
319,316.,Omar Infante (30),452,2012,R
320,316.,DJ LeMahieu (26),452,2015,R
321,316.,Morrie Rath (31),452,1919,R
322,316.,Johnny Ray (26),452,1983,R
323,316.,Steve Sax (22),452,1982,R
324,325.,Charley Bassett (26),451,1889,R
325,325.,Eddie Collins+ (23),451,1910,R
326,325.,Eddie Collins+ (35),451,1922,R
327,325.,Frankie Frisch+ (25),451,1923,R
328,325.,Ian Kinsler (27),451,2009,R
329,325.,Mark Loretta (32),451,2004,R
330,325.,Jerry Lumpe (30),451,1963,R
331,325.,Bid McPhee+ (34),451,1894,R
332,325.,Ski Melillo (33),451,1933,R
333,325.,Bobby Richardson (26),451,1962,R
334,335.,Marty Barrett (28),450,1986,R
335,335.,John Farrell (27),450,1904,R
336,335.,Hobe Ferris (26),450,1901,R
337,335.,Joe Gordon+ (23),450,1938,R
338,335.,Bobby Grich (33),450,1982,R
339,335.,Rogers Hornsby+ (32),450,1928,R
340,335.,Orlando Hudson (26),450,2004,R
341,335.,Steve Sax (24),450,1984,R
342,335.,Robby Thompson (24),450,1986,R
343,335.,Tony Womack (28),450,1998,R
344,345.,Roberto Alomar+ (30),449,1998,R
345,345.,Eddie Collins+ (26),449,1913,R
346,345.,Nellie Fox+ (23),449,1951,R
347,345.,Bucky Harris+ (26),449,1923,R
348,345.,Duane Kuiper (27),449,1977,R
349,345.,Jose Lind (26),449,1990,R
350,345.,Bill Mazeroski+ (23),449,1960,R
351,345.,Heinie Reitz (30),449,1897,R
352,345.,Chuck Schilling (23),449,1961,R
353,345.,Ralph Young (28),449,1917,R
354,355.,George Cutshaw (26),448,1913,R
355,355.,Tito Fuentes (31),448,1975,R
356,355.,Billy Herman+ (30),448,1940,R
357,355.,Tom Herr (29),448,1985,R
358,355.,Miller Huggins+ (26),448,1904,R
359,355.,Dustin Pedroia (24),448,2008,R
360,355.,Johnny Ray (30),448,1987,R
361,355.,Red Schoendienst+ (34),448,1957,R
362,355.,Alfonso Soriano (29),448,2005,R
363,355.,Jose Vidro (27),448,2002,R
364,355.,Frank White (29),448,1980,R
365,366.,Roberto Alomar+ (23),447,1991,R
366,366.,Pug Bennett (32),447,1906,R
367,366.,Craig Biggio+ (27),447,1993,R
368,366.,Nellie Fox+ (32),447,1960,R
369,366.,Jonathan Schoop (24),447,2016,R
370,366.,Lou Whitaker (26),447,1983,R
371,372.,Jerry Adair (28),446,1965,R
372,372.,Eddie Collins+ (37),446,1924,R
373,372.,Ray Durham (29),446,2001,R
374,372.,Reddy Mack (20),446,1886,
375,372.,Bid McPhee+ (29),446,1889,R
376,372.,Jonathan Schoop (25),446,2017,R
377,378.,Roberto Alomar+ (28),445,1996,R
378,378.,Bobby Avila (29),445,1953,R
379,378.,Carlos Baerga (24),445,1993,R
380,378.,Frank Bolling (26),445,1958,R
381,378.,Hal Lanier (22),445,1965,R
382,378.,Alfonso Soriano (27),445,2003,R
383,378.,Jimmy Williams (31),445,1908,R
384,385.,Carlos Baerga (26),444,1995,R
385,385.,Gene Baker (30),444,1955,R
386,385.,Charley Bassett (24),444,1887,R
387,385.,Robinson Cano (28),444,2011,R
388,385.,Horace Clarke (29),444,1968,R
389,385.,George Cutshaw (27),444,1914,R
390,385.,Julio Franco (31),444,1990,R
391,385.,Al Kozar (26),444,1948,R
392,385.,Ray Mack (26),444,1943,R
393,385.,Felix Millan (25),444,1969,R
394,385.,Jody Reed (28),444,1991,R
395,385.,Jerry Remy (25),444,1978,R
396,397.,Gordon Beckham (24),443,2011,R
397,397.,Tony Bernazard (25),443,1982,R
398,397.,Dave Cash (29),443,1977,R
399,397.,Miller Huggins+ (29),443,1907,R
400,397.,Bill Mazeroski+ (20),443,1957,R
401,397.,Steve Sax (31),443,1991,R
402,403.,Tony Bernazard (29),442,1986,R
403,403.,Horace Clarke (34),442,1973,R
404,403.,Joe Gordon+ (27),442,1942,R
405,403.,Mark Grudzielanek (35),442,2005,R
406,403.,Mark Lemke (27),442,1993,R
407,403.,Juan Samuel (30),442,1991,R
408,403.,Zeb Terry (31),442,1922,R
409,403.,Jose Vidro (25),442,2000,R
410,403.,Neil Walker (25),442,2011,R
411,403.,Frank White (32),442,1983,R
412,413.,Lou Bierbauer (27),441,1893,R
413,413.,Cupid Childs (24),441,1892,R
414,413.,Johnny Evers+ (24),441,1906,R
415,413.,Tommy Helms (31),441,1972,R
416,413.,Del Pratt (27),441,1915,R
417,413.,Brian Roberts (30),441,2008,R
418,413.,Eddie Stanky (29),441,1945,R
419,413.,Robby Thompson (28),441,1990,R
420,413.,Manny Trillo (31),441,1982,R
421,413.,Bill Wambsganss (23),441,1917,R
422,413.,Mickey Witek (26),441,1942,R
423,424.,Craig Biggio+ (30),440,1996,R
424,424.,Bill Doran (27),440,1985,R
425,424.,Don Johnson (33),440,1945,R
426,424.,Jason Kipnis (25),440,2012,R
427,424.,Joe Morgan+ (29),440,1973,R
428,424.,Jose Offerman (29),440,1998,R
429,424.,Joe Quinn (36),440,1899,R
430,424.,Billy Ripken (23),440,1988,R
431,424.,Juan Samuel (25),440,1986,R
432,424.,Dan Uggla (31),440,2011,R
433,434.,Roberto Alomar+ (25),439,1993,R
434,434.,Don Blasingame (27),439,1959,R
435,434.,Bobby Doerr+ (31),439,1949,R
436,434.,Damion Easley (28),439,1998,R
437,434.,Johnny Evers+ (30),439,1912,R
438,434.,Miller Huggins+ (33),439,1911,R
439,434.,Alex Kampouris (24),439,1937,R
440,434.,Bill Mazeroski+ (28),439,1965,R
441,434.,Placido Polanco (33),439,2009,R
442,434.,Bill Regan (31),439,1930,R
443,434.,Claude Ritchey (32),439,1906,R
444,434.,Frank White (35),439,1986,R
445,446.,Marty Barrett (29),438,1987,R
446,446.,Ronnie Belliard (25),438,2000,R
447,446.,Ray Durham (26),438,1998,R
448,446.,Charlie Gehringer+ (24),438,1927,R
449,446.,Bobby Grich (30),438,1979,R
450,446.,Tommy Helms (32),438,1973,R
451,446.,Jose Lind (25),438,1989,R
452,446.,Jose Lind (27),438,1991,R
453,446.,Felix Millan (24),438,1968,R
454,446.,Al Myers (27),438,1891,R
455,446.,Jack Perconte (29),438,1984,R
456,446.,Juan Samuel (23),438,1984,R
457,446.,Todd Walker (29),438,2002,R
458,446.,Jimmy Williams (26),438,1903,R
459,460.,Roberto Alomar+ (32),437,2000,R
460,460.,Jim Connor (35),437,1898,R
461,460.,Andy High (26),437,1924,R
462,460.,Mark Lewis (28),437,1998,R
463,460.,Freddie Maguire (30),437,1929,R
464,460.,Felix Millan (27),437,1971,R
465,460.,Bert Niehoff (32),437,1916,R
466,460.,Aaron Ward (30),437,1927,R
467,468.,Jimmy Bloodworth (23),436,1941,R
468,468.,Scott Fletcher (31),436,1990,R
469,468.,Joe Gordon+ (33),436,1948,R
470,468.,Ian Kinsler (25),436,2007,R
471,468.,Joe Morgan+ (28),436,1972,R
472,468.,Bill Wambsganss (25),436,1919,R
473,468.,Ralph Young (31),436,1920,R
474,475.,Robinson Cano (29),435,2012,R
475,475.,Jerry Lumpe (29),435,1962,R
476,475.,Bill McClellan (30),435,1886,L
477,475.,Jackie Robinson+ (32),435,1951,R
478,479.,Otis Brannan (29),434,1928,R
479,479.,Tom Carey (29),434,1936,R
480,479.,Andy Cohen (23),434,1928,R
481,479.,Julio Cruz (27),434,1982,R
482,479.,Hobe Ferris (28),434,1903,R
483,479.,Julio Franco (29),434,1988,R
484,479.,Dee Strange-Gordon (27),434,2015,R
485,479.,Ray Mack (25),434,1942,R
486,479.,Bid McPhee+ (27),434,1887,R
487,479.,Juan Samuel (26),434,1987,R
488,479.,Frank White (26),434,1977,R
489,490.,Lena Blackburne (27),433,1914,R
490,490.,Luis Castillo (27),433,2003,R
491,490.,Nellie Fox+ (24),433,1952,R
492,490.,Rogers Hornsby+ (30),433,1926,R
493,490.,Mark McLemore (34),433,1999,R
494,490.,Brandon Phillips (26),433,2007,R
495,496.,Sandy Alomar (27),432,1971,R
496,496.,Robinson Cano (27),432,2010,R
497,496.,Lonny Frey (30),432,1941,R
498,496.,Ian Kinsler (34),432,2016,R
499,496.,Ski Melillo (35),432,1935,R
