,Rank,Player (age that year),Total Bases,Year,Bats
78,77.,Duke Snider+ (27),378,1954,L
79,80.,Albert Belle (28),377,1995,R
80,80.,Miguel Cabrera (29),377,2012,R
81,80.,Willie Mays+ (23),377,1954,R
82,80.,Giancarlo Stanton (27),377,2017,R
83,84.,Adrian Beltre (25),376,2004,R
84,84.,Andres Galarraga (35),376,1996,R
85,84.,Mickey Mantle+ (24),376,1956,B
86,84.,Alex Rodriguez (31),376,2007,R
87,88.,Albert Belle (29),375,1996,R
88,89.,Hugh Duffy+ (27),374,1894,R
89,89.,Tony Oliva (25),374,1964,L
90,89.,Albert Pujols (29),374,2009,R
91,89.,Babe Ruth+ (36),374,1931,L
92,89.,Hal Trosky (21),374,1934,L
93,94.,Rogers Hornsby+ (28),373,1924,R
94,94.,Al Simmons+ (27),373,1929,R
95,94.,Bill Terry+ (33),373,1932,L
96,94.,Vernon Wells (24),373,2003,R
97,94.,Billy Williams+ (32),373,1970,L
98,99.,Hank Aaron+ (29),370,1963,R
99,99.,Chris Davis (27),370,2013,L
100,99.,Lou Gehrig+ (29),370,1932,L
101,99.,Shawn Green (28),370,2001,L
102,99.,Don Mattingly (24),370,1985,L
103,99.,Duke Snider+ (26),370,1953,L
104,99.,Mark Teixeira (25),370,2005,B
105,99.,Mo Vaughn (28),370,1996,L
106,107.,Hank Aaron+ (23),369,1957,R
107,107.,Brady Anderson (32),369,1996,L
108,107.,George Bell (27),369,1987,R
109,107.,Ripper Collins (30),369,1934,B
110,107.,Kiki Cuyler+ (26),369,1925,R
111,107.,Jimmie Foxx+ (28),369,1936,R
112,107.,Jim Rice+ (26),369,1979,R
113,107.,Alex Rodriguez (29),369,2005,R
114,115.,Ted Kluszewski (29),368,1954,L
115,115.,Johnny Mize+ (27),368,1940,L
116,115.,Cal Ripken Jr.+ (30),368,1991,R
117,115.,Ted Williams+ (30),368,1949,L
118,119.,Ty Cobb+ (24),367,1911,L
119,119.,Joe DiMaggio+ (21),367,1936,R
120,119.,Vladimir Guerrero+ (23),367,1998,R
121,119.,Todd Helton (29),367,2003,L
122,119.,Tommy Holmes (28),367,1945,L
123,119.,Heinie Manush+ (26),367,1928,L
