,Rank,Player (age that year),Bases On Balls per 9 IP,Year,Throws
182,183.,Jim McCormick (21),1.1538,1878,R
183,184.,Deacon Phillippe (29),1.1554,1901,R
184,185.,Pete Alexander+ (29),1.1568,1916,R
185,186.,Charlie Buffinton (23),1.1652,1884,R
186,187.,Red Lucas (30),1.1696,1932,R
187,188.,Silver King (20),1.1699,1888,R
188,189.,Greg Swindell (26),1.1723,1991,L
189,190.,Addie Joss+ (23),1.1739,1903,R
190,191.,Doc White (28),1.1753,1907,L
191,192.,Christy Mathewson+ (28),1.1768,1909,R
192,193.,Pete Alexander+ (34),1.1786,1921,R
193,194.,Lew Burdette (32),1.1807,1959,R
194,195.,Hyun Jin Ryu (32),1.1825,2019,L
195,196.,Bobby Mathews (25),1.1830,1877,R
196,197.,Scott McGregor (25),1.1851,1979,L
197,198.,Jock Menefee (34),1.1858,1902,R
198,199.,Jim Merritt (23),1.1859,1967,L
199,200.,Brad Radke (30),1.1868,2003,R
200,201.,Charlie Hodnett (24),1.1901,1884,
201,202.,Gus Krock (22),1.1923,1888,R
202,203.,Bert Humphries (32),1.1934,1913,R
203,204.,Cliff Lee (33),1.1943,2012,L
204,205.,Rick Honeycutt (27),1.1984,1981,L
205,206.,Fred Goldsmith (25),1.2000,1881,R
206,206.,Bill McGunnigle (24),1.2000,1879,R
207,208.,Pretzels Getzien (24),1.2030,1888,R
208,209.,Bert Humphries (34),1.2058,1915,R
209,210.,Zack Greinke (36),1.2090,2020,R
210,211.,Robin Roberts+ (29),1.2108,1956,R
211,212.,Jack Taylor (28),1.2138,1902,R
212,213.,Dale Gear (29),1.2147,1901,R
213,213.,Bobby Mathews (33),1.2147,1885,R
214,215.,David Wells (37),1.2148,2000,L
215,216.,Ben Sheets (25),1.2152,2004,R
216,217.,Vern Law (36),1.2158,1966,R
217,218.,Watty Clark (33),1.2174,1935,L
218,219.,David Wells (35),1.2177,1998,L
219,220.,Bob Caruthers (24),1.2179,1888,R
220,221.,Jim McCormick (22),1.2190,1879,R
221,222.,Dick Donovan (35),1.2233,1963,R
222,223.,Robin Roberts+ (32),1.2241,1959,R
223,224.,Robin Roberts+ (25),1.2273,1952,R
224,225.,Jumbo McGinnis (28),1.2283,1882,
225,226.,Doc Landis (27),1.2284,1882,
226,227.,Pete Donohue (25),1.2287,1926,R
227,228.,Fritz Peterson (26),1.2292,1968,L
228,228.,Rick Reed (33),1.2292,1998,R
229,230.,Fred Corey (27),1.2302,1882,R
230,231.,John Coleman (21),1.2319,1884,R
231,232.,Paul Byrd (34),1.2333,2005,R
232,233.,Fergie Jenkins+ (31),1.2335,1974,R
233,233.,Mike Leake (31),1.2335,2019,R
234,235.,Jose Lima (25),1.2343,1998,R
235,236.,Al Atkinson (23),1.2345,1884,R
236,237.,Curt Schilling (39),1.2353,2006,R
237,238.,Bill Sweeney (26),1.2379,1884,R
238,239.,Bobby Mathews (27),1.2381,1879,R
239,240.,Gary Nolan (27),1.2389,1975,R
240,241.,Bob Barr (26),1.2393,1883,R
241,242.,Cy Young+ (35),1.2400,1902,R
242,243.,Babe Adams (32),1.2403,1914,R
243,244.,Bob Black (21),1.2439,1884,R
244,245.,Rick Reed (37),1.2447,2002,R
245,246.,Hal Brown (35),1.2453,1960,R
246,247.,Pete Alexander+ (35),1.2456,1922,R
247,248.,Dan Haren (30),1.2462,2011,R
248,249.,Babe Adams (33),1.2490,1915,R
249,250.,Ralph Terry (29),1.2495,1965,R
250,251.,Josh Towers (28),1.2508,2005,R
251,252.,Ray Prim (38),1.2520,1945,L
252,253.,Bill Hands (28),1.2526,1968,R
253,254.,George Derby (25),1.2539,1883,R
254,255.,Mickey Welch+ (20),1.2544,1880,R
255,256.,Scott Sanderson (34),1.2548,1991,R
256,257.,Sam Leever (30),1.2568,1902,R
257,258.,Jim Whitney (28),1.2595,1886,R
258,259.,Jim Kaat (37),1.2650,1976,L
259,260.,Carl Hubbell+ (29),1.2676,1932,L
260,261.,Juan Marichal+ (30),1.2712,1968,R
261,262.,Bob Tewksbury (33),1.2719,1994,R
262,263.,Ed Lynch (29),1.2723,1985,R
263,264.,Scott Stratton (20),1.2738,1890,R
264,265.,Kevin Brown (31),1.2747,1996,R
265,266.,Pete Alexander+ (40),1.2761,1927,R
266,266.,Abner Powell (23),1.2761,1884,R
267,268.,Jesse Tannehill (28),1.2768,1903,L
268,269.,Fred Goldsmith (28),1.2798,1884,R
269,270.,Jim Conway (25),1.2816,1884,R
270,271.,Dick Burns (20),1.2831,1884,L
271,272.,Jesse Tannehill (26),1.2840,1901,L
272,273.,Jon Lieber (36),1.2857,2006,R
273,273.,Bill Reidy (29),1.2857,1903,R
274,275.,Babe Adams (29),1.2886,1911,R
275,276.,Robin Roberts+ (33),1.2893,1960,R
276,277.,Fred Hutchinson (31),1.2903,1951,R
277,278.,Rick Porcello (27),1.2915,2016,R
278,279.,Eppa Rixey+ (31),1.2926,1922,L
279,280.,Tricky Nichols (31),1.2930,1882,R
280,281.,Cliff Lee (34),1.2934,2013,L
281,282.,Zack Greinke (35),1.2939,2019,R
282,283.,Hugh Daily (36),1.2943,1884,R
283,284.,Bill Duggleby (27),1.2963,1901,R
284,285.,Ted Lyons+ (41),1.2976,1942,R
285,286.,Pete Alexander+ (30),1.2990,1917,R
286,287.,Old Hoss Radbourn+ (29),1.2996,1884,R
287,288.,Catfish Hunter+ (28),1.3005,1974,R
288,289.,Miles Mikolas (29),1.3007,2018,R
289,290.,David Price (27),1.3018,2013,L
290,291.,Adam Wainwright (31),1.3034,2013,R
291,292.,Nick Altrock (30),1.3058,1907,L
292,293.,Jordan Zimmermann (28),1.3072,2014,R
293,294.,Kid Madden (20),1.3091,1888,L
