,Rank,Player (age that year),Range Factor/9Inn as RF (s.1948),Year,Throws
462,461.,Paul Householder (24),2.207,1983,R
463,461.,Chet Lemon (33),2.207,1988,R
464,465.,Nicholas Castellanos (27),2.206,2019,R
465,465.,Jackie Jensen (32),2.206,1959,R
466,465.,Sammy Sosa (29),2.206,1998,R
467,468.,Josh Reddick (25),2.205,2012,R
468,469.,Shawn Green (29),2.204,2002,L
469,470.,Mookie Betts (25),2.203,2018,R
470,471.,Leroy Stanton (28),2.202,1974,R
471,471.,Milt Thompson (31),2.202,1990,R
472,473.,Carl Furillo (27),2.201,1949,R
473,473.,Trot Nixon (32),2.201,2006,L
474,475.,Harold Baines+ (25),2.200,1984,L
475,476.,Roberto Clemente+ (21),2.199,1956,R
476,476.,Lee Lacy (38),2.199,1986,R
477,476.,Carlos Lopez (28),2.199,1977,R
478,479.,Bob Kennedy (28),2.198,1949,R
479,479.,Candy Maldonado (28),2.198,1989,R
480,481.,Kole Calhoun (31),2.197,2019,L
481,481.,Vladimir Guerrero+ (26),2.197,2001,R
482,483.,Casey Blake (31),2.196,2005,R
483,483.,Lou Clinton (25),2.196,1963,R
484,483.,Randy Winn (33),2.196,2007,R
485,486.,Magglio Ordonez (29),2.195,2003,R
486,487.,Carl Furillo (32),2.193,1954,R
487,487.,Raul Mondesi (24),2.193,1995,R
488,489.,Jeromy Burnitz (30),2.191,1999,R
489,490.,Hank Bauer (30),2.189,1953,R
490,491.,Milton Bradley (28),2.187,2006,R
491,491.,Johnny Callison (26),2.187,1965,R
492,491.,Brian Jordan (31),2.187,1998,R
493,491.,Paul O'Neill (33),2.187,1996,L
494,491.,Ichiro Suzuki (32),2.187,2006,R
495,496.,Hank Aaron+ (26),2.186,1960,R
496,497.,Bob Allison (25),2.185,1960,R
497,497.,Bill Renna (29),2.185,1954,R
498,499.,Gabe Gross (29),2.184,2009,R
499,499.,Josh Hamilton (32),2.184,2013,L
