,Rank,Player (age that year),Total Zone Runs as OF (s.1953),Year,Throws
121,117.,Lorenzo Cain (28),20,2014,R
122,117.,Roberto Clemente+ (36),20,1971,R
123,117.,Doug Glanville (30),20,2001,R
124,117.,Alex Gordon (33),20,2017,R
125,117.,Franklin Gutierrez (25),20,2008,R
126,117.,Richard Hidalgo (28),20,2003,R
127,117.,Torii Hunter (25),20,2001,R
128,117.,Brian Jordan (28),20,1995,R
129,117.,Aaron Judge (25),20,2017,R
130,117.,Aaron Judge (27),20,2019,R
131,117.,Al Kaline+ (22),20,1957,R
132,117.,Wayne Kirby (29),20,1993,R
133,117.,Chet Lemon (29),20,1984,R
134,117.,Garry Maddox (26),20,1976,R
135,117.,Willie Mays+ (31),20,1962,R
136,117.,Lloyd Moseby (24),20,1984,R
137,117.,Paul O'Neill (28),20,1991,L
138,117.,Gary Roenicke (27),20,1982,R
139,117.,Pete Rose (32),20,1973,R
140,117.,Pete Rose (33),20,1974,R
141,117.,Drew Stubbs (25),20,2010,R
142,117.,Willy Taveras (24),20,2006,R
143,117.,Greg Vaughn (27),20,1993,R
144,117.,George Vukovich (28),20,1984,R
145,117.,Willie Wilson (25),20,1981,R
146,147.,Richie Ashburn+ (26),19,1953,R
147,147.,Richie Ashburn+ (27),19,1954,R
148,147.,Paul Blair (29),19,1973,R
149,147.,Barry Bonds (26),19,1991,L
150,147.,Jay Bruce (23),19,2010,L
151,147.,Brady Clark (32),19,2005,R
152,147.,Rocky Colavito (27),19,1961,R
153,147.,Dwight Evans (27),19,1979,R
154,147.,Jeff Francoeur (22),19,2006,R
155,147.,Ron Gant (28),19,1993,R
156,147.,Brett Gardner (26),19,2010,L
157,147.,Luis Gonzalez (31),19,1999,R
158,147.,Marquis Grissom (27),19,1994,R
159,147.,Tony Gwynn+ (32),19,1992,L
160,147.,Andruw Jones (25),19,2002,R
161,147.,Andruw Jones (26),19,2003,R
162,147.,Andruw Jones (28),19,2005,R
163,147.,Al Kaline+ (19),19,1954,R
164,147.,Kevin Kiermaier (25),19,2015,R
165,147.,Kenny Lofton (31),19,1998,L
166,147.,Garry Maddox (28),19,1978,R
167,147.,Roger Maris (25),19,1960,R
168,147.,Nick Markakis (22),19,2006,L
169,147.,Kevin McReynolds (24),19,1984,R
170,147.,Jason Michaels (29),19,2005,R
171,147.,Nyjer Morgan (28),19,2009,L
172,147.,Angel Pagan (28),19,2010,R
173,147.,Juan Pierre (28),19,2006,L
174,147.,AJ Pollock (27),19,2015,R
175,147.,Ben Revere (24),19,2012,R
176,147.,George Springer (29),19,2019,R
177,147.,Willy Taveras (27),19,2009,R
178,147.,Mitch Webster (31),19,1990,L
179,147.,Randy Winn (35),19,2009,R
180,147.,Carl Yastrzemski+ (22),19,1962,R
181,182.,Tommie Agee (23),18,1966,R
182,182.,Tommie Agee (24),18,1967,R
183,182.,Paul Blair (28),18,1972,R
184,182.,Johnny Callison (24),18,1963,R
185,182.,Mike Cameron (24),18,1997,R
186,182.,Roberto Clemente+ (31),18,1966,R
187,182.,Rocky Colavito (28),18,1962,R
188,182.,Carl Crawford (23),18,2005,L
189,182.,Coco Crisp (25),18,2005,R
190,182.,Warren Cromartie (25),18,1979,L
191,182.,Jose Cruz (30),18,2004,R
192,182.,Andre Dawson+ (26),18,1981,R
193,182.,Andre Dawson+ (27),18,1982,R
194,182.,David DeJesus (29),18,2009,L
195,182.,Jim Edmonds (33),18,2003,L
196,182.,Cliff Floyd (32),18,2005,R
197,182.,Brian Giles (27),18,1998,L
198,182.,Dave Henderson (30),18,1989,R
199,182.,Rickey Henderson+ (21),18,1980,L
200,182.,Odubel Herrera (24),18,2016,R
201,182.,Matt Holliday (27),18,2007,R
202,182.,Lance Johnson (27),18,1991,L
203,182.,Lance Johnson (29),18,1993,L
204,182.,Chet Lemon (22),18,1977,R
205,182.,Kenny Lofton (25),18,1992,L
206,182.,Kenny Lofton (26),18,1993,L
207,182.,Kenny Lofton (30),18,1997,L
208,182.,Carmelo Martinez (23),18,1984,R
209,182.,Dave Martinez (31),18,1996,L
210,182.,Leonys Martín (25),18,2013,R
211,182.,Willie Mays+ (33),18,1964,R
212,182.,Willie Mays+ (35),18,1966,R
213,182.,Bake McBride (30),18,1979,R
214,182.,Kevin Mench (26),18,2004,R
215,182.,Jim Northrup (28),18,1968,R
216,182.,Gerardo Parra (23),18,2010,L
217,182.,Vada Pinson (22),18,1961,L
218,182.,Terry Puhl (23),18,1980,R
219,182.,Colby Rasmus (22),18,2009,L
220,182.,Cody Ross (32),18,2013,L
221,182.,Mallex Smith (26),18,2019,R
222,182.,Sammy Sosa (24),18,1993,R
223,182.,Giancarlo Stanton (21),18,2011,R
224,182.,Darryl Strawberry (28),18,1990,L
225,182.,Melvin Upton Jr. (25),18,2010,R
226,182.,Justin Upton (22),18,2010,R
227,182.,Ellis Valentine (23),18,1978,R
228,182.,Shane Victorino (32),18,2013,R
229,182.,Devon White (28),18,1991,R
230,182.,Devon White (30),18,1993,R
231,232.,Bob Allison (28),17,1963,R
232,232.,Garret Anderson (25),17,1997,L
233,232.,Rick Ankiel (31),17,2011,L
234,232.,Mookie Betts (23),17,2016,R
235,232.,Mookie Betts (25),17,2018,R
236,232.,Paul Blair (24),17,1968,R
237,232.,Keon Broxton (29),17,2019,R
238,232.,Mike Cameron (30),17,2003,R
239,232.,Brett Carroll (26),17,2009,R
240,232.,Shin-Soo Choo (30),17,2013,L
241,232.,Roberto Clemente+ (30),17,1965,R
242,232.,Rocky Colavito (25),17,1959,R
243,232.,Carl Crawford (26),17,2008,L
244,232.,Vic Davalillo (28),17,1968,L
245,232.,Adam Eaton (27),17,2016,L
246,232.,Steve Finley (34),17,1999,L
247,232.,George Foster (28),17,1977,R
248,232.,Vladimir Guerrero+ (23),17,1998,R
249,232.,Billy Hamilton (23),17,2014,R
250,232.,Norris Hopper (28),17,2007,R
251,232.,Brian Hunter (27),17,1998,R
252,232.,Darrin Jackson (27),17,1991,R
253,232.,Lance Johnson (32),17,1996,L
254,232.,Andruw Jones (27),17,2004,R
255,232.,Terry Jones (27),17,1998,R
256,232.,Brian Jordan (32),17,1999,R
257,232.,Dwayne Murphy (31),17,1986,R
258,232.,Gerardo Parra (26),17,2013,L
259,232.,Jay Payton (31),17,2004,R
260,232.,Jim Piersall (24),17,1954,R
261,232.,Jim Piersall (29),17,1959,R
262,232.,Jim Piersall (30),17,1960,R
263,232.,Jim Piersall (31),17,1961,R
264,232.,Dave Roberts (34),17,2006,L
265,232.,Reggie Sanders (26),17,1994,R
266,232.,Sammy Sosa (28),17,1997,R
267,232.,Shannon Stewart (26),17,2000,R
268,232.,Darryl Strawberry (27),17,1989,L
269,232.,Ichiro Suzuki (31),17,2005,R
270,232.,Milt Thompson (30),17,1989,R
271,232.,Del Unser (27),17,1972,L
272,232.,Chris Young (27),17,2011,R
273,232.,Joel Youngblood (28),17,1980,R
274,275.,Tony Armas (28),16,1982,R
275,275.,Richie Ashburn+ (29),16,1956,R
276,275.,Jesse Barfield (29),16,1989,R
277,275.,Hank Bauer (32),16,1955,R
278,275.,Derek Bell (29),16,1998,R
279,275.,Carlos Beltran (29),16,2006,R
280,275.,Carlos Beltran (31),16,2008,R
281,275.,Lance Berkman (27),16,2003,L
282,275.,Jim Busby (26),16,1953,R
283,275.,Melky Cabrera (23),16,2008,L
284,275.,Lorenzo Cain (27),16,2013,R
285,275.,Carl Crawford (22),16,2004,L
286,275.,Carl Crawford (27),16,2009,L
287,275.,Willie Davis (25),16,1965,L
288,275.,Chris Denorfia (30),16,2011,R
289,275.,Mike Devereaux (28),16,1991,R
290,275.,Corey Dickerson (29),16,2018,R
291,275.,Steve Finley (26),16,1991,L
292,275.,Jeff Francoeur (23),16,2007,R
293,275.,Kosuke Fukudome (34),16,2011,R
294,275.,Jody Gerut (30),16,2008,L
295,275.,Bernard Gilkey (25),16,1992,R
296,275.,Luis Gonzalez (24),16,1992,R
297,275.,Mickey Hatcher (29),16,1984,R
298,275.,Rickey Henderson+ (31),16,1990,L
299,275.,Stan Javier (26),16,1990,R
300,275.,Stan Javier (33),16,1997,R
301,275.,Max Kepler (25),16,2018,L
302,275.,Starling Marte (29),16,2018,R
303,275.,Leonys Martín (27),16,2015,R
304,275.,Minnie Minoso (28),16,1954,R
305,275.,Amos Otis (31),16,1978,R
306,275.,Jay Payton (35),16,2008,R
307,275.,Juan Pierre (32),16,2010,L
308,275.,Al Smith (31),16,1959,R
309,275.,Giancarlo Stanton (20),16,2010,R
310,275.,Ichiro Suzuki (34),16,2008,R
311,275.,Ichiro Suzuki (41),16,2015,R
312,275.,Mike Trout (23),16,2015,R
313,275.,Gary Ward (29),16,1983,R
314,275.,Glenn Wilson (30),16,1989,R
315,316.,Hank Aaron+ (22),15,1956,R
316,316.,Bobby Abreu (26),15,2000,R
317,316.,Ronald Acuna Jr. (21),15,2019,R
318,316.,Tony Armas (27),15,1981,R
319,316.,Jesse Barfield (30),15,1990,R
320,316.,Carlos Beltran (26),15,2003,R
321,316.,Carlos Beltran (32),15,2009,R
322,316.,Paul Blair (30),15,1974,R
323,316.,Milton Bradley (26),15,2004,R
324,316.,Darren Bragg (28),15,1998,R
325,316.,Johnny Callison (23),15,1962,R
326,316.,Johnny Callison (25),15,1964,R
327,316.,Yoenis Céspedes (29),15,2015,R
328,316.,Endy Chavez (26),15,2004,L
329,316.,Endy Chavez (30),15,2008,L
330,316.,Roberto Clemente+ (27),15,1962,R
331,316.,Lou Clinton (25),15,1963,R
332,316.,Jose Cruz (31),15,1979,L
333,316.,Milt Cuyler (22),15,1991,R
334,316.,Jeff DaVanon (29),15,2003,R
335,316.,David DeJesus (26),15,2006,L
336,316.,David DeJesus (28),15,2008,L
337,316.,Jermaine Dye (25),15,1999,R
338,316.,Darin Erstad (27),15,2001,L
339,316.,Curt Flood (23),15,1961,R
340,316.,Curt Flood (24),15,1962,R
341,316.,Curt Flood (25),15,1963,R
342,316.,George Foster (26),15,1975,R
343,316.,Craig Gentry (29),15,2013,R
344,316.,Carlos Gomez (25),15,2011,R
345,316.,Luis Gonzalez (23),15,1991,R
346,316.,Alex Gordon (29),15,2013,R
347,316.,Ken Griffey Jr.+ (27),15,1997,L
348,316.,Odubel Herrera (23),15,2015,R
349,316.,Odubel Herrera (25),15,2017,R
350,316.,Jim Holt (26),15,1970,R
351,316.,Thomas Howard (26),15,1991,R
352,316.,Reggie Jackson+ (29),15,1975,L
353,316.,Geoff Jenkins (24),15,1999,R
354,316.,Jay Johnstone (30),15,1976,R
355,316.,Adam Jones (29),15,2015,R
356,316.,Jacque Jones (27),15,2002,L
357,316.,JaCoby Jones (26),15,2018,R
358,316.,Brian Jordan (33),15,2000,R
359,316.,Al Kaline+ (29),15,1964,R
360,316.,Manuel Margot (22),15,2017,R
361,316.,Willie Mays+ (27),15,1958,R
362,316.,Willie Mays+ (34),15,1965,R
363,316.,Rick Miller (28),15,1976,L
364,316.,Minnie Minoso (33),15,1959,R
365,316.,Trot Nixon (25),15,1999,L
366,316.,Tony Oliva (27),15,1966,R
367,316.,Dave Parker (24),15,1975,R
368,316.,Gary Pettis (29),15,1987,R
369,316.,Martin Prado (28),15,2012,R
370,316.,Tim Raines+ (32),15,1992,R
371,316.,Gene Richards (28),15,1982,L
372,316.,Joe Rudi (24),15,1971,R
373,316.,Alfonso Soriano (30),15,2006,R
374,316.,Sammy Sosa (22),15,1991,R
375,316.,Sammy Sosa (25),15,1994,R
376,316.,Denard Span (29),15,2013,L
377,316.,B.J. Surhoff (34),15,1999,R
378,316.,Ichiro Suzuki (27),15,2001,R
379,316.,Andres Torres (32),15,2010,R
380,316.,Larry Walker+ (26),15,1993,R
381,316.,Gary Ward (28),15,1982,R
382,316.,Gary Ward (30),15,1984,R
383,316.,Gerald Williams (28),15,1995,R
384,316.,Randy Winn (31),15,2005,R
385,316.,Randy Winn (34),15,2008,R
386,387.,Hank Aaron+ (26),14,1960,R
387,387.,Shawn Abner (26),14,1992,R
388,387.,Felipe Alou (35),14,1970,R
389,387.,Hank Bauer (30),14,1953,R
390,387.,Derek Bell (27),14,1996,R
391,387.,Ken Berry (26),14,1967,R
392,387.,Barry Bonds (32),14,1997,L
393,387.,Bobby Bonds (27),14,1973,R
394,387.,Peter Bourjos (23),14,2010,R
395,387.,Bill Buckner (26),14,1976,L
396,387.,Pat Burrell (26),14,2003,R
397,387.,Kole Calhoun (27),14,2015,L
398,387.,Mark Canha (30),14,2019,R
399,387.,Endy Chavez (28),14,2006,L
400,387.,Coco Crisp (33),14,2013,R
401,387.,Willie Davis (22),14,1962,L
402,387.,Adam Duvall (29),14,2018,R
403,387.,Brett Eibner (27),14,2016,R
404,387.,Juan Encarnacion (23),14,1999,R
405,387.,Dwight Evans (29),14,1981,R
406,387.,Ryan Freel (30),14,2006,R
407,387.,Cesar Geronimo (25),14,1973,L
408,387.,Carlos Gomez (22),14,2008,R
409,387.,Carlos Gomez (27),14,2013,R
410,387.,Luis Gonzalez (29),14,1997,R
411,387.,Ken Griffey Jr.+ (25),14,1995,L
412,387.,Robbie Grossman (29),14,2019,L
413,387.,Von Hayes (23),14,1982,R
414,387.,Lance Johnson (28),14,1992,L
415,387.,David Justice (27),14,1993,L
416,387.,Max Kepler (24),14,2017,L
417,387.,Mark Kotsay (23),14,1999,L
418,387.,Ray Lankford (29),14,1996,L
419,387.,Ray Lankford (32),14,1999,L
420,387.,Chet Lemon (31),14,1986,R
421,387.,Shane Mack (27),14,1991,R
422,387.,Charlie Maxwell (30),14,1957,L
423,387.,Willie Mays+ (29),14,1960,R
424,387.,Willie Mays+ (30),14,1961,R
425,387.,Mark McLemore (28),14,1993,R
426,387.,Melvin Mora (30),14,2002,R
427,387.,Omar Moreno (24),14,1977,L
428,387.,Darryl Motley (24),14,1984,R
429,387.,Jerry Mumphrey (24),14,1977,R
430,387.,Laynce Nix (28),14,2009,L
431,387.,Irv Noren (28),14,1953,L
432,387.,Troy O'Leary (30),14,2000,L
433,387.,Corey Patterson (26),14,2006,R
434,387.,Felix Pie (22),14,2007,L
435,387.,Jim Piersall (28),14,1958,R
436,387.,Kevin Pillar (26),14,2015,R
437,387.,Tom Poquette (26),14,1978,R
438,387.,Jim Rivera (33),14,1955,L
439,387.,Mickey Rivers (28),14,1977,L
440,387.,Reggie Sanders (28),14,1996,R
441,387.,Reggie Sanders (34),14,2002,R
442,387.,Grady Sizemore (22),14,2005,L
443,387.,Terrmel Sledge (27),14,2004,L
444,387.,Denard Span (24),14,2008,L
445,387.,Giancarlo Stanton (24),14,2014,R
446,387.,Charles Thomas (25),14,2004,L
447,387.,Cesar Tovar (31),14,1972,R
448,387.,Tom Umphlett (22),14,1953,R
449,387.,Larry Walker+ (34),14,2001,R
450,387.,Turner Ward (29),14,1994,R
451,387.,Alan Wiggins (25),14,1983,R
452,387.,Bernie Williams (26),14,1995,R
453,387.,Glenn Wilson (28),14,1987,R
454,387.,Jim Wynn (32),14,1974,R
455,387.,Carl Yastrzemski+ (31),14,1971,R
456,387.,Joel Youngblood (27),14,1979,R
457,458.,Hank Aaron+ (32),13,1966,R
458,458.,Mike Anderson (23),13,1974,R
459,458.,Tony Armas (24),13,1978,R
460,458.,Dusty Baker (25),13,1974,R
461,458.,Jason Botts (26),13,2007,R
462,458.,Jackie Brandt (30),13,1964,R
463,458.,Gates Brown (25),13,1964,R
464,458.,Tom Brunansky (22),13,1983,R
465,458.,Bill Bruton (30),13,1956,R
466,458.,Steve Brye (23),13,1972,R
467,458.,Jose Cardenal (24),13,1968,R
468,458.,Lonnie Chisenhall (26),13,2015,R
469,458.,Gino Cimoli (27),13,1957,R
470,458.,Roberto Clemente+ (24),13,1959,R
471,458.,Bob Coluccio (22),13,1974,R
472,458.,Wil Cordero (25),13,1997,R
473,458.,Vic Davalillo (25),13,1965,L
474,458.,Khris Davis (26),13,2014,R
475,458.,Willie Davis (21),13,1961,L
476,458.,Willie Davis (32),13,1972,L
477,458.,Chris Denorfia (32),13,2013,R
478,458.,Jim Edmonds (25),13,1995,L
479,458.,Darin Erstad (29),13,2003,L
480,458.,Dwight Evans (24),13,1976,R
481,458.,Curt Ford (26),13,1987,R
482,458.,Dexter Fowler (30),13,2016,R
483,458.,Jeff Francoeur (21),13,2005,R
484,458.,Bernard Gilkey (30),13,1997,R
485,458.,Tom Goodwin (31),13,2000,R
486,458.,Mike Greenwell (24),13,1988,R
487,458.,Shawn Green (29),13,2002,L
488,458.,Greg Gross (21),13,1974,L
489,458.,Vladimir Guerrero+ (30),13,2005,R
490,458.,Tony Gwynn+ (24),13,1984,L
491,458.,Darryl Hamilton (28),13,1993,R
492,458.,Jeffrey Hammonds (28),13,1999,R
493,458.,Bryce Harper (22),13,2015,R
494,458.,Chris Heisey (28),13,2013,R
495,458.,Rickey Henderson+ (26),13,1985,L
496,458.,Richard Hidalgo (25),13,2000,R
497,458.,Larry Hisle (29),13,1976,R
498,458.,Monte Irvin+ (35),13,1954,R
499,458.,Travis Jankowski (25),13,2016,R
