,Rank,Player (age that year),Assists as OF,Year,Throws
190,158.,Jimmy Welsh (22),27,1925,R
191,158.,Chicken Wolf (25),27,1887,R
192,158.,Chicken Wolf (29),27,1891,R
193,194.,Charlie Abbey (27),26,1894,L
194,194.,Ethan Allen (31),26,1935,R
195,194.,Beals Becker (22),26,1909,L
196,194.,Steve Brady (32),26,1884,
197,194.,Johnny Callison (24),26,1963,R
198,194.,John Cassidy (28),26,1883,L
199,194.,Claude Cooper (23),26,1915,L
200,194.,Gavvy Cravath (31),26,1912,R
201,194.,Cozy Dolan (33),26,1906,L
202,194.,Bibb Falk (25),26,1924,L
203,194.,Jim Fogarty (21),26,1885,R
204,194.,Jim Fogarty (24),26,1888,R
205,194.,Goose Goslin+ (22),26,1923,R
206,194.,Billy Hamilton+ (26),26,1892,R
207,194.,Dick Harley (25),26,1898,R
208,194.,Cliff Heathcote (22),26,1920,L
209,194.,Dummy Hoy (26),26,1888,R
210,194.,Dummy Hoy (29),26,1891,R
211,194.,Dummy Hoy (31),26,1893,R
212,194.,Joe Kelley+ (27),26,1899,R
213,194.,Freddy Leach (29),26,1927,R
214,194.,Nemo Leibold (27),26,1919,R
215,194.,Harry Lumley (23),26,1904,L
216,194.,Harry Lyons (24),26,1890,R
217,194.,Jack Manning (30),26,1884,R
218,194.,Sam Mertes (29),26,1902,R
219,194.,Doc Miller (28),26,1911,L
220,194.,Red Murray (26),26,1910,R
221,194.,Rebel Oakes (27),26,1911,R
222,194.,Mel Ott+ (20),26,1929,R
223,194.,Dave Parker (26),26,1977,R
224,194.,Paul Radford (22),26,1884,R
225,194.,Paul Radford (23),26,1885,R
226,194.,Harry Rice (25),26,1927,R
227,194.,Sam Rice+ (27),26,1917,R
228,194.,Jimmy Ryan (29),26,1892,L
229,194.,Emmett Seery (23),26,1884,R
230,194.,Jimmy Sheckard (33),26,1912,R
231,194.,Frank Shugart (27),26,1894,R
232,194.,Mike Slattery (17),26,1884,L
233,194.,Tris Speaker+ (23),26,1911,L
234,194.,Tris Speaker+ (35),26,1923,L
235,194.,Chick Stahl (26),26,1899,L
236,194.,Jigger Statz (25),26,1923,R
237,194.,George Van Haltren (29),26,1895,L
238,194.,Bobby Veach (32),26,1920,R
239,194.,Tillie Walker (32),26,1920,R
240,194.,Gus Williams (25),26,1913,L
241,194.,Walt Wilmot (26),26,1890,R
242,194.,Chicken Wolf (22),26,1884,R
243,194.,Ross Youngs+ (23),26,1920,R
244,245.,Ed Andrews (32),25,1891,R
245,245.,Jimmy Barrett (25),25,1900,R
246,245.,Harry Blake (24),25,1898,R
247,245.,Steve Brady (34),25,1886,
248,245.,Steve Brodie (22),25,1891,R
249,245.,Eddie Burke (23),25,1890,R
250,245.,Max Carey+ (28),25,1918,R
251,245.,John Cassidy (29),25,1884,L
252,245.,Ben Chapman (26),25,1935,R
253,245.,Monk Cline (26),25,1884,L
254,245.,Pop Corkhill (28),25,1886,R
255,245.,Ed Delahanty+ (24),25,1892,R
256,245.,Ray Demmitt (34),25,1918,R
257,245.,Mike Dorgan (26),25,1880,R
258,245.,Jack Dunleavy (25),25,1905,L
259,245.,Rube Ellis (24),25,1910,L
260,245.,Happy Felsch (28),25,1920,R
261,245.,Wilbur Good (28),25,1914,L
262,245.,George Gore (30),25,1884,R
263,245.,Goose Goslin+ (25),25,1926,R
