,Rank,Player (age that year),Championship WPA (cWPA),Year,Throws
207,207.,Guy Morton (28),10.27,1921,R
208,209.,Charlie Root (36),10.26,1935,R
209,210.,Red Ruffing+ (34),10.24,1939,R
210,211.,Bob Shawkey (25),10.20,1916,R
211,212.,Dick Donovan (29),10.14,1957,R
212,212.,Jack Sanford (30),10.14,1959,R
213,214.,Joey Jay (25),10.10,1961,R
214,214.,Art Nehf (28),10.10,1921,L
215,216.,Kent Tekulve (32),10.09,1979,R
216,217.,Stu Miller (38),10.07,1966,R
217,218.,Mike Flanagan (35),10.06,1987,L
218,219.,Clarence Mitchell (37),10.01,1928,L
219,220.,Dizzy Dean+ (28),9.99,1938,R
220,221.,Reb Russell (28),9.96,1917,L
221,222.,Floyd Giebell (30),9.94,1940,R
222,223.,Bucky Walters (31),9.93,1940,R
223,224.,Sad Sam Jones (31),9.91,1924,R
224,225.,Bill Lee (26),9.90,1936,R
225,225.,Gaylord Perry+ (27),9.90,1966,R
226,227.,Murry Dickson (29),9.89,1946,R
227,228.,Ken Burkhart (28),9.85,1945,R
228,229.,Carl Willey (27),9.83,1958,R
229,230.,Hoyt Wilhelm+ (29),9.81,1952,R
230,231.,Ron Guidry (27),9.79,1978,L
231,231.,Jimmy Ring (24),9.79,1919,R
232,233.,Bob Bowman (28),9.78,1939,R
233,233.,Fred Toney (30),9.78,1919,R
234,235.,Vern Law (30),9.77,1960,R
235,236.,Steve Gromek (28),9.75,1948,R
236,237.,Whitey Ford+ (33),9.74,1962,L
237,238.,Ralph Branca (21),9.69,1947,R
238,238.,Don Mossi (26),9.69,1955,L
239,240.,Lew Burdette (26),9.68,1953,R
240,240.,Lon Warneke (25),9.68,1934,R
241,242.,Whitey Ford+ (21),9.67,1950,L
242,242.,Eddie Lopat (34),9.67,1952,L
243,244.,Carl Hubbell+ (35),9.65,1938,L
244,245.,Tommy Bridges (27),9.62,1934,R
245,246.,Vic Raschi (32),9.61,1951,R
246,247.,Juan Marichal+ (25),9.60,1963,R
247,248.,Carl Erskine (28),9.57,1955,R
248,248.,Wilcy Moore (30),9.57,1927,R
249,250.,Luis Tiant (33),9.55,1974,R
250,251.,Firpo Marberry (26),9.54,1925,R
251,252.,Bob Shaw (26),9.53,1959,R
252,253.,Curt Davis (38),9.51,1942,R
253,254.,Carl Erskine (26),9.50,1953,R
254,255.,Eddie Lopat (32),9.47,1950,L
255,256.,Rosy Ryan (25),9.44,1923,R
256,257.,Carmen Hill (31),9.43,1927,R
257,258.,Slim Harriss (27),9.41,1925,R
258,259.,Eddie Fisher (28),9.40,1965,R
259,259.,Milt Pappas (25),9.40,1964,R
260,261.,Babe Ruth+ (21),9.38,1916,L
261,262.,Chris Short (26),9.36,1964,L
262,263.,Spud Chandler (34),9.35,1942,R
263,264.,Dick Rudolph (28),9.33,1916,R
264,265.,Dave Giusti (34),9.31,1974,R
265,266.,Virgil Barnes (27),9.25,1924,R
266,267.,Mickey Lolich (31),9.22,1972,L
267,268.,Bob Buhl (28),9.20,1957,R
268,268.,Billy Pierce (26),9.20,1953,L
269,270.,Joey Jay (22),9.19,1958,R
270,271.,Carl Hubbell+ (25),9.14,1928,L
271,272.,Bobby Bolin (27),9.13,1966,R
272,272.,Jim Lonborg (25),9.13,1967,R
273,274.,Gaylord Perry+ (25),9.12,1964,R
274,275.,Earl Whitehill (34),9.10,1933,L
275,276.,Jesse Haines+ (32),9.09,1926,R
276,277.,Jimmy Key (26),9.08,1987,L
277,277.,Johnny Podres (24),9.08,1957,L
278,279.,Stan Coveleski+ (28),9.06,1918,R
279,279.,Herb Pennock+ (34),9.06,1928,L
280,281.,Bob Lemon+ (30),9.05,1951,R
281,282.,Bob Kuzava (28),9.04,1951,L
282,283.,Jim Hughes (31),9.02,1954,R
283,284.,Mickey Lolich (26),9.00,1967,L
284,285.,Hoyt Wilhelm+ (41),8.98,1964,R
285,286.,Spud Chandler (35),8.95,1943,R
286,286.,Jim Kaat (28),8.95,1967,L
287,286.,Ray Phelps (26),8.95,1930,R
288,289.,Vic Aldridge (33),8.94,1927,R
289,290.,Jack Morris+ (32),8.92,1987,R
290,291.,Bucky Walters (35),8.90,1944,R
291,292.,Frank Baumann (26),8.88,1960,L
292,292.,Fred Martin (34),8.88,1949,R
293,294.,Slim Sallee (34),8.87,1919,L
294,295.,Rich Gossage+ (28),8.83,1980,R
295,296.,Lefty Gomez+ (23),8.80,1932,L
296,297.,Frank Viola (27),8.75,1987,L
297,298.,Red Ruffing+ (33),8.71,1938,R
298,299.,Joe Beggs (29),8.70,1940,R
299,300.,Jim Bunning+ (29),8.69,1961,R
300,300.,John Danks (23),8.69,2008,L
301,302.,Bob Friend (29),8.66,1960,R
302,302.,Bill Lee (24),8.66,1934,R
303,304.,Mickey McDermott (22),8.64,1951,L
304,305.,Howie Pollet (22),8.63,1943,L
305,306.,Lee Meadows (32),8.61,1927,R
306,307.,Roy Parmelee (27),8.59,1934,R
307,308.,Bob Turley (27),8.54,1958,R
308,309.,Jeff Lahti (28),8.52,1985,R
309,310.,Heath Bell (29),8.48,2007,R
310,310.,Clem Labine (24),8.48,1951,R
311,312.,Stan Williams (22),8.47,1959,R
312,313.,Don Larsen (25),8.46,1955,R
313,314.,Hank Behrman (25),8.44,1946,R
314,315.,Ruben Gomez (26),8.43,1954,R
315,315.,Bob Lemon+ (28),8.43,1949,R
316,317.,Firpo Marberry (31),8.40,1930,R
317,318.,Les Mueller (26),8.35,1945,R
318,319.,Wally Bunker (19),8.33,1964,R
319,320.,Sal Maglie (35),8.32,1952,R
320,320.,Ralph Terry (25),8.32,1961,R
321,322.,Wilbur Cooper (29),8.29,1921,L
322,323.,Babe Ruth+ (22),8.25,1917,L
323,323.,Don Sutton+ (37),8.25,1982,R
324,325.,Bullet Joe Bush (25),8.24,1918,R
325,325.,Harry Gumbert (31),8.24,1941,R
326,327.,Monty Stratton (25),8.22,1937,R
327,327.,Steve Swetonic (28),8.22,1932,R
328,329.,Babe Ruth+ (23),8.21,1918,L
329,330.,Ron Guidry (26),8.19,1977,L
330,330.,Vern Ruhle (29),8.19,1980,R
331,332.,Tommy Bridges (28),8.17,1935,R
332,333.,Tiny Bonham (29),8.12,1943,R
333,334.,Tex Hughson (30),8.09,1946,R
334,335.,Greg Maddux+ (27),8.06,1993,R
