,Rank,Player (age that year),Singles,Year,Bats
255,249.,Duff Cooley (25),156,1898,L
256,249.,Jake Daubert (38),156,1922,L
257,249.,Julio Franco (32),156,1991,R
258,249.,Frankie Frisch+ (29),156,1927,B
259,249.,Tito Fuentes (33),156,1977,B
260,249.,Greg Gross (21),156,1974,L
261,249.,Billy Herman+ (22),156,1932,R
262,249.,Alex Johnson (27),156,1970,R
263,249.,Fielder Jones (26),156,1898,L
264,249.,Nap Lajoie+ (26),156,1901,R
265,249.,Ron LeFlore (29),156,1977,R
266,249.,Juan Pierre (28),156,2006,L
267,249.,George Sisler+ (34),156,1927,L
268,249.,Pie Traynor+ (34),156,1933,R
269,249.,George Van Haltren (33),156,1899,L
270,249.,Jimmy Williams (22),156,1899,R
271,249.,Maury Wills (35),156,1968,B
272,273.,Sparky Adams (31),155,1926,R
273,273.,Lou Brock+ (31),155,1970,L
274,273.,Ty Cobb+ (29),155,1916,L
275,273.,Eddie Collins+ (22),155,1909,L
276,273.,Duff Cooley (24),155,1897,L
277,273.,Gene DeMontreville (24),155,1897,R
278,273.,Patsy Donovan (31),155,1896,L
279,273.,Nellie Fox+ (29),155,1957,L
280,273.,Frankie Frisch+ (23),155,1921,B
281,273.,Jack Glasscock (31),155,1889,R
282,273.,Stan Hack (35),155,1945,L
283,273.,Billy Hamilton+ (30),155,1896,L
284,273.,Jimmy Johnston (30),155,1920,R
285,273.,Felix Millan (29),155,1973,R
286,273.,Omar Moreno (26),155,1979,L
287,273.,Juan Pierre (33),155,2011,L
288,273.,Gene Richards (26),155,1980,L
289,273.,George Sisler+ (36),155,1929,L
290,273.,Harry Taylor (24),155,1890,L
291,273.,Garry Templeton (21),155,1977,B
292,273.,Irv Waldron (29),155,1901,L
293,273.,Paul Waner+ (31),155,1934,L
294,273.,John Ward+ (33),155,1893,L
295,273.,Michael Young (34),155,2011,R
296,297.,Matty Alou (27),154,1966,L
297,297.,Luke Appling+ (36),154,1943,R
298,297.,Wade Boggs+ (25),154,1983,L
299,297.,Larry Bowa (28),154,1974,B
300,297.,Bill Buckner (26),154,1976,L
301,297.,Eddie Collins+ (23),154,1910,L
302,297.,Eddie Collins+ (37),154,1924,L
303,297.,Doc Cramer (32),154,1938,L
304,297.,Woody English (25),154,1931,R
305,297.,Charlie Gehringer+ (34),154,1937,L
306,297.,Dick Groat (29),154,1960,R
307,297.,Tony Gwynn+ (35),154,1995,L
308,297.,Buddy Hassett (24),154,1936,L
309,297.,Baby Doll Jacobson (30),154,1921,R
310,297.,Willie McGee (31),154,1990,B
311,297.,Paul Molitor+ (34),154,1991,R
312,297.,Edd Roush+ (27),154,1920,L
313,297.,Ichiro Suzuki (37),154,2011,L
314,297.,Ryan Theriot (28),154,2008,R
315,297.,Fresco Thompson (27),154,1929,R
316,297.,Jack Tobin (28),154,1920,L
317,297.,Michael Young (30),154,2007,R
318,319.,Matty Alou (29),153,1968,L
319,319.,Richie Ashburn+ (29),153,1956,L
320,319.,Dick Bartell (26),153,1934,R
321,319.,Glenn Beckert (27),153,1968,R
322,319.,Larry Bowa (32),153,1978,B
323,319.,George Case (24),153,1940,R
324,319.,Vince Coleman (25),153,1987,B
325,319.,Eddie Collins+ (25),153,1912,L
326,319.,Hughie Critz (27),153,1928,R
327,319.,Mike Donlin (30),153,1908,L
328,319.,Bill Everitt (27),153,1896,L
329,319.,Charlie Hollocher (26),153,1922,L
330,319.,Shoeless Joe Jackson (24),153,1912,L
331,319.,Derek Jeter+ (31),153,2005,R
332,319.,Jason Kendall (29),153,2003,R
333,319.,Carney Lansford (32),153,1989,R
334,319.,Ron LeFlore (30),153,1978,R
