,Rank,Player (age that year),Doubles,Year,Bats
146,122.,Hanley Ramirez (23),48,2007,R
147,122.,Scott Rolen (31),48,2006,R
148,122.,Joe Sewell+ (28),48,1927,L
149,122.,Tris Speaker+ (34),48,1922,L
150,122.,Chase Utley (28),48,2007,L
151,122.,Dmitri Young (24),48,1998,B
152,153.,Bobby Abreu (30),47,2004,L
153,153.,Dale Alexander (28),47,1931,R
154,153.,Jose Altuve (24),47,2014,R
155,153.,Miguel Andujar (23),47,2018,R
156,153.,Mookie Betts (25),47,2018,R
157,153.,Craig Biggio+ (38),47,2004,R
158,153.,Wade Boggs+ (28),47,1986,L
159,153.,George Burns (30),47,1923,R
160,153.,Orlando Cabrera (28),47,2003,R
161,153.,Ty Cobb+ (24),47,1911,L
162,153.,Adam Comorosky (25),47,1930,R
163,153.,Harry Davis (31),47,1905,R
164,153.,Jeff Francoeur (27),47,2011,R
165,153.,Charlie Gehringer+ (27),47,1930,L
166,153.,Lou Gehrig+ (23),47,1926,L
167,153.,Lou Gehrig+ (25),47,1928,L
168,153.,Jason Giambi (30),47,2001,L
169,153.,Adrian Gonzalez (30),47,2012,L
170,153.,Luis Gonzalez (32),47,2000,L
171,153.,Chick Hafey+ (26),47,1929,R
172,153.,Aaron Hill (25),47,2007,R
173,153.,Tommy Holmes (28),47,1945,L
174,153.,Rogers Hornsby+ (33),47,1929,R
175,153.,Aubrey Huff (26),47,2003,L
176,153.,Mark Loretta (32),47,2004,R
177,153.,Mike Lowell (32),47,2006,R
178,153.,Fred Lynn (23),47,1975,L
179,153.,Heinie Manush+ (26),47,1928,L
180,153.,Eric McNair (23),47,1932,R
181,153.,Joe Medwick+ (26),47,1938,R
182,153.,Bob Meusel (30),47,1927,R
183,153.,Ed Morgan (26),47,1930,R
184,153.,Justin Morneau (27),47,2008,L
185,153.,Daniel Murphy (31),47,2016,L
186,153.,Magglio Ordonez (28),47,2002,R
187,153.,David Ortiz (28),47,2004,L
188,153.,Wes Parker (30),47,1970,B
189,153.,Vada Pinson (20),47,1959,L
190,153.,Albert Pujols (21),47,2001,R
191,153.,Edgar Renteria (26),47,2003,R
192,153.,Alex Rios (27),47,2008,R
193,153.,Cal Ripken Jr.+ (22),47,1983,R
194,153.,Ivan Rodriguez+ (24),47,1996,R
195,153.,Pete Rose (34),47,1975,B
196,153.,John Valentin (30),47,1997,R
197,153.,Joe Vosmik (25),47,1935,R
198,153.,Joe Vosmik (27),47,1937,R
199,153.,Randy Winn (31),47,2005,B
200,153.,Ryan Zimmerman (21),47,2006,R
201,202.,Hank Aaron+ (25),46,1959,R
202,202.,Sparky Adams (36),46,1931,R
203,202.,Ethan Allen (31),46,1935,R
204,202.,John Anderson (27),46,1901,B
205,202.,Lance Berkman (32),46,2008,B
206,202.,Mookie Betts (24),46,2017,R
207,202.,Lou Boudreau+ (22),46,1940,R
208,202.,Lou Brock+ (29),46,1968,L
209,202.,Bill Buckner (35),46,1985,L
210,202.,Robinson Cano (28),46,2011,L
211,202.,Nicholas Castellanos (26),46,2018,R
212,202.,Jeff Cirillo (26),46,1996,R
213,202.,Jeff Cirillo (27),46,1997,R
214,202.,Jack Clark (22),46,1978,R
215,202.,Marty Cordova (26),46,1996,R
216,202.,Warren Cromartie (25),46,1979,L
217,202.,Deivi Cruz (27),46,2000,R
218,202.,Jacoby Ellsbury (27),46,2011,L
219,202.,Frankie Frisch+ (32),46,1930,B
220,202.,Adrian Gonzalez (25),46,2007,L
221,202.,Luis Gonzalez (35),46,2003,L
222,202.,Hank Greenberg+ (24),46,1935,R
223,202.,Chick Hafey+ (25),46,1928,R
224,202.,Von Hayes (27),46,1986,L
225,202.,Rogers Hornsby+ (26),46,1922,R
226,202.,Nick Johnson (27),46,2006,L
227,202.,Red Kress (26),46,1931,R
228,202.,Lyn Lary (31),46,1937,R
229,202.,Adam Lind (25),46,2009,L
230,202.,Evan Longoria (24),46,2010,R
231,202.,Edgar Martinez+ (29),46,1992,R
232,202.,Edgar Martinez+ (35),46,1998,R
233,202.,Nate McLouth (26),46,2008,L
234,202.,Hal McRae (36),46,1982,R
235,202.,Joe Medwick+ (23),46,1935,R
236,202.,Stan Musial+ (27),46,1948,L
237,202.,Magglio Ordonez (29),46,2003,R
238,202.,Lyle Overbay (29),46,2006,L
239,202.,Hanley Ramirez (22),46,2006,R
240,202.,Jose Ramirez (23),46,2016,B
241,202.,Cal Ripken Jr.+ (30),46,1991,R
242,202.,Red Rolfe (30),46,1939,L
243,202.,Tris Speaker+ (26),46,1914,L
244,202.,Riggs Stephenson (29),46,1927,R
245,202.,Mike Sweeney (27),46,2001,R
246,202.,Miguel Tejada (35),46,2009,R
247,202.,Frank Thomas+ (24),46,1992,R
248,202.,Larry Walker+ (30),46,1997,L
249,202.,Larry Walker+ (31),46,1998,L
250,202.,Jayson Werth (31),46,2010,R
251,202.,Rudy York (26),46,1940,R
252,202.,Delmon Young (24),46,2010,R
253,202.,Robin Yount+ (26),46,1982,R
254,202.,Ben Zobrist (30),46,2011,B
255,256.,Albert Belle (30),45,1997,R
256,256.,Xander Bogaerts (25),45,2018,R
257,256.,Wade Boggs+ (30),45,1988,L
258,256.,Lou Boudreau+ (23),45,1941,R
259,256.,Lou Boudreau+ (26),45,1944,R
260,256.,Lou Boudreau+ (29),45,1947,R
261,256.,Michael Brantley (27),45,2014,L
262,256.,Michael Brantley (28),45,2015,L
263,256.,Ryan Braun (26),45,2010,R
264,256.,George Brett+ (25),45,1978,L
265,256.,George Brett+ (37),45,1990,L
266,256.,Ellis Burks (31),45,1996,R
267,256.,Billy Butler (24),45,2010,R
268,256.,Miguel Cabrera (27),45,2010,R
269,256.,Orlando Cabrera (31),45,2006,R
270,256.,Joe Cronin+ (26),45,1933,R
271,256.,Nelson Cruz (31),45,2012,R
272,256.,Steve Finley (31),45,1996,L
273,256.,Cliff Floyd (25),45,1998,L
274,256.,Charlie Gehringer+ (26),45,1929,L
275,256.,Marcus Giles (27),45,2005,R
276,256.,Adrian Gonzalez (29),45,2011,L
277,256.,Luis Gonzalez (31),45,1999,L
278,256.,Alex Gordon (27),45,2011,L
279,256.,Shawn Green (26),45,1999,L
280,256.,Ray Grimes (28),45,1922,R
281,256.,Vladimir Guerrero+ (26),45,2001,R
282,256.,Vladimir Guerrero+ (32),45,2007,R
283,256.,Corey Hart (26),45,2008,R
284,256.,Charlie Hayes (28),45,1993,R
285,256.,Harry Heilmann+ (29),45,1924,R
286,256.,Todd Helton (31),45,2005,L
287,256.,Eric Hinske (25),45,2003,L
288,256.,Matt Holliday (26),45,2006,R
289,256.,Matt Holliday (30),45,2010,R
290,256.,Torii Hunter (31),45,2007,R
291,256.,Shoeless Joe Jackson (23),45,1911,L
292,256.,Roy Johnson (26),45,1929,L
293,256.,High Pockets Kelly+ (33),45,1929,R
294,256.,Chuck Klein+ (24),45,1929,L
295,256.,Chuck Knoblauch (25),45,1994,R
296,256.,Mike Lansing (29),45,1997,R
297,256.,Jed Lowrie (29),45,2013,B
298,256.,Heinie Manush+ (27),45,1929,L
299,256.,Nick Markakis (25),45,2009,L
300,256.,Nick Markakis (26),45,2010,L
301,256.,Hideki Matsui (31),45,2005,L
302,256.,Bob Meusel (31),45,1928,R
303,256.,Bill Mueller (32),45,2003,B
304,256.,John Olerud (31),45,2000,L
305,256.,Dave Parker (28),45,1979,L
306,256.,Kirby Puckett+ (29),45,1989,R
307,256.,Albert Pujols (29),45,2009,R
308,256.,Manny Ramirez (24),45,1996,R
309,256.,Jody Reed (27),45,1990,R
310,256.,Brian Roberts (27),45,2005,B
311,256.,Floyd Robinson (26),45,1962,L
312,256.,Scott Rolen (23),45,1998,R
313,256.,Jimmy Rollins (27),45,2006,B
314,256.,Pete Rose (33),45,1974,B
315,256.,Aaron Rowand (29),45,2007,R
316,256.,Babe Ruth+ (28),45,1923,L
317,256.,Joe Sewell+ (25),45,1924,L
318,256.,Socks Seybold (32),45,1903,R
319,256.,Moose Solters (29),45,1935,R
320,256.,Moose Solters (30),45,1936,R
321,256.,Mark Teixeira (26),45,2006,B
322,256.,Sam Thompson+ (35),45,1895,L
323,256.,Hal Trosky (21),45,1934,L
324,256.,Hal Trosky (23),45,1936,L
325,256.,Andy Van Slyke (31),45,1992,L
326,256.,Bobby Veach (31),45,1919,L
