,Rank,Player (age that year),Double Plays Turned as OF,Year,Throws
287,180.,Jimmy Ryan (24),7,1887,L
288,180.,Jimmy Ryan (34),7,1897,L
289,180.,Frank Schulte (23),7,1906,R
290,180.,Socks Seybold (36),7,1907,R
291,180.,Al Shaw (27),7,1908,R
292,180.,Jimmy Sheckard (24),7,1903,R
293,180.,Burt Shotton (27),7,1912,R
294,180.,Burt Shotton (33),7,1918,R
295,180.,Jimmy Slagle (30),7,1904,R
296,180.,Mike Smith (25),7,1893,L
297,180.,Joe Sommer (30),7,1889,R
298,180.,Denny Sothern (24),7,1928,R
299,180.,Tris Speaker+ (22),7,1910,L
300,180.,Tris Speaker+ (25),7,1913,L
301,180.,Tris Speaker+ (34),7,1922,L
302,180.,Tris Speaker+ (35),7,1923,L
303,180.,Tris Speaker+ (38),7,1926,L
304,180.,Jigger Statz (25),7,1923,R
305,180.,Marty Sullivan (25),7,1888,R
306,180.,Mark Teahen (25),7,2007,R
307,180.,Roy Thomas (32),7,1906,L
308,180.,Sam Thompson+ (27),7,1887,R
309,180.,Sam Thompson+ (29),7,1889,R
310,180.,Sam Thompson+ (32),7,1892,R
311,180.,John Titus (28),7,1904,L
312,180.,Jack Tobin (26),7,1918,L
313,180.,George Van Haltren (25),7,1891,L
314,180.,George Van Haltren (34),7,1900,L
315,180.,Tillie Walker (29),7,1917,R
316,180.,Paul Waner+ (33),7,1936,L
317,180.,Farmer Weaver (26),7,1891,
318,180.,Curt Welch (25),7,1887,R
319,180.,Jimmy Welsh (22),7,1925,R
320,180.,Sam West (27),7,1932,L
321,180.,Zack Wheat+ (25),7,1913,R
322,180.,Gus Williams (25),7,1913,L
323,180.,Ken Williams (30),7,1920,R
324,180.,Chief Wilson (25),7,1909,R
325,180.,Chuck Workman (28),7,1943,R
326,180.,Rasty Wright (27),7,1890,
327,180.,Delmon Young (21),7,2007,R
328,180.,Ross Youngs+ (22),7,1919,R
329,180.,Ross Youngs+ (23),7,1920,R
330,180.,Ross Youngs+ (26),7,1923,R
331,332.,Hank Aaron+ (26),6,1960,R
332,332.,Charlie Abbey (27),6,1894,L
333,332.,Ethan Allen (31),6,1935,R
334,332.,Myron Allen (33),6,1887,R
335,332.,Brady Anderson (28),6,1992,L
336,332.,Buzz Arlett (32),6,1931,R
337,332.,Richie Ashburn+ (24),6,1951,R
338,332.,Bill Barrett (27),6,1927,R
339,332.,Jimmy Barrett (25),6,1900,R
340,332.,Jimmy Barrett (27),6,1902,R
341,332.,Jimmy Barrett (29),6,1904,R
342,332.,Johnny Bates (29),6,1913,L
343,332.,Harry Bay (26),6,1904,L
344,332.,Ginger Beaumont (22),6,1899,R
345,332.,Ginger Beaumont (27),6,1904,R
346,332.,Fred Beck (23),6,1910,L
347,332.,Beau Bell (28),6,1936,R
348,332.,Beau Bell (29),6,1937,R
349,332.,Carlos Beltran (24),6,2001,R
350,332.,Carlos Beltran (29),6,2006,R
351,332.,Dante Bichette (34),6,1998,R
352,332.,Carson Bigbee (26),6,1921,R
353,332.,Joe Birmingham (23),6,1908,R
354,332.,Joe Birmingham (26),6,1911,R
355,332.,Bobby Bonds (29),6,1975,R
356,332.,Bobby Bonds (32),6,1978,R
357,332.,Roger Bresnahan+ (24),6,1903,R
358,332.,Steve Brodie (21),6,1890,R
359,332.,Steve Brodie (27),6,1896,R
360,332.,Tom Brunansky (23),6,1984,R
361,332.,Bill Bruton (29),6,1955,R
362,332.,Al Burch (22),6,1906,R
363,332.,Al Burch (24),6,1908,R
364,332.,Al Burch (26),6,1910,R
365,332.,Jesse Burkett+ (31),6,1900,L
366,332.,Vin Campbell (24),6,1912,R
367,332.,Vin Campbell (26),6,1914,R
368,332.,Jim Canavan (27),6,1894,R
369,332.,Rip Cannell (25),6,1905,R
370,332.,Max Carey+ (23),6,1913,R
371,332.,Max Carey+ (31),6,1921,R
372,332.,Max Carey+ (37),6,1927,R
373,332.,Cliff Carroll (27),6,1887,R
374,332.,John Cassidy (23),6,1878,L
375,332.,Chet Chadbourne (29),6,1914,R
376,332.,Rocky Colavito (24),6,1958,R
377,332.,John Coleman (23),6,1886,R
378,332.,Hub Collins (24),6,1888,R
379,332.,Shano Collins (24),6,1910,R
380,332.,Shano Collins (30),6,1916,R
381,332.,Wayne Comer (25),6,1969,R
382,332.,Duff Cooley (24),6,1897,R
383,332.,Pop Corkhill (28),6,1886,R
384,332.,Pop Corkhill (33),6,1891,R
385,332.,Estel Crabtree (27),6,1931,R
386,332.,Doc Cramer (30),6,1936,R
387,332.,Doc Cramer (36),6,1942,R
388,332.,Sam Crawford+ (21),6,1901,L
389,332.,Walton Cruise (27),6,1917,R
390,332.,Leon Culberson (26),6,1945,R
391,332.,Roy Cullenbine (29),6,1943,R
392,332.,Roy Cullenbine (30),6,1944,R
393,332.,Chad Curtis (24),6,1993,R
394,332.,Kiki Cuyler+ (30),6,1929,R
395,332.,Bert Daniels (28),6,1911,R
396,332.,Kiddo Davis (30),6,1932,R
397,332.,Ed Delahanty+ (24),6,1892,R
398,332.,Frank Demaree (27),6,1937,R
399,332.,Ray Demmitt (34),6,1918,R
400,332.,Charlie Dexter (27),6,1903,R
401,332.,Buttercup Dickerson (22),6,1881,R
402,332.,Chuck Diering (31),6,1954,R
403,332.,Larry Doby+ (30),6,1954,R
404,332.,Patsy Donovan (37),6,1902,L
405,332.,J.D. Drew (23),6,1999,R
406,332.,Hugh Duffy+ (26),6,1893,R
407,332.,Vern Duncan (25),6,1915,R
408,332.,Jermaine Dye (25),6,1999,R
409,332.,Jarrod Dyson (32),6,2017,R
410,332.,Ike Eichrodt (24),6,1927,R
411,332.,Juan Encarnacion (26),6,2002,R
412,332.,Dude Esterbrook (25),6,1882,R
413,332.,Steve Evans (30),6,1915,L
414,332.,Mike Felder (28),6,1990,R
415,332.,Steve Finley (33),6,1998,L
416,332.,Ira Flagstead (31),6,1925,R
417,332.,Elmer Flick+ (24),6,1900,R
418,332.,Jim Fogarty (25),6,1889,R
419,332.,Carl Furillo (29),6,1951,R
420,332.,Rod Gaspar (23),6,1969,L
421,332.,Patrick Gillespie (31),6,1883,R
422,332.,Jack Graney (31),6,1917,L
423,332.,Ken Griffey Jr.+ (19),6,1989,L
424,332.,Mike Griffin (23),6,1888,R
425,332.,Mike Griffin (32),6,1897,R
426,332.,Pedro Guerrero (26),6,1982,R
427,332.,Ed Hahn (31),6,1907,R
428,332.,Bill Hallman (25),6,1901,L
429,332.,Billy Hamilton+ (23),6,1889,R
430,332.,Billy Hamilton+ (27),6,1893,R
431,332.,Billy Hamilton+ (34),6,1900,R
432,332.,Ned Hanlon+ (25),6,1883,R
433,332.,Billy Hatcher (26),6,1987,R
434,332.,Emmet Heidrick (22),6,1899,R
435,332.,Emmet Heidrick (27),6,1904,R
436,332.,Harry Heilmann+ (29),6,1924,R
437,332.,Charlie Hemphill (26),6,1902,L
438,332.,George Hendrick (26),6,1976,R
439,332.,Babe Herman (29),6,1932,L
440,332.,Jim Hickman (25),6,1917,R
441,332.,Danny Hoffman (29),6,1909,L
442,332.,Willie Hogan (27),6,1912,R
443,332.,Bug Holliday (22),6,1889,R
444,332.,Bug Holliday (25),6,1892,R
445,332.,Bug Holliday (27),6,1894,R
446,332.,Harry Hooper+ (24),6,1912,R
447,332.,Harry Hooper+ (30),6,1918,R
448,332.,Dummy Hoy (33),6,1895,R
449,332.,Dummy Hoy (36),6,1898,R
450,332.,Dummy Hoy (39),6,1901,R
451,332.,Baby Doll Jacobson (26),6,1917,R
452,332.,Baby Doll Jacobson (29),6,1920,R
453,332.,Charlie Jamieson (31),6,1924,L
454,332.,Sam Jethroe (33),6,1950,R
455,332.,Dick Johnston (26),6,1889,R
456,332.,Jimmy Johnston (28),6,1918,R
457,332.,Adam Jones (24),6,2010,R
458,332.,Andruw Jones (21),6,1998,R
459,332.,Andruw Jones (24),6,2001,R
460,332.,Charley Jones (33),6,1885,R
461,332.,Charlie Jones (29),6,1905,R
462,332.,Fielder Jones (24),6,1896,R
463,332.,Fielder Jones (35),6,1907,R
464,332.,Brian Jordan (31),6,1998,R
465,332.,Benny Kauff (26),6,1916,L
466,332.,Willie Keeler+ (24),6,1896,L
467,332.,Lee King (24),6,1917,R
468,332.,Lon Knight (28),6,1881,R
469,332.,Lon Knight (31),6,1884,R
470,332.,Bill Lange (24),6,1895,R
471,332.,Jim Lemon (28),6,1956,R
472,332.,Duffy Lewis (29),6,1917,R
473,332.,Al Libke (26),6,1945,R
474,332.,Don Lock (26),6,1963,R
475,332.,Bris Lord (26),6,1910,R
476,332.,Harry Lumley (27),6,1908,L
477,332.,Sherry Magee (20),6,1905,R
478,332.,Billy Maloney (28),6,1906,R
479,332.,Fred Mann (29),6,1887,R
480,332.,Willard Marshall (26),6,1947,R
481,332.,Willie Mays+ (25),6,1956,R
482,332.,Jimmy McAleer (27),6,1892,R
483,332.,Jack McCarthy (30),6,1899,L
484,332.,Jack McCarthy (34),6,1903,L
485,332.,Tommy McCarthy+ (32),6,1896,R
486,332.,Moose McCormick (28),6,1909,L
487,332.,Matty McIntyre (25),6,1905,L
488,332.,Joe Medwick+ (26),6,1938,R
489,332.,Sam Mertes (25),6,1898,R
490,332.,Alex Metzler (24),6,1927,R
491,332.,Bob Meusel (28),6,1925,R
492,332.,Bob Meusel (31),6,1928,R
493,332.,Irish Meusel (27),6,1920,R
494,332.,Benny Meyer (29),6,1914,R
495,332.,Clyde Milan (21),6,1908,R
496,332.,Clyde Milan (25),6,1912,R
497,332.,Mike Mitchell (34),6,1914,R
498,332.,Danny Moeller (30),6,1915,R
499,332.,Rick Monday (21),6,1967,L
