,Rank,Player (age that year),Double Plays Turned as 1B,Year,Throws
55,52.,Albert Pujols (29),150,2009,R
56,52.,George Scott (33),150,1977,R
57,52.,Gus Suhr (32),150,1938,R
58,59.,Jim Bottomley+ (27),149,1927,L
59,59.,Rod Carew+ (30),149,1976,R
60,59.,Nick Etten (31),149,1945,L
61,59.,Todd Helton (29),149,2003,L
62,59.,Ted Kluszewski (28),149,1953,L
63,59.,Tony Lupien (26),149,1943,L
64,59.,Justin Morneau (27),149,2008,R
65,66.,Nick Etten (29),148,1943,L
66,66.,Ferris Fain (27),148,1948,L
67,66.,Billy Goodman (23),148,1949,R
68,66.,Wally Joyner (26),148,1988,L
69,66.,Adam LaRoche (29),148,2009,L
70,66.,Fred McGriff (25),148,1989,L
71,66.,Bill Terry+ (29),148,1928,L
72,66.,Kevin Young (30),148,1999,R
73,74.,Walt Dropo (27),147,1950,R
74,74.,Charlie Grimm (29),147,1928,L
75,74.,Harvey Hendrick (33),147,1931,R
76,74.,Keith Hernandez (29),147,1983,L
77,74.,Wil Myers (26),147,2017,R
78,79.,Joe Adcock (25),146,1953,R
79,79.,Hank Greenberg+ (27),146,1938,R
80,79.,Keith Hernandez (23),146,1977,L
81,79.,Keith Hernandez (26),146,1980,L
82,79.,Wally Joyner (27),146,1989,L
83,79.,Frank McCormick (29),146,1940,R
84,79.,Eddie Murray+ (31),146,1987,R
85,79.,Albert Pujols (30),146,2010,R
86,79.,Bill Skowron (30),146,1961,R
87,79.,Bill Terry+ (30),146,1929,L
88,89.,Steve Bilko (24),145,1953,R
89,89.,Paul Goldschmidt (31),145,2019,R
90,89.,Keith Hernandez (25),145,1979,L
91,89.,Kendrys Morales (26),145,2009,R
92,89.,Vic Power (32),145,1960,R
93,89.,Albert Pujols (26),145,2006,R
94,89.,Eddie Robinson (31),145,1952,R
95,89.,Hal Trosky (21),145,1934,R
96,97.,Chris Chambliss (33),144,1982,R
97,97.,Cecil Cooper (33),144,1983,L
98,97.,Nick Etten (30),144,1944,L
99,97.,Jackie Robinson+ (28),144,1947,R
100,97.,George Scott (29),144,1973,R
101,97.,Joe Torre+ (33),144,1974,R
102,97.,Mickey Vernon (36),144,1954,L
103,104.,Ernie Banks+ (34),143,1965,R
104,104.,Bruce Bochte (29),143,1980,L
105,104.,Babe Dahlgren (28),143,1940,R
106,104.,Todd Helton (26),143,2000,L
107,104.,Joe Kuhel (37),143,1943,L
108,104.,Don Mattingly (28),143,1989,L
109,104.,Lee May (27),143,1970,R
110,104.,Fred McGriff (24),143,1988,L
111,104.,Eddie Murray+ (22),143,1978,R
112,104.,Eddie Robinson (30),143,1951,R
113,114.,Del Bissonette (30),142,1930,L
114,114.,Prince Fielder (25),142,2009,R
115,114.,Hank Greenberg+ (24),142,1935,R
116,114.,Gil Hodges (25),142,1949,R
117,114.,Derrek Lee (25),142,2001,R
118,114.,Ray Sanders (26),142,1943,R
119,114.,Ray Sanders (27),142,1944,R
120,114.,Gus Suhr (24),142,1930,R
121,114.,Eddie Waitkus (30),142,1950,L
122,114.,Rudy York (31),142,1945,R
123,124.,Jeff Bagwell+ (31),141,1999,R
124,124.,Elbie Fletcher (27),141,1943,L
125,124.,Lew Fonseca (30),141,1929,R
126,124.,Joe Kuhel (31),141,1937,L
127,124.,John Mayberry (23),141,1972,L
128,124.,Willie Montanez (28),141,1976,L
129,124.,Eddie Robinson (29),141,1950,R
130,124.,George Sisler+ (33),141,1926,L
131,124.,Dick Stuart (28),141,1961,R
132,133.,Jeff Bagwell+ (29),140,1997,R
133,133.,Bruce Bochte (28),140,1979,L
134,133.,Bill Buckner (35),140,1985,L
135,133.,Chris Chambliss (31),140,1980,R
136,133.,Babe Dahlgren (27),140,1939,R
137,133.,Bert Haas (32),140,1946,R
138,133.,Keith Hernandez (28),140,1982,L
139,133.,Fred McGriff (34),140,1998,L
140,133.,Wally Pipp (33),140,1926,L
141,133.,Vic Power (27),140,1955,R
142,143.,Dick Gernert (24),139,1953,R
143,143.,Charlie Grimm (25),139,1924,L
144,143.,Charlie Grimm (27),139,1926,L
145,143.,Todd Helton (27),139,2001,L
146,143.,Ryan Howard (26),139,2006,L
147,143.,Wil Myers (25),139,2016,R
148,143.,Mickey Vernon (34),139,1952,L
149,143.,Kevin Young (29),139,1998,R
150,151.,Steve Balboni (28),138,1985,R
151,151.,Dolph Camilli (32),138,1939,L
152,151.,Chris Davis (30),138,2016,R
153,151.,Steve Garvey (27),138,1976,R
154,151.,Steve Garvey (36),138,1985,R
155,151.,Todd Helton (28),138,2002,L
156,151.,Bob Horner (28),138,1986,R
157,151.,Wally Joyner (30),138,1992,L
158,151.,Joe Kuhel (30),138,1936,L
159,151.,Derrek Lee (26),138,2002,R
160,151.,John Mayberry (31),138,1980,L
161,151.,Lee May (32),138,1975,R
162,151.,Willie Montanez (30),138,1978,L
163,151.,Mitch Moreland (30),138,2016,L
164,151.,Stan Musial+ (26),138,1947,L
165,151.,George Sisler+ (34),138,1927,L
166,151.,Bill Skowron (25),138,1956,R
167,168.,Carlos Delgado (31),137,2003,R
168,168.,Cecil Fielder (26),137,1990,R
169,168.,Steve Garvey (28),137,1977,R
170,168.,Kent Hrbek (26),137,1986,R
171,168.,Buck Jordan (29),137,1936,R
172,168.,Fred McGriff (36),137,2000,L
173,168.,George Scott (30),137,1974,R
174,168.,Mark Teixeira (30),137,2010,R
175,168.,Earl Torgeson (27),137,1951,L
176,168.,Mickey Vernon (37),137,1955,L
177,178.,Del Bissonette (31),136,1931,L
178,178.,Todd Helton (31),136,2005,L
179,178.,Walter Holke (30),136,1923,L
180,178.,Paul Konerko (28),136,2004,R
181,178.,Stuffy McInnis (32),136,1923,R
182,178.,Eddie Murray+ (27),136,1983,R
183,178.,Albert Pujols (24),136,2004,R
184,178.,Earl Sheely (32),136,1925,R
185,186.,Chris Chambliss (30),135,1979,R
186,186.,Walt Dropo (29),135,1952,R
187,186.,Dee Fondy (30),135,1955,L
188,186.,Lou Gehrig+ (26),135,1929,L
189,186.,Scott Hatteberg (34),135,2004,R
190,186.,Joe Judge (28),135,1922,L
191,186.,Jeff King (32),135,1997,R
192,186.,Paul Konerko (29),135,2005,R
193,186.,Don Mattingly (23),135,1984,L
194,186.,Don Mattingly (30),135,1991,L
195,186.,Eddie Murray+ (23),135,1979,R
196,186.,Eddie Robinson (32),135,1953,R
197,186.,Earl Sheely (28),135,1921,R
198,186.,J.T. Snow (32),135,2000,L
199,186.,Bill Terry+ (28),135,1927,L
200,186.,Jason Thompson (22),135,1977,L
201,186.,Jason Thompson (24),135,1979,L
202,186.,Greg Walker (27),135,1987,R
203,204.,Ernie Banks+ (31),134,1962,R
204,204.,Rod Carew+ (32),134,1978,R
205,204.,Tony Clark (26),134,1998,R
206,204.,Donn Clendenon (32),134,1968,R
207,204.,Cecil Cooper (27),134,1977,L
