,Rank,Player (age that year),Hits per 9 IP,Year,Throws
121,122.,Luis Tiant (31),6.4358,1972,R
122,123.,Frank Smith (28),6.4401,1908,R
123,124.,Dwight Gooden (20),6.4410,1985,R
124,125.,Orval Overall (28),6.4421,1909,R
125,126.,Sid Fernandez (26),6.4422,1989,L
126,127.,Robbie Ray (25),6.4444,2017,L
127,128.,Denny McLain (24),6.4554,1968,R
128,129.,Mordecai Brown+ (32),6.4611,1909,R
129,130.,Ray Caldwell (26),6.4648,1914,R
130,131.,Fred Toney (26),6.4671,1915,R
131,132.,Gary Peters (30),6.4731,1967,L
132,133.,Christy Mathewson+ (27),6.4735,1908,R
133,134.,Bob Turley (23),6.4771,1954,R
134,135.,Roger Clemens (35),6.4815,1998,R
135,136.,Felix Hernandez (28),6.4831,2014,R
136,137.,Kerry Wood (26),6.4834,2003,R
137,138.,Randy Johnson+ (40),6.4844,2004,L
138,139.,Ed Walsh+ (28),6.4863,1909,R
139,140.,Eddie Cicotte (25),6.4867,1909,R
140,141.,Guy Hecker (26),6.4904,1882,R
141,142.,Frank Smith (30),6.4915,1910,R
142,143.,Tom Seaver+ (36),6.4930,1981,R
143,144.,Pedro Martinez+ (30),6.5017,2002,R
144,145.,Max Scherzer (31),6.5036,2016,R
145,146.,Al Mamaux (21),6.5086,1915,R
146,147.,Claude Hendrix (25),6.5138,1914,R
147,147.,Jim Palmer+ (23),6.5138,1969,R
148,149.,Sam Jones (29),6.5172,1955,R
149,150.,Bobby Bolin (29),6.5208,1968,R
150,151.,Randy Johnson+ (29),6.5209,1993,L
151,152.,Sid Fernandez (27),6.5242,1990,L
152,153.,Randy Johnson+ (37),6.5247,2001,L
153,154.,Barney Pelty (25),6.5256,1906,R
154,155.,Madison Bumgarner (23),6.5265,2013,L
155,156.,Bob Turley (27),6.5299,1958,R
156,157.,King Cole (24),6.5341,1910,R
157,158.,Gerrit Cole (29),6.5342,2020,R
158,159.,Roger Clemens (31),6.5391,1994,R
159,160.,Sandy Koufax+ (26),6.5425,1962,L
160,161.,Allan Sothoron (25),6.5455,1918,R
161,162.,Dave Boswell (22),6.5479,1967,R
162,163.,Nolan Ryan+ (40),6.5480,1987,R
163,164.,Don Wilson (26),6.5485,1971,R
164,165.,Bugs Raymond (26),6.5488,1908,R
165,166.,Ray Culp (21),6.5508,1963,R
166,167.,Fernando Valenzuela (20),6.5511,1981,L
167,168.,Chief Bender+ (26),6.5520,1910,R
168,169.,Jeff Tesreau (24),6.5556,1912,R
169,170.,Kerry Wood (24),6.5564,2001,R
170,171.,Joe Horlen (29),6.5581,1967,R
171,172.,Justin Verlander (35),6.5607,2018,R
172,173.,Curt Schilling (25),6.5611,1992,R
173,174.,Luis Castillo (26),6.5612,2019,R
174,175.,Doc White (27),6.5653,1906,L
175,176.,Tim Keefe+ (31),6.5687,1888,R
176,177.,Mordecai Brown+ (27),6.5699,1904,R
177,178.,Nolan Ryan+ (26),6.5706,1973,R
178,179.,Jim Maloney (23),6.5792,1963,R
179,180.,George McQuillan (23),6.5811,1908,R
180,181.,Howie Camnitz (27),6.5830,1909,R
181,182.,Charlie Sweeney (21),6.5854,1884,R
182,183.,Jason Schmidt (30),6.5875,2003,R
183,184.,Randy Johnson+ (28),6.5895,1992,L
184,185.,Pedro Martinez+ (33),6.5945,2005,R
185,186.,Mike Cuellar (32),6.5952,1969,L
186,187.,Orval Overall (27),6.6000,1908,R
187,187.,Jack Pfiester (29),6.6000,1907,L
188,187.,Jason Schmidt (31),6.6000,2004,R
189,190.,Tom Seaver+ (26),6.6007,1971,R
190,191.,Sonny Siebert (30),6.6043,1967,R
191,192.,Jonathan Sanchez (27),6.6103,2010,L
192,193.,Hal Newhouser+ (25),6.6116,1946,L
193,194.,Garrett Richards (26),6.6166,2014,R
194,195.,Frank Tanana (22),6.6173,1976,L
195,196.,Cy Morgan (31),6.6261,1910,R
196,197.,Andy Messersmith (26),6.6306,1972,R
197,198.,Sonny Siebert (28),6.6307,1965,R
198,199.,Kevin Millwood (24),6.6316,1999,R
199,200.,Frank Smith (25),6.6343,1905,R
200,201.,Bob Shawkey (25),6.6361,1916,R
201,202.,Dick Hughes (29),6.6387,1967,R
202,203.,Bob Caruthers (20),6.6411,1884,R
203,204.,Eddie Cicotte (32),6.6417,1916,R
204,205.,Gaylord Perry+ (33),6.6449,1972,R
205,206.,Jeff Tesreau (26),6.6453,1914,R
206,207.,Dwight Gooden (19),6.6468,1984,R
207,208.,Ed Reulbach (26),6.6472,1909,R
208,209.,Teddy Higuera (30),6.6510,1988,L
209,210.,Tom Seaver+ (24),6.6512,1969,R
210,211.,Ed Walsh+ (27),6.6530,1908,R
211,212.,Walter Johnson+ (30),6.6534,1918,R
212,213.,Andy Messersmith (24),6.6575,1970,R
213,214.,Oliver Perez (22),6.6582,2004,L
214,215.,Ubaldo Jimenez (26),6.6586,2010,R
215,216.,Johnny Niggeling (39),6.6606,1943,R
216,217.,Jim Maloney (25),6.6619,1965,R
217,218.,Don Larsen (26),6.6623,1956,R
218,219.,Marco Estrada (31),6.6630,2015,R
219,220.,Jose Rijo (23),6.6667,1988,R
220,221.,Tim Wakefield (35),6.6673,2002,R
221,222.,Mike Scott (33),6.6677,1988,R
222,223.,Whitey Ford+ (26),6.6702,1955,L
223,224.,Fred Beebe (26),6.6720,1906,R
224,225.,Chris Sale (25),6.6724,2014,L
225,226.,Lucas Giolito (24),6.6736,2019,R
226,227.,Randy Johnson+ (31),6.6765,1995,L
227,228.,Juan Marichal+ (28),6.6768,1966,R
228,229.,Tom Hughes (31),6.6778,1915,R
229,230.,Steve Carlton+ (27),6.6785,1972,L
230,231.,Greg Maddux+ (28),6.6832,1994,R
231,232.,Ferdie Schupp (26),6.6838,1917,L
232,233.,Mort Cooper (29),6.6854,1942,R
233,234.,Stephen Strasburg (24),6.6885,2013,R
234,235.,Jack Chesbro+ (30),6.6906,1904,R
235,236.,Adonis Terry (23),6.6923,1888,R
236,237.,Hippo Vaughn (30),6.6958,1918,L
237,238.,Silver King (20),6.6961,1888,R
238,239.,Christy Mathewson+ (24),6.6969,1905,R
239,240.,Bob Gibson+ (26),6.7019,1962,R
240,241.,Sam McDowell (28),6.7081,1971,L
241,242.,Tim Lincecum (25),6.7101,2009,R
242,243.,Clayton Kershaw (23),6.7114,2011,L
243,244.,Harry Harper (23),6.7131,1918,L
244,245.,Hal Newhouser+ (21),6.7132,1942,L
245,246.,Jake Weimer (30),6.7134,1904,L
246,247.,Bob Feller+ (27),6.7136,1946,R
247,248.,Sandy Koufax+ (30),6.7152,1966,L
248,249.,Brandon Woodruff (27),6.7195,2020,R
249,250.,Clayton Kershaw (24),6.7204,2012,L
250,251.,Orel Hershiser (26),6.7218,1985,R
251,252.,Stephen Strasburg (28),6.7243,2017,R
252,253.,Chris Young (27),6.7249,2006,R
253,254.,Juan Guzman (25),6.7251,1992,R
254,255.,Frank Knauss (21),6.7255,1890,L
255,256.,Kyle Hendricks (26),6.7263,2016,R
256,257.,Gio Gonzalez (26),6.7274,2012,L
257,258.,Babe Ruth+ (22),6.7293,1917,L
258,259.,Ed Seward (21),6.7326,1888,R
259,260.,Tom Gordon (21),6.7362,1989,R
260,261.,A.J. Burnett (25),6.7390,2002,R
261,262.,Orval Overall (26),6.7416,1907,R
262,263.,Bob Gibson+ (30),6.7420,1966,R
263,264.,Hank Aguirre (31),6.7500,1962,L
264,264.,Howie Camnitz (25),6.7500,1907,R
265,264.,Chuck Estrada (23),6.7500,1961,R
266,264.,Marco Estrada (32),6.7500,2016,R
267,264.,Randy Johnson+ (27),6.7500,1991,L
268,264.,Tim Keefe+ (28),6.7500,1885,R
269,264.,Greg Maddux+ (26),6.7500,1992,R
270,264.,Pedro Martinez+ (27),6.7500,1999,R
271,272.,Justin Verlander (33),6.7599,2016,R
272,273.,Buzz Capra (26),6.7604,1974,R
273,274.,Babe Ruth+ (23),6.7635,1918,L
274,275.,Tom Hughes (32),6.7640,1916,R
275,276.,Spec Shea (27),6.7645,1948,R
276,277.,Wally Bunker (19),6.7710,1964,R
277,278.,Joe McGinnity+ (33),6.7721,1904,R
278,279.,Tony Mullane (33),6.7729,1892,R
279,280.,J.R. Richard (29),6.7731,1979,R
280,281.,Pete Richert (25),6.7732,1965,L
281,282.,Charley Hall (25),6.7739,1910,R
282,283.,Joe Engel (20),6.7773,1913,L
283,284.,Fred Anderson (31),6.7778,1917,R
284,285.,Don Drysdale+ (27),6.7780,1964,R
285,285.,Smoky Joe Wood (19),6.7780,1909,R
286,287.,Larry Corcoran (20),6.7794,1880,R
287,288.,Bill Doak (23),6.7852,1914,R
288,289.,Steve McCatty (27),6.7864,1981,R
289,290.,Milt Pappas (22),6.7880,1961,R
290,291.,Bob Lemon+ (28),6.7902,1949,R
291,292.,Sid Fernandez (29),6.7919,1992,L
292,293.,Jacob deGrom (31),6.7941,2019,R
293,294.,Tom Seaver+ (28),6.7966,1973,R
294,295.,Jim Maloney (29),6.8004,1969,R
295,296.,Derek Lowe (29),6.8012,2002,R
296,297.,Catfish Hunter+ (29),6.8049,1975,R
297,297.,Mickey Welch+ (25),6.8049,1885,R
298,299.,Mike Norris (25),6.8054,1980,R
299,300.,George Brunet (30),6.8071,1965,L
300,300.,Ledell Titcomb (21),6.8071,1888,L
301,302.,Mario Soto (26),6.8076,1983,R
302,303.,Josh Beckett (31),6.8083,2011,R
303,304.,Jake Peavy (26),6.8104,2007,R
304,305.,Walter Johnson+ (20),6.8114,1908,R
305,306.,Matt Harvey (24),6.8131,2013,R
306,306.,Aaron Nola (27),6.8131,2020,R
307,306.,Carlos Zambrano (25),6.8131,2006,R
308,309.,Dave Stieb (30),6.8151,1988,R
309,310.,David Cone (31),6.8155,1994,R
310,311.,Randy Johnson+ (38),6.8192,2002,L
311,312.,Amos Rusie+ (21),6.8207,1892,R
312,313.,Juan Marichal+ (27),6.8262,1965,R
313,314.,Jack Coombs (26),6.8266,1909,R
314,315.,Andy Messersmith (29),6.8269,1975,R
315,316.,Nolan Ryan+ (32),6.8308,1979,R
316,317.,Jim Palmer+ (27),6.8335,1973,R
317,318.,Toad Ramsey (21),6.8341,1886,L
318,319.,J.R. Richard (26),6.8351,1976,R
319,320.,Ken Howell (28),6.8382,1989,R
320,321.,Jon Lester (32),6.8388,2016,L
321,322.,Ernie Broglio (24),6.8395,1960,R
322,322.,Dennis Martinez (38),6.8395,1992,R
323,322.,Johnny Vander Meer (26),6.8395,1941,L
324,325.,Sandy Koufax+ (24),6.8400,1960,L
325,325.,Virgil Trucks (32),6.8400,1949,R
326,325.,John Tudor (31),6.8400,1985,L
327,328.,Walter Johnson+ (29),6.8466,1917,R
328,328.,Zip Zabel (24),6.8466,1915,R
329,330.,Carlos Zambrano (24),6.8507,2005,R
330,331.,Tommy John (25),6.8515,1968,L
331,332.,Tom Seaver+ (32),6.8533,1977,R
332,333.,Frank Smith (29),6.8548,1909,R
333,334.,Lady Baldwin (27),6.8563,1886,L
334,335.,Lance Lynn (33),6.8571,2020,R
335,336.,Randy Johnson+ (35),6.8577,1999,L
336,337.,Mickey Haefner (30),6.8589,1943,L
337,338.,Bob Lemon+ (31),6.8590,1952,R
338,339.,Gary Peters (29),6.8599,1966,L
339,340.,Bob Veale (32),6.8601,1968,L
340,341.,Mickey Lolich (28),6.8622,1969,L
341,342.,Heinie Berger (26),6.8629,1908,R
342,343.,Ed Reulbach (25),6.8634,1908,R
343,344.,Babe Ruth+ (20),6.8637,1915,L
344,345.,Mario Soto (27),6.8638,1984,R
345,346.,Smoky Joe Wood (25),6.8644,1915,R
346,347.,Hal Newhouser+ (24),6.8649,1945,L
347,348.,Daisuke Matsuzaka (27),6.8708,2008,R
348,349.,Mario Soto (28),6.8727,1985,R
349,350.,Zac Gallen (24),6.8750,2020,R
350,351.,Lady Baldwin (26),6.8755,1885,L
351,352.,Dave Davenport (25),6.8761,1915,R
352,353.,Trevor Bauer (27),6.8783,2018,R
353,354.,Jose DeLeon (23),6.8787,1984,R
354,355.,Jimmy Dygert (22),6.8790,1907,R
355,356.,Don Sutton+ (28),6.8817,1973,R
356,357.,Bob Feller+ (21),6.8835,1940,R
357,358.,Bob Feller+ (20),6.8865,1939,R
358,359.,Roy Oswalt (32),6.8882,2010,R
359,360.,Chan Ho Park (27),6.8894,2000,R
360,361.,Herb Score (26),6.8900,1959,L
361,362.,Ed Reulbach (24),6.8906,1907,R
362,363.,Pete Alexander+ (32),6.8936,1919,R
363,364.,Jim Bouton (24),6.8944,1963,R
364,365.,Don Wilson (22),6.8967,1967,R
365,366.,Walter Johnson+ (27),6.8970,1915,R
366,367.,Jose Rijo (25),6.8985,1990,R
367,368.,Kevin Appier (25),6.9008,1993,R
368,369.,Bobby Bolin (26),6.9018,1965,R
369,370.,Dick Woodson (27),6.9020,1972,R
370,371.,Dean Chance (27),6.9041,1968,R
371,372.,Dick Ellsworth (23),6.9048,1963,L
372,373.,Ray Culp (26),6.9060,1968,R
373,374.,Randy Johnson+ (30),6.9070,1994,L
374,375.,Don Sutton+ (35),6.9089,1980,R
375,376.,Larry Cheney (28),6.9090,1914,R
376,377.,Nolan Ryan+ (28),6.9091,1975,R
377,378.,Jeff Tesreau (27),6.9118,1915,R
378,379.,Rudy May (26),6.9120,1971,L
379,380.,Russ Ford (31),6.9137,1914,R
380,381.,Wilbur Cooper (24),6.9146,1916,L
381,381.,Lefty Leifield (24),6.9146,1908,L
382,383.,Johnny Schmitz (27),6.9174,1948,L
383,384.,Fred Beebe (28),6.9178,1908,R
384,384.,Bobby Witt (24),6.9178,1988,R
385,386.,Howie Camnitz (26),6.9211,1908,R
386,387.,Bob Feller+ (28),6.9231,1947,R
387,387.,John Smoltz+ (22),6.9231,1989,R
388,387.,Cy Young+ (41),6.9231,1908,R
389,390.,Hal Schumacher (22),6.9240,1933,R
390,391.,Whit Wyatt (35),6.9244,1943,R
391,392.,David Cone (25),6.9251,1988,R
392,393.,Max Scherzer (30),6.9271,2015,R
393,394.,Chris Sale (28),6.9285,2017,L
394,395.,Bruce Berenyi (26),6.9286,1981,R
395,396.,Bruce Dal Canton (33),6.9297,1974,R
396,397.,Wayne Twitchell (25),6.9313,1973,R
397,398.,Stephen Strasburg (30),6.9330,2019,R
398,399.,Jim Shaw (20),6.9339,1914,R
399,400.,Carl Lundgren (26),6.9342,1906,R
400,401.,Jim Hardin (24),6.9344,1968,R
401,401.,Johnny Vander Meer (27),6.9344,1942,L
402,403.,Tully Sparks (31),6.9347,1906,R
403,404.,Scott Garrelts (27),6.9362,1989,R
404,405.,Jimmy Dygert (23),6.9385,1908,R
405,406.,Adonis Terry (27),6.9398,1892,R
406,407.,Mickey Welch+ (28),6.9404,1888,R
407,408.,Bert Blyleven+ (26),6.9418,1977,R
408,408.,Mark Langston (30),6.9418,1991,L
409,410.,Joe Coleman (25),6.9429,1972,R
410,410.,Frank Owen (24),6.9429,1904,R
411,410.,George Winter (29),6.9429,1907,R
412,413.,Dazzy Vance+ (33),6.9470,1924,R
413,414.,Wheezer Dell (29),6.9488,1915,R
414,415.,Frank Smith (24),6.9492,1904,R
415,416.,Walter Johnson+ (26),6.9498,1914,R
416,417.,Art Ditmar (30),6.9505,1959,R
417,417.,Jered Weaver (28),6.9505,2011,R
418,419.,Ed Walsh+ (25),6.9521,1906,R
419,420.,Jeremy Hellickson (24),6.9524,2011,R
420,421.,Mordecai Brown+ (30),6.9528,1907,R
421,422.,Roger Clemens (34),6.9545,1997,R
422,422.,Jack Morris+ (26),6.9545,1981,R
423,424.,Tom Phoebus (26),6.9557,1968,R
424,425.,Bill Singer (25),6.9567,1969,R
425,426.,Tom Cheney (27),6.9577,1962,R
426,427.,Cy Young+ (38),6.9605,1905,R
427,428.,Whit Wyatt (33),6.9607,1941,R
428,429.,Allie Reynolds (34),6.9638,1951,R
429,430.,Sam McDowell (27),6.9639,1970,L
430,431.,Blue Moon Odom (23),6.9640,1968,R
431,431.,Blue Moon Odom (24),6.9640,1969,R
432,433.,Tom Seaver+ (30),6.9667,1975,R
433,434.,Mickey Hughes (21),6.9669,1888,R
434,435.,Moe Drabowsky (27),6.9694,1963,R
435,436.,Bullet Joe Bush (23),6.9698,1916,R
436,437.,Jim Maloney (26),6.9703,1966,R
437,438.,Erik Bedard (28),6.9725,2007,L
438,438.,Gary Bell (21),6.9725,1958,R
439,440.,Fernando Valenzuela (24),6.9731,1985,L
440,441.,Rube Foster (26),6.9732,1914,R
441,442.,Brandon Webb (24),6.9742,2003,R
442,443.,Jim Scott (21),6.9747,1909,R
443,444.,John Lackey (37),6.9770,2016,R
444,445.,Dan Warthen (22),6.9781,1975,L
445,446.,Denny McLain (22),6.9798,1966,R
446,447.,Bobby Bolin (27),6.9807,1966,R
447,448.,Luis Severino (23),6.9828,2017,R
448,449.,Jerry Koosman (26),6.9834,1969,L
449,450.,Ice Box Chamberlain (20),6.9838,1888,R
450,451.,Chan Ho Park (24),6.9844,1997,R
451,452.,Smoky Joe Wood (22),6.9855,1912,R
452,453.,Yu Darvish (33),6.9868,2020,R
453,454.,Chuck Estrada (22),6.9872,1960,R
454,455.,Andy Messersmith (28),6.9886,1974,R
455,456.,Pete Alexander+ (24),6.9891,1911,R
456,457.,Dylan Bundy (27),6.9898,2020,R
457,458.,Early Wynn+ (30),6.9922,1950,R
458,459.,Johan Santana (26),6.9928,2005,L
459,460.,Felix Hernandez (24),6.9933,2010,R
460,461.,Clayton Kershaw (29),6.9943,2017,L
461,462.,Phil Douglas (24),6.9944,1914,R
462,463.,Spud Chandler (38),6.9948,1946,R
463,464.,Gus Weyhing (21),6.9950,1888,R
464,465.,Dave Stieb (27),6.9962,1985,R
465,466.,Hank Gastright (25),6.9967,1890,R
466,467.,Dennis Eckersley+ (21),6.9983,1976,R
467,468.,Ewell Blackwell (27),7.0000,1950,R
468,468.,Burleigh Grimes+ (24),7.0000,1918,R
469,468.,Michael Pineda (22),7.0000,2011,R
470,471.,Old Hoss Radbourn+ (29),7.0020,1884,R
471,472.,Vida Blue (31),7.0027,1981,L
472,473.,Warren Hacker (27),7.0054,1952,R
473,474.,Charlie Morton (34),7.0060,2018,R
474,475.,George Brunet (33),7.0068,1968,L
475,476.,Nolan Ryan+ (37),7.0073,1984,R
476,477.,Tom Seaver+ (31),7.0074,1976,R
477,478.,Spud Chandler (35),7.0079,1943,R
478,479.,Bill Bernhard (31),7.0088,1902,R
479,480.,Dave Boswell (23),7.0105,1968,R
480,480.,Sam McDowell (26),7.0105,1969,L
481,482.,Orel Hershiser (29),7.0112,1988,R
482,483.,Jered Weaver (29),7.0124,2012,R
483,484.,Carl Lundgren (25),7.0157,1905,R
484,484.,Dummy Taylor (29),7.0157,1904,R
485,486.,Ed Morris (21),7.0171,1884,L
486,487.,Nolan Ryan+ (31),7.0185,1978,R
487,488.,Pete Harnisch (24),7.0200,1991,R
488,489.,Ed Willett (26),7.0208,1910,R
489,490.,Jacob deGrom (27),7.0209,2015,R
490,491.,Addie Joss+ (26),7.0213,1906,R
491,492.,Harry Howell (28),7.0217,1905,R
492,493.,Vic Raschi (33),7.0224,1952,R
493,494.,Frank Miller (30),7.0231,1916,R
494,495.,Rube Waddell+ (31),7.0257,1908,L
495,496.,Bob Wicker (28),7.0281,1905,R
496,497.,Steve Barber (23),7.0309,1961,L
497,498.,Don Wilson (28),7.0320,1973,R
498,499.,Stan Williams (23),7.0322,1960,R
499,500.,Amos Rusie+ (20),7.0333,1891,R
