,Rank,Player (age that year),Range Factor/9Inn as OF,Year,Throws
211,212.,Jim Delsing (25),3.087,1951,R
212,213.,Felix Mackiewicz (27),3.086,1945,R
213,214.,Taylor Douthit (28),3.085,1929,R
214,215.,Rickey Henderson+ (27),3.083,1986,L
215,215.,Tom Oliver (28),3.083,1931,R
216,217.,Chuck Diering (31),3.082,1954,R
217,217.,Willie Mays+ (23),3.082,1954,R
218,217.,Bill Wilson (25),3.082,1954,R
219,220.,Sam Chapman (31),3.081,1947,R
220,220.,Kirby Puckett+ (28),3.081,1988,R
221,222.,Fred Lynn (24),3.080,1976,L
222,223.,Buster Adams (29),3.078,1944,R
223,223.,Lorenzo Cain (31),3.078,2017,R
224,223.,Chuck Carr (26),3.078,1994,R
225,226.,Jarrod Dyson (27),3.077,2012,R
226,227.,Oddibe McDowell (22),3.076,1985,L
227,227.,Clyde Vollmer (27),3.076,1949,R
228,229.,Jack Rothrock (24),3.075,1929,R
229,230.,Leonys Martín (26),3.074,2014,R
230,231.,Dave Henderson (25),3.073,1984,R
231,231.,Barney McCosky (22),3.073,1939,R
232,233.,Peanuts Lowrey (25),3.072,1943,R
233,234.,Coco Crisp (27),3.071,2007,R
234,234.,Ruppert Jones (25),3.071,1980,L
235,236.,Max Carey+ (27),3.070,1917,R
236,236.,Torii Hunter (24),3.070,2000,R
237,238.,Rocco Baldelli (21),3.069,2003,R
238,238.,Chad Curtis (25),3.069,1994,R
239,240.,Jigger Statz (25),3.068,1923,R
240,241.,Dom DiMaggio (32),3.067,1949,R
241,241.,Mookie Wilson (25),3.067,1981,R
242,243.,Dick Johnston (24),3.066,1887,R
243,243.,Ron LeFlore (28),3.066,1976,R
244,243.,Stan Spence (32),3.066,1947,L
245,246.,Max Carey+ (32),3.065,1922,R
246,246.,Garry Maddox (28),3.065,1978,R
247,246.,Alex Sanchez (26),3.065,2003,L
248,246.,Joe Simpson (29),3.065,1981,L
249,246.,Gerald Young (24),3.065,1989,R
250,251.,Doc Cramer (30),3.064,1936,R
251,251.,Happy Felsch (25),3.064,1917,R
252,253.,Joey Gathright (25),3.063,2006,R
253,254.,Stan Javier (28),3.061,1992,R
254,254.,Terry Moore (25),3.061,1937,R
255,254.,Jim Piersall (30),3.061,1960,R
256,257.,Milt Cuyler (22),3.060,1991,R
257,258.,Willie Davis (36),3.059,1976,L
258,258.,Stan Javier (26),3.059,1990,R
259,260.,Bernie Williams (26),3.057,1995,R
260,261.,Curtis Granderson (26),3.056,2007,R
261,261.,Amos Otis (31),3.056,1978,R
262,261.,Kirby Puckett+ (29),3.056,1989,R
263,264.,Jigger Statz (26),3.054,1924,R
264,265.,Carlos Beltran (26),3.053,2003,R
265,265.,Jeremy Reed (24),3.053,2005,L
266,267.,Brett Butler (30),3.052,1987,L
267,267.,Jim Edmonds (33),3.052,2003,L
268,267.,Elliott Maddox (23),3.052,1971,R
269,267.,Ray Powell (33),3.052,1922,R
270,271.,Mike Kreevich (34),3.051,1942,R
271,272.,Tris Speaker+ (37),3.050,1925,L
272,273.,Sam Chapman (33),3.049,1949,R
273,273.,Delino DeShields (25),3.049,2018,R
274,275.,Vince DiMaggio (29),3.048,1942,R
275,275.,Omar Moreno (26),3.048,1979,L
276,275.,Danny Taylor (31),3.048,1932,R
277,278.,Chuck Carr (25),3.047,1993,R
278,278.,Hersh Martin (29),3.047,1939,R
279,280.,Jimmy McAleer (25),3.046,1890,R
280,280.,Jim Piersall (26),3.046,1956,R
281,282.,Eddie Brown (33),3.045,1925,R
282,282.,Dain Clay (25),3.045,1945,R
283,284.,Cesar Geronimo (31),3.043,1979,L
284,284.,Tony Gwynn (26),3.043,2009,R
285,284.,Woodie Held (25),3.043,1957,R
286,287.,Joe DiMaggio+ (33),3.041,1948,R
287,288.,Sam West (24),3.040,1929,L
288,289.,Alfredo Amezaga (29),3.039,2007,R
289,290.,Vince DiMaggio (25),3.037,1938,R
290,290.,Dwayne Murphy (30),3.037,1985,R
291,292.,Hoot Evers (26),3.036,1947,R
292,293.,Jim Russell (28),3.035,1947,R
293,293.,Jim Russell (29),3.035,1948,R
294,293.,Tris Speaker+ (31),3.035,1919,L
295,296.,Dusty Baker (23),3.034,1972,R
296,296.,Rocco Baldelli (22),3.034,2004,R
297,296.,Al Bumbry (37),3.034,1984,R
298,296.,Mike Devereaux (27),3.034,1990,R
299,296.,Jerry Mumphrey (30),3.034,1983,R
300,301.,Carden Gillenwater (29),3.033,1946,R
301,302.,Jo-Jo White (28),3.032,1937,R
302,303.,Mel Almada (24),3.031,1937,L
303,303.,Tony Scott (25),3.031,1977,R
304,305.,Keon Broxton (29),3.030,2019,R
305,305.,Larry Harlow (28),3.030,1980,L
306,305.,Denny Sothern (26),3.030,1930,R
307,305.,Gorman Thomas (32),3.030,1983,R
308,309.,Doc Cramer (32),3.028,1938,R
309,310.,Lance Johnson (35),3.027,1999,L
310,311.,Coco Crisp (33),3.026,2013,R
311,311.,Vince DiMaggio (32),3.026,1945,R
312,311.,Cesar Geronimo (26),3.026,1974,L
313,314.,Curt Welch (25),3.025,1887,R
314,315.,Augie Galan (31),3.023,1943,R
315,316.,Carson Bigbee (24),3.022,1919,R
316,316.,Bill Virdon (28),3.022,1959,R
317,316.,George Wright (23),3.022,1982,R
318,319.,Max Carey+ (28),3.021,1918,R
319,319.,Rick Miller (32),3.021,1980,L
320,319.,Tony Scott (28),3.021,1980,R
321,322.,Wally Berger (26),3.020,1932,R
322,322.,Fred Brickell (24),3.020,1931,R
323,322.,Jarrod Dyson (29),3.020,2014,R
324,322.,Kevin McReynolds (25),3.020,1985,R
325,326.,Mike Griffin (30),3.019,1895,R
326,326.,Milt Thompson (29),3.019,1988,R
327,328.,Max Carey+ (35),3.018,1925,R
328,329.,Tony Armas (23),3.017,1977,R
329,329.,Dave Henderson (29),3.017,1988,R
330,331.,Byron Buxton (26),3.016,2020,R
331,331.,Billy Hamilton+ (28),3.016,1894,R
332,331.,Dummy Hoy (35),3.016,1897,R
333,334.,Joe DiMaggio+ (24),3.015,1939,R
334,334.,Lloyd Moseby (23),3.015,1983,R
335,334.,Tom Oliver (29),3.015,1932,R
336,334.,Bill Virdon (26),3.015,1957,R
337,338.,Andy Pafko (23),3.014,1944,R
338,339.,Jim Busby (24),3.013,1951,R
339,339.,Marquis Grissom (27),3.013,1994,R
340,339.,Mickey Stanley (31),3.013,1974,R
341,342.,Sam Fuld (32),3.012,2014,L
342,343.,Tony Armas (29),3.011,1983,R
343,343.,Willie Mays+ (20),3.011,1951,R
344,345.,Johnny Frederick (27),3.010,1929,L
345,345.,Mike Griffin (29),3.010,1894,R
346,345.,Darrin Jackson (28),3.010,1992,R
347,345.,Hal Jeffcoat (27),3.010,1952,R
348,349.,Larry Doby+ (28),3.009,1952,R
349,349.,Adam Jones (24),3.009,2010,R
350,349.,Lloyd Waner+ (29),3.009,1935,R
351,352.,Mike Devereaux (26),3.007,1989,R
352,352.,Omar Moreno (28),3.007,1981,L
353,354.,Chad Curtis (24),3.006,1993,R
354,354.,Mike Mansell (22),3.006,1880,
355,354.,Tom Umphlett (22),3.006,1953,R
356,357.,Les Mann (28),3.005,1921,R
357,358.,Carlos Bernier (26),3.004,1953,R
358,358.,Dutch Hoffman (25),3.004,1929,R
359,358.,Jerry Mumphrey (23),3.004,1976,R
360,361.,Stan Javier (31),3.003,1995,R
361,361.,Jay Payton (35),3.003,2008,R
362,363.,Amos Otis (24),3.002,1971,R
363,363.,Jim Piersall (25),3.002,1955,R
364,365.,Brett Butler (29),3.001,1986,L
365,365.,Alex Sanchez (25),3.001,2002,L
366,365.,Devon White (31),3.001,1994,R
367,368.,Roy Weatherly (27),3.000,1942,R
368,369.,Juan Beniquez (24),2.999,1974,R
369,369.,Franklin Gutierrez (26),2.999,2009,R
370,369.,Del Unser (28),2.999,1973,L
371,369.,Claudell Washington (33),2.999,1988,L
372,373.,Lorenzo Cain (29),2.997,2015,R
373,373.,Mickey Stanley (28),2.997,1971,R
374,375.,Andre Dawson+ (25),2.996,1980,R
375,376.,Brian McRae (24),2.995,1992,R
376,377.,Hoot Evers (28),2.994,1949,R
377,377.,Hal Jeffcoat (24),2.994,1949,R
378,377.,Redleg Snyder (21),2.994,1876,R
379,380.,Max Carey+ (34),2.993,1924,R
380,380.,Richard Hidalgo (25),2.993,2000,R
381,382.,Calvin Murray (29),2.992,2001,R
382,383.,Edd Roush+ (25),2.991,1918,L
383,384.,Ben Chapman (27),2.990,1936,R
384,384.,Norris Hopper (28),2.990,2007,R
385,384.,Elliott Maddox (26),2.990,1974,R
386,384.,Tony Scott (27),2.990,1979,R
387,384.,Bill Tuttle (25),2.990,1955,R
388,384.,Mookie Wilson (27),2.990,1983,R
389,390.,Fred Lynn (23),2.989,1975,L
390,391.,Jim Edmonds (27),2.988,1997,L
391,392.,Paul Blair (29),2.986,1973,R
392,392.,Kenny Lofton (26),2.986,1993,L
393,394.,Dom DiMaggio (33),2.984,1950,R
394,395.,Harry Craft (23),2.982,1938,R
395,396.,Chris Singleton (28),2.981,2001,L
396,396.,Reggie Smith (28),2.981,1973,R
397,398.,Lenny Dykstra (30),2.980,1993,L
398,399.,Torii Hunter (27),2.979,2003,R
399,399.,Ruppert Jones (24),2.979,1979,L
400,399.,Nook Logan (27),2.979,2007,R
401,402.,Peter Bourjos (25),2.978,2012,R
402,402.,Liz Funk (25),2.978,1930,L
403,402.,Al Nixon (37),2.978,1923,L
404,405.,Joe Carter (28),2.977,1988,R
