,Rank,Player (age that year),Extra Base Hits,Year,Bats
48,47.,Jose Bautista (29),92,2010,R
49,47.,Jimmie Foxx+ (30),92,1938,R
50,47.,Lou Gehrig+ (28),92,1931,L
51,47.,Ken Griffey Jr.+ (28),92,1998,L
52,47.,Matt Holliday (27),92,2007,R
53,47.,Stan Musial+ (32),92,1953,L
54,47.,Frank Robinson+ (26),92,1962,R
55,47.,Babe Ruth+ (29),92,1924,L
56,47.,Grady Sizemore (23),92,2006,L
57,47.,Alfonso Soriano (26),92,2002,R
58,59.,Mark McGwire (34),91,1998,R
59,59.,David Ortiz (28),91,2004,L
60,59.,Jose Ramirez (24),91,2017,B
61,59.,Alex Rodriguez (20),91,1996,R
62,59.,Babe Ruth+ (33),91,1928,L
63,59.,Giancarlo Stanton (27),91,2017,R
64,65.,Rafael Devers (22),90,2019,L
65,65.,Rogers Hornsby+ (29),90,1925,R
66,65.,Willie Mays+ (31),90,1962,R
67,65.,Stan Musial+ (28),90,1949,L
68,65.,Willie Stargell+ (33),90,1973,L
69,70.,Nolan Arenado (24),89,2015,R
70,70.,Albert Belle (29),89,1996,R
71,70.,Andres Galarraga (35),89,1996,R
72,70.,Richard Hidalgo (25),89,2000,R
73,70.,Duke Snider+ (27),89,1954,L
74,70.,Alfonso Soriano (30),89,2006,R
75,70.,Sammy Sosa (30),89,1999,R
76,70.,Sammy Sosa (31),89,2000,R
77,70.,Hal Trosky (21),89,1934,L
78,79.,Garret Anderson (30),88,2002,L
79,79.,Barry Bonds (28),88,1993,L
80,79.,Barry Bonds (33),88,1998,L
81,79.,Nicholas Castellanos (27),88,2019,R
82,79.,Joe DiMaggio+ (21),88,1936,R
83,79.,David Ortiz (29),88,2005,L
84,79.,David Ortiz (31),88,2007,L
85,79.,Albert Pujols (21),88,2001,R
86,79.,Jimmy Rollins (28),88,2007,B
87,88.,Nolan Arenado (26),87,2017,R
88,88.,Ripper Collins (30),87,1934,B
89,88.,Kiki Cuyler+ (26),87,1925,R
90,88.,Prince Fielder (23),87,2007,L
91,88.,Charlie Gehringer+ (33),87,1936,L
92,88.,Lou Gehrig+ (25),87,1928,L
93,88.,Jason Giambi (30),87,2001,L
94,88.,Shawn Green (26),87,1999,L
95,88.,Todd Helton (29),87,2003,L
96,88.,Chipper Jones+ (27),87,1999,B
97,88.,Willie Mays+ (23),87,1954,R
98,88.,Mark McGwire (35),87,1999,R
99,88.,Kevin Mitchell (27),87,1989,R
100,88.,Johnny Mize+ (27),87,1940,L
101,88.,David Ortiz (40),87,2016,L
102,88.,Manny Ramirez (32),87,2004,R
103,88.,Alex Rodriguez (25),87,2001,R
104,88.,Tris Speaker+ (35),87,1923,L
105,88.,Mark Teixeira (25),87,2005,B
106,88.,Frank Thomas+ (32),87,2000,R
107,88.,Vernon Wells (24),87,2003,R
108,88.,Robin Yount+ (26),87,1982,R
109,110.,Jeff Bagwell+ (33),86,2001,R
110,110.,Charlie Blackmon (30),86,2017,L
111,110.,Ken Griffey Jr.+ (23),86,1993,L
112,110.,Ryan Howard (29),86,2009,L
113,110.,Reggie Jackson+ (23),86,1969,L
114,110.,Eddie Mathews+ (21),86,1953,L
115,110.,Don Mattingly (24),86,1985,L
116,110.,Don Mattingly (25),86,1986,L
117,110.,Hal McRae (31),86,1977,R
118,110.,Johnny Mize+ (26),86,1939,L
119,110.,Wally Moses (26),86,1937,L
120,110.,Stan Musial+ (25),86,1946,L
121,110.,Magglio Ordonez (28),86,2002,R
122,110.,Jim Rice+ (25),86,1978,R
123,110.,Alex Rodriguez (26),86,2002,R
124,110.,Babe Ruth+ (35),86,1930,L
125,110.,George Sisler+ (27),86,1920,L
126,110.,Sammy Sosa (29),86,1998,R
127,110.,Ted Williams+ (20),86,1939,L
128,129.,Pete Alonso (24),85,2019,R
129,129.,Earl Averill+ (32),85,1934,L
130,129.,Jeff Bagwell+ (29),85,1997,R
131,129.,Jeff Bagwell+ (32),85,2000,R
132,129.,Xander Bogaerts (26),85,2019,R
133,129.,George Brett+ (26),85,1979,L
134,129.,Hugh Duffy+ (27),85,1894,R
135,129.,George Foster (28),85,1977,R
136,129.,Nomar Garciaparra (23),85,1997,R
137,129.,Nomar Garciaparra (28),85,2002,R
138,129.,Lou Gehrig+ (29),85,1932,L
139,129.,Lou Gehrig+ (30),85,1933,L
140,129.,Troy Glaus (23),85,2000,R
141,129.,Goose Goslin+ (29),85,1930,L
142,129.,Hank Greenberg+ (27),85,1938,R
143,129.,Chick Hafey+ (26),85,1929,R
144,129.,Mark McGwire (33),85,1997,R
145,129.,Stan Musial+ (33),85,1954,L
146,129.,Tip O'Neill (27),85,1887,R
147,129.,David Ortiz (30),85,2006,L
148,129.,Cal Ripken Jr.+ (30),85,1991,R
149,129.,Frank Robinson+ (30),85,1966,R
150,129.,Alex Rodriguez (31),85,2007,R
151,129.,Trevor Story (25),85,2018,R
152,129.,Mark Teixeira (29),85,2009,B
153,129.,Ted Williams+ (30),85,1949,L
154,129.,Rudy York (26),85,1940,R
155,156.,Cody Bellinger (23),84,2019,L
156,156.,Johnny Bench+ (22),84,1970,R
157,156.,Mookie Betts (25),84,2018,R
158,156.,Miguel Cabrera (27),84,2010,R
159,156.,Miguel Cabrera (29),84,2012,R
160,156.,Joe DiMaggio+ (26),84,1941,R
161,156.,Josh Donaldson (29),84,2015,R
162,156.,Prince Fielder (25),84,2009,L
163,156.,Steve Finley (31),84,1996,L
164,156.,Curtis Granderson (26),84,2007,L
165,156.,Shawn Green (28),84,2001,L
166,156.,Vladimir Guerrero+ (24),84,1999,R
167,156.,Matt Holliday (26),84,2006,R
168,156.,Ryan Howard (26),84,2006,L
169,156.,Aubrey Huff (26),84,2003,L
170,156.,Ed Morgan (26),84,1930,R
171,156.,Tony Oliva (25),84,1964,L
172,156.,Jim Rice+ (26),84,1979,R
173,156.,Al Simmons+ (27),84,1929,R
174,156.,Duke Snider+ (26),84,1953,L
175,156.,Sam Thompson+ (35),84,1895,L
176,156.,Mike Trout (22),84,2014,R
177,156.,Earl Webb (33),84,1931,L
178,156.,Ken Williams (32),84,1922,L
179,180.,Hank Aaron+ (27),83,1961,R
180,180.,Bobby Abreu (27),83,2001,L
181,180.,Dale Alexander (26),83,1929,R
182,180.,Earl Averill+ (30),83,1932,L
183,180.,Javier Baez (25),83,2018,R
184,180.,Ernie Banks+ (26),83,1957,R
185,180.,George Bell (27),83,1987,R
186,180.,Carlos Beltran (27),83,2004,B
187,180.,Ryan Braun (24),83,2008,R
188,180.,Alex Bregman (24),83,2018,R
189,180.,Yoenis Céspedes (29),83,2015,R
190,180.,Carlos Delgado (27),83,1999,L
191,180.,Jim Edmonds (34),83,2004,L
192,180.,Jacoby Ellsbury (27),83,2011,L
193,180.,Jimmie Foxx+ (22),83,1930,R
194,180.,Freddie Freeman (26),83,2016,L
195,180.,Lou Gehrig+ (23),83,1926,L
196,180.,Lou Gehrig+ (34),83,1937,L
197,180.,Vladimir Guerrero+ (25),83,2000,R
198,180.,Vladimir Guerrero+ (26),83,2001,R
199,180.,Todd Helton (30),83,2004,L
200,180.,Rogers Hornsby+ (25),83,1921,R
201,180.,Albert Pujols (26),83,2006,R
202,180.,Hanley Ramirez (23),83,2007,R
203,180.,Jim Rice+ (24),83,1977,R
204,180.,Alex Rodriguez (27),83,2003,R
205,180.,Marcus Semien (28),83,2019,R
206,180.,Dan Uggla (27),83,2007,R
207,180.,Ted Williams+ (27),83,1946,L
208,209.,José Abreu (30),82,2017,R
209,209.,Garret Anderson (31),82,2003,L
210,209.,Nolan Arenado (25),82,2016,R
211,209.,Earl Averill+ (34),82,1936,L
212,209.,Ernie Banks+ (24),82,1955,R
213,209.,Jason Bay (26),82,2005,R
214,209.,Robinson Cano (29),82,2012,L
215,209.,Adam Comorosky (25),82,1930,R
216,209.,Carlos Delgado (26),82,1998,L
217,209.,Brian Dozier (29),82,2016,R
218,209.,Johnny Frederick (27),82,1929,L
219,209.,Juan Gonzalez (26),82,1996,R
220,209.,Hank Greenberg+ (28),82,1939,R
221,209.,Vladimir Guerrero+ (23),82,1998,R
222,209.,Rogers Hornsby+ (28),82,1924,R
223,209.,Aubrey Huff (31),82,2008,L
224,209.,Francisco Lindor (24),82,2018,B
225,209.,Fred Lynn (27),82,1979,L
226,209.,J.D. Martinez (30),82,2018,R
227,209.,Willie Mays+ (24),82,1955,R
228,209.,Willie Mays+ (28),82,1959,R
229,209.,Joe Medwick+ (23),82,1935,R
230,209.,Magglio Ordonez (33),82,2007,R
231,209.,Albert Pujols (30),82,2010,R
232,209.,Manny Ramirez (26),82,1998,R
233,209.,Alex Rodriguez (22),82,1998,R
234,209.,Babe Ruth+ (31),82,1926,L
235,209.,Al Simmons+ (24),82,1926,R
236,209.,Duke Snider+ (28),82,1955,L
237,209.,Jorge Soler (27),82,2019,R
238,209.,Greg Vaughn (32),82,1998,R
239,209.,Robin Yount+ (24),82,1980,R
240,241.,Jeff Bagwell+ (28),81,1996,R
241,241.,Ernie Banks+ (27),81,1958,R
242,241.,Charlie Blackmon (32),81,2019,L
243,241.,Barry Bonds (35),81,2000,L
244,241.,Robinson Cano (28),81,2011,L
245,241.,Vinny Castilla (36),81,2004,R
246,241.,Carlos Delgado (31),81,2003,L
247,241.,Jimmie Foxx+ (28),81,1936,R
248,241.,Brian Giles (30),81,2001,L
249,241.,Troy Glaus (24),81,2001,R
250,241.,Bryce Harper (22),81,2015,L
251,241.,Tommy Henrich (35),81,1948,L
252,241.,Tommy Holmes (28),81,1945,L
253,241.,Jeff Kent (32),81,2000,R
254,241.,Jeff Kent (34),81,2002,R
255,241.,Adam Lind (25),81,2009,L
256,241.,Francisco Lindor (23),81,2017,B
257,241.,Evan Longoria (30),81,2016,R
258,241.,Roger Maris (26),81,1961,L
259,241.,Edgar Martinez+ (32),81,1995,R
260,241.,Willie Mays+ (26),81,1957,R
261,241.,Mark McGwire (23),81,1987,R
262,241.,Hal McRae (36),81,1982,R
263,241.,Stan Musial+ (22),81,1943,L
264,241.,Mel Ott+ (20),81,1929,L
265,241.,Rafael Palmeiro (31),81,1996,L
266,241.,Albert Pujols (25),81,2005,R
267,241.,Albert Pujols (28),81,2008,R
268,241.,Jose Ramirez (25),81,2018,B
269,241.,Manny Ramirez (24),81,1996,R
270,241.,Manny Ramirez (27),81,1999,R
271,241.,Anthony Rendon (29),81,2019,R
272,241.,Mike Schmidt+ (30),81,1980,R
273,241.,Alfonso Soriano (29),81,2005,R
274,241.,Miguel Tejada (31),81,2005,R
275,241.,Bill Terry+ (33),81,1932,L
276,241.,Ted Williams+ (28),81,1947,L
277,278.,Dick Allen (22),80,1964,R
278,278.,Ernie Banks+ (29),80,1960,R
279,278.,Adrian Beltre (25),80,2004,R
280,278.,Carlos Beltran (25),80,2002,B
281,278.,Carlos Beltran (29),80,2006,B
282,278.,Dante Bichette (31),80,1995,R
283,278.,Ryan Braun (28),80,2012,R
284,278.,Alex Bregman (25),80,2019,R
285,278.,Kiki Cuyler+ (31),80,1930,R
286,278.,Adam Dunn (24),80,2004,L
287,278.,Nomar Garciaparra (24),80,1998,R
288,278.,Brian Giles (31),80,2002,L
289,278.,Juan Gonzalez (23),80,1993,R
290,278.,Luis Gonzalez (32),80,2000,L
291,278.,Vladimir Guerrero+ (29),80,2004,R
292,278.,Howard Johnson (28),80,1989,B
293,278.,Ted Kluszewski (29),80,1954,L
294,278.,Ryan Ludwick (29),80,2008,R
295,278.,Heinie Manush+ (26),80,1928,L
296,278.,Edgar Martinez+ (33),80,1996,R
297,278.,Willie McCovey+ (32),80,1970,L
298,278.,Bob Meusel (24),80,1921,R
299,278.,John Olerud (24),80,1993,L
300,278.,Rafael Palmeiro (33),80,1998,L
301,278.,Rafael Palmeiro (36),80,2001,L
302,278.,Dave Parker (34),80,1985,L
303,278.,Albert Pujols (32),80,2012,R
304,278.,Aramis Ramirez (28),80,2006,R
305,278.,Aramis Ramirez (34),80,2012,R
306,278.,Scott Rolen (23),80,1998,R
307,278.,Babe Ruth+ (36),80,1931,L
308,278.,Juan Samuel (26),80,1987,R
309,278.,Alfonso Soriano (31),80,2007,R
310,278.,Jim Thome+ (32),80,2003,L
311,278.,Paul Waner+ (29),80,1932,L
312,278.,Billy Williams+ (32),80,1970,L
313,278.,Ted Williams+ (21),80,1940,L
314,278.,Preston Wilson (28),80,2003,R
315,316.,Hank Aaron+ (28),79,1962,R
316,316.,Hank Aaron+ (33),79,1967,R
317,316.,Rich Aurilia (29),79,2001,R
318,316.,Adrian Beltre (31),79,2010,R
319,316.,Wally Berger (24),79,1930,R
320,316.,Lance Berkman (26),79,2002,B
321,316.,Lance Berkman (32),79,2008,B
322,316.,Barry Bonds (37),79,2002,L
323,316.,Ken Caminiti (33),79,1996,B
324,316.,Jack Clark (22),79,1978,R
325,316.,Ty Cobb+ (24),79,1911,L
326,316.,Jermaine Dye (25),79,1999,R
327,316.,Cliff Floyd (28),79,2001,L
328,316.,Todd Frazier (29),79,2015,R
329,316.,Andres Galarraga (27),79,1988,R
330,316.,Brian Giles (29),79,2000,L
331,316.,Adrian Gonzalez (25),79,2007,L
332,316.,Chick Hafey+ (25),79,1928,R
333,316.,Todd Helton (25),79,1999,L
334,316.,Aaron Judge (25),79,2017,R
335,316.,Ralph Kiner+ (28),79,1951,R
336,316.,Chuck Klein+ (28),79,1933,L
337,316.,Mickey Mantle+ (24),79,1956,B
338,316.,Bob Meusel (28),79,1925,R
339,316.,Johnny Mize+ (34),79,1947,L
340,316.,Kendrys Morales (26),79,2009,B
341,316.,Rafael Palmeiro (28),79,1993,L
342,316.,Anthony Rizzo (26),79,2016,L
343,316.,Henry Rodriguez (28),79,1996,L
344,316.,Jimmy Rollins (27),79,2006,B
345,316.,Al Simmons+ (23),79,1925,R
346,316.,Alfonso Soriano (27),79,2003,R
347,316.,Mark Teixeira (26),79,2006,B
348,316.,Mike Trout (23),79,2015,R
349,316.,Justin Upton (29),79,2017,R
350,316.,Billy Williams+ (27),79,1965,L
351,316.,Carl Yastrzemski+ (27),79,1967,L
352,353.,Bobby Abreu (30),78,2004,L
353,353.,Moises Alou (37),78,2004,R
354,353.,Garret Anderson (28),78,2000,L
355,353.,Nolan Arenado (27),78,2018,R
356,353.,Garrett Atkins (26),78,2006,R
357,353.,Earl Averill+ (29),78,1931,L
358,353.,Mookie Betts (23),78,2016,R
359,353.,Bobby Bonilla (27),78,1990,B
360,353.,Pat Burrell (25),78,2002,R
361,353.,Miguel Cabrera (22),78,2005,R
362,353.,Miguel Cabrera (23),78,2006,R
363,353.,Miguel Cabrera (28),78,2011,R
364,353.,Miguel Cabrera (31),78,2014,R
365,353.,Matt Carpenter (32),78,2018,L
366,353.,Joe Carter (31),78,1991,R
367,353.,Vinny Castilla (30),78,1998,R
368,353.,Orlando Cepeda+ (23),78,1961,R
369,353.,Chris Davis (29),78,2015,L
370,353.,Andre Dawson+ (28),78,1983,R
371,353.,Jimmie Foxx+ (26),78,1934,R
372,353.,Nomar Garciaparra (29),78,2003,R
373,353.,Charlie Gehringer+ (27),78,1930,L
374,353.,Hank Greenberg+ (35),78,1946,R
375,353.,Vladimir Guerrero+ (27),78,2002,R
376,353.,Bill Hall (26),78,2006,R
377,353.,Bobby Higginson (29),78,2000,L
378,353.,Ryan Howard (28),78,2008,L
379,353.,Reggie Jackson+ (29),78,1975,L
380,353.,Andruw Jones (23),78,2000,R
381,353.,Andruw Jones (28),78,2005,R
382,353.,Ralph Kiner+ (24),78,1947,R
383,353.,Ralph Kiner+ (26),78,1949,R
384,353.,Manny Machado (23),78,2016,R
385,353.,Magglio Ordonez (29),78,2003,R
386,353.,Rafael Palmeiro (26),78,1991,L
387,353.,Rafael Palmeiro (34),78,1999,L
388,353.,Alex Rodriguez (29),78,2005,R
389,353.,Scott Rolen (28),78,2003,R
390,353.,Babe Ruth+ (34),78,1929,L
391,353.,Gary Sheffield (34),78,2003,R
392,353.,Ruben Sierra (23),78,1989,B
393,353.,Duke Snider+ (29),78,1956,L
394,353.,Trevor Story (26),78,2019,R
395,353.,Chase Utley (29),78,2008,L
396,353.,Vernon Wells (31),78,2010,R
397,353.,Ken Williams (33),78,1923,L
398,399.,Hank Aaron+ (23),77,1957,R
399,399.,Hank Aaron+ (29),77,1963,R
400,399.,Hank Aaron+ (35),77,1969,R
401,399.,Bobby Abreu (26),77,2000,L
402,399.,Moises Alou (31),77,1998,R
403,399.,Tony Armas (30),77,1984,R
404,399.,Jeff Bagwell+ (31),77,1999,R
405,399.,Jesse Barfield (26),77,1986,R
406,399.,Albert Belle (26),77,1993,R
407,399.,Josh Bell (26),77,2019,B
408,399.,Wally Berger (28),77,1934,R
409,399.,Wally Berger (29),77,1935,R
410,399.,Bobby Bonds (27),77,1973,R
411,399.,Bret Boone (32),77,2001,R
412,399.,Jim Bottomley+ (25),77,1925,L
413,399.,Ryan Braun (25),77,2009,R
414,399.,Ryan Braun (27),77,2011,R
415,399.,Kris Bryant (24),77,2016,R
416,399.,Jose Canseco (26),77,1991,R
417,399.,Rocky Colavito (27),77,1961,R
418,399.,Khris Davis (30),77,2018,R
419,399.,Doug DeCinces (31),77,1982,R
420,399.,Carlos Delgado (33),77,2005,L
421,399.,Joe DiMaggio+ (23),77,1938,R
422,399.,Adam Dunn (25),77,2005,L
423,399.,Jermaine Dye (34),77,2008,R
424,399.,Dwight Evans (32),77,1984,R
425,399.,Cecil Fielder (26),77,1990,R
426,399.,Charlie Gehringer+ (26),77,1929,L
427,399.,Lou Gehrig+ (26),77,1929,L
428,399.,Bernard Gilkey (29),77,1996,R
429,399.,Carlos Gonzalez (24),77,2010,L
430,399.,Curtis Granderson (30),77,2011,L
431,399.,Ken Griffey Jr.+ (26),77,1996,L
432,399.,Ken Griffey Jr.+ (29),77,1999,L
433,399.,Chick Hafey+ (27),77,1930,R
434,399.,Odell Hale (27),77,1936,R
435,399.,Babe Herman (28),77,1931,L
436,399.,Jeff Kent (33),77,2001,R
437,399.,Evan Longoria (23),77,2009,R
438,399.,Greg Luzinski (26),77,1977,R
439,399.,Ketel Marte (25),77,2019,B
440,399.,Tino Martinez (29),77,1997,L
441,399.,Willie Mays+ (32),77,1963,R
442,399.,Willie Mays+ (33),77,1964,R
443,399.,Johnny Mize+ (25),77,1938,L
444,399.,Raul Mondesi (26),77,1997,R
445,399.,Daniel Murphy (31),77,2016,L
446,399.,Stan Musial+ (23),77,1944,L
447,399.,Rafael Palmeiro (37),77,2002,L
448,399.,Dave Parker (28),77,1979,L
449,399.,Alex Rodriguez (24),77,2000,R
450,399.,Grady Sizemore (25),77,2008,L
451,399.,Bill Terry+ (31),77,1930,L
452,399.,Frank Thomas+ (25),77,1993,R
453,399.,Frank Thomas+ (35),77,2003,R
454,399.,Hal Trosky (24),77,1937,L
455,399.,Jose Vidro (25),77,2000,B
456,399.,Joe Vosmik (25),77,1935,R
457,399.,Vernon Wells (27),77,2006,R
458,399.,Billy Williams+ (34),77,1972,L
459,399.,David Wright (25),77,2008,R
460,399.,Christian Yelich (26),77,2018,L
461,462.,Bobby Abreu (28),76,2002,L
462,462.,Miguel Andujar (23),76,2018,R
463,462.,Ernie Banks+ (28),76,1959,R
464,462.,Albert Belle (30),76,1997,R
465,462.,Jay Bell (33),76,1999,R
466,462.,Jose Canseco (23),76,1988,R
467,462.,Jose Cruz (27),76,2001,B
468,462.,Joe DiMaggio+ (33),76,1948,R
469,462.,Stephen Drew (25),76,2008,L
470,462.,Adam Dunn (30),76,2010,L
471,462.,Jermaine Dye (26),76,2000,R
472,462.,Edwin Encarnacion (33),76,2016,R
473,462.,Andre Ethier (27),76,2009,L
474,462.,Dwight Evans (30),76,1982,R
475,462.,Steve Finley (34),76,1999,L
476,462.,Jimmie Foxx+ (27),76,1935,R
477,462.,Jimmie Foxx+ (31),76,1939,R
478,462.,Jason Giambi (31),76,2002,L
479,462.,Juan Gonzalez (29),76,1999,R
480,462.,Luis Gonzalez (35),76,2003,L
481,462.,Goose Goslin+ (30),76,1931,L
482,462.,Josh Hamilton (31),76,2012,L
483,462.,Jeff Heath (26),76,1941,L
484,462.,Harry Heilmann+ (26),76,1921,R
485,462.,Babe Herman (26),76,1929,L
486,462.,Aaron Hill (30),76,2012,R
487,462.,Howard Johnson (30),76,1991,B
488,462.,Chipper Jones+ (29),76,2001,B
489,462.,Matt Kemp (26),76,2011,R
490,462.,Nap Lajoie+ (26),76,1901,R
491,462.,Carlos Lee (31),76,2007,R
492,462.,Mickey Mantle+ (29),76,1961,B
493,462.,Edgar Martinez+ (35),76,1998,R
494,462.,Willie Mays+ (34),76,1965,R
495,462.,Nate McLouth (26),76,2008,L
496,462.,Joe Medwick+ (22),76,1934,R
497,462.,Joe Medwick+ (26),76,1938,R
498,462.,Dale Murphy (28),76,1984,R
499,462.,Stan Musial+ (29),76,1950,L
500,462.,Bill Nicholson (29),76,1944,L
501,462.,Mel Ott+ (23),76,1932,L
502,462.,Carlos Pena (29),76,2007,L
503,462.,Vada Pinson (20),76,1959,L
504,462.,Wally Post (25),76,1955,R
505,462.,Albert Pujols (22),76,2002,R
506,462.,Manny Ramirez (29),76,2001,R
507,462.,Manny Ramirez (33),76,2005,R
508,462.,Cal Ripken Jr.+ (22),76,1983,R
509,462.,Frank Robinson+ (25),76,1961,R
510,462.,Ron Santo+ (24),76,1964,R
511,462.,Mike Schmidt+ (27),76,1977,R
512,462.,Richie Sexson (30),76,2005,R
513,462.,Gary Sheffield (27),76,1996,R
514,462.,Stan Spence (31),76,1946,L
515,462.,Darryl Strawberry (25),76,1987,L
516,462.,Miguel Tejada (30),76,2004,R
517,462.,Jim Thome+ (30),76,2001,L
518,462.,Chase Utley (27),76,2006,L
519,462.,Zoilo Versalles (25),76,1965,R
520,462.,Larry Walker+ (34),76,2001,L
521,462.,Christian Yelich (27),76,2019,L
522,462.,Kevin Youkilis (29),76,2008,R
