,Rank,Player (age that year),Caught Stealing as C,Year,Throws
449,441.,Pete Noonan (25),65,1907,R
450,441.,Frank Roth (24),65,1903,R
451,441.,Jack Ryan (32),65,1901,R
452,441.,Ted Simmons+ (28),65,1978,R
453,441.,Jim Sundberg (24),65,1975,R
454,455.,Bob Boone (34),64,1982,R
455,455.,Mike Grady (35),64,1905,R
456,455.,Red Kleinow (31),64,1909,R
457,455.,Bill Ludwig (26),64,1908,R
458,455.,Otto Miller (32),64,1921,R
459,455.,Les Nunamaker (29),64,1918,R
460,455.,Steve O'Neill (27),64,1919,R
461,455.,Lew Ritter (28),64,1904,R
462,455.,Wilbert Robinson+ (38),64,1902,R
463,455.,Al Shaw (34),64,1907,R
464,455.,Oscar Stanage (33),64,1916,R
465,455.,Ed Sweeney (20),64,1909,R
466,455.,Bert Whaling (25),64,1913,R
467,455.,Butch Wynegar (23),64,1979,R
468,469.,Gary Carter+ (26),63,1980,R
469,469.,Frank Chance+ (22),63,1899,R
470,469.,Bo Diaz (30),63,1983,R
471,469.,Duke Farrell (29),63,1896,R
472,469.,Duke Farrell (35),63,1902,R
473,469.,Truck Hannah (29),63,1918,R
474,469.,Mike Kahoe (27),63,1901,R
475,469.,Terry Kennedy (27),63,1983,R
476,469.,Tony Pena (27),63,1984,R
477,469.,Jack Ryan (33),63,1902,R
478,469.,Wally Schang (32),63,1922,R
479,480.,Boileryard Clarke (30),62,1899,R
480,480.,Jody Davis (28),62,1985,R
481,480.,Klondike Douglass (25),62,1897,R
482,480.,Malachi Kittridge (26),62,1896,R
483,480.,Johnny Kling (25),62,1901,R
484,480.,Milt May (31),62,1982,R
485,480.,Larry McLean (26),62,1908,R
486,480.,Chief Meyers (35),62,1916,R
487,480.,Mickey O'Neil (26),62,1924,R
488,480.,Tony Pena (28),62,1985,R
489,480.,Wilbert Robinson+ (36),62,1900,R
490,480.,Harry Smith (28),62,1903,R
491,480.,Butch Wynegar (20),62,1976,R
492,493.,Bob Boone (32),61,1980,R
493,493.,Tim Donahue (27),61,1897,R
494,493.,Joe Ferguson (30),61,1977,R
495,493.,Fred Jacklitsch (31),61,1907,R
496,493.,Morgan Murphy (30),61,1897,R
497,493.,Heinie Peitz (26),61,1897,R
498,493.,Cy Perkins (27),61,1923,R
499,493.,Wilbert Robinson+ (29),61,1893,R
