,Rank,Player (age that year),Manager Ejections,Year
87,50.,Joe Torre+ (37),7,1978
88,50.,Joe Torre+ (38),7,1979
89,50.,Earl Weaver+ (46),7,1977
90,50.,Earl Weaver+ (47),7,1978
91,50.,Dick Williams+ (46),7,1975
92,93.,Sparky Anderson+ (41),6,1975
93,93.,Brad Ausmus (48),6,2017
94,93.,Jeff Banister (53),6,2017
95,93.,Buddy Bell (54),6,2006
96,93.,Bruce Bochy (52),6,2007
97,93.,Larry Bowa (58),6,2004
98,93.,Bobby Bragan (38),6,1956
99,93.,Bobby Bragan (47),6,1965
100,93.,Roger Bresnahan+ (36),6,1915
101,93.,Jimmy Callahan (38),6,1912
102,93.,Pat Corrales (41),6,1982
103,93.,Pat Corrales (43),6,1984
104,93.,Bobby Cox+ (39),6,1980
105,93.,Bobby Cox+ (57),6,1998
106,93.,Bill Dahlen (43),6,1913
107,93.,Red Dooin (31),6,1910
108,93.,Red Dooin (35),6,1914
109,93.,Leo Durocher+ (33),6,1939
110,93.,Leo Durocher+ (39),6,1945
111,93.,Leo Durocher+ (40),6,1946
112,93.,Leo Durocher+ (43),6,1949
113,93.,Leo Durocher+ (44),6,1950
114,93.,Leo Durocher+ (45),6,1951
115,93.,Jimmy Dykes (42),6,1939
116,93.,Frankie Frisch+ (45),6,1943
117,93.,Frankie Frisch+ (53),6,1951
118,93.,Ron Gardenhire (51),6,2009
119,93.,Ron Gardenhire (52),6,2010
120,93.,Ron Gardenhire (53),6,2011
121,93.,Cito Gaston (51),6,1995
122,93.,Clark Griffith+ (42),6,1912
123,93.,Burleigh Grimes+ (44),6,1938
124,93.,Ozzie Guillen (46),6,2010
125,93.,Whitey Herzog+ (41),6,1973
126,93.,Whitey Herzog+ (51),6,1983
127,93.,Billy Hitchcock (45),6,1962
128,93.,Clint Hurdle (55),6,2013
129,93.,Clint Hurdle (58),6,2016
130,93.,Fred Hutchinson (34),6,1954
131,93.,Hughie Jennings+ (38),6,1907
132,93.,Darrell Johnson (50),6,1979
133,93.,Fielder Jones (33),6,1905
134,93.,Joe Kelley+ (32),6,1904
135,93.,Otto Knabe (31),6,1915
136,93.,Gene Lamont (50),6,1997
137,93.,Gene Lamont (52),6,1999
138,93.,Tony La Russa+ (38),6,1983
139,93.,Jim Lefebvre (51),6,1993
140,93.,Joe Maddon (57),6,2011
141,93.,Charlie Manuel (61),6,2005
142,93.,Charlie Manuel (62),6,2006
143,93.,Charlie Manuel (66),6,2010
144,93.,Billy Martin (54),6,1982
145,93.,Don Mattingly (51),6,2012
146,93.,Gene Mauch (34),6,1960
147,93.,Gene Mauch (37),6,1963
148,93.,Lloyd McClendon (55),6,2014
149,93.,John McGraw+ (43),6,1916
150,93.,Rick Renteria (52),6,2014
151,93.,Rick Renteria (56),6,2018
152,93.,Del Rice (49),6,1972
153,93.,Paul Richards (48),6,1957
154,93.,Jim Riggleman (57),6,2010
155,93.,Bill Rigney (39),6,1957
156,93.,Larry Rothschild (44),6,1998
157,93.,Dale Sveum (49),6,2013
158,93.,Chuck Tanner (46),6,1975
159,93.,Zack Taylor (51),6,1950
160,93.,Zack Taylor (52),6,1951
161,93.,Joe Torre+ (53),6,1994
162,93.,Jim Tracy (47),6,2003
163,93.,Alan Trammell+ (46),6,2004
164,93.,Bobby Valentine (36),6,1986
165,93.,Bobby Valentine (62),6,2012
166,93.,Earl Weaver+ (51),6,1982
167,93.,Ned Yost (51),6,2006
168,93.,Ned Yost (52),6,2007
169,170.,Walter Alston+ (51),5,1963
170,170.,Sparky Anderson+ (40),5,1974
171,170.,Jeff Banister (51),5,2015
172,170.,Buddy Bell (44),5,1996
173,170.,Buddy Bell (55),5,2007
174,170.,Yogi Berra+ (59),5,1984
175,170.,Bruce Bochy (54),5,2009
176,170.,Bruce Bochy (60),5,2015
177,170.,Aaron Boone (46),5,2019
178,170.,Larry Bowa (41),5,1987
179,170.,Larry Bowa (55),5,2001
180,170.,Larry Bowa (56),5,2002
181,170.,Bob Brenly (49),5,2003
182,170.,Roger Bresnahan+ (33),5,1912
183,170.,Dave Bristol (35),5,1968
184,170.,Dave Bristol (36),5,1969
185,170.,Dave Bristol (38),5,1971
186,170.,Dave Bristol (47),5,1980
187,170.,Fred Clarke+ (41),5,1914
188,170.,Fred Clarke+ (42),5,1915
189,170.,Terry Collins (46),5,1995
190,170.,Cecil Cooper (58),5,2008
191,170.,Pat Corrales (44),5,1985
192,170.,Craig Counsell (47),5,2018
193,170.,Bobby Cox+ (49),5,1990
194,170.,Bobby Cox+ (55),5,1996
195,170.,Bobby Cox+ (59),5,2000
196,170.,Bobby Cox+ (63),5,2004
197,170.,Bobby Cox+ (69),5,2010
198,170.,Red Dooin (33),5,1912
199,170.,Leo Durocher+ (35),5,1941
200,170.,Leo Durocher+ (36),5,1942
201,170.,Leo Durocher+ (38),5,1944
202,170.,Leo Durocher+ (63),5,1969
203,170.,Jimmy Dykes (45),5,1942
204,170.,Terry Francona (46),5,2005
205,170.,Terry Francona (48),5,2007
206,170.,Jim Fregosi (45),5,1987
207,170.,Jim Fregosi (49),5,1991
208,170.,Jim Frey (53),5,1984
209,170.,Frankie Frisch+ (36),5,1934
210,170.,Frankie Frisch+ (38),5,1936
211,170.,Frankie Frisch+ (39),5,1937
212,170.,Ron Gardenhire (47),5,2005
213,170.,Ron Gardenhire (50),5,2008
214,170.,Ron Gardenhire (55),5,2013
215,170.,Ron Gardenhire (56),5,2014
216,170.,Phil Garner (46),5,1995
217,170.,Cito Gaston (46),5,1990
218,170.,John Gibbons (45),5,2007
219,170.,John Gibbons (51),5,2013
220,170.,John Gibbons (53),5,2015
221,170.,John Gibbons (55),5,2017
222,170.,Joe Girardi (52),5,2017
223,170.,Fredi Gonzalez (49),5,2013
224,170.,Clark Griffith+ (35),5,1905
225,170.,Ozzie Guillen (42),5,2006
226,170.,Mike Hargrove (47),5,1997
227,170.,Grady Hatton (43),5,1966
228,170.,Art Howe (43),5,1990
229,170.,Miller Huggins+ (35),5,1913
230,170.,Clint Hurdle (45),5,2003
231,170.,Clint Hurdle (53),5,2011
232,170.,Clint Hurdle (54),5,2012
233,170.,Clint Hurdle (59),5,2017
234,170.,Fred Hutchinson (37),5,1957
235,170.,Hughie Jennings+ (42),5,1911
236,170.,Darrell Johnson (45),5,1974
237,170.,Darrell Johnson (51),5,1980
238,170.,Davey Johnson (42),5,1985
239,170.,Fielder Jones (35),5,1907
240,170.,Fielder Jones (43),5,1915
241,170.,Joe Kelley+ (33),5,1905
242,170.,Tony La Russa+ (58),5,2003
243,170.,Jim Leyland (48),5,1993
244,170.,Jim Leyland (66),5,2011
245,170.,Jim Leyland (67),5,2012
246,170.,Whitey Lockman (46),5,1973
247,170.,Al Lopez+ (53),5,1962
248,170.,Joe Maddon (56),5,2010
249,170.,Joe Maddon (59),5,2013
250,170.,Joe Maddon (60),5,2014
251,170.,Joe Maddon (61),5,2015
252,170.,Charlie Manuel (56),5,2000
253,170.,Charlie Manuel (64),5,2008
254,170.,Billy Martin (46),5,1974
255,170.,Billy Martin (47),5,1975
256,170.,John McGraw+ (26),5,1899
257,170.,John McGraw+ (36),5,1909
258,170.,Deacon McGuire (44),5,1908
259,170.,Stuffy McInnis (36),5,1927
260,170.,Bill McKechnie+ (37),5,1924
261,170.,Bob Melvin (43),5,2005
262,170.,Bob Melvin (44),5,2006
263,170.,Billy Meyer (55),5,1948
264,170.,Gene Michael (49),5,1987
265,170.,Brad Mills (54),5,2011
266,170.,Fred Mitchell (39),5,1917
267,170.,Joe Morgan (58),5,1989
268,170.,Pat Murphy (56),5,2015
269,170.,Lou Piniella (46),5,1990
270,170.,Lou Piniella (55),5,1999
271,170.,Mike Redmond (43),5,2014
272,170.,Paul Richards (42),5,1951
273,170.,Bill Rigney (43),5,1961
274,170.,Bill Rigney (44),5,1962
275,170.,Bill Rigney (45),5,1963
276,170.,Bill Rigney (46),5,1964
277,170.,Bill Rigney (47),5,1965
278,170.,Larry Rothschild (46),5,2000
279,170.,Mike Scioscia (45),5,2004
280,170.,Larry Shepard (49),5,1968
281,170.,Eddie Stanky (38),5,1954
282,170.,Eddie Stanky (51),5,1967
283,170.,Casey Stengel+ (43),5,1934
284,170.,Casey Stengel+ (48),5,1939
285,170.,Fred Tenney (39),5,1911
286,170.,Joe Tinker+ (34),5,1915
287,170.,Alan Trammell+ (47),5,2005
288,170.,Bobby Valentine (51),5,2001
289,170.,Ron Washington (56),5,2008
290,170.,Earl Weaver+ (55),5,1986
291,170.,Eric Wedge (36),5,2004
292,170.,Eric Wedge (41),5,2009
293,170.,Jimy Williams (43),5,1987
294,295.,Walter Alston+ (43),4,1955
295,295.,Joe Altobelli (52),4,1984
296,295.,Sparky Anderson+ (39),4,1973
297,295.,Sparky Anderson+ (43),4,1977
298,295.,Sparky Anderson+ (48),4,1982
299,295.,Cap Anson+ (45),4,1897
300,295.,Brad Ausmus (46),4,2015
301,295.,George Bamberger (55),4,1979
302,295.,George Bamberger (61),4,1985
303,295.,Hank Bauer (43),4,1966
304,295.,Buddy Bell (45),4,1997
305,295.,Buddy Bell (53),4,2005
306,295.,Terry Bevington (38),4,1995
307,295.,Joe Birmingham (29),4,1914
308,295.,Bud Black (58),4,2015
309,295.,Bruce Bochy (45),4,2000
310,295.,Bruce Bochy (48),4,2003
311,295.,Bruce Bochy (50),4,2005
312,295.,Bruce Bochy (51),4,2006
313,295.,Bruce Bochy (53),4,2008
314,295.,Bruce Bochy (55),4,2010
315,295.,Aaron Boone (45),4,2018
316,295.,Bobby Bragan (39),4,1957
317,295.,Roger Bresnahan+ (31),4,1910
318,295.,Roger Bresnahan+ (32),4,1911
319,295.,Dave Bristol (34),4,1967
320,295.,Dave Bristol (44),4,1977
321,295.,Donie Bush (35),4,1923
322,295.,Mickey Callaway (44),4,2019
323,295.,Jimmy Callahan (39),4,1913
324,295.,Max Carey+ (42),4,1932
325,295.,Phil Cavarretta (35),4,1952
326,295.,Ben Chapman (37),4,1946
327,295.,Ben Chapman (38),4,1947
328,295.,Fred Clarke+ (34),4,1907
329,295.,Terry Collins (50),4,1999
330,295.,Terry Collins (66),4,2015
331,295.,Cecil Cooper (59),4,2009
332,295.,Pat Corrales (38),4,1979
333,295.,Bobby Cox+ (37),4,1978
334,295.,Bobby Cox+ (41),4,1982
335,295.,Bobby Cox+ (52),4,1993
336,295.,Bobby Cox+ (54),4,1995
337,295.,Harry Craft (48),4,1963
338,295.,Harry Craft (49),4,1964
339,295.,Al Dark (42),4,1964
340,295.,Al Dark (48),4,1970
341,295.,Red Dooin (34),4,1913
342,295.,Chuck Dressen (41),4,1936
343,295.,Leo Durocher+ (34),4,1940
344,295.,Leo Durocher+ (37),4,1943
345,295.,Leo Durocher+ (42),4,1948
346,295.,Leo Durocher+ (61),4,1967
347,295.,Jimmy Dykes (40),4,1937
348,295.,Jimmy Dykes (48),4,1945
349,295.,Jimmy Dykes (56),4,1953
350,295.,Kid Elberfeld (33),4,1908
351,295.,Cal Ermer (44),4,1968
352,295.,Kerby Farrell (43),4,1957
353,295.,Art Fletcher (39),4,1924
354,295.,Terry Francona (52),4,2011
355,295.,Terry Francona (56),4,2015
356,295.,Herman Franks (63),4,1977
357,295.,Jim Fregosi (36),4,1978
358,295.,Jim Fregosi (38),4,1980
359,295.,Jim Fregosi (50),4,1992
360,295.,Jim Fregosi (54),4,1996
361,295.,Frankie Frisch+ (43),4,1941
362,295.,Ron Gardenhire (44),4,2002
363,295.,Ron Gardenhire (46),4,2004
364,295.,Ron Gardenhire (60),4,2018
365,295.,Billy Gardner (56),4,1984
366,295.,Billy Gardner (57),4,1985
367,295.,Phil Garner (45),4,1994
368,295.,Phil Garner (49),4,1998
369,295.,Phil Garner (50),4,1999
370,295.,Phil Garner (57),4,2006
371,295.,Phil Garner (58),4,2007
372,295.,John Gibbons (46),4,2008
373,295.,Kirk Gibson (56),4,2013
374,295.,Joe Girardi (44),4,2009
375,295.,Joe Girardi (47),4,2012
376,295.,Joe Girardi (49),4,2014
377,295.,Joe Girardi (50),4,2015
378,295.,Fredi Gonzalez (45),4,2009
379,295.,Fredi Gonzalez (47),4,2011
380,295.,Joe Gordon+ (45),4,1960
381,295.,Andy Green (40),4,2018
382,295.,Dallas Green (58),4,1993
383,295.,Clark Griffith+ (37),4,1907
384,295.,Clark Griffith+ (38),4,1908
385,295.,Charlie Grimm (45),4,1944
386,295.,Ozzie Guillen (44),4,2008
387,295.,Mike Hargrove (43),4,1993
388,295.,Mike Hargrove (46),4,1996
389,295.,Mike Hargrove (48),4,1998
390,295.,Mike Hargrove (51),4,2001
391,295.,Mike Hargrove (53),4,2003
392,295.,Mike Hargrove (56),4,2006
393,295.,Whitey Herzog+ (46),4,1978
394,295.,Trey Hillman (46),4,2009
395,295.,Ralph Houk (48),4,1968
396,295.,Ralph Houk (54),4,1974
397,295.,Ralph Houk (63),4,1983
398,295.,Billy Hunter (50),4,1978
399,295.,Clint Hurdle (46),4,2004
400,295.,Clint Hurdle (48),4,2006
401,295.,Clint Hurdle (49),4,2007
402,295.,Clint Hurdle (56),4,2014
403,295.,Clint Hurdle (57),4,2015
404,295.,Clint Hurdle (61),4,2019
405,295.,Fred Hutchinson (40),4,1960
406,295.,Fred Hutchinson (42),4,1962
407,295.,Darrell Johnson (47),4,1976
408,295.,Darrell Johnson (48),4,1977
409,295.,Davey Johnson (57),4,2000
410,295.,Bill Joyce (30),4,1898
411,295.,Gabe Kapler (43),4,2019
412,295.,Eddie Kasko (41),4,1972
413,295.,Eddie Kasko (42),4,1973
414,295.,Johnny Keane (51),4,1963
415,295.,Tony La Russa+ (35),4,1980
416,295.,Tony La Russa+ (39),4,1984
417,295.,Tony La Russa+ (46),4,1991
418,295.,Tony La Russa+ (50),4,1995
419,295.,Tony La Russa+ (53),4,1998
420,295.,Tony La Russa+ (56),4,2001
421,295.,Tom Lasorda+ (51),4,1979
422,295.,Tom Lasorda+ (60),4,1988
423,295.,Tom Lasorda+ (63),4,1991
424,295.,Jim Lefebvre (50),4,1992
425,295.,Jim Leyland (41),4,1986
426,295.,Jim Leyland (43),4,1988
427,295.,Jim Leyland (53),4,1998
428,295.,Jim Leyland (54),4,1999
429,295.,Jim Leyland (63),4,2008
430,295.,Jim Leyland (65),4,2010
431,295.,Jim Leyland (68),4,2013
432,295.,Nick Leyva (36),4,1990
433,295.,Grady Little (53),4,2003
434,295.,Al Lopez+ (43),4,1952
435,295.,Al Lopez+ (51),4,1960
436,295.,Joe Maddon (58),4,2012
437,295.,Joe Maddon (64),4,2018
438,295.,Charlie Manuel (57),4,2001
439,295.,Charlie Manuel (65),4,2009
440,295.,Jerry Manuel (54),4,2008
441,295.,Jerry Manuel (55),4,2009
442,295.,Marty Marion (39),4,1956
443,295.,Billy Martin (43),4,1971
444,295.,Billy Martin (45),4,1973
445,295.,Billy Martin (52),4,1980
446,295.,Dave Martinez (54),4,2019
447,295.,Mike Matheny (42),4,2013
448,295.,Don Mattingly (54),4,2015
449,295.,Don Mattingly (56),4,2017
450,295.,Gene Mauch (44),4,1970
451,295.,Gene Mauch (46),4,1972
452,295.,Gene Mauch (59),4,1985
453,295.,Lloyd McClendon (43),4,2002
454,295.,Lloyd McClendon (44),4,2003
455,295.,Lloyd McClendon (45),4,2004
456,295.,Lloyd McClendon (46),4,2005
457,295.,Lloyd McClendon (56),4,2015
458,295.,John McGraw+ (28),4,1901
459,295.,John McGraw+ (29),4,1902
460,295.,John McGraw+ (30),4,1903
461,295.,John McGraw+ (34),4,1907
462,295.,John McLaren (55),4,2007
463,295.,John McNamara (54),4,1986
464,295.,John McNamara (55),4,1987
465,295.,Hal McRae (56),4,2002
466,295.,Bob Melvin (42),4,2004
467,295.,Bob Melvin (51),4,2013
468,295.,Billy Meyer (57),4,1950
469,295.,Billy Meyer (59),4,1952
470,295.,Fred Mitchell (41),4,1919
471,295.,Jackie Moore (46),4,1985
472,295.,Danny Murtaugh (40),4,1958
473,295.,Danny Murtaugh (41),4,1959
474,295.,Jerry Narron (50),4,2006
475,295.,Jack Onslow (60),4,1949
476,295.,Danny Ozark (53),4,1977
477,295.,Danny Ozark (54),4,1978
478,295.,Danny Ozark (55),4,1979
479,295.,Tony Pena (46),4,2003
480,295.,Sam Perlozzo (55),4,2006
481,295.,Lou Piniella (43),4,1987
482,295.,Lou Piniella (44),4,1988
483,295.,Lou Piniella (47),4,1991
484,295.,Lou Piniella (49),4,1993
485,295.,Lou Piniella (52),4,1996
486,295.,Lou Piniella (59),4,2003
487,295.,Bryan Price (54),4,2016
488,295.,Frank Quilici (35),4,1974
489,295.,Bill Rigney (41),4,1959
490,295.,Bill Rigney (49),4,1967
491,295.,Bill Rigney (50),4,1968
492,295.,Frank Robinson+ (40),4,1976
493,295.,Buck Rodgers (51),4,1990
494,295.,Ron Roenicke (57),4,2014
495,295.,Cookie Rojas (49),4,1988
496,295.,Larry Rothschild (45),4,1999
497,295.,Mike Scioscia (49),4,2008
498,295.,Scott Servais (52),4,2019
499,295.,Buck Showalter (36),4,1992
500,295.,Buck Showalter (50),4,2006
501,295.,Brian Snitker (62),4,2018
502,295.,Brian Snitker (63),4,2019
503,295.,Jake Stahl (27),4,1906
504,295.,Jake Stahl (33),4,1912
505,295.,Gabby Street (49),4,1932
506,295.,Dale Sveum (48),4,2012
507,295.,Chuck Tanner (47),4,1976
508,295.,Birdie Tebbetts (42),4,1955
509,295.,Patsy Tebeau (31),4,1896
510,295.,Patsy Tebeau (33),4,1898
511,295.,Jack Tighe (43),4,1957
512,295.,Joe Torre+ (36),4,1977
513,295.,Joe Torre+ (39),4,1980
514,295.,Jim Tracy (55),4,2011
515,295.,Dave Trembley (56),4,2008
516,295.,Dave Trembley (57),4,2009
517,295.,Bobby Valentine (37),4,1987
518,295.,Bobby Valentine (48),4,1998
519,295.,Robin Ventura (44),4,2012
520,295.,Bill Virdon (45),4,1976
521,295.,Harry Walker (36),4,1955
522,295.,Harry Walker (47),4,1966
523,295.,Ron Washington (58),4,2010
524,295.,Earl Weaver+ (38),4,1969
525,295.,Earl Weaver+ (41),4,1972
526,295.,Earl Weaver+ (49),4,1980
527,295.,Earl Weaver+ (54),4,1985
528,295.,Eric Wedge (35),4,2003
529,295.,Eric Wedge (37),4,2005
530,295.,Eric Wedge (38),4,2006
531,295.,Eric Wedge (40),4,2008
532,295.,Dick Williams+ (39),4,1968
533,295.,Dick Williams+ (40),4,1969
534,295.,Dick Williams+ (42),4,1971
535,295.,Dick Williams+ (43),4,1972
536,295.,Dick Williams+ (53),4,1982
537,295.,Jimy Williams (54),4,1998
538,295.,Jimy Williams (56),4,2000
539,295.,Jimmie Wilson (41),4,1942
540,295.,Jimmie Wilson (42),4,1943
541,295.,Harry Wolverton (38),4,1912
542,295.,Ned Yost (48),4,2003
543,295.,Ned Yost (50),4,2005
544,295.,Ned Yost (64),4,2019
545,295.,Don Zimmer (49),4,1980
