,Rank,Player (age that year),Sacrifice Hits,Year,Bats
121,121.,Eddie Collins+ (30),33,1917,L
122,121.,Eddie Collins+ (33),33,1920,L
123,121.,Adam Comorosky (25),33,1930,R
124,121.,George Cutshaw (35),33,1922,R
125,121.,Jake Daubert (30),33,1914,L
126,121.,Jake Daubert (37),33,1921,L
127,121.,Mike Donlin (30),33,1908,L
128,121.,Vern Duncan (25),33,1915,L
129,121.,Dick Egan (26),33,1910,R
130,121.,Mule Haas (26),33,1930,L
131,121.,Dummy Hoy (34),33,1896,L
132,121.,Travis Jackson+ (24),33,1928,R
133,121.,Tom Jones (36),33,1910,R
134,121.,Willie Keeler+ (37),33,1909,L
135,121.,Duffy Lewis (29),33,1917,R
136,121.,Hi Myers (31),33,1920,R
137,121.,Roger Peckinpaugh (24),33,1915,R
138,121.,Roger Peckinpaugh (30),33,1921,R
139,121.,Babe Pinelli (28),33,1924,R
140,121.,Wally Pipp (28),33,1921,L
141,121.,Topper Rigney (26),33,1923,R
142,121.,Edd Roush+ (25),33,1918,L
143,121.,Cy Seymour (35),33,1908,L
144,121.,Bill Sweeney (26),33,1912,R
145,121.,Zeb Terry (29),33,1920,R
146,121.,Terry Turner (32),33,1913,R
147,121.,Buck Weaver (28),33,1919,B
148,149.,Doc Casey (37),32,1907,B
149,149.,Joe Evans (22),32,1917,R
150,149.,Felix Fermin (25),32,1989,R
151,149.,Larry Gardner (25),32,1911,L
152,149.,Larry Gardner (34),32,1920,L
153,149.,Wally Gerber (30),32,1922,R
154,149.,Solly Hofman (26),32,1909,R
155,149.,Willie Kamm (24),32,1924,R
156,149.,Hans Lobert (26),32,1908,R
157,149.,Stuffy McInnis (27),32,1918,R
158,149.,Del Pratt (27),32,1915,R
159,149.,Billy Purtell (24),32,1910,R
160,149.,Howie Shanks (28),32,1919,R
161,149.,Harry Steinfeldt (32),32,1908,R
162,149.,Ossie Vitt (26),32,1916,R
163,149.,Aaron Ward (25),32,1922,R
164,149.,Jimmy Welsh (23),32,1926,L
165,166.,Jack Barry (27),31,1914,R
166,166.,Les Bell (24),31,1926,R
167,166.,Lena Blackburne (27),31,1914,R
168,166.,Jake Daubert (26),31,1910,L
169,166.,Jake Daubert (38),31,1922,L
170,166.,Johnny Evers+ (32),31,1914,L
171,166.,Larry Gardner (33),31,1919,L
172,166.,Larry Gardner (35),31,1921,L
173,166.,Kid Gleason (39),31,1906,B
174,166.,Eddie Grant (26),31,1909,L
175,166.,Heinie Groh (25),31,1915,R
176,166.,John Hummel (26),31,1909,R
177,166.,Bill Hunnefield (27),31,1926,B
178,166.,Frank Isbell (30),31,1906,L
179,166.,Tom Jones (33),31,1907,R
180,166.,Doc Lavan (29),31,1920,R
181,166.,Duffy Lewis (24),31,1912,R
182,166.,Johnny Logan (30),31,1956,R
183,166.,Harry Lord (29),31,1911,L
184,166.,Freddie Maguire (32),31,1931,R
185,166.,Roy McMillan (24),31,1954,R
186,166.,Mike Mowrey (32),31,1916,R
187,166.,Greasy Neale (27),31,1919,L
188,166.,Simon Nicholls (25),31,1908,L
189,166.,Topper Rigney (27),31,1924,R
190,166.,Claude Ritchey (24),31,1898,B
191,166.,Frank Schulte (23),31,1906,L
192,166.,Frank Schulte (28),31,1911,L
193,166.,Hank Severeid (33),31,1924,R
194,166.,Jimmy Sheckard (31),31,1910,L
195,166.,Harry Steinfeldt (33),31,1909,R
196,166.,Harry Steinfeldt (34),31,1910,R
197,166.,George Stovall (30),31,1908,R
198,166.,John Titus (32),31,1908,L
199,166.,Phil Todt (26),31,1928,L
200,166.,Ossie Vitt (27),31,1917,R
201,166.,Al Wickland (27),31,1915,L
202,166.,Steve Yerkes (23),31,1911,R
203,166.,Ralph Young (28),31,1917,B
204,205.,Jimmy Austin (29),30,1909,B
205,205.,Jack Barry (28),30,1915,R
206,205.,Dick Bartell (23),30,1931,R
207,205.,Harry Bay (27),30,1905,L
208,205.,Jay Bell (25),30,1991,R
209,205.,Donie Bush (22),30,1910,B
210,205.,Donie Bush (23),30,1911,B
211,205.,Max Carey+ (31),30,1921,B
212,205.,George Davis+ (37),30,1908,B
213,205.,Dick Egan (25),30,1909,R
214,205.,Frank Ellerbe (25),30,1921,R
215,205.,Hobe Ferris (33),30,1908,R
216,205.,Mule Haas (29),30,1933,L
217,205.,Bucky Harris+ (30),30,1927,R
218,205.,Buck Herzog (25),30,1911,R
219,205.,Solly Hofman (27),30,1910,R
220,205.,Fielder Jones (34),30,1906,L
221,205.,Tom Jones (35),30,1909,R
222,205.,Nap Lajoie+ (33),30,1908,R
223,205.,Harry Lord (27),30,1909,L
224,205.,Tom McCreery (22),30,1897,B
225,205.,Dan McGann (31),30,1903,B
226,205.,Fritz Mollwitz (28),30,1918,R
227,205.,Ivy Olson (26),30,1912,R
228,205.,Dode Paskert (29),30,1911,R
229,205.,Wally Pipp (26),30,1919,L
230,205.,Edd Roush+ (33),30,1926,L
231,205.,Everett Scott (23),30,1916,R
232,205.,Howie Shanks (23),30,1914,R
233,205.,Curt Walker (29),30,1926,L
234,205.,Bill Wambsganss (22),30,1916,R
235,205.,Possum Whitted (26),30,1916,R
236,237.,Bud Clancy (27),29,1928,L
237,237.,Fred Clarke+ (37),29,1910,L
238,237.,Eddie Collins+ (25),29,1912,L
239,237.,George Cutshaw (29),29,1916,R
240,237.,George Cutshaw (31),29,1918,R
241,237.,Charlie Deal (25),29,1917,R
242,237.,Dick Egan (28),29,1912,R
243,237.,Bones Ely (36),29,1899,R
244,237.,Bill Hallman (34),29,1901,R
245,237.,Dick Hoblitzell (20),29,1909,L
246,237.,Ducky Holmes (36),29,1905,L
247,237.,Bob Jones (32),29,1922,L
248,237.,Bob Jones (33),29,1923,L
249,237.,Red Killefer (25),29,1910,R
250,237.,Tommy Leach (29),29,1907,R
251,237.,Duffy Lewis (25),29,1913,R
252,237.,Bris Lord (22),29,1906,R
253,237.,Harry Lord (30),29,1912,L
254,237.,Sherry Magee (27),29,1912,R
255,237.,Stuffy McInnis (21),29,1912,R
256,237.,Stuffy McInnis (23),29,1914,R
257,237.,Dots Miller (22),29,1909,R
258,237.,Charley O'Leary (29),29,1905,R
259,237.,Frank O'Rourke (33),29,1925,R
260,237.,Muddy Ruel (28),29,1924,R
261,237.,Germany Schaefer (29),29,1905,R
262,237.,Spike Shannon (29),29,1904,L
263,237.,Earl Sheely (29),29,1922,R
264,237.,Lee Tannehill (28),29,1909,R
265,237.,Fred Tenney (30),29,1902,L
266,237.,Joe Tinker+ (24),29,1905,R
267,237.,Joe Tinker+ (27),29,1908,R
268,237.,Aaron Ward (24),29,1921,R
269,270.,Jack Barry (22),28,1909,R
270,270.,Jack Barry (26),28,1913,R
271,270.,Jack Barry (29),28,1916,R
272,270.,Lena Blackburne (32),28,1919,R
273,270.,Eddie Collins+ (27),28,1914,L
274,270.,Eddie Collins+ (37),28,1924,L
275,270.,Shano Collins (27),28,1913,R
276,270.,Art Devlin (30),28,1910,R
277,270.,Pat Duncan (29),28,1923,R
278,270.,Vern Duncan (24),28,1914,L
279,270.,Bones Ely (33),28,1896,R
280,270.,Wally Gerber (27),28,1919,R
281,270.,Wally Gerber (31),28,1923,R
282,270.,Charlie Grimm (29),28,1928,L
283,270.,Sammy Hale (30),28,1927,R
284,270.,Fred Haney (30),28,1926,R
285,270.,Arnold Hauser (22),28,1911,R
286,270.,Dick Hoblitzell (26),28,1915,L
287,270.,Solly Hofman (25),28,1908,R
288,270.,Joe Hoover (28),28,1943,R
289,270.,Miller Huggins+ (30),28,1908,B
290,270.,Frank Isbell (29),28,1905,L
291,270.,Hughie Jennings+ (26),28,1895,R
292,270.,Jimmy Johnston (30),28,1920,R
293,270.,Fielder Jones (36),28,1908,L
294,270.,Joe Judge (24),28,1918,L
295,270.,Willie Kamm (28),28,1928,R
296,270.,Marty Krug (33),28,1922,R
297,270.,Duffy Lewis (27),28,1915,R
298,270.,Freddie Lindstrom+ (20),28,1926,R
299,270.,Heinie Manush+ (24),28,1926,L
300,270.,Marty Marion (24),28,1941,R
301,270.,Eddie Mayo (34),28,1944,L
302,270.,Matty McIntyre (24),28,1904,L
303,270.,Dots Miller (24),28,1911,R
304,270.,Ward Miller (31),28,1916,L
305,270.,George Moriarty (25),28,1911,R
306,270.,Eddie Mulligan (27),28,1922,R
307,270.,Frank O'Rourke (37),28,1929,R
308,270.,Freddy Parent (28),28,1904,R
309,270.,Dode Paskert (33),28,1915,R
310,270.,Billy Purtell (23),28,1909,R
311,270.,Morrie Rath (32),28,1920,L
312,270.,Jackie Robinson+ (28),28,1947,R
313,270.,Claude Rossman (26),28,1907,L
314,270.,Heinie Sand (29),28,1927,R
315,270.,Everett Scott (29),28,1922,R
316,270.,Earl Sheely (31),28,1924,R
317,270.,Ozzie Smith+ (23),28,1978,B
318,270.,Tris Speaker+ (38),28,1926,L
319,270.,Milt Stock (23),28,1917,R
320,270.,Milt Stock (26),28,1920,R
321,270.,George Stovall (32),28,1910,R
322,270.,Jackie Tavener (28),28,1926,L
323,270.,Bobby Veach (36),28,1924,L
324,270.,Jimmy Welsh (24),28,1927,L
325,270.,Possum Whitted (25),28,1915,R
326,270.,Possum Whitted (27),28,1917,R
327,328.,Bill Abstein (26),27,1909,R
328,328.,Jack Barry (24),27,1911,R
329,328.,Ossie Bluege (29),27,1930,R
330,328.,Bill Bradley (26),27,1904,R
331,328.,Donie Bush (28),27,1916,B
332,328.,Ty Cobb+ (35),27,1922,L
333,328.,Eddie Collins+ (35),27,1922,L
334,328.,Bill Dahlen (26),27,1896,R
335,328.,Jake Daubert (36),27,1920,L
336,328.,Jiggs Donahue (25),27,1905,L
337,328.,Pat Duncan (26),27,1920,R
338,328.,Jimmy Dykes (23),27,1920,R
339,328.,Chick Gandil (28),27,1916,R
340,328.,Bob Ganley (32),27,1907,L
341,328.,Charlie Gehringer+ (23),27,1926,L
342,328.,Mule Haas (28),27,1932,L
343,328.,Fred Haney (27),27,1923,R
344,328.,Bucky Harris+ (24),27,1921,R
345,328.,Bucky Harris+ (29),27,1926,R
346,328.,George Hausmann (28),27,1944,R
347,328.,Dick Hoblitzell (25),27,1914,L
348,328.,Miller Huggins+ (29),27,1907,B
349,328.,Sonny Jackson (21),27,1966,L
350,328.,Doc Johnston (33),27,1921,L
351,328.,Willie Keeler+ (31),27,1903,L
352,328.,Willie Keeler+ (32),27,1904,L
353,328.,Joe Kelley+ (34),27,1906,R
354,328.,Otto Knabe (30),27,1914,R
355,328.,Tommy Leach (30),27,1908,R
356,328.,Tommy Leach (31),27,1909,R
357,328.,Duffy Lewis (22),27,1910,R
358,328.,Carl Lind (24),27,1928,R
359,328.,Hans Lobert (25),27,1907,R
360,328.,Lee Magee (29),27,1918,B
361,328.,Sherry Magee (24),27,1909,R
362,328.,Rabbit Maranville+ (22),27,1914,R
363,328.,George McBride (28),27,1909,R
364,328.,Jack McCarthy (30),27,1899,L
365,328.,Stuffy McInnis (31),27,1922,R
366,328.,Bing Miller (31),27,1926,R
367,328.,Danny Murphy (34),27,1911,R
368,328.,Hap Myers (28),27,1915,R
369,328.,Hi Myers (33),27,1922,R
370,328.,Rebel Oakes (31),27,1915,L
371,328.,Wally Pipp (29),27,1922,L
372,328.,Del Pratt (32),27,1920,R
373,328.,Frank Schulte (26),27,1909,L
374,328.,Frank Schulte (27),27,1910,L
375,328.,Frank Schulte (32),27,1915,L
376,328.,Howie Shanks (26),27,1917,R
377,328.,Jimmy Slagle (26),27,1900,L
378,328.,Red Smith (24),27,1914,R
379,328.,Homer Summa (28),27,1927,L
380,328.,Fred Tenney (25),27,1897,L
381,328.,Terry Turner (35),27,1916,R
382,328.,Bobby Veach (33),27,1921,L
383,328.,Honus Wagner+ (35),27,1909,R
384,328.,Curt Walker (30),27,1927,L
385,328.,Bill Wambsganss (23),27,1917,R
386,328.,Bill Wambsganss (29),27,1923,R
387,328.,Buck Weaver (29),27,1920,B
388,328.,Al Wickland (26),27,1914,L
389,390.,Whitey Alpermann (26),26,1906,R
390,390.,Jimmy Austin (32),26,1912,B
391,390.,Jimmy Austin (37),26,1917,B
392,390.,Walter Barbare (29),26,1921,R
393,390.,Bill Barrett (27),26,1927,R
394,390.,Jim Bottomley+ (27),26,1927,L
395,390.,Jimmy Brown (27),26,1937,B
396,390.,Ray Chapman (24),26,1915,R
397,390.,Mickey Cochrane+ (23),26,1926,L
398,390.,Eddie Collins+ (26),26,1913,L
399,390.,Ernie Courtney (30),26,1905,L
400,390.,Monte Cross (29),26,1899,R
401,390.,Jake Daubert (27),26,1911,L
402,390.,Gene DeMontreville (29),26,1902,R
403,390.,John Dobbs (27),26,1902,L
404,390.,Patsy Donovan (29),26,1894,L
405,390.,Mickey Doolin (34),26,1914,R
406,390.,Larry Doyle (30),26,1917,L
407,390.,Tim Foli (31),26,1982,R
408,390.,Frankie Frisch+ (23),26,1921,B
409,390.,Frankie Frisch+ (29),26,1927,B
410,390.,Larry Gardner (29),26,1915,L
411,390.,Billy Gilbert (27),26,1903,R
412,390.,John Gochnaur (27),26,1903,R
413,390.,Charlie Grimm (27),26,1926,L
414,390.,Charlie Grimm (28),26,1927,L
415,390.,Harry Heilmann+ (29),26,1924,R
416,390.,Dick Hoblitzell (23),26,1912,L
417,390.,Walter Holke (26),26,1919,B
418,390.,Charlie Hollocher (22),26,1918,L
419,390.,Charlie Hollocher (25),26,1921,L
420,390.,Rogers Hornsby+ (31),26,1927,R
421,390.,Baby Doll Jacobson (35),26,1926,R
422,390.,Ernie Johnson (34),26,1922,L
423,390.,Bob Jones (31),26,1921,L
424,390.,John Kane (25),26,1908,R
425,390.,Willie Keeler+ (35),26,1907,L
426,390.,John Kerr (30),26,1929,R
427,390.,Red Kress (23),26,1928,R
428,390.,Duffy Lewis (31),26,1919,R
429,390.,Hans Lobert (31),26,1913,R
430,390.,Lee Magee (30),26,1919,B
431,390.,Freddie Maguire (30),26,1929,R
432,390.,Les Mann (25),26,1918,R
433,390.,George McBride (29),26,1910,R
434,390.,Stuffy McInnis (25),26,1916,R
435,390.,Stuffy McInnis (28),26,1919,R
436,390.,Ward Miller (30),26,1915,L
437,390.,Buddy Myer (24),26,1928,L
438,390.,Hap Myers (26),26,1913,R
439,390.,Charley O'Leary (30),26,1906,R
440,390.,Rebel Oakes (29),26,1913,L
441,390.,Rube Oldring (27),26,1911,R
442,390.,Freddy Parent (33),26,1909,R
443,390.,Del Pratt (36),26,1924,R
444,390.,Johnny Rawlings (22),26,1915,R
445,390.,Johnny Rawlings (27),26,1920,R
446,390.,Topper Rigney (29),26,1926,R
447,390.,Phil Rizzuto+ (33),26,1951,R
448,390.,Edd Roush+ (27),26,1920,L
449,390.,Everett Scott (21),26,1914,R
450,390.,Everett Scott (25),26,1918,R
451,390.,Luke Sewell (25),26,1926,R
452,390.,Socks Seybold (36),26,1907,R
453,390.,Tommy Sheehan (30),26,1908,R
454,390.,Earl Sheely (30),26,1923,R
455,390.,Earl Sheely (32),26,1925,R
456,390.,Bill Shipke (25),26,1908,R
457,390.,Fred Snodgrass (23),26,1911,R
458,390.,Milt Stock (28),26,1922,R
459,390.,Denny Sullivan (24),26,1907,L
460,390.,Tommy Thevenow (26),26,1930,R
461,390.,Pie Traynor+ (27),26,1926,R
462,390.,Ossie Vitt (30),26,1920,R
463,390.,Bill Wambsganss (25),26,1919,R
464,390.,Possum Whitted (31),26,1921,R
465,390.,Cy Williams (29),26,1917,L
466,390.,Ken Williams (30),26,1920,L
467,468.,Ed Abbaticchio (31),25,1908,R
468,468.,Jimmy Austin (30),25,1910,B
469,468.,Home Run Baker+ (25),25,1911,L
470,468.,Jack Barry (25),25,1912,R
471,468.,Shad Barry (26),25,1905,R
472,468.,Harry Bay (25),25,1903,L
473,468.,Les Bell (26),25,1928,R
474,468.,George Browne (30),25,1906,L
475,468.,Bert Campaneris (36),25,1978,R
476,468.,Max Carey+ (21),25,1911,B
477,468.,Hal Chase (29),25,1912,R
478,468.,Sam Crawford+ (23),25,1903,L
479,468.,Sam Crawford+ (29),25,1909,L
480,468.,Jake Daubert (33),25,1917,L
481,468.,Klondike Douglass (26),25,1898,L
482,468.,Larry Doyle (21),25,1908,L
483,468.,Chuck Dressen (32),25,1927,R
484,468.,Joe Dugan (27),25,1924,R
485,468.,Hod Ford (24),25,1922,R
486,468.,Lonny Frey (28),25,1939,L
487,468.,Bucky Harris+ (26),25,1923,R
488,468.,Harry Heilmann+ (31),25,1926,R
489,468.,Rogers Hornsby+ (32),25,1928,R
490,468.,Doc Johnston (32),25,1920,L
491,468.,Willie Kamm (27),25,1927,R
492,468.,Willie Keeler+ (30),25,1902,L
493,468.,Ed Konetchy (22),25,1908,R
494,468.,Ed Konetchy (28),25,1914,R
495,468.,Chris Lindsay (27),25,1906,R
496,468.,Freddie Lindstrom+ (27),25,1933,R
497,468.,Herman Long (33),25,1899,L
498,468.,Billy Lush (30),25,1904,B
499,468.,Rube Lutzke (28),25,1926,R
500,468.,Lee Magee (23),25,1912,B
501,468.,Billy Maloney (29),25,1907,L
502,468.,Pinky May (28),25,1939,R
503,468.,Stuffy McInnis (22),25,1913,R
504,468.,Bill McKechnie+ (24),25,1911,B
505,468.,Marty McManus (21),25,1921,R
506,468.,Clyde Milan (33),25,1920,L
507,468.,Dots Miller (23),25,1910,R
508,468.,Dots Miller (26),25,1913,R
509,468.,George Moriarty (28),25,1914,R
510,468.,Bert Niehoff (32),25,1916,R
511,468.,Frank O'Rourke (36),25,1928,R
512,468.,Jose Offerman (24),25,1993,B
513,468.,Ivy Olson (25),25,1911,R
514,468.,Roger Peckinpaugh (27),25,1918,R
515,468.,Ollie Pickering (33),25,1903,L
516,468.,Swede Risberg (22),25,1917,R
517,468.,Claude Ritchey (32),25,1906,B
518,468.,Phil Rizzuto+ (31),25,1949,R
519,468.,Frank Schulte (25),25,1908,L
520,468.,Joe Sewell+ (29),25,1928,L
521,468.,Howie Shanks (25),25,1916,R
522,468.,Ted Sizemore (28),25,1973,R
523,468.,Roy Smalley (23),25,1976,B
524,468.,Harry Steinfeldt (30),25,1906,R
525,468.,Harry Steinfeldt (31),25,1907,R
526,468.,Amos Strunk (23),25,1912,L
527,468.,Amos Strunk (28),25,1917,L
528,468.,Homer Summa (24),25,1923,L
529,468.,Jackie Tavener (27),25,1925,L
530,468.,Phil Todt (27),25,1929,L
531,468.,Bobby Veach (29),25,1917,L
532,468.,Curt Walker (31),25,1928,L
533,468.,Rob Wilfong (25),25,1979,L
534,468.,Steve Yerkes (24),25,1912,R
535,468.,Steve Yerkes (25),25,1913,R
