,Rank,Player (age that year),Errors Committed,Year,Throws
478,467.,Rudy Hulswitt (27),56,1904,R
479,467.,Hughie Jennings+ (26),56,1895,R
480,467.,George McBride (30),56,1911,R
481,467.,Tim Murnane (25),56,1876,R
482,467.,Ivy Olson (35),56,1921,R
483,467.,Tommy Thevenow (26),56,1930,R
484,467.,Joe Tinker+ (24),56,1905,R
485,467.,Frank Truesdale (26),56,1910,R
486,467.,Glenn Wright (24),56,1925,R
487,488.,Luke Appling+ (26),55,1933,R
488,488.,Jack Barry (25),55,1912,R
489,488.,Joe Battin (23),55,1877,R
490,488.,George Bradley (27),55,1880,R
491,488.,Al Bridwell (24),55,1908,R
492,488.,Bill Cissell (25),55,1929,R
493,488.,Billy Clingman (29),55,1899,R
494,488.,Billy Clingman (31),55,1901,R
495,488.,Tommy Corcoran (30),55,1899,R
496,488.,Bill Dahlen (30),55,1900,R
497,488.,George Davis+ (27),55,1898,R
498,488.,Bob Ferguson (36),55,1881,R
499,488.,Joe Gerhardt (24),55,1879,R
