,Rank,Player (age that year),Fielding % as P,Year,Throws
39,1.,Pedro Astacio (29),1.0000,1998,R
40,1.,Pedro Astacio (31),1.0000,2000,R
41,1.,Jerry Augustine (25),1.0000,1978,L
42,1.,Elden Auker (24),1.0000,1935,R
43,1.,Elden Auker (30),1.0000,1941,R
44,1.,Steve Avery (23),1.0000,1993,L
45,1.,Roger Bailey (26),1.0000,1997,R
46,1.,Scott Baker (27),1.0000,2009,R
47,1.,Scott Bankhead (25),1.0000,1989,R
48,1.,Brian Bannister (26),1.0000,2007,R
49,1.,Floyd Bannister (24),1.0000,1979,L
50,1.,Floyd Bannister (26),1.0000,1981,L
51,1.,Len Barker (24),1.0000,1980,R
52,1.,Jesse Barnes (28),1.0000,1921,R
53,1.,Jesse Barnes (31),1.0000,1924,R
54,1.,Dick Barrett (37),1.0000,1944,R
55,1.,Francisco Barrios (25),1.0000,1978,R
56,1.,Jim Barr (25),1.0000,1973,R
57,1.,Jim Barr (31),1.0000,1979,R
58,1.,Trevor Bauer (25),1.0000,2016,R
59,1.,Trevor Bauer (27),1.0000,2018,R
60,1.,Trevor Bauer (28),1.0000,2019,R
61,1.,Trevor Bauer (29),1.0000,2020,R
62,1.,Jim Beattie (25),1.0000,1980,R
63,1.,Jim Beattie (29),1.0000,1984,R
64,1.,Josh Beckett (26),1.0000,2006,R
65,1.,Bill Beckmann (31),1.0000,1939,R
66,1.,Erik Bedard (28),1.0000,2007,L
67,1.,Tim Belcher (26),1.0000,1988,R
68,1.,Tim Belcher (35),1.0000,1997,R
69,1.,Matt Belisle (27),1.0000,2007,R
70,1.,Eric Bell (23),1.0000,1987,L
71,1.,Gary Bell (21),1.0000,1958,R
72,1.,Chief Bender+ (27),1.0000,1911,R
73,1.,Andy Benes (23),1.0000,1991,R
74,1.,Andy Benes (26),1.0000,1994,R
75,1.,Andy Benes (30),1.0000,1998,R
76,1.,Andy Benes (32),1.0000,2000,R
77,1.,Ray Benge (31),1.0000,1933,R
78,1.,Kris Benson (30),1.0000,2005,R
79,1.,Larry Benton (28),1.0000,1926,R
80,1.,Rube Benton (26),1.0000,1916,L
81,1.,Rube Benton (29),1.0000,1919,L
82,1.,Jason Bere (29),1.0000,2000,R
83,1.,Bruce Berenyi (26),1.0000,1981,R
84,1.,Bruce Berenyi (29),1.0000,1984,R
85,1.,Brad Bergesen (24),1.0000,2010,R
86,1.,Jose Berrios (26),1.0000,2020,R
87,1.,Huck Betts (35),1.0000,1932,R
88,1.,Bill Bevens (30),1.0000,1947,R
89,1.,Shane Bieber (24),1.0000,2019,R
90,1.,Mike Bielecki (31),1.0000,1991,R
91,1.,Jack Billingham (32),1.0000,1975,R
92,1.,Doug Bird (31),1.0000,1981,R
93,1.,Doug Bird (32),1.0000,1982,R
94,1.,Charlie Bishop (29),1.0000,1953,R
95,1.,Bud Black (34),1.0000,1991,L
96,1.,Bud Black (35),1.0000,1992,L
97,1.,Dave Black (21),1.0000,1915,L
98,1.,Don Black (26),1.0000,1943,R
99,1.,Nick Blackburn (26),1.0000,2008,R
100,1.,Ted Blankenship (25),1.0000,1926,R
101,1.,Joe Blanton (26),1.0000,2007,R
102,1.,Joe Blanton (28),1.0000,2009,R
103,1.,Wade Blasingame (21),1.0000,1965,L
104,1.,Steve Blass (26),1.0000,1968,R
105,1.,Vida Blue (21),1.0000,1971,L
106,1.,Vida Blue (23),1.0000,1973,L
107,1.,Vida Blue (28),1.0000,1978,L
108,1.,Bert Blyleven+ (25),1.0000,1976,R
109,1.,Bert Blyleven+ (28),1.0000,1979,R
110,1.,Bert Blyleven+ (34),1.0000,1985,R
111,1.,Bert Blyleven+ (35),1.0000,1986,R
112,1.,Bert Blyleven+ (38),1.0000,1989,R
113,1.,Tommy Boggs (24),1.0000,1980,R
114,1.,Bobby Bolin (26),1.0000,1965,R
115,1.,Ricky Bones (26),1.0000,1995,R
116,1.,Tiny Bonham (28),1.0000,1942,R
117,1.,Tiny Bonham (29),1.0000,1943,R
118,1.,Tiny Bonham (31),1.0000,1945,R
119,1.,Hank Borowy (29),1.0000,1945,R
120,1.,Hank Borowy (33),1.0000,1949,R
121,1.,Chris Bosio (29),1.0000,1992,R
122,1.,Chris Bosio (31),1.0000,1994,R
123,1.,Dick Bosman (26),1.0000,1970,R
124,1.,Dave Boswell (22),1.0000,1967,R
125,1.,Kent Bottenfield (30),1.0000,1999,R
126,1.,Joe Bowman (29),1.0000,1939,R
127,1.,Matthew Boyd (29),1.0000,2020,L
128,1.,Oil Can Boyd (31),1.0000,1991,R
129,1.,Ralph Branca (25),1.0000,1951,R
130,1.,Ed Brandt (23),1.0000,1928,L
131,1.,Al Brazle (34),1.0000,1948,L
132,1.,Harry Brecheen (29),1.0000,1944,L
133,1.,Harry Brecheen (33),1.0000,1948,L
134,1.,Harry Brecheen (35),1.0000,1950,L
135,1.,Ken Brett (24),1.0000,1973,L
136,1.,Ken Brett (25),1.0000,1974,L
137,1.,Tommy Bridges (36),1.0000,1943,R
138,1.,Buttons Briggs (28),1.0000,1904,R
139,1.,Nelson Briles (32),1.0000,1976,R
140,1.,Lou Brissie (24),1.0000,1948,L
141,1.,Lou Brissie (25),1.0000,1949,L
142,1.,Johnny Broaca (26),1.0000,1936,R
143,1.,Pete Broberg (28),1.0000,1978,R
144,1.,Ernie Broglio (23),1.0000,1959,R
145,1.,Bob Brown (21),1.0000,1932,R
146,1.,Buster Brown (30),1.0000,1912,R
147,1.,Clint Brown (27),1.0000,1931,R
148,1.,Clint Brown (29),1.0000,1933,R
149,1.,Hal Brown (36),1.0000,1961,R
150,1.,Lloyd Brown (24),1.0000,1929,L
151,1.,Mace Brown (27),1.0000,1936,R
152,1.,Mordecai Brown+ (31),1.0000,1908,R
153,1.,Tom Browning (29),1.0000,1989,L
154,1.,Walker Buehler (24),1.0000,2019,R
155,1.,Mark Buehrle (24),1.0000,2003,L
156,1.,Mark Buehrle (29),1.0000,2008,L
157,1.,Mark Buehrle (31),1.0000,2010,L
158,1.,Mark Buehrle (33),1.0000,2012,L
159,1.,Bob Buhl (34),1.0000,1963,R
160,1.,Bob Buhl (35),1.0000,1964,R
161,1.,Jim Bullinger (29),1.0000,1995,R
162,1.,Madison Bumgarner (26),1.0000,2016,L
163,1.,Dylan Bundy (27),1.0000,2020,R
164,1.,Jim Bunning+ (25),1.0000,1957,R
165,1.,Jim Bunning+ (26),1.0000,1958,R
166,1.,Jim Bunning+ (28),1.0000,1960,R
167,1.,Jim Bunning+ (30),1.0000,1962,R
168,1.,Dave Burba (33),1.0000,2000,R
169,1.,John Burkett (28),1.0000,1993,R
170,1.,John Burkett (30),1.0000,1995,R
171,1.,John Burkett (36),1.0000,2001,R
172,1.,Ray Burris (33),1.0000,1984,R
173,1.,Guy Bush (33),1.0000,1935,R
174,1.,Guy Bush (35),1.0000,1937,R
175,1.,Bullet Joe Bush (29),1.0000,1922,R
176,1.,Bullet Joe Bush (32),1.0000,1925,R
177,1.,Max Butcher (28),1.0000,1939,R
178,1.,Max Butcher (30),1.0000,1941,R
179,1.,Paul Byrd (36),1.0000,2007,R
180,1.,Tommy Byrne (30),1.0000,1950,L
181,1.,Leon Cadore (29),1.0000,1921,R
182,1.,Matt Cain (22),1.0000,2007,R
183,1.,Matt Cain (23),1.0000,2008,R
184,1.,Matt Cain (24),1.0000,2009,R
185,1.,Mike Caldwell (25),1.0000,1974,L
186,1.,Mike Caldwell (29),1.0000,1978,L
187,1.,Mike Caldwell (32),1.0000,1981,L
188,1.,Ray Caldwell (25),1.0000,1913,R
189,1.,Paul Calvert (31),1.0000,1949,R
190,1.,John Candelaria (22),1.0000,1976,L
191,1.,John Candelaria (24),1.0000,1978,L
192,1.,John Candelaria (25),1.0000,1979,L
193,1.,John Candelaria (29),1.0000,1983,L
194,1.,John Candelaria (30),1.0000,1984,L
195,1.,Milo Candini (25),1.0000,1943,R
196,1.,Tom Candiotti (36),1.0000,1994,R
