,Rank,Player (age that year),Range Factor/9Inn as 3B,Year,Throws
45,46.,Jiggs Parrott (21),4.054,1893,
46,46.,Harry Steinfeldt (26),4.054,1902,R
47,48.,Wayne Causey (24),4.051,1961,R
48,49.,Jerry Denny (23),4.050,1882,R
49,50.,Duke Farrell (24),4.049,1891,R
50,51.,Jimmy Williams (23),4.048,1900,R
51,52.,Joe Battin (23),4.037,1877,R
52,53.,Harlond Clift (24),4.035,1937,R
53,54.,Jimmy Williams (22),4.031,1899,R
54,55.,George Davis+ (25),4.028,1896,R
55,56.,Billy Clingman (28),4.026,1898,R
56,57.,Charlie Irwin (29),4.020,1898,R
57,57.,Deacon White+ (42),4.020,1890,R
58,59.,Jimmy Collins+ (29),4.013,1899,R
59,60.,Billy Shindle (32),4.007,1893,R
60,61.,Lave Cross (32),4.002,1898,R
61,62.,Billy Nash (25),4.001,1890,R
62,63.,Jerry Denny (30),3.999,1889,R
63,64.,Denny Lyons (27),3.994,1893,R
64,65.,Frank Hankinson (22),3.992,1878,R
65,65.,Billy Shindle (30),3.992,1891,R
66,67.,Billy Nash (19),3.989,1884,R
67,68.,Frank Ellerbe (26),3.982,1922,R
68,69.,Billy Nash (22),3.981,1887,R
69,69.,Charlie Reilly (26),3.981,1893,R
70,71.,Aaron Ward (23),3.979,1920,R
71,72.,Rube Lutzke (25),3.973,1923,R
72,73.,Jimmy Austin (31),3.970,1911,R
73,74.,Jimmy Collins+ (31),3.950,1901,R
74,75.,Jimmy Collins+ (27),3.943,1897,R
75,76.,Bill Dahlen (21),3.941,1891,R
76,77.,Suter Sullivan (26),3.938,1899,
77,77.,Ned Williamson (21),3.938,1879,R
78,79.,Denny Lyons (23),3.937,1889,R
79,80.,Lave Cross (35),3.930,1901,R
80,81.,Lave Cross (34),3.928,1900,R
81,82.,Pinky May (30),3.921,1941,R
82,83.,Ossie Vitt (26),3.919,1916,R
83,84.,Jimmy Austin (29),3.916,1909,R
84,85.,Arlie Latham (29),3.909,1889,R
85,86.,Bill Coughlin (22),3.907,1901,R
86,87.,Charlie Reilly (30),3.904,1897,R
87,88.,Jimmy Knowles (33),3.900,1890,
88,88.,Bobby Wallace+ (24),3.900,1898,R
89,90.,Ned Williamson (25),3.899,1883,R
90,91.,Bill Bradley (23),3.892,1901,R
91,91.,Jack Gleason (27),3.892,1882,R
92,93.,Pete Gilbert (23),3.889,1891,R
93,93.,Ned Williamson (24),3.889,1882,R
94,95.,Arlie Latham (23),3.885,1883,R
95,96.,Dave Brain (27),3.883,1906,R
96,97.,Andy Carey (22),3.879,1954,R
97,98.,Bobby Byrne (22),3.871,1907,R
98,98.,Jimmy Collins+ (28),3.871,1898,R
99,100.,Doug Baird (26),3.868,1918,R
100,101.,Billy Nash (28),3.867,1893,R
101,102.,Bill Bradley (24),3.863,1902,R
102,103.,Buddy Bell (30),3.861,1982,R
103,103.,Tom Burns (30),3.861,1887,R
104,105.,Jimmy Austin (39),3.860,1919,R
105,105.,Bill Joyce (26),3.860,1894,R
106,107.,Jerry Denny (22),3.859,1881,R
107,108.,Harry Wolverton (28),3.857,1902,R
108,109.,Billy Nash (24),3.856,1889,R
109,110.,Marty McManus (26),3.843,1926,R
110,111.,Hick Carpenter (24),3.840,1880,L
111,112.,Joe Mulvey (25),3.827,1884,R
112,113.,Bobby Byrne (24),3.823,1909,R
113,114.,Hick Carpenter (25),3.822,1881,L
114,115.,Harry Schafer (29),3.817,1876,R
115,116.,Billy Clingman (25),3.814,1895,R
116,116.,Denny Lyons (28),3.814,1894,R
117,118.,Frank Hankinson (30),3.807,1886,R
118,118.,Ned Williamson (26),3.807,1884,R
119,120.,Tom Burns (32),3.806,1889,R
120,121.,Jimmy Burke (28),3.803,1903,R
121,122.,Clete Boyer (29),3.802,1966,R
122,122.,Ed Gremminger (29),3.802,1903,R
123,124.,Hick Carpenter (26),3.800,1882,L
124,124.,Frank Hankinson (25),3.800,1881,R
125,126.,Doc Casey (32),3.797,1902,R
126,126.,Eddie Foster (33),3.797,1920,R
127,128.,Jerry Denny (24),3.795,1883,R
128,129.,George Davis+ (24),3.792,1895,R
129,130.,Bob Jones (31),3.784,1921,R
130,131.,Clete Boyer (24),3.780,1961,R
131,131.,Charlie Irwin (27),3.780,1896,R
132,133.,Bill Kuehne (31),3.779,1890,R
133,134.,Roy Hartzell (28),3.776,1910,R
134,135.,Wid Conroy (31),3.773,1908,R
135,135.,Bob Jones (32),3.773,1922,R
136,137.,Charlie Reilly (24),3.772,1891,R
137,138.,Jerry Denny (29),3.770,1888,R
138,139.,Hector Lopez (25),3.769,1955,R
139,140.,Jiggs Parrott (20),3.765,1892,
140,141.,Will Foley (20),3.761,1876,R
141,142.,Clete Boyer (25),3.755,1962,R
142,142.,Joe Mulvey (32),3.755,1891,R
143,144.,George Pinkney (28),3.748,1887,R
144,145.,Bill Sweeney (22),3.745,1908,R
145,146.,Jim Donnelly (21),3.744,1887,R
146,147.,Willie Kamm (30),3.743,1930,R
147,147.,Harry Raymond (27),3.743,1889,
148,149.,Sammy Strang (25),3.741,1902,R
149,150.,Frank O'Rourke (35),3.738,1927,R
150,151.,Buddy Bell (29),3.737,1981,R
151,152.,Jimmy Collins+ (32),3.735,1902,R
152,153.,Jimmy Austin (30),3.732,1910,R
153,154.,Billy Shindle (33),3.727,1894,R
154,155.,George Perring (30),3.726,1915,R
155,156.,Ned Williamson (22),3.725,1880,R
156,157.,Tommy Leach (25),3.724,1903,R
157,158.,George Davis+ (22),3.723,1893,R
158,159.,Art Whitney (23),3.718,1881,R
159,160.,Bob Ferguson (31),3.713,1876,R
160,160.,Tommy Leach (24),3.713,1902,R
161,160.,Sammy Strang (24),3.713,1901,R
162,163.,Al Halt (24),3.712,1915,R
163,164.,Pete Castiglione (30),3.707,1951,R
164,165.,Frank Ellerbe (25),3.704,1921,R
165,165.,Marty McManus (31),3.704,1931,R
166,167.,John Irwin (28),3.702,1890,R
167,168.,Bob Jones (33),3.695,1923,R
168,169.,Bobby Byrne (23),3.694,1908,R
169,169.,Red Smith (24),3.694,1914,R
170,171.,Clete Boyer (23),3.693,1960,R
171,172.,Don Hoak (27),3.692,1955,R
172,172.,Levi Meyerle (26),3.692,1876,R
173,174.,Ossie Vitt (29),3.691,1919,R
174,175.,Putsy Caballero (20),3.688,1948,R
175,176.,Harry Wolverton (26),3.687,1900,R
176,177.,Johnny Pesky (31),3.685,1950,R
177,178.,Eddie Kasko (29),3.681,1960,R
178,179.,Billy Nash (23),3.678,1888,R
179,180.,Harry Steinfeldt (27),3.677,1903,R
180,181.,Harry Wolverton (25),3.676,1899,R
181,182.,Terry Turner (33),3.674,1914,R
182,183.,Randy Jackson (25),3.670,1951,R
183,183.,Lee Tannehill (24),3.670,1905,R
184,185.,Home Run Baker+ (26),3.668,1912,R
185,185.,Billy Shindle (37),3.668,1898,R
186,187.,Ossie Bluege (26),3.667,1927,R
187,188.,Eric Soderholm (30),3.666,1979,R
188,189.,Barry McCormick (23),3.665,1898,R
189,190.,Graig Nettles (26),3.662,1971,R
190,191.,Jerry McCormick (21),3.661,1883,
191,192.,Jim Donnelly (20),3.659,1886,R
192,193.,Billy Nash (29),3.658,1894,R
193,194.,Ossie Bluege (22),3.656,1923,R
194,195.,George Kell+ (22),3.651,1945,R
195,196.,Art Devlin (26),3.650,1906,R
196,196.,Bill Kuehne (32),3.650,1891,R
197,196.,John McGraw+ (22),3.650,1895,R
198,199.,Doc Casey (31),3.646,1901,R
199,200.,Jimmy Austin (33),3.643,1913,R
200,201.,Billy Lauder (28),3.641,1902,R
201,201.,Charlie Pick (28),3.641,1916,R
202,203.,Bill Sweeney (23),3.638,1909,R
203,204.,Lave Cross (36),3.637,1902,R
204,205.,Vern Stephens (30),3.636,1951,R
205,206.,Hobe Ferris (33),3.635,1908,R
206,206.,John McGraw+ (26),3.635,1899,R
207,208.,Bill Joyce (27),3.633,1895,R
208,208.,Lee Tannehill (23),3.633,1904,R
209,210.,Jimmy Austin (32),3.630,1912,R
210,211.,Willie Kamm (26),3.629,1926,R
211,211.,Harry Steinfeldt (29),3.629,1905,R
212,213.,Home Run Baker+ (30),3.628,1916,R
213,214.,Art Scharein (27),3.627,1932,R
214,215.,Joe Farrell (26),3.626,1883,
215,216.,Doug Baird (25),3.623,1917,R
216,216.,Ed Gremminger (28),3.623,1902,R
217,216.,Mike Muldoon (24),3.623,1882,
218,216.,Ron Santo+ (27),3.623,1967,R
219,220.,Ken Keltner (24),3.621,1941,R
220,221.,Bill Kuehne (33),3.619,1892,R
221,222.,Jimmy Dykes (29),3.618,1926,R
222,222.,Frank Hankinson (31),3.618,1887,R
223,224.,Bill Joyce (28),3.613,1896,R
224,224.,George Pinkney (34),3.613,1893,R
225,224.,Art Whitney (33),3.613,1891,R
226,227.,Arlie Latham (30),3.611,1890,R
227,228.,Gil McDougald (25),3.608,1953,R
228,228.,Billy Werber (26),3.608,1934,R
229,230.,Doug Baird (27),3.607,1919,R
230,230.,Harlond Clift (30),3.607,1943,R
231,230.,Fred Hartman (33),3.607,1898,R
232,230.,Dario Lodigiani (25),3.607,1941,R
233,234.,Babe Pinelli (26),3.605,1922,R
234,234.,Ron Santo+ (26),3.605,1966,R
235,236.,Bernie Friberg (27),3.604,1927,R
236,237.,Héctor Rodríguez (32),3.603,1952,R
237,238.,Jerry Denny (31),3.602,1890,R
238,238.,John McGraw+ (27),3.602,1900,R
239,240.,Tommy Leach (23),3.600,1901,R
240,241.,Willie Kamm (27),3.599,1927,R
241,242.,Duke Farrell (25),3.597,1892,R
242,242.,Ken McMullen (27),3.597,1969,R
243,244.,Ray Bates (27),3.595,1917,R
244,244.,Larry Gardner (32),3.595,1918,R
245,244.,Howie Shanks (30),3.595,1921,R
246,247.,Art Scharein (28),3.593,1933,R
247,248.,Ken Keltner (27),3.591,1944,R
248,249.,Tom Burns (31),3.589,1888,R
249,249.,Darrell Evans (28),3.589,1975,R
250,249.,Eddie Yost (27),3.589,1954,R
251,252.,Billy Lauder (25),3.588,1899,R
252,253.,Art Devlin (29),3.586,1909,R
253,253.,Jerry Kenney (25),3.586,1970,R
254,253.,Arlie Latham (33),3.586,1893,R
255,253.,Yank Robinson (24),3.586,1884,R
256,257.,Tom Burns (29),3.582,1886,R
257,257.,Billy Nash (21),3.582,1886,R
258,257.,Bubba Phillips (29),3.582,1957,R
259,257.,Patsy Tebeau (24),3.582,1889,R
260,257.,Bobby Wallace+ (23),3.582,1897,R
261,257.,Harry Wolverton (29),3.582,1903,R
262,263.,Pie Traynor+ (26),3.580,1925,R
263,264.,Doug DeCinces (32),3.577,1983,R
264,264.,Sammy Hale (31),3.577,1928,R
265,266.,Billy Werber (27),3.574,1935,R
266,267.,Stan Hack (35),3.573,1945,R
267,267.,Lee Handley (31),3.573,1945,R
268,269.,Jim Delahanty (25),3.572,1904,R
269,270.,Jimmy Austin (34),3.570,1914,R
270,270.,Denny Lyons (21),3.570,1887,R
271,272.,Buddy Bell (26),3.568,1978,R
272,272.,Jerry Denny (26),3.568,1885,R
273,274.,Tommy Glaviano (26),3.567,1950,R
274,274.,Bill McKechnie+ (27),3.567,1914,R
275,274.,Joe Mulvey (30),3.567,1889,R
276,277.,Ken Boyer (27),3.566,1958,R
277,278.,Tim O'Rourke (26),3.563,1890,R
278,279.,Joe Battin (30),3.562,1884,R
279,279.,Fred Hartman (32),3.562,1897,R
280,279.,Pinky May (31),3.562,1942,R
281,279.,George Moriarty (24),3.562,1910,R
282,283.,Home Run Baker+ (32),3.561,1918,R
283,283.,Ralph Hodgin (29),3.561,1944,R
284,285.,Loren Babe (25),3.560,1953,R
285,285.,Home Run Baker+ (31),3.560,1917,R
286,285.,Frank Hankinson (29),3.560,1885,R
287,285.,Johnny Pesky (30),3.560,1949,R
288,289.,Hobe Ferris (34),3.559,1909,R
289,290.,Jim Donnelly (30),3.558,1896,R
290,291.,Jimmy Burke (26),3.557,1901,R
291,291.,Arlie Latham (32),3.557,1892,R
292,291.,Billy Shindle (34),3.557,1895,R
293,291.,Buck Weaver (25),3.557,1916,R
294,295.,Fred Haney (30),3.556,1926,R
295,295.,Pinky May (32),3.556,1943,R
296,297.,Charley Bassett (29),3.555,1892,R
297,298.,Fred Hartman (36),3.552,1901,R
298,299.,Ray Boone (30),3.551,1954,R
299,299.,Fred Warner (24),3.551,1879,
300,301.,Jerry Kenney (24),3.547,1969,R
301,302.,Lee Handley (32),3.546,1946,R
302,303.,Bob Elliott (32),3.545,1949,R
303,303.,Harry Raymond (28),3.545,1890,
304,305.,Tim Wallach (27),3.544,1985,R
305,306.,Bob Elliott (28),3.543,1945,R
306,306.,Jim Finigan (25),3.543,1954,R
307,308.,Cecil Travis (21),3.542,1935,R
308,309.,Arlie Latham (28),3.541,1888,R
309,310.,Bobby Adams (32),3.540,1954,R
310,310.,Eddie Yost (29),3.540,1956,R
311,312.,John Knight (21),3.538,1907,R
312,313.,Randy Jackson (30),3.535,1956,R
313,313.,George Moriarty (23),3.535,1909,R
314,315.,Gil McDougald (24),3.534,1952,R
315,316.,Hector Lopez (26),3.533,1956,R
316,317.,Jumbo Davis (25),3.532,1887,R
317,317.,Aurelio Rodriguez (27),3.532,1975,R
318,317.,Lee Tannehill (27),3.532,1908,R
319,320.,Jim Tabor (23),3.531,1940,R
320,321.,Willie Kamm (23),3.529,1923,R
321,321.,Hector Lopez (27),3.529,1957,R
322,321.,Babe Pinelli (28),3.529,1924,R
323,324.,Eddie Grant (25),3.525,1908,R
324,324.,Hank Majeski (34),3.525,1951,R
325,324.,Billy Werber (33),3.525,1941,R
326,327.,Bert Myers (22),3.523,1896,R
327,327.,Terry Turner (31),3.523,1912,R
328,329.,Red Smith (28),3.522,1918,R
329,330.,Tom Burns (33),3.521,1890,R
330,331.,Terry Turner (35),3.519,1916,R
331,332.,Goldie Rapp (27),3.518,1921,R
332,333.,Bill Bradley (28),3.516,1906,R
333,334.,George Moriarty (28),3.515,1914,R
334,334.,Brooks Robinson+ (30),3.515,1967,R
335,336.,Home Run Baker+ (24),3.514,1910,R
336,336.,Lew Riggs (27),3.514,1937,R
337,338.,Home Run Baker+ (27),3.511,1913,R
338,339.,George Brett+ (26),3.510,1979,R
339,339.,Fred Hartman (37),3.510,1902,R
340,341.,Bill Everitt (26),3.509,1895,R
341,341.,Eddie Mulligan (27),3.509,1922,R
342,341.,Buck Weaver (26),3.509,1917,R
343,344.,Jimmy Burke (30),3.508,1905,R
344,345.,Babe Pinelli (29),3.507,1925,R
345,346.,Bill Joyce (22),3.506,1890,R
346,347.,Buck Weaver (29),3.501,1920,R
347,348.,Phil Mankowski (24),3.500,1977,R
348,349.,Jimmy Austin (37),3.499,1917,R
349,350.,Fred Hatfield (27),3.498,1952,R
350,350.,Deacon White+ (39),3.498,1887,R
351,352.,Jimmy Dykes (25),3.497,1922,R
352,352.,Willie Kamm (24),3.497,1924,R
353,354.,Bill Bradley (27),3.496,1905,R
354,355.,Art Whitney (32),3.491,1890,R
355,356.,George Davis+ (21),3.490,1892,R
356,357.,Bill Kuehne (29),3.489,1888,R
357,358.,Joe Evans (22),3.488,1917,R
358,359.,Home Run Baker+ (28),3.487,1914,R
359,360.,Buddy Bell (28),3.486,1980,R
360,360.,Darrell Evans (27),3.486,1974,R
361,360.,Cass Michaels (28),3.486,1954,R
362,363.,Cecil Travis (26),3.485,1940,R
363,364.,Art Whitney (28),3.484,1886,R
364,365.,Harlond Clift (26),3.482,1939,R
365,366.,Heinie Groh (28),3.480,1918,R
366,366.,Rube Lutzke (29),3.480,1927,R
367,368.,Doug DeCinces (29),3.479,1980,R
368,368.,Billy Nash (26),3.479,1891,R
369,370.,Charlie Irwin (30),3.478,1899,R
370,371.,Buddy Bell (27),3.477,1979,R
371,371.,Mike Schmidt+ (27),3.477,1977,R
372,371.,Ossie Vitt (25),3.477,1915,R
373,374.,Ossie Bluege (27),3.476,1928,R
374,375.,Lena Blackburne (32),3.474,1919,R
375,376.,Bill McKechnie+ (28),3.471,1915,R
376,376.,Brooks Robinson+ (22),3.471,1959,R
377,378.,Frank O'Rourke (38),3.470,1930,R
378,379.,Ray Boone (29),3.469,1953,R
379,379.,Andy Carey (23),3.469,1955,R
380,379.,Brooks Robinson+ (37),3.469,1974,R
381,382.,Gil Torres (28),3.465,1944,R
382,383.,Steve Garvey (23),3.464,1972,R
383,384.,Graig Nettles (28),3.463,1973,R
384,384.,Hardy Richardson (25),3.463,1880,R
385,386.,Terry Pendleton (24),3.462,1985,R
386,386.,Joe Yeager (31),3.462,1907,R
387,388.,Frankie Gustine (27),3.461,1947,R
388,389.,Art Devlin (28),3.460,1908,R
389,389.,Ken Keltner (25),3.460,1942,R
390,389.,Ezra Sutton (31),3.460,1881,R
391,392.,Pie Traynor+ (28),3.459,1927,R
392,393.,John McGraw+ (21),3.457,1894,R
393,393.,Heinie Zimmerman (30),3.457,1917,R
394,395.,Buck Herzog (26),3.456,1912,R
395,396.,Sibby Sisti (20),3.454,1941,R
396,397.,Denny Lyons (25),3.452,1891,R
397,397.,Don Zimmer (32),3.452,1963,R
398,399.,Nolan Arenado (29),3.451,2020,R
399,399.,Bill Hague (27),3.451,1879,R
400,399.,Grady Hatton (31),3.451,1954,R
401,399.,Billy Klaus (27),3.451,1956,R
402,403.,Ken McMullen (28),3.450,1970,R
403,403.,Bill Melton (25),3.450,1971,R
404,405.,Ken McMullen (26),3.449,1968,R
405,406.,Lee Handley (27),3.448,1941,R
406,407.,Graig Nettles (29),3.447,1974,R
407,408.,Clete Boyer (28),3.446,1965,R
408,408.,Brandon Inge (29),3.446,2006,R
409,410.,Mike Mowrey (26),3.445,1910,R
410,410.,Brooks Robinson+ (32),3.445,1969,R
411,410.,Fred Thomas (26),3.445,1919,R
412,413.,Willie Kamm (29),3.444,1929,R
413,413.,Mike Mowrey (29),3.444,1913,R
414,415.,Pete Castiglione (28),3.442,1949,R
415,416.,Joe Dugan (28),3.441,1925,R
416,416.,Billy Nash (32),3.441,1897,R
417,416.,Pinky Whitney (25),3.441,1930,R
418,419.,Floyd Baker (30),3.439,1947,R
419,419.,Zinn Beck (28),3.439,1914,R
420,419.,Tex Wisterzil (26),3.439,1914,R
421,422.,Frank Malzone (27),3.438,1957,R
422,423.,Bill Everitt (27),3.437,1896,R
423,423.,Gil McDougald (32),3.437,1960,R
424,423.,Ken McMullen (25),3.437,1967,R
425,426.,Buddy Bell (22),3.436,1974,R
426,426.,Charley Smith (29),3.436,1967,R
427,428.,Billy Werber (34),3.434,1942,R
428,429.,Don Hoak (30),3.433,1958,R
429,430.,Clete Boyer (26),3.431,1963,R
430,431.,Bill Everitt (28),3.430,1897,R
431,431.,Willie Kamm (28),3.430,1928,R
432,433.,Steve Mesner (27),3.429,1945,R
433,434.,Frankie Gustine (28),3.428,1948,R
434,434.,Arlie Latham (27),3.428,1887,R
435,434.,George Moriarty (21),3.428,1907,R
436,437.,Harlond Clift (28),3.427,1941,R
437,437.,Doug DeCinces (31),3.427,1982,R
438,439.,Brooks Robinson+ (21),3.425,1958,R
439,440.,Denny Lyons (26),3.424,1892,R
440,441.,George Pinkney (30),3.423,1889,R
441,441.,Mike Schmidt+ (31),3.423,1981,R
442,443.,Kid Elberfeld (35),3.422,1910,R
443,443.,Terry Turner (30),3.422,1911,R
444,445.,Charley Bassett (28),3.420,1891,R
445,446.,Rube Lutzke (28),3.419,1926,R
446,447.,John Kennedy (23),3.418,1964,R
447,448.,Odell Hale (28),3.417,1937,R
448,448.,Buddy Lewis (22),3.417,1939,R
449,450.,Peanuts Lowrey (29),3.415,1947,R
450,450.,Art Whitney (31),3.415,1889,R
451,450.,Dick Williams+ (30),3.415,1959,R
452,453.,Wid Conroy (27),3.414,1904,R
453,454.,Mike Mowrey (27),3.413,1911,R
454,454.,Al Rosen (29),3.413,1953,R
455,456.,Harlond Clift (27),3.411,1940,R
456,457.,Jim Tabor (27),3.410,1944,R
457,458.,Larry Gardner (35),3.409,1921,R
458,458.,Grady Hatton (28),3.409,1951,R
459,458.,Art Whitney (29),3.409,1887,R
460,461.,Eddie Foster (25),3.405,1912,R
461,461.,Hank Majeski (33),3.405,1950,R
462,461.,Eric Soderholm (26),3.405,1975,R
463,464.,Matt Chapman (24),3.404,2017,R
464,465.,Chippy McGarr (31),3.402,1894,R
465,466.,Wid Conroy (26),3.401,1903,R
466,466.,Bill Kuehne (30),3.401,1889,R
467,466.,Ezra Sutton (35),3.401,1885,R
468,469.,Nanny Fernandez (23),3.400,1942,R
469,470.,Heinie Groh (26),3.399,1916,R
470,471.,Ken McMullen (23),3.397,1965,R
471,472.,Jimmy Austin (35),3.396,1915,R
472,473.,Charlie Deal (29),3.395,1921,R
473,473.,Chippy McGarr (32),3.395,1895,R
474,475.,Willie Jones (26),3.394,1952,R
475,475.,Bill Joyce (29),3.394,1897,R
476,475.,Jerry McCormick (22),3.394,1884,
477,478.,Odell Hale (27),3.393,1936,R
478,479.,Harlond Clift (25),3.392,1938,R
479,479.,Marty McManus (28),3.392,1928,R
480,479.,Red Smith (22),3.392,1912,R
481,479.,Eric Sogard (34),3.392,2020,R
482,483.,Eddie Foster (32),3.391,1919,R
483,484.,Phil Garner (28),3.390,1977,R
484,485.,Heinie Groh (25),3.389,1915,R
485,486.,Billy Werber (30),3.388,1938,R
486,487.,Jimmy Collins+ (33),3.387,1903,R
487,487.,Bert Niehoff (30),3.387,1914,R
488,487.,Aurelio Rodriguez (29),3.387,1977,R
489,490.,Ed Charles (34),3.386,1967,R
490,490.,Larry Gardner (34),3.386,1920,R
491,490.,Hank Majeski (22),3.386,1939,R
492,490.,Mike Schmidt+ (25),3.386,1975,R
493,490.,Deacon White+ (37),3.386,1885,R
494,490.,Eddie Yost (22),3.386,1949,R
495,496.,Bob Dillinger (31),3.384,1950,R
496,496.,Ed Mayer (24),3.384,1890,
497,498.,Charlie Irwin (25),3.383,1894,R
498,498.,Billy Nash (30),3.383,1895,R
499,500.,Don Buford (30),3.382,1967,R
